giro	بینکوں
podsticaj	ترغیب
podsticaj	مدّعا
learn	ہدایت
learn	واقف
spade	تیشہ
spade	پھاوڑا.
neophodnih	جبری
neophodnih	لازمی
almanah	تقویم.
almanah	تقویم.
almanah	جنتری
lipid	دُہنیات
pdv	حوض
pdv	ہودی
pdv	ماٹ
šangaj	غلیل.
mis	بچنا
mis	خطا
mis	کوتاہی
mis	پانے
mis	چوک
mis	بیوقوف
mis	پہنچنے
pravednosti	انصاف
pravednosti	حق
predanje	اہم
predanje	نمایاں
postignuće	کارنامہ.
sock	موزہ.
sock	جراب
lodge	بسانا
lodge	رکھنا
lodge	ٹھہرنا
lodge	سمانا
lodge	اعتراض
ljubomore	رقابت
ljubomore	جلن.
ljubomore	حسد
ljubomore	رقابت
ljubomore	جلن.
slučajna	غیرمتوقع.
slučajna	حادثاتی
slučajna	عارضی
slučajna	غیرارادی
slučajna	اتفاقی
stečaj	دوالہ
nanošenje	سرمنڈھنے
ljepilo	چپکو.
ljepilo	چپکانے
ljepilo	ملصق
ljepilo	جوڑنے
vrtoglavica	گھمیری
vrtoglavica	چکّر.
dare	کوشش
dare	سعی
dare	اکسانا
dare	للکار
protive	حریف
ave	الوداع.
pogoršanja	بگاڑ
pogoršanja	ابتری
pogoršanja	بگاڑ
krem	جھاگ.
krem	ست
krem	پھین
reverse	الٹنا
reverse	معکوس.
reverse	مصیبت
senzacija	احساس
senzacija	حس
senzacija	شعور
senzacija	تأثر
senzacija	احساس
senzacija	حس
senzacija	سنسنی
senzacija	شعور
senzacija	تأثر
elektromagnetni	برقناطیسی
ambiciozni	پُرعزیمت.
stimuliše	اُکسانا
improve	مفید.
improve	سنوارنا
improve	مفید.
potisak	چونچالی.
potisak	تیرنے
potisak	لچک
potisak	چونچالی.
potisak	تیرنے
okončanju	انجام
smile	روشن
smile	مسکرانا
smile	بہلانا.
smile	out
smile	تبسّم
smile	مسکراہٹ
smile	ہنسی.
smile	خوشنودی
arch	کمان
arch	شریر
presudom	(بعدہ
feral	خونخوار
feral	درندہ
malignih	سرطانی.
malignih	خبیث
malignih	مہلک
unitarna	واحدی
pretty	بڑا
pretty	دلکش
pretty	پیارا
pretty	گڈے.
pretty	سہانا
loco	باؤلا.
stimulacija	تحرک
stimulacija	اُکساہٹ
pasivna	سست
pasivna	مجہول
labirint	جنجال
labirint	چکّر
labirint	پھیر
snoop	مفتش.
snoop	مخبر
snoop	ٹوہ.
panika	دہشت
privatnost	اجتناب
privatnost	علاحدگی.
privatnost	تنہائی
privatnost	اجتناب
privatnost	علاحدگی.
usvoji	اپنانا
usvoji	گودلینا.
usvoji	(رپورٹ
