zijn	jo
dat	kad
was	vaškas
score	balu
soort	rūšis
soort	rūšių
soort	rūšys
familie	šeima
familie	šeimos
familie	šeimyna
deze	šio
deze	šių
maar	bet
wordt	tapti
worden	tapti
worden	tampa
dit	šio
over	apie
dan	tada
dan	dan
team	būrys
team	komanda
nog	dar
meer	ežeras
meer	daugiau
cet	cet
twee	du
wat	kas
wat	ko
wat	kokie
deel	dalies
deel	dalis
deel	akcija
deel	dalintis
overleg	konsultacijos
overleg	konsultacijų
overleg	pasitarimai
overleg	konsultacijos
overleg	konsultacijų
overleg	konsultavimas
overleg	konsultacija
tussen	eurus
zou	būtų
waar	kur
waar	tiesa
waar	tikra
veel	daug
veel	daug
hun	hun
geslacht	lytis
geslacht	lytis
zoals	lyg
zoals	kaip
grote	didelių
grote	dideli
grote	didelis
grote	didelės
grote	dideli
grote	didysis
grote	didelis
zij	ji
zij	jai
zij	jie
gebied	zona
hem	jį
mei	mei
hier	čia
hier	cia
links	nuorodos
links	paliko
tijd	laiko
tijd	laikas
weer	orai
weer	oras
kwam	atėjau
kwam	atėjo
provincie	provincija
km²	km²
alleen	tik
vlinder	drugelis
bekend	pažįstamas
bekend	matytas
club	klubas
moet	turėtų
moet	turi
amerikaanse	amerikos
april	balandis
seizoen	sezonas
gaat	eina
weg	šalin
weg	kelias
weg	kelių
weg	kelio
insect	vabzdžių
insect	vabzdžiai
insect	bugas
film	filmas
film	filmai
film	filmas
film	plėvelė
zelf	save
heb	gavo
kreeg	gavo
werk	darbas
website	svetainė
juni	birželis
juni	birželio
goed	gerai
goed	geras
goed	puikiai
goed	gera
bestand	failas
vaak	bendras
vaak	dažni
groot	didelių
groot	dideli
groot	didelis
groot	didelės
groot	dideli
groot	didysis
groot	didelis
groot	puikiai
groot	puiku
groot	puiki
komen	ateina
komen	ateinu
komen	ateis
ongeveer	apie
juli	juli
dorp	kaimo
dorp	kaime
dorp	jonava
dorp	kaimas
leven	gyvenimo
leven	gyvybės
leven	gyvybė
leven	gyvenimas
leven	gyva
leven	live
leven	gyvi
leven	gyventi
leven	gyvos
binnen	viduje
register	registro
register	registras
zal	bus
marinespecies	marinespecies
meter	metras
meter	metrų
meter	metrai
meter	metrų
amsterdam	amsterdamo
zeer	labai
oude	senas
den	den
kon	kon
sint	sint
won	laimėjo
goals	tikslai
goals	tikslų
werken	darbas
werken	darbingo
werken	darbo
werken	kūriniams
werken	veikia
werken	kūriniai
werken	darbai
net	grynasis
net	grynoji
net	grynosios
net	grynieji
februari	vasaris
mogelijk	galimai
mogelijk	įmanoma
wil	nori
wil	norit
moeten	turi
staten	narės
nam	nam
lijkt	atrodo
station	stotis
station	stoties
verenigde	jungtinės
verenigde	jungtinė
zoon	sūnus
man	vyru
man	vyras
man	žmogus
till	til
koning	karalius
slechts	tik
spelen	žaisti
spelen	groti
spelen	žaidžia
titel	antraštė
beide	abi
beide	abu
bezocht	lankėsi
nummer	daina
nummer	dainos
lang	lang
lang	ilgai
lang	ilga
lang	ilgas
tekst	tekstas
beste	geriausi
beste	geriausia
beste	aukščiausia
beste	geriausios
beste	geriausias
district	rajonas
aug	aug
daarna	tada
west	vakarų
west	vakarai
soorten	rūšis
soorten	rūšių
soorten	rūšys
boven	viršuje
jun	birželis
gebouwd	statybų
actief	aktyviai
actief	aktyvi
actief	aktyvus
hoe	kaip
klasse	klasės
klasse	klasė
dag	dag
uiteindelijk	galiausiai
uiteindelijk	pagaliau
universiteit	universitetas
universiteit	koledžas
universiteit	kolegijos
universiteit	kolegija
universiteit	koledžo
grootste	didžiausias
vader	tėti
vader	tėvas
indeling	sunaikinimo
indeling	paskirstymas
indeling	išdėstymo
indeling	išdėstymas
indeling	klasifikavimas
indeling	klasifikacija
nov	nov
serie	serija
serie	serijos
rol	roll
oorlog	karas
oorlog	karo
oorlog	karui
oorlog	karai
geschiedenis	istorijos
geschiedenis	istorija
duitsland	vokietija
huis	namas
stond	stovėjo
frans	frans
frans	pranciškus
shift	pamaina
finale	finale
finale	galutiniai
finale	galutinis
finale	galutinė
finale	finalas
finale	finalo
opgericht	įkurta
