kategória	категорија
roku	година
roku	year
ako	како
ako	како
ako	like
bol	bol
bol	била
bol	беше
bol	бил
bol	била
bol	беше
pozri	види
pozri	гледаш
pozri	видете
pozri	погледни
pozri	гледај
pozri	види
obce	заедници
obce	општини
obce	села
mba	mba
obyvateľov	жители
obyvateľov	жителите
obyvateľov	жители
obec	комуна
obec	општина
obec	село
obec	селски
pre	за
jeho	негова
jeho	негово
jeho	неговите
jeho	неговиот
jeho	неговата
jeho	негов
jeho	нејзините
jeho	своите
jeho	својата
jeho	нејзини
ktorá	кои
ktorá	која
ktorá	кое
bod	точка
pri	pri
bola	била
bola	беше
bola	бил
bola	била
bola	беше
ktoré	кои
ktoré	која
ktoré	кое
ktorý	кои
ktorý	која
ktorý	кое
zoznam	листа
zoznam	список
odkazy	упатува
odkazy	референци
odkazy	препораки
odkazy	врските
odkazy	линковите
odkazy	врски
odkazy	линкови
socorro	сокоро
externé	надворешен
externé	надворешно
externé	надворешни
externé	надворешна
ale	но
ale	ама
iné	macedonian
iné	други
iné	друѓи
iné	други
the	на
počet	број
boli	беа
boli	биле
podľa	под
miesto	место
miesto	место
miesto	локација
miesto	место
miesto	site
miesto	сајт
bolo	била
bolo	беше
obcí	заедници
obcí	општини
obci	комуна
jej	нејзините
jej	своите
jej	својата
jej	нејзини
jej	ја
jej	нејзината
jej	неа
jej	нејзе
ich	нивната
ich	нивните
ich	нивното
ich	нивна
ich	нивно
ich	нивни
ich	ги
ich	нив
ich	ich
medzi	помеѓу
medzi	помегу
medzi	измеѓу
medzi	меѓу
projekty	проекти
team	екипа
team	тим
byť	битие
francúzska	французи
francúzska	француски
francúzska	франс
francúzska	франција
najvyšší	врховната
najvyšší	врховниот
najvyšší	врховен
najvyšší	највисоко
najvyšší	највисока
najvyšší	највисок
pod	подолу
pod	pod
pod	подот
pod	под
pred	пре
pred	пред
vývoj	развој
vývoj	еволуција
graf	графикон
graf	табелата
najnižší	најниската
najnižší	најниска
najnižší	најнизок
najnižší	најниски
najnižší	најниско
kde	kde
kde	каде
môže	мајски
môže	мај
môže	може
môže	можи
môže	можат
nasledujúci	следење
nasledujúci	следејќи
nasledujúci	следниот
nasledujúci	следна
nasledujúci	следно
nasledujúci	следни
nasledujúci	следен
zobrazuje	прикажува
zobrazuje	покажува
zobrazuje	емисии
zobrazuje	прикажува
keď	кога
len	само
len	само
mesto	град
mesto	градче
mesto	град
mesto	градско
mesto	градот
mesto	градски
usa	уса
