から	no
日本	japāna
日本	nippon
この	šī
この	šo
この	šis
この	tas
まで	līdz
また	arī
もの	lietas
大学	augstskolas
大学	universitātes
大学	universitātē
大学	universitāte
大学	universitātes
大学	koledža
大学	kolēģija
大学	koledžā
大学	kolēģijas
大学	koledžas
大学	kolēģijas
大学	koledžas
テレビ	televizoriem
テレビ	televizors
テレビ	televīzijas
テレビ	televīzija
放送	pārraida
放送	pārraide
放送	raidījums
放送	raidījumu
放送	apraides
放送	apraide
放送	apraides
放送	apraide
東京	tokijas
より	than
より	nekā
削除	svītrots
削除	svītroti
削除	dzēš
削除	dzēšanu
削除	dzēšana
削除	izmest
削除	aizvākt
削除	izņemt
削除	noņemt
削除	izdzēst
削除	dzēst
現在	pašreizējais
現在	pašreizējo
現在	pašreizējie
現在	strāva
現在	pašreizējā
現在	pašlaik
現在	pašreiz
現在	šobrīd
現在	patlaban
現在	pašreizējais
現在	klāt
現在	tagadni
学校	skolas
学校	skolām
学校	skola
学校	skolas
学校	skolu
学校	skolā
これ	šī
これ	šo
これ	šis
これ	tas
世界	pasaule
世界	pasaulē
アメリカ	amerika
アメリカ	amerikā
アメリカ	ameriku
でも	bet
でも	taču
について	par
作品	būvdarbi
作品	darbi
作品	diskogrāfija
時代	laikmets
時代	ēra
時代	era
映画	filma
映画	filmu
映画	kino
映画	plēve
映画	filma
映画	plēves
映画	filmas
映画	kino
監督	direktora
監督	direktors
監督	direktore
監督	režisors
監督	pārraudzība
監督	uzraudzība
鉄道	dzelzceļš
鉄道	dzelzceļš
鉄道	dzelzceļš
使用	lietošana
使用	lietojums
使用	lietot
使用	izlietot
使用	izmantošana
出演	izskats
出演	lietos
明治	meidzi
時間	stundas
時間	stundām
時間	stunda
時間	stundu
時間	laiks
時間	laika
開始	sākam
開始	sākt
開始	sākt
開始	palaist
開始	sākums
開始	starts
開始	uzsākšanu
開始	uzsākšana
シリーズ	sērija
シリーズ	sērijas
のみ	tikai
記事	raksts
記事	izstrādājums
記事	pants
記事	stāsts
記事	stāsti
記事	raksti
記事	izstrādājumi
記事	panti
活動	darbības
活動	aktivitātes
選手	spēlētāji
選手	atskaņotāji
選手	sportistiem
選手	sportisti
しかし	bet
しかし	taču
研究	pētījumi
研究	pētījumi
研究	pētniecības
研究	pētniecība
研究	izpēte
会話	sarunas
会話	saruna
会話	sarunas
大阪	osaka
大会	konvents
大会	konvencija
大会	konventa
大会	konvenciju
チーム	komandām
チーム	komandas
チーム	komanda
チーム	team
存在	esamība
存在	pastāvēšana
存在	esība
優勝	uzvara
優勝	uzvaras
優勝	uzvaru
作詞	teksti
作詞	lyrics
所属	piederība
国際	international
国際	starptautiskā
国際	starptautiski
一部	dažas
一部	dažiem
一部	daži
一部	daļēji
結果	rezultāts
結果	rezultāti
結果	rezultātus
アルバム	albuma
アルバム	albums
アルバム	albumu
アルバム	albumus
バス	bus
バス	autobuss
バス	bass
バス	autobusiem
バス	autobusus
バス	autobusi
ゲーム	spēļu
ゲーム	spēle
ゲーム	spēles
問題	emitēt
問題	izdot
問題	problēmu
問題	problēma
問題	problēmas
問題	problēmas
問題	jautājumi
リーグ	līgas
リーグ	līga
リーグ	līgās
利用	atpirkt
開発	attīstība
開発	izstrāde
開発	attīstīšana
事業	bizness
事業	uzņēmējdarbība
決定	lēmums
決定	lēmumi
決定	lēmumus
音楽	mūzika
音楽	music
音楽	mūzikā
転送	pārsūtīt
転送	pārvietošana
転送	nodošana
転送	nodošanas
転送	pārsūtīšana
転送	pārsūta
転送	nodošana
情報	info
情報	informācija
公式	formula
公式	formulas
公式	amatpersona
公式	ierēdnis
参加	pievienojies
参加	pievienoties
参加	pievienojos
参加	piedalīšanās
参加	līdzdalība
参加	dalība
地域	reģioni
地域	reģions
変更	izmaiņas
変更	pārmaiņas
変更	mainīt
変更	pārveidot
変更	izmaina
変更	izmainīt
変更	mainīt
変更	maiņa
変更	izmaiņas
変更	pārmaiņas
編曲	organizētājs
編曲	organizētāja
編曲	izvietojums
編曲	vienošanās
編曲	izkārtojums
サイト	vietne
サイト	vieta
サイト	vietnes
記録	ierakstīšana
記録	reģistrēšana
記録	ierakstīšanas
記録	reģistrācija
記録	rekords
記録	ieraksts
関係	saistība
関係	attiecības
クラブ	klubā
クラブ	club
クラブ	klubs
クラブ	kluba
クラブ	klubi
クラブ	klubiem
クラブ	klubos
中央	centrālā
中央	centrālais
中央	centrālās
中央	centrs
中央	centrā
中央	centrs
中央	centrā
中央	centra
同じ	pašas
同じ	pašu
設立	izveidots
設立	pievienošanas
設立	iekļaušana
設立	izveide
設立	uzņēmums
設立	izveidi
設立	izveidošana
考え	domāšana
考え	domāt
考え	domās
考え	domas
教育	izglītība
プロ	pro
設置	uzstādīšana
設置	instalācija
設置	iekārta
発表	paziņojums
小学校	elementāri
小学校	vienkāršā
編集	labot
編集	rediģēt
編集	edits
編集	rediģēšanas
編集	mainīt
編集	pārveidot
編集	izmaina
編集	izmainīt
シーズン	sezonai
シーズン	sezonu
シーズン	sezonas
シーズン	sezonā
シーズン	sezona
シーズン	sezonas
ファイル	faili
ファイル	datnes
ファイル	failus
ファイル	faila
ファイル	fails
ファイル	failu
フランス	franciju
フランス	francijā
フランス	francija
フランス	france
都市	pilsēta
都市	pilsētu
都市	pilsētas
出版	izdevējs
出版	publicēšanu
出版	publicēšana
出版	izdošana
出版	publikācija
出版	publicēšana
出版	publikācija
出版	publicēšanas
会社	firma
会社	sabiedrība
会社	uzņēmums
会社	kompānija
会社	uzņēmējsabiedrības
会社	kompānijas
会社	uzņēmumi
世紀	gadsimtiem
世紀	gadsimts
ノート	piezīme
ノート	piezīmes
ノート	atzīmē
京都	kioto
社会	sabiedrība
社会	biedrības
社会	sabiedrības
ドイツ	vācijas
ドイツ	vācija
ドイツ	vācijā
開催	turēti
開催	turēts
開催	turētas
シングル	vienotā
シングル	vienreizēja
シングル	vienots
シングル	vienotais
センター	centrs
センター	centrā
センター	centrs
センター	centrā
センター	centra
終了	iziet
終了	pabeigt
終了	finišs
終了	pabeidz
終了	beigas
終了	pabeigti
終了	pabeigts
終了	pabeigta
終了	gatavo
終了	izvešanas
終了	izeja
終了	iziešanas
終了	izbraukšana
中心	centrs
中心	centrā
中心	centrs
中心	centrā
中心	centra
内容	saturu
内容	saturs
内容	satura
内容	saturs
文化	kultūra
イギリス	anglija
イギリス	england
イギリス	angliju
ドラマ	drāma
ドラマ	pārdzīvojumi
さらに	tālāk
中国	ķīna
中国	china
撮影	kinematogrāfija
撮影	photography
撮影	fotogrāfija
撮影	filmē
撮影	filmēt
撮影	filmēšana
撮影	filmēšanas
選手権	hokejā
選手権	čempionāts
選手権	motokrosā
選手権	čempionāta
野球	beisbola
野球	beisbolu
指定	apzīmējums
指定	norādīt
指定	precizēt
位置	amats
位置	novietojums
位置	pozīcija
以下	zemāk
以下	zem
マン	mann
卒業	izlaidums
卒業	izlaiduma
人物	cilvēks
人物	persona
公開	publiski
公開	publiskais
公開	publiska
公開	publicēt
公開	publicē
北海道	hokaido
最終	pēdējo
最終	pēdējais
最終	pēdējā
最終	pēdējās
最終	pēdējoreiz
最終	galīgais
最終	galīgo
最終	gala
最終	galīgā
アニメ	anime
確認	apstiprināšana
確認	apstiprinājums
確認	apstiprināt
確認	apstiprinu
一般	vispārējā
一般	vispārējais
一般	vispārīgi
一般	vispārēji
歴史	vēsture
歴史	vēstures
歴史	vēsturi
歴史	vēsturē
選挙	ievēlēšana
選挙	vēlēšanās
選挙	vēlēšanas
選挙	vēlēšanās
選挙	vēlēšanas
計画	plānotais
計画	plānota
計画	plānoto
計画	plānots
計画	plānotie
計画	plānotās
計画	plānošana
計画	plānošanas
計画	plāna
計画	plāns
計画	plānā
計画	plānus
計画	plāni
経済	tautsaimniecība
経済	tautsaimniecības
経済	tautsaimniecību
経済	ekonomikas
経済	ekonomika
ページ	lappuse
ページ	lapa
ページ	lapas
ページ	lappuses
教授	profesore
教授	profesors
ラジオ	radio
劇場	teātrī
劇場	teātris
劇場	teātra
グループ	grupu
グループ	grupa
