wäldern	우즈
terry	테리
gleichung	방정식
sockel	cap
sockel	소켓
sockel	lga
sockel	소켓
erlaubte	허용
schulze	슐츠
traditionen	전통
traditionen	전통
six	여섯
hunde	개들
hunde	개그
verfolgen	트래킹
verfolgen	추적
virus	바이러스
girls	소녀
girls	소녀들
girls	걸스
unit	유닛
unit	unit
unit	단위
fett	그리스
fett	굵게
fett	굵은
fett	대담
fett	뚱뚱한
fett	지방
fett	살찐
direkter	직접
direkter	직통
direkter	direct
direkter	다이렉트
anzeigen	표시
anzeigen	표시하기
anzeigen	디스플레이
anzeigen	조회
anzeigen	보기
anzeigen	광고
anzeigen	표시
anzeigen	보이기
anzeigen	공연
alain	알랭
blättern	나뭇잎
blättern	리프
blättern	나뭇잎
blättern	잎새
blättern	스크롤
blättern	스크롤
angetrieben	전원
wiederholen	반복
wiederholen	반복한다
wiederholen	반복합니다
wiederholen	반복
wiederholen	다시보기
wiederholen	리플레이
wiederholen	재생
astronomie	천문학
stadtzentrum	다운타운
stadtzentrum	시내
stadtzentrum	중앙
stadtzentrum	센터
decke	천장
decke	담요
decke	이불
decke	천장
decke	옥상
decke	지붕
wohnt	생명
schritte	발자국
schritte	발자취
schritte	스텝
schritte	걸음
schritte	단계
wachsenden	growing
wachsenden	성장
wachsenden	자라고
geschafft	made
geschafft	만든
geschafft	완료
globe	글로브
ulrike	사라
ulrike	새라
ulrike	세라
ulrike	율리아
ulrike	쥘리아
ulrike	줄리아
nicholas	니컬러스
nicholas	니콜라스
nicholas	니콜라우스
jubiläum	주빌리
jubiläum	기념일
jubiläum	기념일
schnabel	부리
schriftlich	서면
schriftlich	쓰기
schriftlich	글쓰기
palästina	팔레스타인
palästina	팔레스타인인
palästina	팔레스타인
palästina	팔레스타인인
klärung	해명
angewandt	응용
still	아직도
still	여전히
vorgaben	기본값
beobachter	관측자
beobachter	관찰자
beobachter	옵서버
beobachter	모니터
beobachter	옵저버
beobachter	관찰자
beobachter	옵서버
bilanz	균형
bilanz	밸런스
bilanz	잔액
produkten	상품
produkten	제품
indirekt	간접
mtv	mtv
alias	별칭
alias	별명
alias	aka
bestätigung	확인
bestätigung	확인하기
bestätigung	확인
bestätigung	검증
mühlen	밀스
wiederherstellen	복구
wiederherstellen	복원하기
wiederherstellen	복원
wiederherstellen	복구
wiederherstellen	회복
massaker	학살
suffix	접미사
rudolph	루돌프
beseitigt	탈락
beseitigt	폐지됨
matrix	어레이
matrix	배열
matrix	매트릭스
matrix	행렬
ähnlichkeit	닮음
empfehlung	추천
empfehlung	권장
empfehlung	제안
bedrohung	협박
bedrohung	위협
bedrohung	위협
einweihung	헌신
einweihung	취임식
landung	터치다운
landung	착륙
landung	랜딩
sozialer	사회주의
sozialer	사회
sozialer	사회적
statistischen	통계학
dallas	댈러스
dallas	달라스
fein	미세먼지
pole	폴란드인
besiegt	패배
krause	크라우스
bindung	바인딩
bindung	구속력
bindung	바인딩
bindung	채권
bindung	결합
bindung	본드
entwürfe	스케치
entwürfe	설계
entwürfe	디자인
entwürfe	임시
schwimmen	수영
schwimmen	수영
early	초기
early	일찍
abkürzungen	단축키
abkürzungen	바로가기
abkürzungen	약어
abkürzungen	약자
abkürzungen	약어
protest	시위
protest	항의
protest	항의
messina	메시나
