kategória	loại
roku	năm
ako	bao
ako	như
ako	thích
ako	like
bol	bol
bol	aw
bol	bị
bol	lơn
bol	tụt
bol	cẩu
pozri	xem
pozri	xem
pozri	nhìn
obce	xã
obce	làng
mba	mba
obec	xã
obec	municipality
obec	làng
pre	cho
jeho	ngành
jeho	its
ktorá	mà
bod	beat
bod	chấm
bod	điểm
pri	pri
bola	aw
bola	bị
bola	lơn
bola	tụt
bola	cẩu
ktoré	mà
ktorý	mà
zoznam	kê
zoznam	list
zoznam	danh
odkazy	xích
odkazy	links
socorro	socorro
ale	nhưng
iné	khác
iné	khác
the	the
počet	số
podľa	dưới
podľa	under
miesto	spot
miesto	điểm
miesto	nơi
miesto	chỗ
miesto	website
miesto	site
bolo	aw
bolo	bị
obcí	xã
obci	xã
jej	its
jej	her
jej	cổ
ich	nhị
ich	them
ich	cói
ich	chúng
ich	họ
ich	ich
medzi	giữa
team	tạo
team	đội
team	lớp
team	team
francúzska	pháp
francúzska	pháp
najvyšší	supreme
pod	dưới
pod	pod
pod	dưới
pod	under
pred	pre
pred	trước
graf	thị
graf	chart
kde	kde
kde	đâu
môže	may
nasledujúci	kế
nasledujúci	tiếp
nasledujúci	kit
zobrazuje	khoe
keď	khi
len	chỉ
len	duy
len	chỉ
len	funny
mesto	phố
mesto	phố
mesto	by
tiež	cũng
usa	kỳ
usa	mỹ
usa	usa
rokov	chèo
rokov	năm
nie	không
nie	ko
úmrtia	chết
neskôr	sau
aby	pha
nad	nad
nad	trên
utc	utc
jpg	jpg
časti	phần
stránka	page
stránka	trang
stránka	website
stránka	site
skupiny	group
skupiny	nhóm
skupiny	nhóm
html	html
roka	năm
ktorú	mà
časť	phần
časť	saga
časť	part
časť	phần
ngc	ngc
október	oct
mesta	phố
mesta	phố
mesta	by
marec	march
august	august
skupina	group
skupina	nhóm
veľmi	cực
veľmi	rất
potom	rồi
narodenia	sinh
tento	này
bratislava	bratislava
november	nov
december	dec
iba	chỉ
iba	duy
iba	chỉ
iba	funny
roky	chèo
roky	năm
oblasti	loạt
oblasti	vực
oblasti	vùng
súbor	tệp
súbor	file
mal	nan
mal	xịt
mal	mẫu
proti	dũng
proti	chống
apríl	apr
sveta	giới
viac	thêm
február	tháng
február	feb
mužov	hãm
názov	denomination
názov	tên
názov	tựa
okolo	khoảng
okolo	vòng
ešte	chưa
ešte	vân
ešte	thinh
prvý	trước
prvý	đầu
text	chữ
máj	may
spolu	tổng
tom	tom
majstrovstvá	biathlon
saint	saint
saint	thánh
okrem	trừ
bar	bar
americký	american
americký	mỹ
cez	qua
cez	via
cez	qua
asi	chu
asi	đoán
jeden	xả
jeden	một
jeden	one
vojny	tranh
vojny	chiến
vojny	war
rok	năm
ulica	phố
ulica	street
album	album
dátum	ngày
žien	nữ
tieto	những
majú	có
majú	đã
toto	này
toto	toto
ktorí	ai
ktorí	who
všetky	hết
francúzsky	pháp
svoje	its
žije	lives
český	séc
český	český
ján	jan
ján	gioan
ján	john
okres	huyện
jún	tuấn
jún	jun
jún	june
šablóny	templates
šablóny	mẫu
šablóny	mẫu
dnes	nay
slovensko	slovakia
pretože	vì
ani	củ
ani	ani
ani	anni
slovenska	slovenska
nové	new
nové	mới
nové	sâm
všetkých	hết
štátu	bang
ďalšie	kế
ďalšie	tiếp
ďalšie	kit
ďalšie	khác
ďalšie	thêm
tým	tạo
tým	đội
tým	lớp
tým	team
meno	tên
dve	hai
dve	two
dva	hai
dva	two
mala	nan
mala	xịt
mala	mala
style	style
približne	khoảng
približne	về
približne	ban
približne	khoảng
táto	này
prvé	trước
prvé	đầu
martin	martin
http	http
tri	tri
tri	tre
tri	ba
tri	three
loire	loire
nich	them
nich	cói
nich	chúng
nich	họ
praha	prague
praha	praha
stránke	page
stránke	trang
film	phim
film	phim
film	film
spoločnosti	ty
peter	peter
peter	phêrô
mali	nan
mali	xịt
mali	mali
patrí	thuộc
strany	trang
svg	svg
prvá	trước
prvá	đầu
van	trù
van	van
nemecký	đức
rod	rod
bude	will
bude	sẽ
bude	muốn
titul	tựa
kostol	thờ
týchto	những
ženy	nữ
ďalej	kế
ďalej	tiếp
ďalej	kit
kedy	khi
systém	hệ
ide	ide
potok	luồng
potok	suối
potok	stream
latinsky	latin
európy	âu
známy	quen
haute	haute
veľkosť	cỡ
veľkosť	size
john	gioan
john	john
klub	club
klub	clb
objektov	tượng
isbn	isbn
portál	portal
portál	cổng
ľudí	người
palomar	palomar
zomrel	chết
niektoré	cầy
hudobné	nhạc
hudobné	nhạc
hudobné	musical
herec	diễn
veľký	lớn
veľký	lớn
veľký	to
veľký	đúc
veľký	đại
veľký	big
gmina	gmina
života	đời
kráľ	king
kráľ	guy
kráľ	vua
iii	iii
maďarsku	hungary
vlády	phủ
napriek	nghênh
mieste	spot
mieste	điểm
mieste	website
mieste	site
kráľa	king
kráľa	guy
kráľa	vua
tam	tam
tam	kia
tam	đó
spoločnosť	ty
oblasť	loạt
oblasť	tần
oblasť	vùng
oblasť	loạt
oblasť	vực
oblasť	vùng
nej	her
nej	cổ
vek	tuổi
takmer	sắp
takmer	gần
takmer	hầu
muži	nam
muži	hãm
život	đời
mája	may
dňa	ngày
dňa	day
národné	gạt
jozef	jozef
jozef	giuse
jozef	joseph
center	tâm
syn	trai
syn	nhi
syn	son
marca	march
augusta	august
augusta	augusta
veľké	lớn
veľké	lớn
veľké	to
veľké	đúc
veľké	đại
veľké	big
školy	trường
školy	trường
školy	học
nový	new
nový	mới
nový	sâm
nový	nový
obsahuje	chứa
anderson	anderson
správa	cáo
štát	quốc
štát	bang
hráč	player
banskej	banská
júna	june
cesta	tý
cesta	đường
cesta	đường
cesta	road
krajiny	quốc
spacewatch	spacewatch
ceny	giá
ceny	premier
žilo	kiêng
číslo	số
typ	kiểu
typ	gõ
typ	loại
pyrénées	pyrénées
pyrénées	pyrenees
mesa	mesa
mesa	misa
košice	košice
spojené	united
spojené	hoa
práve	chỉ
práve	funny
niektorých	cầy
čas	gian
čas	thời
prípade	case
loneos	loneos
víťaz	thang
víťaz	thắng
nemecko	đức
hlavné	chính
hlavné	main
galaxia	galaxy
vrátane	gồm
hviezdna	stellar
troch	tre
troch	ba
troch	three
veľká	lớn
veľká	lớn
veľká	to
veľká	đúc
veľká	đại
veľká	big
opäť	lại
otec	bố
otec	cha
com	com
než	hơn
svete	giới
stránky	sites
stránky	trang
niekedy	đôi
typu	kiểu
typu	gõ
typu	loại
deň	ngày
deň	day
houten	houten
druhý	giây
vtedy	rồi
jedna	xả
jedna	một
jedna	one
každý	mỗi
každý	hằng
každý	mỗi
sur	sur
sur	tức
obrázok	ảnh
obrázok	nh
obrázok	hình
obrázok	ảnh
celý	toàn
celý	hẹt
celý	whole
stále	côn
stále	vẫn
alpes	alpes
priemerný	mediocre
program	trắc
program	chương
gitara	guitar
gitara	ghita
jedným	xả
jedným	một
jedným	one
hudobný	nhạc
hudobný	musical
kolo	lap
kolo	hiệp
kolo	vòng
strana	đảng
strana	party
strana	tiệc
strana	page
strana	trang
strana	bên
strana	phe
strana	trang
francúzsko	pháp
taktiež	cũng
dobe	gian
dobe	thời
park	viên
park	park
popis	caption
popis	tả
cena	price
cena	giá
pravdepodobne	chu
der	der
nová	new
nová	mới
nová	sâm
rieky	sông
rieky	sông
rieky	rivers
rôzne	khác
škola	trường
