年	イヤー
月	ムーン
月	ヶ月
月	months
月	月間
日	day
日	一日
和	そして
村	村落
村	ヴィレッジ
人	男性
人	man
人	ピープル
小行星	小惑星
小行星	小惑星
大	大きな
大	大きい
大	ビッグ
德	tak
重	重い
重	ヘビー
一	一つ
一	one
一	一人
一	ワン
定向	方向
定向	向き
定向	オリエンテーション
但	でも
但	しかし
也	also
也	また
拉	引っ張る
拉	プル
後	アフター
留言	メッセージ
留言	伝言
市	シティ
市	都市
市	市町村
克	グラム
新	new
新	新しい
新	新規
站	ステーション
站	スタンド
州	都道府県
州	状態
研究	勉強
研究	研究
研究	研究
研究	リサーチ
日本	日本
三	三人
三	three
三	スリー
前	以前
家	自宅
家	ホーム
家	帰宅
近	付近
近	近く
米	ご飯
米	ライス
米	メートル
米	メーター
多	もっと
使用	使い方
使用	使用
基	ケイ
王	king
王	国王
王	キング
林	ラム
林	lam
公司	会社
公司	会社
李	リー
一個	一つ
一個	one
一個	一人
一個	ワン
西	ウエスト
西	西部
西	ウェスト
度	学位
卡	カード
卡	カード
二	二つ
二	二人
小	小さな
小	スモール
小	小さい
小	リトル
小	小さい
小	タイニー
小	ちっちゃい
小	ちび
小	小さい
區	ゾーン
區	zone
區	地区
區	ディストリクト
區	面積
區	領域
區	エリア
人口	人口
四	four
四	フォー
政府	政府
道	dao
將	ウィル
將	遺言
高	ハイ
高	高い
高	高い
高	ガオ
美國	アメリカ
集	集合
集	セット
集	エピソード
台灣	中華民国
台灣	台湾
世界	世界
世界	ワールド
南	nan
南	ナン
南	サウス
路	道路
五	ファイブ
五	五つ
五	five
本	ベン
金	jin
金	ジン
金	gold
金	ゴールド
金	キム
林肯	リンカーン
人民	ピープル
包括	含める
包括	含む
包括	含む
峰	山頂
峰	ピーク
其他	その他
其他	他の
其他	その他
塔	仏塔
塔	タワー
縣	カウンティ
縣	広東
縣	カントン
第一	ファースト
第一	最初
任	ren
時間	タイム
時間	時間
比	比率
元	メタ
元	ドル
元	yen
元	ウォン
元	won
中國	中国
中國	チャイナ
六	シックス
六	six
主要	少佐
主要	メジャー
主要	専攻
主要	メイン
城	シティ
城	都市
城	キャッスル
法	方法
法	メソッド
中心	センター
中心	中央
中心	中心
中心	中央
中心	センター
中心	中心
線	直線
線	ライン
線	スレッド
第二	番目
第二	セカンド
山	マウンテン
山	マウント
山	ヒル
山	山地
山	山脈
加	追加
加	加算
加	プラス
太空	スペース
太空	空間
自己	自分
自己	myself
張	チャン
內	内側
內	インナー
內	内面
雷	レイ
管理	経営
管理	マネジメント
管理	マネージメント
管理	管理
管理	管理
建	構築
性	性的
性	性別
性	セックス
代表	代理人
那	それから
公里	キロメートル
公里	キロメートル
公里	kms
公里	キロ
公里	キロメートル
海	sea
海	大洋
這	この
這	これ
大學	大学
大學	大学
大學	カレッジ
大學	大学
版	edition
版	エディション
版	バージョン
從	から
原	オリジナル
工作	職業
工作	仕事
工作	ジョブ
工作	作業
工作	仕事
工作	ワーク
工作	ジョブ
工作	求人
工作	働く
工作	作業
北	キタ
北	ノース
政治	政治
星	スター
星	恒星
星	star
星	stars
星	スターズ
她	彼女
陳	チャン
他的	his
面	ヌードル
面	麺類
作品	ワークス
作品	作品
河	河川
文化	文化
文化	カルチャー
條目	エントリー
條目	項目
條目	エントリ
馬	ウマ
馬	ウマ
氏	氏族
氏	thi
更	もっと
曼	マン
電影	映画
電影	ムービー
電影	映画
電影	シネマ
電影	映画
電影	フィルム
電影	映画
季	季節
季	シーズン
季	季節
季	シーズン
龍	ドラゴンズ
龍	ドラゴン
龍	ドラゴン
女	女性
女	女性
正式	フォーマル
美	美しい
美	ビューティフル
美	美容
字	ワード
字	言葉
字	単語
字	word
字	言葉
字	単語
因為	なぜなら
因為	だって
北京	北京市
北京	北京
北京	北京
不同	異なる
足球	サッカー
足球	フットボール
目前	現在
目前	現在
所有	all
所有	すべて
部分	一部
中央	中央
中央	セントラル
森	セン
郡	カウンティ
國家	国名
國家	カントリー
國家	都道府県
國家	状態
國家	国民
國家	ナショナル
國家	国々
球	ボール
生	raw
但是	でも
但是	しかし
街	ストリート
街	通り
城市	シティ
城市	都市
城市	都市
一些	いくつか
一些	一部
一些	いくらか
長	長い
長	ロング
水	ウォーター
人物	文字
人物	性格
人物	キャラクター
軍	アーミー
軍	軍隊
軍	陸軍
加入	参加
上海	上海市
上海	上海
第三	番目
第三	サード
魚	魚類
魚	フィッシュ
波	波動
波	ウェーブ
回	戻る
回	後ろ
回	背中
回	裏側
無	なし
吉	kat
你	あなた
話	方言
東	イースト
東	東部
英國	イギリス
周	週間
周	週間
周	チャウ
周	チャウチャウ
石	ストーン
事件	イベント
事件	行事
事件	イベント
事件	行事
建立	創造
建立	作成
建立	設立
建立	構築
生活	リビング
生活	living
生活	生活
生活	生命
生活	人生
生活	ライフ
派	パイ
教育	教育
教育	学歴
車站	ステーション
之後	アフター
萬	wan
國際	インターナショナル
國際	国際
獎	受賞
獎	表彰
獎	受賞
獎	表彰
完成	終了
完成	終了
完成	フィニッシュ
完成	コンプリート
完成	完備
白	白い
白	ホワイト
音樂	ミュージック
音樂	音楽
音樂	ミュージカル
沙	シャア
沙	砂塵
沙	シャー
可能	可能性
分布	分布
分布	流通
分布	配当
分布	分散
地區	地区
地區	ディストリクト
地區	面積
地區	領域
地區	エリア
車	自動車
車	クルマ
車	カーズ
官	役員
官	巡査
梅	メイ
梅	五月
中文	中国語
中文	中国人
自由	freedom
自由	自由
自由	リバティ
自由	自由
自由	フリー
自由	無料
自由	自由
黃	ウォン
黃	イエロー
黃	黄色
獲得	ゲット
獲得	get
光	軽い
光	明るい
光	ライト
光	ひかり
重要	重要
工程	工学
工程	エンジニアリング
工程	ワークス
工程	作品
港	港湾
港	ポート
港	ハーバー
列	カラム
最後	最終
最後	ラスト
最後	最後
提交	提出
提交	送信
提交	提出
經	経典
需要	ニーズ
需要	ニーズ
江	河川
臺灣	中華民国
臺灣	台湾
最佳	最適
這個	この
這個	これ
泰	タイ
地方	place
地方	場所
地方	スポット
地方	場所
地方	スポット
系列	シリーズ
電視	テレビ
登	トウ
黑	ダーク
黑	暗い
黑	黒い
黑	ブラック
花	ハナ
花	お花
花	flower
花	フラワー
神	ゴッド
遊戲	ゲーム
遊戲	ゲーム
清	清国
最高	top
最高	上部
最高	トップ
最高	supreme
要求	要件
要求	要件
要求	要求
要求	請求
要求	リクエスト
要求	需要
要求	催告
要求	リクエスト
讓	ジャン
讓	ジーン
讓	let
讓	レット
版本	バージョン
版本	エディション
版本	バージョン
發現	発見
發現	ディスカバリー
發現	発見
語	言語
只有	のみ
內容	コンテンツ
內容	内容
最大	マックス
最大	max
華	ワウ
製作	製作
製作	生産
製作	プロダクション
出生	誕生
航空	航空
航空	エアロ
航空	空気
航空	航空
航空	エア
數	カウント
數	カウント
數	番号
數	数値
數	ナンバー
出版	出版
出版	パブリッシング
出版	出版物
出版	出版
出版	公表
發展	発達
發展	開発
成功	成功
成功	サクセス
成功	成功
面積	面積
面積	領域
面積	エリア
堡	フォート
堡	要塞
系統	システム
系統	システム
系統	システムズ
蘭	lan
劉	ラウ
班	分隊
冠軍	チャンプ
冠軍	チャンピオン
冠軍	チャンピオンズ
冠軍	チャンピオン
問題	問題
問題	質問
問題	疑問
問題	質問
康	カン
福	福岡空港
海拔	高度
島	アイル
方式	方法
方式	メソッド
率	レート
率	評価
名稱	名前
名稱	氏名
名稱	名称
名稱	名前
名稱	名称
愛	ラヴ
愛	ラブ
得到	ゲット
得到	get
平	フラット
平	ping
印度	インド
街道	ストリート
街道	通り
街道	ストリート
存在	存在
刪除	削除
刪除	削除
刪除	削除
刪除	削除
刪除	取り除く
刪除	削除
設計	デザイン
設計	デザイン
設計	設計
設計	意匠
設計	デザイン
發行	発行
發行	発令
發行	交付
卡特	カーター
群	集団
群	グループ
命名	命名
命名	呼称
服務	サービス
服務	サーブ
服務	サービス
機	マシン
機	マシーン
機	機械
任何	any
列表	リスト
唐	ドン
西班牙	スペイン
頁	ページ
兩	二つ
兩	二人
當	いつ
當	とき
超	ultra
超	ウルトラ
超	スーパー
以上	上の
以上	上記
聖	セイント
聖	聖人
志	chi
已經	すでに
已經	既に
梁	ビーム
梁	リャン
專輯	アルバム
專輯	アルバム
角色	文字
角色	性格
角色	キャラクター
角色	役割
角色	文字
角色	キャラクター
角色	役割
武	たけし
半	半分
半	ハーフ
成員	メンバ
成員	会員
成員	メンバー
成員	メンバー
成員	メンバ
東京	東京
新聞	news
新聞	ニュース
現在	now
現在	ナウ
劇	ドラマ
後來	後で
女性	女性
女性	女性
高度	高度
高度	身長
說	say
說	セイ
男	男性
男	オス
之前	以前
合作	コラボレーション
合作	コラボ
合作	協力
門	ゲート
門	ドア
門	ドア
位置	位置
位置	ポジション
位置	役職
位置	所在地
位置	ロケーション
位置	場所
活動	アクティビティ
活動	活動
活動	イベント
活動	行事
活動	イベント
活動	行事
活動	アクティビティ
只	のみ
歷史	履歴
歷史	由緒
歷史	歴史
歷史	沿革
歌曲	ソング
歌曲	歌曲
歌曲	ソング
點	ドット
點	ドット
點	dot
點	ポイント
一次	一度
植物	植物
植物	プラント
植物	植物
封	アザラシ
封	封印
封	印章
封	シール
封	押印
皮	レザー
皮	皮革
而且	そして
通常	通常
通常	通常
形成	フォーメーション
比賽	ゲーム
比賽	人種
比賽	競走
比賽	レース
比賽	コンテスト
聯賽	リーグ
九	nine
學校	学校
學校	流派
學校	学校
學校	スクール
信	手紙
信	手紙
信	letter
信	レター
期間	期間
期間	ピリオド
接受	承諾
接受	受入れ
接受	承認
接受	受付
接受	受け入れ
接受	受け入れる
接受	承認
書	書物
書	ブック
書	書物
書	帳簿
書	書籍
交通	輸送
交通	交通
交通	トラフィック
交通	交通
交通	輸送
交通	交通
木	木造
木	木製
木	木材
木	木製
木	ウッド
討論	ディスカッション
討論	話し合う
討論	ディスカッション
故事	記事
故事	ストーリー
故事	物語
故事	記事
故事	ストーリー
直接	ダイレクト
直接	直接
參與	婚約
參與	関与
參與	関与
參與	参加
朗	lang
朗	ラング
根	root
根	ルート
根	ルーツ
保留	予約
保留	留保
保留	予約
希望	ホープ
希望	希望
手	ハンド
手	両手
心	心臓
心	ハート
心	hearts
心	ハーツ
巴士	バス
巴士	バス
播放	放送
播放	配信
播放	ブロードキャスト
播放	遊ぶ
播放	プレイ
播放	遊び
播放	再生
音	子音
音	トーン
增加	増加
增加	増額
增加	増やす
增加	増加
角	コーナー
角	角度
角	アングル
角	ケープ
角	ポイント
天文台	天文台
耶	わーい
這些	これらの
這些	これら
丹	ダン
丹	dan
太	too
徐	seo
徐	ツイ
永	ウイング
歌	ソング
歌	歌曲
歌	ソング
美元	ドル
美元	ドル
美元	yen
圖	ダイアグラム
圖	グラフ
圖	チャート
圖	フィギュア
投票	投票
投票	投票
投票	アンケート
灣	入り江
灣	コーブ
灣	入り江
民主	民主主義
寺	テンプル
寺	寺院
寺	神殿
雖然	だけれども
參加	出席
特別	スペシャル
控制	コントロール
控制	コントロール
戰	バトル
戰	戦闘
戰	戦い
戰	戦争
電視台	テレビ
以下	以下
然而	しかしながら
然而	yet
七	seven
七	セブン
仁	jin
仁	ジン
仁	ジェン
委員會	手数料
委員會	コミッション
委員會	委嘱
編輯	編集
編輯	編集
編輯	エディタ
編輯	エディター
資料	データ
隆	タカシ
隆	たかし
隆	リュウ
青	清国
播出	放送
播出	配信
播出	ブロードキャスト
路線	路線
路線	ルート
路線	経路
路線	ルート
倫	lun
年度	イヤー
宋	歌曲
宋	ソング
附近	付近
附近	近く
歌手	シンガー
店	ショップ
店	店舗
店	ストア
組織	団体
組織	組織
組織	組織
組織	ティッシュ
組織	師団
組織	ディビジョン
分類	分類
分類	分類
教授	教授
盃	カップ
盃	コップ
盃	cup
源	ソース
源	出典
八	eight
八	エイト
法國	フランス
文字	テキスト
民族	国籍
主席	大統領
主席	プレジデント
主席	社長
主席	会長
主席	議長
主席	会長
主席	議長
不過	でも
不過	しかし
文物	アーティファクト
文物	遺物
老	古い
老	オールド
女子	女性
選	ピック
世紀	世紀
世紀	センチュリー
鐵	アイロン
德國	ドイツ
票	切符
票	チケット
票	切符
票	チケット
動畫	アニメ
打	ファイト
關係	リレーションシップ
關係	交際
關係	関係
關係	リレーション
關係	関係
關係	リレーションシップ
關係	交際
能力	定員
能力	容量
能力	能力
佛	ブッダ
佛	仏陀
少	少ない
少	少ない
網站	ウェブサイト
網站	サイト
網站	敷地
網站	ウェブサイト
模板	テンプレート
模板	テンプレート
頭	head
頭	ヘッド
頭	頭部
個人	パーソナル
個人	個人
個人	個人
個人	個別
擁有	占有
擁有	所持
擁有	所有
學生	生徒
學生	学生
學生	生徒
學生	学生
鎮	タウン
南部	サザン
南部	南部
南部	サウス
語言	言語
語言	言語
模式	モード
模式	パターン
模式	パターン
模式	モード
相關	関連
相關	関連
決定	決める
決定	決断
決定	決定
決定	決定
楊	ヤン
方向	方向
方向	道順
方向	方向
方向	方向
方向	向き
方向	オリエンテーション
方法	方法
方法	メソッド
方法	メソッド
