annie	eni
kalauz	vodič
kalauz	dirigent
kalauz	provodnik
vasutak	željeznice
vasutak	željeznica
vizsgált	testirali
vizsgált	ispitana
vizsgált	ispitao
vizsgált	istraživala
vizsgált	istragom
vizsgált	istraga
tölgy	hrast
tojás	jaja
tojás	jaje
létesítmény	instalacija
létesítmény	instalaciju
létesítmény	objekat
létesítmény	osnivanje
megszállt	okupirale
megszállt	okupirana
megszállt	okupirali
megszállt	okupirala
klorid	hlorid
mialatt	dok
fix	popravi
fix	fiksni
homok	pesak
homok	pijeska
csók	ljubi
csók	ljubim
csók	ljubi
csók	poljubac
csók	kiss
veszteségeket	gubitke
veszteségeket	gubici
spontán	spontano
spontán	spontano
derby	derbi
evolúció	evolucija
szurkolók	navijači
szurkolók	navijača
üzemeltető	operatora
üzemeltető	operater
conrad	conrad
conrad	konrad
analízis	analiza
mongólia	mongolija
luna	luna
privát	privatno
privát	privatne
privát	privatni
privát	privatna
kezdetek	počevši
kezdetek	početak
kezdetek	počeci
bizonyítani	dokazuju
bizonyítani	dokaže
bizonyítani	dokazati
bizonyítani	dokazali
bizonyítani	dokazuju
főnök	načelnik
főnök	glavni
főnök	šef
főnök	boss
főnök	šef
szülő	roditelja
szülő	roditelj
harvey	harvey
áruház	radnja
áruház	prodavnica
áruház	store
jackie	džeki
jackie	jackie
atlanta	atlanta
koordináta	koordinaciju
koordináta	koordinate
claudius	claudius
átadott	prebačen
átadott	prebačena
csillagkapu	stargate
potenciális	potencijal
lambert	lambert
horror	horor
szaxofon	saksofon
utasok	putnici
utasok	putnika
utasok	putnike
utasok	putnici
teológia	teologije
eltávolították	uklonjena
hamburger	burger
szál	vlakana
szál	threads
szál	nit
centrum	centrum
centrum	centar
fát	drva
fát	drvo
hatásai	uticaji
hatásai	efekti
keserű	gorki
bűncselekmény	kriminal
kutatói	istraživač
kutatói	istraživači
lennon	lennon
broadway	broadwayu
bomba	bomba
bomba	bombe
tudatosan	svjesno
pérez	pérez
abraham	ibrahim
abraham	abraham
abraham	ibrahima
felszerelve	zadovoljavalo
felszerelve	opremljen
felszerelve	opremljena
felszerelve	opremljeni
ibc	ibc
madagaszkár	madagaskar
gene	gen
oslo	oslo
robbanás	eksplozija
krakkó	krakov
krakkó	kraków
diploma	stepenu
diploma	stepen
diploma	stepena
egyetértés	sporazum
egyetértés	shvatanje
egyetértés	razumijevanje
egyetértés	konsenzus
belseje	enterijera
megoldások	rješenja
hetes	sedam
következményei	posljedice
következményei	posledica
lucia	lucije
lucia	lucija
lucia	lucia
boszorkány	vještica
fészek	gnijezdo
ars	ars
pat	pat
propaganda	propaganda
szocializmus	socijalizam
botrány	skandal
webber	veber
szilveszter	sylvester
santo	santo
joel	joel
janeiro	janeiro
ipa	ipa
gót	goth
végrehajtási	sprovođenje
végrehajtási	provođenje
végrehajtási	provedbi
asszisztensek	pomoćnici
düsseldorf	düsseldorf
termelt	proizveo
termelt	proizvela
csarnok	vijećnica
csarnok	dvorana
csarnok	hall
spider	pauk
