kategória	kategori
roku	aars
roku	året
roku	år
ako	hvordan
ako	gerne
ako	like
bol	bol
bol	var
bol	blev
bol	blevet
bol	været
pozri	se
pozri	kig
pozri	se
obce	kommuner
obce	kommunerne
obce	kommuner
obce	kommunerne
obce	landsbyer
obce	landsbyerne
mba	mba
obyvateľov	indbyggerne
obyvateľov	indbyggere
obyvateľov	beboere
obyvateľov	fastboende
obyvateľov	bosiddende
obyvateľov	residenter
obyvateľov	indbyggere
obyvateľov	beboere
obec	kommune
obec	kollektiv
obec	kommune
obec	kommunen
obec	kommun
obec	village
obec	landsbyen
obec	landsby
pre	til
pre	for
jeho	hans
jeho	dens
jeho	dets
jeho	its
ktorá	hvilket
ktorá	hvilken
ktorá	hvilke
bod	punkt
bod	peg
bod	point
pri	pri
bola	var
bola	blev
bola	blevet
bola	været
ktoré	hvilket
ktoré	hvilken
ktoré	hvilke
ktorý	hvilket
ktorý	hvilken
ktorý	hvilke
zoznam	liste
zoznam	list
odkazy	henvisninger
odkazy	referencer
odkazy	link
odkazy	links
socorro	socorro
ale	men
iné	andre
iné	andet
iné	andre
the	de
the	den
počet	tal
počet	antal
počet	nummer
boli	var
podľa	under
miesto	plet
miesto	spot
miesto	stedet
miesto	place
miesto	sted
miesto	plads
miesto	lokalisering
miesto	beliggenhed
miesto	sted
miesto	placering
miesto	lokation
miesto	mødested
miesto	site
bolo	var
bolo	blev
obcí	kommuner
obcí	kommunerne
obcí	kommuner
obcí	kommunerne
obci	kommune
obci	kollektiv
jej	dens
jej	dets
jej	its
jej	hende
jej	hendes
ich	deres
ich	them
ich	dem
ich	ich
medzi	mellem
medzi	imellem
projekty	projekter
projekty	projekterne
team	holdet
team	hold
team	teamet
team	team
francúzska	fransk
francúzska	franskmænd
francúzska	franskmand
francúzska	french
francúzska	franske
francúzska	frankrig
francúzska	france
najvyšší	supreme
najvyšší	højest
najvyšší	højeste
však	dog
však	imidlertid
pod	nedenfor
pod	under
pod	nedenunder
pod	bælg
pod	under
pred	pre
pred	præ
pred	inden
pred	før
vývoj	udviklingen
vývoj	udvikling
vývoj	evolution
vývoj	udviklingen
vývoj	udvikling
vývoj	udviklinger
vývoj	udviklingen
graf	diagram
graf	figur
graf	graf
graf	diagram
graf	figur
najnižší	lavest
najnižší	laveste
kde	kde
kde	hvor
môže	may
môže	maj
môže	kan
môže	kan
môže	can
nasledujúci	følger
nasledujúci	næste
zobrazuje	skærme
zobrazuje	viser
zobrazuje	viser
zobrazuje	shows
keď	da
keď	når
keď	hvornår
len	kun
len	bare
mesto	town
mesto	byen
mesto	by
mesto	city
mesto	byen
mesto	storby
mesto	by
tiež	også
usa	usa
rokov	år
nie	ikke
nie	not
nie	ej
september	september
úmrtia	death
úmrtia	død
úmrtia	døden
úmrtia	dødsfald
úmrtia	trafikdræbte
úmrtia	dødsfald
úmrtia	dødsfald
neskôr	senere
slovenský	slovakisk
slovenský	slovakiske
slovenský	slovakisk
slovenský	slovakiske
aby	lav
aby	foretag
aby	lave
storočia	århundreder
storočia	århundrede
storočia	århundrede
nad	nad
nad	ovenfor
nad	over
nad	ovenover
nad	ovenstående
utc	utc
jpg	jpg
časti	reservedele
časti	dele
stránka	siden
stránka	side
stránka	page
stránka	site
skupiny	gruppe
skupiny	group
skupiny	gruppen
skupiny	grupper
skupiny	grupperne
html	html
roka	aars
roka	året
roka	år
ktorú	hvilket
ktorú	hvilken
ktorú	hvilke
časť	afdeling
časť	sektion
časť	afsnittet
časť	afsnit
časť	del
ngc	ngc
október	oktober
október	olt
mesta	town
mesta	byen
mesta	by
mesta	city
mesta	byen
mesta	storby
mesta	by
marec	marts
marec	march
marec	marchere
august	august
august	aug
skupina	gruppe
skupina	group
skupina	gruppen
veľmi	meget
potom	derefter
potom	så
oficiálna	officielt
oficiálna	embedsmand
oficiálna	tjenestemand
oficiálna	officiel
narodenia	fødsler
narodenia	fødsel
narodenia	fødslen
tento	dette
tento	denne
osobnosti	personligheder
osobnosti	personlighed
bratislava	bratislava
november	november
november	nov
december	december
december	dec
stal	blev
iba	kun
iba	bare
roky	år
oblasti	areal
oblasti	område
oblasti	områder
oblasti	arealer
január	januar
súbor	file
súbor	filen
súbor	fil
mal	havde
mal	haft
mal	mal
proti	imod
proti	mod
apríl	apr
apríl	april
sveta	world
sveta	verden
bez	uden
najmä	hovedsageligt
najmä	primært
najmä	hovedsagelig
najmä	specielt
najmä	især
viac	mere
viac	flere
február	februar
február	feb
náhľad	forhåndsvisning
mužov	mændene
mužov	mænd
názov	betegnelse
názov	pålydende
názov	benævnelse
názov	betegnelse
názov	navn
názov	betegnelse
názov	overskrift
názov	titel
názov	afsnit
okolo	omkring
ešte	endnu
ešte	alligevel
prvý	første
prvý	først
text	tekst
text	sms
text	teksten
máj	may
máj	maj
máj	kan
slovenskej	slovakisk
slovenskej	slovakiske
spolu	samlet
spolu	sammen
preto	derfor
preto	deraf
preto	derfor
tom	tom
majstrovstvá	mesterskabet
majstrovstvá	mesterskab
majstrovstvá	championship
majstrovstvá	biathlon
saint	sankt
saint	helgen
saint	saint
okrem	undtagen
bar	bar
americký	amerikaner
americký	american
americký	amerikanske
americký	amerikansk
júl	juli
cez	gennem
cez	via
cez	gennem
cez	igennem
asi	formentlig
asi	sikkert
asi	formodentlig
asi	sandsynligvis
asi	gætter
asi	gæt
jeden	et
jeden	en
jeden	én
objavil	opdagede
objavil	opdaget
vojny	krigen
vojny	krig
vojny	war
vojny	krige
vojny	krigene
vojny	krige
vojny	wars
rok	aars
rok	året
rok	år
ulica	gade
ulica	street
