분류	loại
선수	player
바깥	ngoài
고리	nhẫn
영화	phim
영화	phim
영화	phim
영화	film
영화	phim
다른	khác
같은	cùng
함께	với
함께	bằng
또한	cũng
사람	người
사람	người
사람	man
사람	người
배우	diễn
일본	japan
일본	nhật
그리고	và
미국	kỳ
미국	mỹ
미국	usa
그러나	nhưng
그의	ngành
보기	xem
보기	xem
보기	view
파일	tệp
파일	tệp
파일	file
많은	nhiều
올림픽	olympic
올림픽	olympics
다시	lại
출신	khỏi
출신	từ
리그	league
통해	qua
모두	hết
클럽	club
클럽	clb
방송	phát
세계	giới
세계	worlds
하지만	nhưng
게임	gaming
게임	game
게임	chơi
텔레비전	tv
텔레비전	tivi
감독	trương
웹사이트	website
관련	related
시즌	mùa
시즌	season
시즌	mùa
시즌	seasons
드라마	drama
드라마	kịch
학교	trường
학교	trường
학교	học
사용자	dùng
참고	note
기준	criterion
참가	tooltip
연도	năm
경기	game
경기	chơi
서울	hé
서울	seoul
위키백과	wikipedia
문서	liệu
그림	ảnh
그림	nh
그림	hình
그림	ảnh
매우	cực
매우	rất
지역	loạt
지역	vực
지역	vùng
지역	loạt
지역	tần
지역	vùng
지역	vùng
목록	kê
목록	list
목록	danh
한국	hàn
한국	korea
한국	hàn
많이	nhiều
도시	phố
도시	phố
도시	by
음악	nhạc
프랑스	pháp
프랑스	pháp
도쿄	tokyo
중국	china
년대	nineties
죽음	chết
전쟁	tranh
전쟁	chiến
전쟁	war
독일	đức
독일	đức
다음	kế
다음	tiếp
다음	kit
직업	nghiệp
직업	nghề
직업	nghề
직업	việc
직업	jobs
동안	phiêu
동안	mens
여자	nữ
한국어	hàn
자료	dữ
이름	tên
이름	tên
음반	album
음반	album
음반	albums
조선	chosun
일부	cầy
영국	british
학급	hạng
학급	lớp
야구	chày
프로그램	trắc
프로그램	chương
시간	tiếng
시간	giờ
시간	tiếng
시간	giờ
시간	gian
시간	thời
노선	rô
기타	guitar
기타	ghita
기타	khác
기타	khác
기타	thêm
애니메이션	anime
애니메이션	hoạt
구역	loạt
구역	vực
구역	vùng
로마	roman
로마	đế
로마	phòng
로마	rome
로마	roma
로마	roma
거의	sắp
거의	gần
거의	hầu
우승	winning
우승	thắng
수도	vốn
청소년	teens
가지	dập
남자	hãm
남자	người
남자	man
프로	pro
결과	quả
아들	trai
아들	nhi
아들	son
활동	hành
역시	trạm
역시	ga
이미	đã
국가	quốc
국가	bang
언어	ngữ
그룹	group
그룹	nhóm
그룹	nhóm
스포츠	sport
마지막	cuối
설명	caption
설명	tả
시대	era
가운데	giữa
가운데	giữa
가운데	trung
가운데	giữa
가운데	đọng
교통	tê
러시아	nga
직접	direct
직접	trực
정보	info
날짜	ngày
날짜	ngày
유럽	âu
싱글	singles
싱글	single
싱글	đơn
라디오	đài
라디오	radio
노래	ca
노래	hát
노래	hát
노래	hót
노래	song
이탈리아	italia
이탈리아	italy
차단	chặn
차단	chặn
차단	khối
차단	block
차단	chặn
처음	trước
처음	đầu
채널	kênh
채널	kênh
시리즈	series
고등학교	highschool
삭제	bỏ
삭제	bỏ
삭제	xóa
삭제	xóa
삭제	xoá
뉴욕	nyc
각각	mỗi
경력	nghiệp
항공	aviation
항공	airlines
항공	airline
항공	airways
항공	khí
항공	air
이전	trước
이전	trước
만든	chế
전투	battle
전투	trận
전투	combat
아버지	cha
대전	daejeon
어느	mà
지정	chất
변경	đổi
변경	thay
설치	tráo
기록	album
업데이트	update
앨범	album
앨범	album
앨범	albums
출연	nhê
데뷔	debut
데뷔	debuted
편집	sửa
최고	nhất
현대	hyundai
현대	contemporary
디지털	digital
비디오	video
비디오	video
비디오	videos
내용	dung
내용	dung
정부	gov
정부	phủ
보고	cáo
전에	trước
보통	thuồng
보통	thường
보통	thường
보통	chuẩn
보통	thường
어떻게	bao
기업	ty
기업	enterprise
링크	link
링크	xích
링크	links
지방	loạt
지방	tần
지방	vùng
지방	béo
지방	mập
지방	fat
교육	dạy
오사카	osaka
일반	generic
일반	tướng
일반	chung
교수	khoa
고려	koryo
고려	goryeo
외부	ngoài
그리스	grease
그리스	mỡ
그리스	greece
부산	pusan
부산	busan
사이트	website
사이트	site
사이트	sites
사용	dùng
사용	phơi
사용	đổi
초기	sớm
순위	standings
순위	rang
순위	rank
먼저	trước
먼저	đầu
발매	release
발매	nhả
항목	mục
항목	mục
항목	entry
항목	mục
항목	tố
인터넷	internet
그녀는	cổ
종교	đạo
전체	hết
전체	tổng
제국	empire
연구	học
연구	bê
과거	qua
과거	past
충청남도	chungcheongnam
연속	continuity
삼성	samsung
이란	iran
데이터	dữ
초대	mời
초대	mời
초대	mời
초대	mời
캘리포니아	california
여성	nữ
여성	nữ
여성	nữ
나라	quốc
나라	nara
아직	chưa
아직	vân
아직	thinh
추가	thêm
추가	add
