arsenal	οπλοστάσιο
seikkailu	περιπέτεια
palmer	πάλμερ
käymään	επισκεφθείτε
käymään	επίσκεψη
bafta	bafta
linkkiä	σύνδεσμο
linkkiä	σύνδεσμος
linkkiä	λινκ
linkkiä	δεσμός
linkkiä	link
linkkiä	σύνδεση
joachim	joachim
gloria	γκλόρια
gloria	gloria
asp	asp
silmä	μάτι
silmä	ματι
silmä	οφθαλμός
silmä	eye
kane	κέιν
karibian	καραϊβικής
karibian	καραϊβική
kokemus	εμπειρία
kokemus	πείρα
katto	ταβάνι
katto	οροφής
katto	οροφή
katto	σκεπή
katto	στέγη
katto	οροφή
katto	ταράτσα
huomattavaa	αξιοσημείωτα
huomattavaa	αξιοσημείωτο
huomattavaa	αξιοσημείωτη
haltija	φύλακας
haltija	φύλακα
haltija	χόλντερ
haltija	κάτοχος
kerttu	γκρέτελ
kirjaimet	γράμματα
kirjaimet	επιστολές
kirjaimet	γραμματα
kysymyksen	ερώτηση
kysymyksen	ερώτημα
maila	νυχτερίδα
maila	ρόπαλο
maila	μπατ
madison	μάντισον
maastossa	έδαφος
riippumaton	ανεξάρτητοι
riippumaton	ανεξάρτητο
riippumaton	ανεξάρτητος
riippumaton	ανεξάρτητη
riippumaton	ανεξάρτητες
asemat	θέσεις
asemat	θεσεις
asemat	σταθμούς
asemat	σταθμοί
taiteilijoita	καλλιτέχνες
pysähtyi	σταμάτησε
pysähtyi	σταμάτησα
nalle	αρκουδάκι
nalle	αρκούδα
nalle	αρκούδος
irma	ίρμα
laukaisu	εκτόξευση
kenian	κένυα
valvoo	επιβλέπει
valvoo	οθόνες
wim	wim
vastuu	ευθύνη
vastuu	παθητικό
vastuu	υποχρέωση
vastuu	αρμοδιότητες
vastuu	ευθύνες
vastuu	ευθύνη
vastuu	υπευθυνότητα
varaa	βιβλιο
varaa	βιβλίο
varaa	απόθεμα
varaa	ρεζέρβα
varaa	αποθεματικό
lane	lane
lane	λέιν
lane	λωρίδα
vaunun	τρόλεϊ
vaunun	βαγόνι
vaunun	άμαξα
