और	ja
से	alkaen
से	from
है	hai
एक	yks
एक	yksi
एक	yhden
एक	one
श्रेणी	kategoria
श्रेणी	luokan
श्रेणी	luokka
श्रेणी	sarja
श्रेणी	sarjat
श्रेणी	luokat
भी	edes
भी	jopa
भी	lisäksi
भी	myöskin
भी	myös
भी	liian
भी	too
यह	tämän
यह	tätä
यह	tästä
यह	tämä
किया	teki
किया	tehty
किया	done
इस	tämän
इस	tätä
इस	tästä
इस	tämä
हैं	ovat
हैं	ovatko
कि	tuo
कि	että
भारत	intian
भारत	intia
भारत	intiaan
जो	joen
जो	joe
जो	kuka
जो	ketä
जो	who
जो	joka
ही	hee
रूप	muodosta
रूप	muoto
रूप	muodossa
रूप	lomake
रूप	ulkonäkö
रूप	ulkonäön
रूप	ulkoasu
कर	veroja
कर	verotus
कर	vero
कर	verot
कर	veroja
कर	verot
नहीं	ei
गया	meni
साथ	mukaan
साथ	mukana
साथ	with
साथ	kanssa
साथ	kimpassa
साथ	yhdessä
पूर्व	itä
पूर्व	itään
पूर्व	itäinen
पूर्व	entinen
पूर्व	entiset
होता	olisi
बाद	myöhemmin
बाद	myöhempi
बाद	jälkeen
बाद	after
तक	kunnes
तक	till
तक	kunnes
तक	tak
अपने	omista
अपने	oman
अपने	oma
अपने	omat
अपने	sinun
जिले	alueet
जिले	piirit
था	oli
था	oli
था	oliko
राज्य	valtioiden
राज्य	valtiot
राज्य	osavaltiot
राज्य	osavaltio
राज्य	valtion
राज्य	valtio
बाहरी	ulompi
बाहरी	ulkoisen
बाहरी	ulkoinen
बाहरी	ulkoiset
बाहरी	ulkopuolinen
बाहरी	ulkona
कुछ	osa
कुछ	joitakin
कुछ	jotkut
कुछ	jotakin
कुछ	jotain
ईसा	jeesus
गाँव	kylän
गाँव	kylä
गाँव	kylässä
गाँव	kyl
सरकार	valtio
सरकार	hallitus
सरकार	hallituksen
कड़ियाँ	kahleet
कड़ियाँ	ketjut
कड़ियाँ	linkit
कड़ियाँ	yhteydet
कड़ियाँ	linkkejä
कड़ियाँ	linkkien
प्रदेश	alue
प्रदेश	alueen
इसके	sen
दिया	annettu
दिया	annetut
दिया	antanut
दिया	antoi
अन्य	muu
अन्य	muut
अन्य	muut
अन्य	toiset
अन्य	muita
वर्ष	vuotta
वर्ष	vuodet
वर्ष	vuosien
वर्ष	vuosia
वर्ष	vuoden
वर्ष	vuosi
वर्ष	vuonna
समय	ajoitus
समय	ajankohta
समय	aika
समय	ajan
समय	aikaa
नाम	nimi
नाम	nimeä
वे	ne
वे	he
प्रकार	tyyppi
प्रकार	kirjoita
प्रकार	tyypit
भारतीय	intian
भारतीय	intialainen
भारतीय	intiaani
भारतीय	intialaista
किसी	joku
किसी	jonkun
क्षेत्र	alue
क्षेत्र	alue
क्षेत्र	alueen
क्षेत्र	alueilla
क्षेत्र	alueet
अधिक	lisää
अधिक	enemmän
कई	monet
कई	monia
कई	monta
कई	moni
कई	useita
कई	useat
स्थित	sijaitsee
मण्डल	vyöhyke
मण्डल	alue
आधिकारिक	virkamies
आधिकारिक	viralliset
आधिकारिक	virallinen
कारण	syyt
कारण	syitä
कारण	järki
कारण	syy
कारण	syyn
कारण	syy
कारण	aiheuttaa
कारण	koska
कारण	aatteen
कारण	aiheuttaa
कारण	syyt
कारण	syitä
होने	olemisen
होने	oleminen
जैसे	tykkää
जैसे	kuten
जैसे	kuin
करता	tekee
उनके	heidän
उनके	niiden
सबसे	eniten
सबसे	useimmat
सबसे	useimmilla
सबसे	useimpia
हिन्दी	hindiä
बहुत	hyvin
बहुत	erittäin
पहले	ennen
पहले	aikaisempi
पहले	aikaisemmin
पहले	aiempi
पहले	aiemmin
पहले	ensin
पहले	ensimmäinen
पहले	eka
पहले	ensiksi
अपनी	omista
अपनी	oman
अपनी	oma
अपनी	omat
दो	kaksi
दो	kaks
जिला	piiri
जिला	piirikunta
जब	kun
जब	milloin
उन्होंने	ne
उन्होंने	he
उन्होंने	egyptiläiset
जन्म	syntynyt
जन्म	syntyneet
जन्म	syntyi
जन्म	synnytys
जन्म	synty
जन्म	syntymä
इन	majatalo
लेकिन	mutta
ये	tämän
ये	tätä
ये	tästä
ये	tämä
ये	nämä
ये	näitä
कम	matala
कम	matalalla
कम	vähä
कम	alhainen
कम	vähemmän
कम	vähemmän
कहा	sanoi
लोग	ihmiset
लोग	ihmisiä
लोग	henkilöt
आदि	jne
आदि	lisää
आदि	enemmän
आदि	adi
उसके	hänen
उसके	hänen
प्राचीन	alkukantainen
प्राचीन	muinainen
प्राचीन	muinaiset
प्राचीन	antiikin
प्राचीन	ikivanha
देखें	kello
देखें	katso
देखें	nää
देखें	katso
देखें	näkymä
देखें	view
देखें	näytä
देखें	mieltä
उत्तर	vastaa
उत्तर	vastaus
उत्तर	vastata
उत्तर	pohjoinen
उत्तर	pohjoiseen
उत्तर	pohjois
उत्तर	vastauksia
उत्तर	vastaukset
भाषा	kieliä
भाषा	kielet
भाषा	kieli
भाषा	kielet
लिये	varten
सभी	kaikille
सभी	kaikki
प्राप्त	saadut
प्राप्त	saatu
प्राप्त	vastaanotettu
प्राप्त	saadut
प्राप्त	saanut
प्राप्त	saatu
इसका	sen
प्रयोग	kokeita
प्रयोग	kokeiluja
प्रयोग	kokeet
प्रयोग	käyttö
प्रयोग	koe
प्रयोग	kokeilu
शामिल	osallisena
शामिल	osallistunut
शामिल	sisältää
शामिल	sisällytetty
शामिल	sisältyy
उस	tuo
उस	että
स्थान	paikat
स्थान	paikkoja
स्थान	sijainnit
स्थान	paikassa
स्थान	paikka
स्थान	place
स्थान	sijainti
प्रमुख	päällikkö
प्रमुख	majuri
प्रमुख	major
प्रमुख	main
प्रमुख	pääasialliset
प्रमुख	pääasiallinen
प्रमुख	tärkein
प्रमुख	tärkeimmät
हुई	hui
बीच	rannan
बीच	ranta
बीच	beach
बीच	rantaa
बीच	beachin
बीच	keskus
बीच	keskelle
बीच	keskusta
बीच	center
गए	mennyt
गए	poissa
गए	meni
मुख्य	päällikkö
मुख्य	main
मुख्य	pääasialliset
मुख्य	pääasiallinen
मुख्य	tärkein
मुख्य	tärkeimmät
थी	oli
थी	oliko
बिहार	bihar
उसे	hänet
उसे	hänen
कार्य	tehtäviä
कार्य	tehtävien
कार्य	tehtävät
कार्य	työpaikka
कार्य	työ
कार्य	työtä
कार्य	työn
कार्य	työn
कार्य	työ
कार्य	työt
कार्य	työtä
कार्य	työpaikkoja
कार्य	työt
कार्य	työpaikat
कार्य	tehtävän
कार्य	tehtävä
उनकी	heidän
उनकी	niiden
आंध्र	andra
नगर	kaupunki
नगर	city
नगर	kaupunki
नगर	paikkakunta
उपयोग	käyttö
उपयोग	käyttää
उपयोग	käyttö
उपयोग	käytä
उपयोग	käytettävä
उपयोग	käyttää
उपयोग	käyttötarkoitukset
लोगों	ihmiset
लोगों	ihmisiä
लोगों	henkilöt
आधार	tukikohta
आधार	pohja
आधार	perusta
आधार	lähtökohta
आधार	perusta
काम	työn
काम	työ
काम	työt
काम	työtä
जीवन	life
जीवन	elämää
जीवन	elämän
जीवन	elämä
विश्व	maailmassa
विश्व	maailma
विश्व	maailmaa
विश्व	maailman
विश्व	world
विश्व	maailmaan
भाग	jaksot
भाग	osa
भाग	osaa
भाग	osittain
भाग	osat
भाग	osia
निर्माण	luominen
निर्माण	perustaminen
निर्माण	luonti
निर्माण	rakentaminen
निर्माण	rakentaa
निर्माण	rakenna
निर्माण	valmistus
गई	meni
दोनों	molemmat
दोनों	molempia
दोनों	kumpikin
राष्ट्रीय	kansallinen
राष्ट्रीय	kansalliset
राष्ट्रीय	kansallisten
जानकारी	info
जानकारी	tiedot
जानकारी	tietoja
जानकारी	tiedot
जानकारी	tiedotus
जानकारी	tietoa
जानकारी	tietoja
जानकारी	tiedottaminen
पोर्टल	portaalin
पोर्टल	portaali
पोर्टल	portti
शहर	keskusta
शहर	keskustaan
शहर	keskustassa
शहर	keskustan
शहर	city
शहर	kaupunki
शहर	paikkakunta
शहर	kaupunkeja
शहर	kaupunkien
शहर	kaupungit
बार	tangot
बार	baareissa
बार	baarit
बार	baareja
बार	baariin
बार	baarissa
बार	baari
बार	baarin
बार	aikoja
बार	ajat
बार	kertaa
बार	times
वाली	wali
लगभग	lähes
लगभग	melkein
लगभग	suunnilleen
फिल्म	elokuvan
फिल्म	elokuva
फिल्म	leffa
फिल्म	elokuva
फिल्म	kalvo
फिल्म	filmi
यहाँ	täällä
यहाँ	tässä
प्रसिद्ध	kuuluisa
प्रसिद्ध	kuuluisia
प्रसिद्ध	kuuluisat
प्रसिद्ध	tunnettu
प्रसिद्ध	tunnettu
विकास	kehittäminen
विकास	kehitystä
विकास	kehitys
विकास	kasvu
विकास	kasvuun
विकास	kasvua
केवल	ainoastaan
केवल	vain
देश	maa
देश	valtio
देश	maata
देश	maan
देश	kansakunta
देश	maissa
देश	maat
देश	valtiot
देश	maiden
वेबसाइट	sivuston
वेबसाइट	sivusto
वेबसाइट	verkkosivusto
अलग	erotettu
अलग	erilaiset
अलग	erilainen
अलग	eri
अलग	erilaista
अलग	erikseen
अलग	erilliset
अलग	erillinen
विशेष	yksinomainen
विशेष	yksinoikeudella
विशेष	yksinoikeus
विशेष	erityiset
विशेष	erityinen
विशेष	erityistä
विशेष	special
विशेष	erikoinen
इसकी	sen
कभी	ikinä
कभी	koskaan
दी	annettu
दी	annetut
दी	antanut
दी	antoi
पृष्ठ	sivu
पृष्ठ	sivulla
पृष्ठ	sivujen
पृष्ठ	sivuja
पृष्ठ	sivut
माना	mana
माना	oletettavasti
शब्द	sanan
शब्द	sana
शब्द	sanoja
शब्द	sanat
फिर	sitten
तीन	kolme
पुरस्कार	palkitsee
पुरस्कार	palkkiot
पुरस्कार	palkinnot
पुरस्कार	palkintoa
पुरस्कार	palkinto
पुरस्कार	palkinnon
पुरस्कार	palkintoa
पुरस्कार	palkinto
पुरस्कार	palkintoja
पुरस्कार	palkinnot
पुरस्कार	palkintoja
पुरस्कार	palkinnot
पुरस्कार	palkkion
पुरस्कार	palkinto
पुरस्कार	palkkiota
पुरस्कार	palkkio
लेख	artikkelit
लेख	artikkeleita
लेख	artiklat
लेख	momentti
लेख	artikkeli
लेख	artikla
अब	nyt
दौरान	aikana
अमेरिका	america
अमेरिका	amerikan
अमेरिका	amerikka
मंदिर	temppeli
मंदिर	temple
अलावा	lisäystä
अलावा	lisäys
वार्ता	puhuu
दक्षिण	etelä
दक्षिण	etelään
विभिन्न	sekalaiset
विभिन्न	erilaiset
इतिहास	historia
इतिहास	historiaan
इतिहास	historiaa
इतिहास	historian
इतिहास	historiasta
लिया	vietiin
लिया	ottaa
लिया	viety
लिया	otettu
फ़िल्म	elokuvan
फ़िल्म	elokuva
फ़िल्म	leffa
फ़िल्म	elokuva
फ़िल्म	kalvo
फ़िल्म	filmi
क्योंकि	koska
पास	syöttö
पास	ohi
विस्तृत	yksityiskohtainen
विस्तृत	yksityiskohtaiset
विस्तृत	tyhjentävä
विस्तृत	kehittynyt
विस्तृत	edistynyt
विस्तृत	kehittyneet
दिन	päivä
दिन	päivän
दिन	päivällä
दिन	päivisin
दिन	päiväsaikaan
दिन	päivien
दिन	päivää
दिन	päiviä
दिन	days
दिन	päivät
कृषि	maatalous
जाना	elinkelpoinen
शुरू	alkanut
शुरू	alkoi
शुरू	aloitti
शुरू	aloitettu
शुरू	aloita
व्यक्ति	ihminen
व्यक्ति	henkilö
व्यक्ति	henkilöä
व्यक्ति	yksittäiset
व्यक्ति	yksilö
व्यक्ति	yksittäisten
व्यक्ति	yksilöllinen
व्यक्ति	yksittäinen
उनका	heidän
उनका	niiden
विज्ञान	tieteen
विज्ञान	tiede
विज्ञान	tiedettä
सदस्य	jäsen
सदस्य	jäsenen
सदस्य	tilaaja
सदस्य	jäseniä
सदस्य	jäsenet
हालांकि	vaikka
हालांकि	tosin
हालांकि	vaikkakin
हालांकि	vaikka
हालांकि	tosin
हालांकि	vaik
सिंह	singh
सिंह	leo
अनेक	monet
अनेक	monia
अनेक	monta
अनेक	moni
अनेक	useita
अनेक	useat
अनेक	useita
अनेक	useat
यहां	täällä
यहां	tässä
संख्या	lukumäärä
संख्या	numero
संख्या	luku
संख्या	numerot
संख्या	numeroita
संख्या	numeroista
संख्या	luvut
अपना	omista
अपना	oman
अपना	oma
अपना	omat
अपना	sinun
बात	puhua
बात	puhu
बात	puhetta
साहित्य	kirjallisuus
साहित्य	kirjallisuuden
साहित्य	kirjallisuutta
शिक्षा	koulutus
दिल्ली	delhin
धर्म	uskontoa
धर्म	uskonto
धर्म	uskonnon
धर्म	uskontojen
धर्म	dharma
मूल	alkuperä
मूल	alkuperää
मूल	alkuperäisiä
मूल	alkuperäiset
मूल	alkuperäinen
मूल	alkuperäiset
मूल	perus
तब	sitten
बना	make
बना	tee
बना	tehdä
बना	tehdyt
बना	tehty
बना	valmistettu
बना	made
कोड	koodi
कोड	koodit
कोड	koodeja
संयुक्त	samanaikaista
संयुक्त	samanaikainen
संयुक्त	yhdistyneiden
संयुक्त	yhdistynyt
संयुक्त	yhdistyneet
संयुक्त	united
संयुक्त	yhtenäinen
