در	கதவு
رده	வகுப்பு
از	இருந்து
از	விட்டும்
از	அனுப்புநர்
از	முதல்
که	யார்
که	யாரால்
که	யாரென்று
که	அந்த
که	என்று
این	இந்த
این	இது
را	என்ற
را	செய்ய
با	குல
با	கொண்டு
با	இதனால்
با	உடன்
میلادی	பத்தாண்டு
یک	ஒன்று
یک	ஒன்றை
یک	ஒரு
سال	ஆண்டுகள்
سال	வருடங்கள்
سال	ஸல்
سال	சல்
سال	சால்
سال	ஆண்டு
سال	வருடம்
سال	வருடமும்
آن	அன்னே
ایران	ஈரான்
برای	இதற்கு
برای	க்கு
برای	இதற்காக
برای	க்காக
شهرستان	வட்டாரம்
آمریکا	அமெரிக்கா
فهرست	பட்டியல்
بود	இருந்தது
دارد	கொண்டுள்ளது
دارد	has
او	இவள்
او	அவளுக்கு
او	அவள்
او	தன்
او	அவருடைய
او	அவனது
او	அவரின்
او	அவரது
او	அவருக்கு
او	அவனுக்கு
او	அவர்
او	அவரை
او	அவனை
او	அவளை
او	அவர்
او	அவளின்
او	அவளது
او	அவரது
تا	மே
تا	அதுவரை
تا	வரை
تا	வரையில்
وابسته	பெயரடை
وابسته	தொடர்புடைய
فوتبال	சாக்கர்
فوتبال	கால்பந்து
ساعت	மணிநேரம்
ساعت	மணிகள்
ساعت	மணிநேரம்
ساعت	மணி
ساعت	கடிகாரம்
پایه	அடிப்படை
پایه	அடிப்படையில்
پایه	அறக்கட்டளை
پایه	பவுண்டேஷன்
پایه	அடித்தளம்
پایه	தளம்
پایه	பேஸ்
پایه	அடிப்படை
پایه	அடித்தளங்கள்
پایه	பேசிக்
پایه	அடிப்படை
نام	பெயர்
استان	மாகாணம்
استان	பிராந்தியம்
استان	மண்டலம்
استان	பகுதி
شهر	ஊர்
شهر	ஊருக்கு
شهر	டவுன்
شهر	நகரம்
شهر	சிட்டி
ملی	தேசிய
ملی	தேசியக்
کشور	நாடு
کشور	நாட்டின்
تاریخ	தேதி
تاریخ	சரித்திரம்
تاریخ	வரலாறு
فیلم	திரைப்படம்
فیلم	மூவி
فیلم	திரைப்படம்
فیلم	திரைப்படங்கள்
بخش	துறை
بخش	பிரிவு
بخش	மாவட்ட
بخش	மாவட்டம்
جمعیت	கூட்டம்
جمعیت	கூட்டமும்
جمعیت	கூட்டத்தை
جمعیت	மக்கள்தொகை
دو	இரண்டு
دو	இருவர்
اثر	விளைவு
اثر	எபெக்ட்
پس	பின்னர்
پس	அப்பொழுது
پس	பிறகு
پس	அப்போது
پس	பின்பு
یکی	யாரேனும்
یکی	யாரோ
یکی	ஒன்று
یکی	ஒன்றை
یکی	ஒரு
بازیکنان	விளையாடுபவர்
بازیکنان	போட்டியாளர்கள்
بازیکنان	விளையாடுபவர்கள்
بازیکنان	வீரர்கள்
آثار	விளைவுகள்
وی	வெய்யில்
وی	வெய்
وی	வீ
روستاهای	கிராமங்கள்
روستاهای	கிராமங்களை
دیگر	பலவற்றிற்கு
دیگر	அதிகம்
دیگر	மேலும்
دیگر	மற்றவை
دیگر	பிற
دیگر	வேறு
دیگر	மற்ற
دیگر	இன்னொரு
دیگر	மற்றொரு
دیگر	மற்றுமொரு
دیگر	மற்றவை
دیگر	மற்றவர்கள்
دیگر	பேர்
دیگر	பிறர்
دیگر	பிறரை
می	மே
عنوان	தலைப்பு
پیوند	இணைப்பை
پیوند	இணைப்பு
پیوند	இணைப்பைப்
پیوند	இணைக்கப்பட்டது
پیوند	இனைப்பு
پیش	முன்பு
پیش	முன்
پیش	முன்னர்
بحث	கலந்துரையாடலை
بحث	விவாதம்
بحث	கலந்துரையாடல்
بیرون	அவுட்
بیرون	வெளியில்
بیرون	வெளியே
افراد	மக்களே
افراد	நபர்கள்
افراد	மக்களின்
افراد	மக்கள்
دوره	படிப்பு
دوره	ஊழி
دوره	காலத்தில்
دوره	காலம்
دهه	பத்தாண்டுகளாக
دهه	பத்தாண்டு
متر	மீட்டர்
متر	மீட்டர்
متر	மீட்டர்
کاربر	பயனர்
مناطق	மாவட்டங்கள்
مناطق	பகுதிகள்
مناطق	பகுதிகளில்
هر	ஒவ்வொரு
هر	ஏதாவது
هر	ஏதேனும்
هر	எந்த
باشگاه	மன்றம்
باشگاه	கிளப்
باشگاه	ஜிம்
دانشگاه	கல்லூரியை
دانشگاه	கல்லூரி
مورد	கேஸ்
مورد	வழக்கு
سده	நூற்றாண்டு
ثبت	பதிவேடு
ثبت	லாக்
زبان	மொழிகள்
زبان	நாக்கு
زبان	நாக்கை
زبان	மொழி
شماره	எண்ணி
شماره	எண்
شماره	எண்ணை
کار	பணியை
کار	வேலை
کار	பணி
کار	வேலை
کار	பணி
اما	ஆனாலும்
اما	ஆனா
اما	ஆனால்
بازیگران	படப்பிடிப்பு
بازیگران	நடிகர்கள்
روی	ராய்
روی	துத்தநாக
صورت	முகம்
صورت	முக
مرکز	சென்ட்ரல்
مرکز	மத்திய
مرکز	மையம்
مرکز	மையம்
زمان	சமான்
زمان	நேரம்
زمان	காலம்
شرکت	கார்பரேட்
شرکت	கார்ப்பரேட்
شرکت	corporate
شرکت	நிறுவனம்
شرکت	நிறுவனமும்
شرکت	பங்கேற்க
مقاله	கட்டுரை
مقاله	கட்டுரை
مقاله	கட்டுரைகள்
مقاله	கட்டுரை
تیم	டிம்
تیم	அணி
مرد	நாயகன்
مرد	மனிதா
مرد	மனிதனின்
مرد	மனிதனுக்கு
مرد	மனிதன்
انگلیسی	ஆங்கிலம்
نظر	கருத்தைப்
نظر	குறிப்புரை
نظر	கருத்தை
نظر	கருத்து
جهانی	சர்வதேச
جهانی	அனைத்துலக
جهانی	உலகம்
جهانی	உலக
جهانی	உலகளாவிய
جهانی	உலகம்
جهانی	உலக
جهانی	உலகமே
همچنین	also
همچنین	அத்துடன்
همچنین	கூட
همچنین	கூட
زندگی	வாழ்ந்து
زندگی	வாழும்
زندگی	வசிக்கும்
زندگی	வாழ்வது
زندگی	வாழ்க்கை
زندگی	உயிர்
زندگی	ஆயுள்
زن	பெண்ணின்
زن	பெண்
زن	பெண்
زن	மனைவியின்
زن	மனைவியை
زن	மனைவிக்கும்
زن	மனைவி
زیر	கீழே
زیر	அடியில்
زیر	கீழ்
