ஷேன்	شین
சிட்ரிக்	سیتریک
குறும்படம்	شمایل
குறும்படம்	نماد
இலைகளை	برگها
இலைகளை	برگ
அசுரன்	هیولا
கிளாரா	کلارا
நிழலில்	سایه
அரி	ary
செயல்படுத்துகிறது	پردازش
செயல்படுத்துகிறது	پردازی
சளி	سرما
சளி	سرد
சளி	سرماخوردگی
சளி	سرماخوردگی
கொடூரமான	ظالم
கொடூரமான	ظالمانه
கொடூரமான	وحشیانه
முசோலினி	موسولینی
தூதுவர்	سفیر
தூதுவர்	کبیری
செக்ஸ்	سکس
செக்ஸ்	جنسیت
செக்ஸ்	جنسی
பாலினம்	جنسیتی
பாலினம்	جنسیت
குணப்படுத்தும்	شفای
குணப்படுத்தும்	درمانی
குணப்படுத்தும்	شفا
குணப்படுத்தும்	درمان
கைபேசி	سلول
கைபேசி	یاخته
கைபேசி	متحرک
கைபேசி	سیار
கைபேசி	موبایل
கைபேசி	همراه
காலாண்டு	ربع
காலாண்டு	کوارتر
புலங்கள்	فیلدز
புலங்கள்	مزارع
அன்னிய	خارجه
அன்னிய	خارجی
பண்டிட்	پاندیت
மரபை	میراثی
மரபை	میراث
புகலிடம்	پناه
புகலிடம்	پناهی
இம்ரான்	عمران
எண்ணங்களை	افکار
எண்ணங்களை	افکارش
அளவுகோல்	مقیاس
புதுப்பிக்கத்தக்க	تجدیدپذیر
நகர்வுகள்	حرکات
ஹெக்டர்	هکتور
மாயன்	مایان
வெண்கல	برنز
வெண்கல	برنزی
வெண்கல	لرستان
குணப்படுத்த	درمانش
குணப்படுத்த	علاج
குணப்படுத்த	شفا
மஸ்ஜித்	مسجد
ரோல்	رول
ஆல்பங்கள்	آلبومهای
கெல்லி	کلی
பாக்கியம்	مبارک
சிறகு	بال
சிறகு	وینگ
பட்டாணி	نخود
சர்ச்சில்	چرچیل
அங்கீகரிக்கப்பட்டது	تأیید
ஆற்றலும்	انرژی
ஆக்கி	پرداز
ஆக்கி	پردازنده
ஆக்கி	پردازشگر
நிபுணத்துவம்	تخصص
கற்பு	پاکدامنی
கற்பு	عفت
ஈடன்	عدن
ஈடன்	ادن
கொன்றது	کشته
அதிகபட்சம்	max
அதிகபட்சம்	مکس
அதிகபட்சம்	ماکس
அதிகபட்சம்	بیشینه
அதிகபட்சம்	حداکثر
அதிகபட்சம்	بیشینه
அம்பாலா	امبالا
கிட்	گیت
கிட்	git
செய்தியாளர்	پرس
செய்தியாளர்	فشار
செய்தியாளர்	گزارشگر
சிப்	تراشه
சிப்	چیپ
புக்கர்	بوکر
கேளிக்கை	تفریح
கேளிக்கை	تفریحات
கேளிக்கை	سرگرمی
கேளிக்கை	تفریحات
கேளிக்கை	پذیرایی
சமோவா	ساموآ
பருவங்கள்	فصلها
பருவங்கள்	فصول
குடியேற்றவாத	اسکان
குடியேற்றவாத	مهاجرت
குடியேற்றவாத	استعمار
வாத	ترور
வாத	دلهره
வாத	هراس
யுனிக்ஸ்	یونیکس
தொட்டில்	گهواره
தொட்டில்	مهد
விஸ்டா	vista
விஸ்டா	ویستا
வாசம்	نفست
வாசம்	نفس
வாசம்	تنفس
வாசம்	نفسی
கோளம்	کرهای
திரையரங்கு	سینماها
திரையரங்கு	تئاتر
பின்புலம்	زمینه
பின்னோக்கி	عقبگرد
தத்து	زبانه
தத்து	تب
லம்போர்கினி	لامبورگینی
லம்போர்கினி	lamborghini
ஆலோசனைக்	مشورت
ஆலோசனைக்	مشاوره
தனிமையில்	تنهایی
தனிமையில்	تنها
தனிமையில்	تنهایی
தனிமையில்	تنها
தனிமையில்	تنهای
வழிகாட்டல்	هدایت
வழிகாட்டல்	رهنمود
தன்னைத்தானே	خودش
பார்வைகள்	برسد
பார்வைகள்	بازدید
பார்வைகள்	نماها
பார்வைகள்	بازدیدهای
பார்வைகள்	نماهای
நோக்கங்களை	قصدی
நோக்கங்களை	قصد
நோக்கங்களை	نیات
நோக்கங்களை	مقاصد
பளிங்கு	مرمر
பளிங்கு	تیله
மனிதர்களும்	انسانها
மனிதர்களும்	بشر
வாக்கியம்	عبارت
வாக்கியம்	حکم
வாக்கியம்	جمله
சொற்பொருள்	معنایی
அனுப்புகிறது	فرستادن
அனுப்புகிறது	ارسال
சுமேரிய	سومری
சாவ்லா	چاولا
பூனைகள்	گربه
வார்சா	ورشو
புள்ளிவிவரம்	آمارهای
புள்ளிவிவரம்	آمار
புள்ளிவிவரம்	بصیرت
பாஸ்கல்	پاسکال
மார்க்கெட்	مارکت
மார்க்கெட்	بازار
மார்க்கெட்	مارکیت
மார்க்கெட்	بازاری
கணங்கள்	لحظاتی
கணங்கள்	لحظات
சோமாலியா	سومالی
படத்தொகுப்பு	collage
மீனவர்	ماهیگیران
மீனவர்	ماهیگیر
மீனவர்	ماهیگیر
குண்டூர்	گونتور
பென்சீன்	بنزن
இருக்கவும்	بمان
இருக்கவும்	بمانی
இருக்கவும்	ماندن
இருக்கவும்	بمانم
இருக்கவும்	بمانید
துல்லியம்	دقت
துல்லியம்	دقتی
குவளை	لیوان
தொழிற்சாலையில்	کارخانه
ராக்கெட்	راکت
ராக்கெட்	موشک
ஆல்ப்ஸ்	آلپ
இயல்பை	سرشت
இயல்பை	طبیعت
வித்து	بذر
வித்து	دانه
வித்து	نسل
பானங்கள்	نوشیدنی
நினைக்கும்	فکر
பெயர்ச்சி	جایگزینی
பெயர்ச்சி	جایگزین
சமத்துவம்	مساوات
சமத்துவம்	تساوی
சமத்துவம்	برابری
நடனங்கள்	رقصهای
நிபந்தனைகள்	وضعیتهای
நிபந்தனைகள்	شرایط
விடு	رها
விடு	برار
விடு	ترک
விடு	افت
விடு	قطره
மனோஜ்	manoj
துர்கா	دورگا
அலபாமா	آلاباما
தொழுகை	صلاح
அன்ட்ரூ	اندرو
பாலைவனத்தில்	کویر
பாலைவனத்தில்	بیابان
பாலைவனத்தில்	بیابانی
பாலைவனத்தில்	صحرا
பாலைவனத்தில்	اعراب
லூசியானா	لوئیزیانا
எறிந்து	گچ
எறிந்து	بیندازید
கலீபா	خلیفه
தந்திரம்	حیله
தந்திரம்	حقه
தந்திரம்	ترفند
தந்திரம்	کلک
அறிவார்ந்த	خردمند
அறிவார்ந்த	باهوش
அறிவார்ந்த	هوشمند
மதிப்பாய்வு	مرور
மதிப்பாய்வு	بازبینی
மதிப்பாய்வு	بازدید
மதிப்பாய்வு	اعتدال
குவான்	گوان
குவான்	کوان
ஆர்எஸ்எஸ்	rss
நேர்மை	دیانت
நேர்மை	صداقت
நேர்மை	درستکاری
பொறாமை	حسودی
பொறாமை	غیور
பொறாமை	حسادت
பொறாமை	حسود
பொறாமை	حسد
பொறாமை	غبطه
பொறாமை	رشک
பொறாமை	حسودی
பொறாமை	حسادت
பொறாமை	رشک
கச்சா	خام
கோட்டா	کوتا
அவுட்லுக்	outlook
சூசன்	سوسن
சூசன்	سوزان
காமெடி	کمدی
நையாண்டி	طنز
கமிட்டி	کمیته
கமிட்டி	کمیسیون
தீராத	مزمن
வைக்கோல்	کاه
வைக்கோல்	پوشالی
இப்ராஹிம்	ابراهیم
முத்துக்கள்	پرند
முத்துக்கள்	مرواریدی
அலோர்	الور
யா	یس
அலெக்சாந்திரியா	اسکندریه
அலெக்சாந்திரியா	الکساندریا
அமிதாப்	آمیتاب
புள்ளிவிவர	آماری
பங்களா	بنگله
ஜூலியஸ்	جولیوس
ஜூலியஸ்	ژولیوس
ஈஸ்ட்	مخمر
பரிணாமம்	تکامل
பரிணாமம்	فرگشت
பரிணாமம்	تحول
பரிணாமம்	evolution
பரிணாமம்	اوولوشن
கல்யாண்	کالیان
பங்கேற்பு	مشارکت
சோலார்	خورشیدی
மேகங்கள்	ابری
மேகங்கள்	ابر
மேகங்கள்	ابرها
கேம்ஸ்	بازیهای
கேம்ஸ்	بازیها
கேம்ஸ்	بازی
கருட	گارودا
பூத	جسمی
பூத	بدنی
பூத	فیزیکی
விஜயவாடா	ویجیاوادا
நெரிசல்	ازدحام
நெரிசல்	ازدحام
நெரிசல்	stampede
வாய்க்கால்	کانال
வாய்க்கால்	مجرا
வாய்க்கால்	مجرای
இறைவனிடம்	لرد
இறைவனிடம்	پروردگارا
ரொனால்ட்	رونالد
கொலராடோ	کلرادو
கொலராடோ	کلورادو
மிதவை	شناور
நசீர்	نظیر
சோர்வு	خستگی
சோர்வு	خسته
எவரெஸ்ட்	اورست
திறக்க	باز
வானியற்பியல்	اخترفیزیک
செபமாலை	cepa
இடைவெளிகள்	فضاهای
இரவும்	شبها
இரவும்	شبی
இரவும்	شب
இரவும்	شبانه
அத்தியாவசிய	ضروری
ஏதுமில்லை	هیچکدام
முன்னோக்கி	جلو
உணவாகும்	گراب
ராஜு	راجو
பயன்முறை	حالت
பெர்க்சையர்	برکشر
ஜிமெயில்	gmail
ஆர்வமும்	تمایلات
கவர்ச்சியான	سکسی
கவர்ச்சியான	sexy
சுலைமான்	سلیمان
சுலைமான்	سلیمان
பேழை	کاست
தெருக்கள்	خیابانها
தெருக்கள்	خیابان
ஆர்ச்சர்	آرچر
ஆர்ச்சர்	کماندار
கீரை	اسفناج
ஜெப்ரி	جفری
சன்னி	آفتابی
சன்னி	سانی
பாதுகாக்கவும்	محافظت
படையணி	گردان
மோட்சம்	صمیمیت
சொரெஸ்	سوروس
பயிற்சியாளர்கள்	coaches
ஈடுபட்டுள்ள	engaged
ஈடுபட்டுள்ள	نامزد
ஏழ்மை	فقر
உடற்கூறு	تشریح
உடற்கூறு	آناتومی
மேலாளர்கள்	مربیان
மீதம்	میزان
மீதம்	تعادل
மீதம்	توازن
மீதம்	موازنه
மீதம்	چپ
பீச்	بیچ
பீச்	هلو
பீச்	هلو
பீச்	پیچ
லுட்விக்	لودویگ
நெற்றியில்	پیشانی
நெற்றியில்	پیشونی
நெற்றியில்	پیشانیش
அமிர்தசரஸ்	امریتسار
பொறுப்பான	مسئول
பொறுப்பான	مسول
பொறுப்பான	مسئولیت
