námornej	denizcilik
pevný	katı
pevný	sağlam
alexandrovič	alexandrovich
zahraničné	yabancı
stuttgart	stuttgart
kovy	metal
kovy	metaller
kovy	metal
hamburg	hamburg
oslobodenie	muafiyet
oslobodenie	kurtuluş
oslobodenie	rahatlık
oslobodenie	rahatlama
bydlisko	yerleşik
bydlisko	asistan
bydlisko	ikamet
bydlisko	ikamet
bydlisko	konut
mag	mag
bobby	bobby
náhodou	kazara
náhodou	yanlışlıkla
náhodou	kazayla
napísali	yazılmış
napísali	yazıldı
napísali	yazan
napísali	yazılı
napísali	yazılan
napísali	yazdı
tiger	tiger
tiger	kaplan
nadácie	temelleri
detaily	detay
detaily	detaylar
detaily	ayrıntılar
detaily	detayları
detaily	ayrıntı
automobilový	otomotiv
automobilový	otomobil
philippe	philippe
ľad	buz
ľad	ice
lese	orman
lese	woods
mostov	köprüler
jadrovej	nükleer
rap	rap
odolnosť	direnç
odolnosť	direniş
odolnosť	direnç
jay	jay
podobnú	benzeri
podobnú	benzer
teórií	teorileri
teórií	teoriler
čou	zhou
záhreb	zagrep
záhreb	zagreb
leonardo	leonardo
sľuby	vaat
sľuby	sözler
sľuby	yeminler
sľuby	yemin
prepojenie	bağlama
vertebrata	vertebrata
súčet	toplam
súčet	sum
súčet	toplamı
umiestnenia	yerleştirme
umiestnenia	mekanlar
umiestnenia	konumlar
umiestnenia	yerler
umiestnenia	konumları
umiestnenia	yerleri
umiestnenia	yer
umiestnenia	konumu
umiestnenia	konum
umiestnenia	yeri
formátu	format
formátu	biçim
formátu	biçimi
formátu	formatı
záhrade	bahçe
záhrade	bahçesi
záhrade	garden
záujmov	çıkarlarını
derby	derby
teréne	arazi
robinson	robinson
zubov	dişli
zubov	dişleri
zubov	dişler
bela	bela
sierra	sierra
prusko	prusya
portugalský	portekizce
case	case
case	vaka
case	dava
vlakov	trenler
vlakov	trenleri
vlakov	tren
soľ	tuz
soľ	salt
soľ	tuzu
castle	castle
castle	şato
castle	kale
castle	kalesi
zjednotenie	birleşme
zjednotenie	birleştirme
zjednotenie	birleştirici
väzba	bağlamak
väzba	bağla
väzba	bağlama
väzba	bağlayıcı
väzba	bağlama
väzba	bağlanma
väzba	velayet
väzba	senet
väzba	bağ
väzba	tahvil
väzba	bond
tradícia	gelenektir
tradícia	gelenek
povesti	dedikodular
povesti	söylenti
povesti	söylentiler
povesti	dedikodu
abovsko	abaúj
nástupcu	halefi
aktuálny	güncel
aktuálny	akım
aktuálny	şimdiki
aktuálny	mevcut
aktuálny	akıntı
aktuálny	topikal
katalóg	katalog
katalóg	kataloğu
katalóg	katalog
katalóg	kataloğu
nelson	nelson
rastú	büyümek
rastú	büyür
rastú	büyü
výklad	yoruma
výklad	yorumla
výzbroje	silahlanma
pozemné	karasal
pozemné	zemin
pohľady	görüntüleme
cestná	karayolu
cestná	yol
zásah	parazit
zásah	müdahale
zásah	müdahele
zásah	müdahale
warner	uyarıcı
warner	warner
zdravotné	sağlık
zdravotné	medikal
zdravotné	tıbbi
zdravotné	tıp
zdravotné	sağlıkla
zdravotné	sağlık
zdravotné	saglik
chybu	hata
chybu	yanlışlık
založiť	üs
založiť	baz
založiť	üssü
založiť	taban
jules	jules
prúdov	irmaklar
komédia	komedi
watanabe	watanabe
kresťanov	hıristiyanlar
kresťanov	hıristiyan
kresťanov	hristiyan
kresťanov	hristiyanlar
angel	meleğim
angel	melek
továrne	fabrikalar
faktor	etken
faktor	faktör
faktor	faktörü
litva	litvanya
zavraždený	öldürülen
zavraždený	öldürüldü
zavraždený	öldürülmüş
zavraždený	suikast
phil	phil
rob	soy
rob	rob
výkonný	yürütme
výkonný	yönetici
presun	aktarım
presun	transfer
presun	havale
presun	hareket
presun	taşı
presun	taşınma
presun	taşınıyor
presun	hareket
presun	hareketler
presun	hareketlilik
carter	carter
poistenie	sigortası
poistenie	sigorta
kroky	adımları
