категорија	loại
година	năm
како	bao
како	như
како	thích
како	like
што	gì
дека	thế
дека	rằng
дека	điều
дека	mà
дека	vn
бил	bill
бил	lơn
бил	tụt
бил	cẩu
кои	ai
кои	who
кои	mà
или	thà
или	chùm
кој	ai
кој	who
тоа	thế
тоа	rằng
тоа	điều
тоа	mà
тоа	vn
други	khác
други	khác
која	mà
има	đã
била	aw
била	bị
била	lơn
била	tụt
била	cẩu
македонија	macedonia
додека	phiêu
додека	mens
кога	khi
страна	bên
страна	phe
страна	trang
дел	saga
дел	part
дел	phần
дел	del
дел	dell
околу	khoảng
околу	về
околу	ban
околу	khoảng
околу	vòng
време	gian
време	thời
под	dưới
под	under
неговата	ngành
еден	xả
еден	một
еден	one
врски	xích
врски	links
исто	cùng
повеќе	thêm
податоци	dữ
каде	đâu
многу	cực
многу	rất
многу	nhiều
многу	lot
објекти	tượng
години	chèo
години	năm
календар	lịch
сите	hết
една	xả
една	một
една	one
меѓу	giữa
било	any
пред	trước
ова	này
јазик	lưỡi
јазик	ngữ
само	chỉ
само	duy
само	chỉ
само	funny
каталог	catalogue
каталог	catalog
таа	cổ
број	số
овој	này
градот	phố
градот	by
беше	aw
беше	bị
беше	lơn
беше	tụt
беше	cẩu
општ	generic
кај	bei
оваа	này
тие	những
тие	quất
тие	những
тие	chúng
тие	họ
нов	new
нов	mới
нов	sâm
селото	sapporo
времето	gian
времето	thời
некои	cầy
место	spot
место	điểm
место	nơi
место	chỗ
овие	những
општина	municipality
светот	giới
преку	qua
преку	via
преку	qua
македонски	macedonia
неколку	vài
земјата	đất
две	hai
две	two
небо	trời
небо	sky
небо	bien
уште	côn
уште	vẫn
уште	thêm
список	kê
список	list
список	danh
неговиот	ngành
споменува	mentions
кое	mà
сјај	ngời
сјај	glow
град	phố
град	phố
град	by
агол	góc
агол	góc
село	selo
село	làng
информации	info
германија	germania
германија	đức
помеѓу	giữa
црква	thờ
подоцна	sau
познати	quen
познати	nổi
бидејќи	vì
треба	cần
својата	its
мини	mini
мини	mìn
мини	minnie
против	dũng
против	chống
голем	lớn
голем	lớn
голем	to
голем	đúc
голем	đại
голем	big
луѓе	hãm
луѓе	người
војна	tranh
војна	chiến
сад	kỳ
сад	mỹ
сад	usa
скопје	skopje
република	republika
три	tre
три	ba
три	three
помош	cứu
помош	giúp
поделба	division
поделба	chia
космос	cosmos
космос	kosmos
освен	trừ
над	qua
над	hết
над	over
над	trên
неговите	ngành
низ	qua
низ	trough
низ	máng
села	làng
пример	dụ
потоа	rồi
денес	nay
начин	đường
два	hai
два	two
точка	chấm
точка	dot
точка	beat
точка	chấm
точка	điểm
пак	lại
пак	pac
покрај	cạnh
сепак	côn
сепак	vẫn
сепак	chưa
сепак	vân
сепак	thinh
своите	its
систем	hệ
име	tên
десно	phải
десно	đúng
користи	dùng
нив	them
нив	cói
нив	chúng
нив	họ
група	group
група	nhóm
истражувања	bê
европа	âu
прв	trước
прв	đầu
држави	kỳ
откриен	revealed
откриен	lộ
проучување	học
проучување	học
пат	pat
пат	vỗ
пат	đường
пат	road
галаксии	galaxies
август	august
предмет	tố
мај	may
март	march
користена	phơi
ѕвезди	stars
голема	lớn
голема	lớn
голема	to
голема	đúc
голема	đại
голема	big
секој	ai
секој	mỗi
секој	hằng
цел	tiêu
цел	đo
оние	những
америка	châu
америка	mỹ
цар	czar
припаѓа	thuộc
истражување	survey
истражување	bê
работи	điều
работи	đồ
работи	stuff
места	đốm
места	xèng
места	slots
роден	sinh
земја	quốc
земја	đất
повторно	lại
око	eye
око	mắt
франција	pháp
димензии	chiều
округот	quận
округот	hạt
округот	shire
позната	quen
позната	nổi
позната	quen
нивните	nhị
галаксија	galaxy
откако	theo
откако	sau
јуни	june
лакот	cung
лакот	bow
теме	vertex
живот	đời
северна	bắc
ширина	rộng
пласман	standings
центар	tâm
центар	centre
втората	giây
мери	meri
мери	mary
дела	deeds
дела	della
ден	ngày
ден	day
состојба	bang
состојба	tiêm
состојба	trạng
рим	phòng
рим	rome
рим	roma
италија	italia
италија	italy
тогаш	rồi
реката	sông
леќа	lens
шаблон	pattern
шаблон	mẫu
шаблон	mẫu
познат	quen
познат	nổi
округ	quận
округ	hạt
округ	huyện
американски	american
американски	mỹ
област	loạt
област	vực
област	vùng
јужна	nam
едно	xả
едно	một
едно	one
етапа	stage
филмови	phim
филмови	phim
бугарија	bulgaria
дури	chính
грција	greece
содржи	chứa
милиони	triệu
милиони	triệu
збор	lời
збор	từ
нивната	nhị
февруари	tháng
работа	nghề
работа	việc
функција	hàm
држава	quốc
држава	bang
календари	lịch
секоја	mỗi
секоја	hằng
секоја	mỗi
русија	nga
метри	mét
нејзината	her
нејзината	cổ
големи	lớn
големи	lớn
големи	to
големи	đúc
големи	đại
големи	big
четири	bốn
џон	gioan
џон	john
џон	jon
олимписки	olympic
делови	phần
видови	loài
империја	empire
главен	sếp
главен	chính
главен	main
врска	link
врска	bond
свети	shine
свети	saint
свети	thánh
свети	ngời
свети	glow
вклучувајќи	gồm
телескоп	telescope
групи	nhóm
награда	thưởng
разговор	chát
разговор	chat
филм	phim
филм	phim
филм	film
википедија	wikipedia
крај	end
крај	kết
вода	nước
резултат	điểm
резултат	quả
училиште	trường
училиште	học
страница	page
страница	trang
западна	tây
нови	new
нови	mới
нови	sâm
познато	quen
случај	case
сезона	mùa
сезона	season
игра	game
игра	chơi
веќе	đã
обично	thuồng
обично	thường
промени	đổi
промени	thay
разлика	diff
употреба	dùng
форма	hình
форма	form
форма	mẫu
договор	thuận
некој	ai
некој	somebody
лига	league
лига	liga
друга	khác
починал	chết
неа	her
неа	cổ
неа	nea
после	theo
после	sau
фудбалери	footballers
острови	đảo
острови	isles
ред	hàng
лица	mặt
друг	khác
почеток	khởi
син	trai
син	nhi
син	son
албум	album
никола	nikola
никола	nicola
македонска	macedonia
македонска	macedonia
нова	new
нова	mới
нова	sâm
австралија	australia
австралија	úc
тур	tour
александар	aleksandar
александар	alexandros
александар	aleksandr
александар	alexander
вилијам	william
татко	bố
татко	cha
движење	motion
дело	delo
власт	sục
власт	lực
прва	trước
прва	đầu
мора	phải
лево	trái
србија	serbia
сега	giờ
сега	ngay
кариера	nghiệp
храм	đền
храм	chùa
ниво	mức
ниво	tầng
ниво	cấp
облик	hình
облик	form
тим	tim
тим	tạo
тим	đội
тим	lớp
тим	team
ера	era
музика	nhạc
германски	đức
видете	xem
море	biển
пати	lần
пати	times
пет	năm
париз	paris
поле	field
поле	trường
минути	phút
листа	kê
листа	list
листа	danh
мала	nhỏ
мала	nhỏ
мала	tiểu
вредност	giá
поделени	chia
британија	britain
поврзани	related
саксонија	görlitz
саксонија	saxony
саксонија	sachsen
саксонија	zwickau
свет	giới
потекло	vạn
потекло	genisys
потекло	descent
потекло	origins
владетел	ruler
владетел	thước
спорт	sport
програма	trắc
програма	chương
мали	nhỏ
мали	nhỏ
мали	tiểu
мали	mali
куќа	ốc
куќа	nhà
буда	phật
трка	đua
трка	nhung
крал	king
крал	guy
крал	vua
таму	kia
таму	đó
веднаш	ngay
слика	ảnh
слика	nh
слика	hình
слика	ảnh
слика	tranh
слика	sơn
француски	pháp
партија	đảng
партија	party
партија	tiệc
природни	chích
државите	kỳ
река	sông
области	quận
области	governorates
право	thẳng
право	sảnh
право	phải
право	đúng
серија	series
серија	serie
енергија	lượng
островот	đảo
хершел	hershel
дена	ngày
добро	tốt
добро	hay
добро	ngon
негово	ngành
нејзините	its
тука	đây
смртта	chết
родени	sinh
натпревари	khớp
натпревари	diêm
егејска	aegean
албанија	albania
книга	sách
речиси	sắp
речиси	gần
речиси	hầu
песна	vết
песна	rãnh
песна	song
всушност	thực
боја	nhuộm
боја	màu
боја	mầu
боја	sơn
боја	màu
прави	làm
понекогаш	đôi
води	dẫn
води	waters
води	dẫn
води	chì
поглед	xem
поглед	view
стил	style
рок	đá
рок	rock
мухамед	muhamed
мухамед	muhammad
мухамед	muhammed
африка	phi
животот	đời
регион	loạt
регион	tần
регион	vùng
моќ	sục
моќ	lực
сила	buộc
исток	đông
извештај	cáo
лондон	đôn
лондон	london
кина	china
права	quyền
елементи	mục
теорија	thuyết
орбита	orbital
езеро	hồ
руски	nga
битола	bitola
црна	đen
натпревар	thủ
натпревар	khớp
смрт	chết
пари	tiền
пари	tien
средината	mid
веб	web
петар	peter
петар	phêrô
петар	petar
царство	empire
влада	phủ
јазикот	lưỡi
човек	human
