рекомендовано	แนะนำ
жовте	เหลือง
цариця	ควีน
цариця	ราชินี
сітка	กริด
хей	ฟาง
хей	hay
конвой	ขบวน
зацікавленість	นาฬิกา
філософська	ปรัชญา
привернути	ดึงดูด
клівленд	cleveland
ватикан	วาติกัน
закінчилося	จบ
закінчилося	โอเวอร์
закінчилося	เหนือ
асортимент	ช่วง
асортимент	ระยะ
генералів	ขุนพล
шматок	ท่อน
шматок	ชิ้น
шматок	พีซี
шматок	พีซ
шматок	เฉือน
салоніки	thessaloniki
радіації	การแผ่รังสี
радіації	รังสี
відгук	วิจารณ์
відгук	รีวิว
панами	ปานามา
реконкіста	reconquista
борошно	แป้ง
борошно	อาหาร
борошно	มื้อ
класом	ห้องเรียน
сова	ฮูก
нідерландська	ดัตช์
таємна	secret
таємна	ลับ
таємна	ลับๆ
альфонс	alfons
історіографія	historiography
сін	ชิน
заборонити	แบน
змінені	เปลี่ยน
змінені	แก้ไข
нічия	วาด
трк	trk
рейтинги	อันดับ
сором	ละอาย
сором	เสียดาย
логічні	ตรรก
логічні	ตรรกศาสตร์
логічні	เหตุผล
японію	japan
японію	ญี่ปุ่น
мудрий	ฉลาด
тріумф	triumph
поріг	เกณฑ์
ефективна	ประสิทธิ์
ефективна	ประสิทธิผล
гідність	ศักดิ์ศรี
керч	kerch
кубі	คิวบา
барт	barth
мао	เหมา
сертифікації	certifications
пил	ฝุ่น
мрія	ฝัน
мрія	dream
хілл	เนิน
вдячний	กตัญญู
вдячний	กตัญญู
шия	คอร์
шия	คอ
шия	คอง
шия	ต้นคอ
рости	เติบโต
рости	ปลูก
ніндзя	นินจา
ввели	ฉีด
ввели	ป้อน
ненсі	nancy
володимирії	lodomeria
тарту	tartu
преображення	transfiguration
жаби	กบ
сет	กันยายน
сет	เซ็ท
сет	เซธ
сет	เซท
сет	เซ็ธ
метеликів	ตาข่าย
відбити	ไตร่ตรอง
відбити	ใคร่ครวญ
корисна	คุณค่า
нікель	นิกเกิล
скелях	หิน
алфавіт	อักษร
палець	นิ้ว
прощання	อำลา
хмарочос	ตึกระฟ้า
жорсткий	แรง
жорсткий	โหม
жорсткий	ลำบาก
жорсткий	หนัก
жорсткий	ฮาร์ด
жорсткий	ยาก
продемонстрували	สาธิต
вероніка	veronika
ханти	khanty
картопля	potato
пси	หมา
пси	สุนัข
синод	synod
схил	เด็ค
схил	เดค
схил	เดธ
купувати	ซื้อ
глибокої	สุก
кпк	pda
застосовано	ประยุกต์
веселе	jolly
веселе	ร่าเริง
веселе	รื่นเริง
соломон	โซโลมอน
тітка	ป้า
тітка	น้า
сидів	นั่ง
постріл	ยิง
масштаб	ขยาย
масштаб	ซูม
наполовину	ครึ่ง
гострих	แทง
успенська	dormition
забули	ลืม
забули	ลืม
рамон	ramón
збільшено	ขยาย
камбоджі	กัมพูชา
кабель	เคเบิล
кабель	เคเบิ้ล
кабель	เบิ้ล
перемикання	สลับ
перемикання	สลับ
стоп	หยุด
ференц	ferenc
наречена	bride
ідеал	อุดมคติ
орієнтований	กำกับ
севілья	sevilla
етьєн	etienne
змінна	ตัวแปร
верхи	ขี่
бродіння	หมัก
доктрина	ลัทธิ
тисяча	พัน
пляшки	ขวด
пляшки	ขวด
транс	ภวังค์
транс	trans
контексту	บริบท
гуманітарної	มนุษยธรรม
нескінченно	อนันต์
некролог	มรณกรรม
стандартам	มาตรฐาน
квитків	ตั๋ว
квитків	ใบสั่ง
квитків	บัตร
мудрості	ปัญญา
мудрості	ภูมิปัญญา
серйозний	จริงจัง
крилом	ปีก
крилом	วิง
бика	กระทิง
віруси	ไวรัส
бук	บีช
дюймів	นิ้ว
колонізація	นิคม
киснем	ออกซิเจน
познані	poznań
краснодар	krasnodar
браузер	เบราว์เซอร์
писання	คัมภีร์
спалах	พลุ
спалах	flash
спалах	แฟลช
випадкові	มั่ว
випадкові	สุ่ม
селянська	ชาวไร่
селянська	ชาวนา
спис	หอน
спис	หอก
висить	ห้อย
висить	แขวน
висить	เที่ยว
монахи	พระ
переконав	ชักชวน
промо	โปรโมชัน
банда	แก๊ง
окуляри	แว่น
