majeurs	majors
chypre	kypru
chypre	kypr
explorateur	explorer
explorateur	průzkumník
jun	jun
dell	dell
surfaces	povrchy
sentiments	pocity
sentiments	city
sentiments	pocitů
qualifiés	kvalifikovaný
qualifiés	kvalifikovaní
qualifiés	kvalifikovaných
qualifiés	kvalifikované
qualifiés	kvalifikovaná
vitesses	otáčky
vitesses	speed
vitesses	rychlost
vitesses	rychlosti
canal+	canal+
adoptée	přijato
adoptée	přijata
adoptée	přijat
adoptée	přijatá
vigne	vinice
vigne	vigne
vigne	révy
vigne	vine
vigne	vinice
obligé	donutil
obligé	donucen
obligé	nucené
brouillon	návrh
brouillon	koncept
brouillon	koncepty
vilaine	ošklivé
vilaine	vilaine
réalisations	úspěchy
réalisations	úspěchy
kings	kings
kings	králové
kings	králů
puissante	mocná
puissante	mocný
puissante	mocní
astronomie	astronomie
tombé	spadla
tombé	padl
tombé	spadl
tombé	padlý
tombé	padl
tombé	padlé
escadron	letka
escadron	letky
escadron	oddíl
escadron	družstvo
immatriculation	registrace
immatriculation	zápis
immatriculation	registraci
juridiction	příslušnost
juridiction	jurisdikce
terminer	dokončit
terminer	dokončení
claviers	klávesnice
claviers	klávesnici
claviers	klávesy
claviers	klávesnice
claviers	klávesy
conclut	uzavírá
engagés	najal
engagés	zasnoubená
engagés	zasnoubeni
engagés	zasnoubený
engagés	spáchal
mandats	zatykače
mandats	pověření
mandats	mandátů
sarthe	sarthe
istanbul	istanbulu
témoignages	svědectví
témoignages	posudky
témoignages	svědectví
proposée	navrhovaná
proposée	navrhované
proposée	navrženo
proposée	navrhovaný
proposée	navržená
laurence	laurence
élimination	eliminace
élimination	odstranění
élimination	vylučování
élimination	vyřazení
élimination	odstraňování
élimination	zneškodňování
élimination	likvidace
élimination	odstranění
élimination	likvidaci
consacrer	věnovat
consacrer	věnovat
łódź	łódź
aviron	veslování
aviron	veslař
aviron	veslo
sorties	východy
timbre	známka
timbre	razítko
baptisé	pokřtěn
baptisé	pokřtěn
mons	mons
théorique	teoretické
sean	sean
sean	seana
dégâts	poškození
dégâts	škody
dégâts	odškodné
dégâts	škody
arrondissements	kraje
arrondissements	okrsků
wolf	vlčí
wolf	vlk
wolf	wolf
doublage	dabing
secrète	tajný
secrète	tajná
secrète	tajemství
secrète	tajné
considérablement	výrazně
considérablement	značně
considérablement	dramaticky
louisiane	louisianě
professionnelles	profesionální
professionnelles	profesionál
professionnelles	profesní
absolue	absolutní
médiéval	středověké
spécialité	specialita
spécialité	specializace
spécialité	specialita
