mraz	ฟรอสท์
oslobodi	ปล่อย
namirnica	ของชำ
stavovi	ทัศนคติ
regionalno	ภูมิภาค
prikupio	สะสม
katolik	คาทอลิก
lanaca	โซ่
neutralan	ฉนวน
mayo	mayo
mayo	เมโย
pomicanje	เลื่อน
kapa	หมวก
kapa	cap
kapa	หมวก
stapf	stapf
mono	โมโน
mono	mono
ozbiljna	จริงจัง
trudnoća	ครรภ์
verrucosa	verrucosa
reformu	ปฏิรูป
ponuđena	เสนอ
palestini	palestine
palestini	ปาเลสไตน์
pari	นึ่ง
annelida	annelida
kolona	คอลัมน์
gale	เกล
konjima	ม้า
sage	เซจ
nit	ด้าย
odlomak	ย่อหน้า
kuglanje	โบว์ลิ่ง
rpg	rpg
psihički	กายสิทธิ์
vodovod	ประปา
humboldt	humboldt
zamijeni	แทนที่
zamijeni	แทน
golub	พิราบ
xxi	xxi
sigurna	เซฟ
sigurna	ปลอดภัย
vizije	นิมิต
vizije	นิมิตร
manjka	ขาด
inženjeri	วิศวกร
pljačka	ปล้น
kultni	สัญลักษณ์
kultni	เอกลักษณ์
ikone	ไอคอน
nlo	ufo
izražavanje	สำนวน
emocija	อารมณ์
emocija	อารมณ์
shop	ร้าน
nasljedstvo	มรดก
nasljedstvo	มรดก
klasično	คลาสสิค
klasično	classic
bubnjeve	กลอง
formalni	ทางการ
civilno	แพ่ง
civilno	ประชา
civilno	พลเรือน
osjetljiv	งอน
beba	ลูก
beba	ทารก
beba	เบบี้
beba	ที่รัก
liberalna	เสรีนิยม
smjene	กะ
muzika	มิวสิค
muzika	เพลง
muzika	ดนตรี
rešetke	บาร์
rešetke	แท่ง
formulu	นมผง
formulu	สูตร
zdjelice	เชิงกราน
zdjelice	ชาม
zdjelice	เชิงกราน
specifikacije	สเปค
lavigne	lavigne
lanci	โซ่
privilegije	เอกสิทธิ์
privilegije	อภิสิทธิ์
odjek	ก้อง
odjek	echo
tempera	tempera
baci	วาง
baci	หย่อน
baci	หยด
baci	ดรอป
baci	ขว้าง
baci	โยน
domenico	domenico
mjenjač	เกียร์
osvrt	วิจารณ์
osvrt	รีวิว
izmislio	คิดค้น
trick	ทริค
komunist	คอมมิวนิสต์
virginiji	เวอร์จิเนีย
adiantum	adiantum
blokiranje	บล็อก
pozornica	ขั้น
pozornica	stage
pozornica	เวที
forsskål	forsskål
flavescens	flavescens
aspergillus	aspergillus
violine	ไวโอลิน
care	จักรพรรดิ
izvanredan	ค้าง
lance	ทวน
električki	electrically
cipele	รองเท้า
odjeljak	ส่วน
sjednica	เซสชั่น
sjednica	เซสชัน
skice	ร่าง
skice	ร่าง
prazni	ว่างๆ
prazni	ว่าง
peking	beijing
peking	ปักกิ่ง
peking	ปักกิ่ง
cink	สังกะสี
fraza	วลี
privući	ดึงดูด
izbacivanje	ดีด
nacistički	นาซี
hannover	hannover
rebra	ซี่โครง
rebra	ซี่โครง
turcz	turcz
izolacija	ฉนวน
gospodine	เซอร์
viziju	นิมิตร
mojsije	โมเสส
solidarnosti	สามัคคี
fiziologija	สรีระ
bilješka	หมายเหตุ
bilješka	บันทึก
bilješka	โน้ต
thai	ไทย
namještaj	เฟอร์นิเจอร์
suho	แห้ง
suho	แล้ง
suho	แห้งๆ
spin	หมุน
spin	ปั่น
vaillant	vaillant
podzemna	ใต้ดิน
timor	ติมอร์
reagirati	โต้ตอบ
