freight	teretni
hydrogen	vodik
broadcasts	emitira
viii	viii
caroline	caroline
caroline	karolina
plymouth	plymouth
twentieth	twentieth
cuts	rezovi
cuts	rezova
cuts	rezove
mediation	posredovanje
catalog	katalog
dale	dale
synthesis	sinteza
synthesis	sintezu
rape	silovanje
seoul	seulu
engagement	angažman
coin	novčić
coin	novčića
lucy	lucy
consequently	shodno
platinum	platina
twins	blizanci
memories	sjećanja
memories	uspomene
memories	uspomena
robertson	robertson
anthology	antologija
milton	milton
geological	geološka
dinner	večera
dinner	večeru
dinner	večere
thriller	triler
retreat	povlači
albany	albany
abdul	abdul
ignore	ignore
migration	migracije
migration	migracija
carefully	pažljivo
magnitude	jačine
sudan	sudan
manages	upravlja
duration	trajanja
duration	trajanje
henderson	henderson
explorer	istraživač
explorer	explorer
marco	marco
marco	marko
fusion	fusion
aids	aids
gathered	okupilo
privately	privatno
reflected	ogleda
presbyterian	presbyterian
automobile	automobile
estates	estates
pound	funta
allegedly	navodno
delay	odlaganje
semifinals	polufinale
belfast	belfast
arctic	arktik
kurt	kurt
mayors	gradonačelnici
windsor	windsor
assumption	pretpostavka
plates	ploče
fourteen	četrnaest
disruption	otklanjanju
disruption	poremećaj
monroe	monroe
hearts	srca
hearts	srcima
belgrade	beograd
pale	pale
glory	slava
destroyer	razarač
deeply	duboko
lectures	predavanja
preston	preston
speaks	govori
gathering	skup
gathering	okupljanje
angry	gnjevni
incomplete	izvršeno
enrolled	upisao
configuration	konfiguracija
configuration	podešavanja
brad	brad
skill	vještine
intense	intenzivne
intense	intenzivan
commitment	opredjeljenje
commitment	opredjeljenja
commitment	posvećenost
commitment	obaveza
loved	loved
reforms	reforme
reforms	reformi
reforms	reformama
rulers	vladari
uruguay	urugvaj
sustained	zadobio
napoleon	napoleona
napoleon	napoleon
confirm	potvrdi
auxiliary	pomoćna
enabled	omogućena
enabled	omogućio
licence	licence
refugees	izbjeglica
refugees	izbjeglice
adrian	adrian
