チューリッヒ	zurichu
内線	produžetak
内線	proširenje
ルクス	lux
ステッカー	naljepnica
ステッカー	naljepnice
ステッカー	sličice
浅い	plitka
浅い	plitak
浅い	plitko
カブ	repu
カブ	repa
カブ	mladunče
パウル	pavao
パウル	pavle
パウル	paul
故人	preminuli
故人	preminuo
故人	pokojni
ハンドボール	rukomet
オークス	oaks
エッグ	jaja
エッグ	jaje
更生	reorganizacija
更生	rehabilitacija
更生	rehabilitacije
更生	rehabilitaciju
スキン	kože
スキン	koža
スキン	puti
まさし	masashi
パース	perth
エマ	ema
エマ	emma
ヌード	golotinje
ヌード	gola
ヌード	goli
ヌード	golo
ヌード	gole
ヌード	aktove
メビウス	moebius
公害	zagađenje
コペンハーゲン	kopenhagenu
りんご	jabuke
りんご	jabukama
りんご	apple
りんご	jabuka
ヒカル	hikaru
インフルエンザ	gripa
インフルエンザ	gripe
インフルエンザ	gripa
インフルエンザ	gripu
インフルエンザ	gripe
イラ	ila
関税	tarifa
オーボエ	oboe
石山	ishiyama
毒性	otrovno
毒性	otrovna
毒性	otrovni
毒性	toksičnost
メカニズム	mehanizmi
メカニズム	mehanizam
ファンタジア	fantasia
やさしい	lagano
やさしい	lako
ジャンボ	jumbo
燃える	spaljivanje
燃える	gori
体質	ustav
体質	ustava
体質	ustavom
イヌ	psa
イヌ	pas
イヌ	dog
イヌ	psu
苦しみ	patnje
苦しみ	patnju
苦しみ	patnja
キノコ	gljive
キノコ	gljive
キノコ	gljiva
厚い	gusta
厚い	gusto
終着駅	terminus
ヤンキー	yankee
飛躍	skok
ボア	boa
麻痺	paralizu
麻痺	paralize
麻痺	paraliza
麻痺	paralizu
麻痺	paralize
麻痺	paraliza
オリンピア	olympia
クラウス	kraus
クラウス	klaus
クラウス	klausa
証人	svjedoci
証人	svjedok
賞賛	divljenja
賞賛	divljenje
賞賛	slava
賞賛	pohvala
賞賛	pohvale
シリアル	serijski
シリアル	žitarice
シリアル	žitarica
シリアル	žitarice
シリアル	pahuljice
子育て	roditeljstvo
ウィンドウ	prozor
乱闘	tučnjava
乱闘	natezanja
水分	vlage
水分	vlaga
聴く	slušaj
バーバラ	barbara
遊ぶ	sviraj
遊ぶ	igraj
決済	plaćanje
決済	rate
決済	uplate
決済	plaćanja
決済	naselje
決済	nagodba
決済	uplata
決済	plaćanje
決済	isplata
サニー	sunčani
サニー	sunčano
サニー	sunny
嫉妬	ljubomora
嫉妬	ljubomorna
嫉妬	ljubomoran
嫉妬	ljubomorni
嫉妬	ljubomora
嫉妬	ljubomore
ディスコ	disco
ディスコ	disko
ブタ	svinje
ブタ	prase
ブタ	svinja
ノーマン	norman
尾翼	rep
尾翼	repa
悪意	zlonamjerni
悪意	zlobe
伝導	vodljivosti
受け取る	primi
受け取る	primite
アーロン	aaron
アーロン	aron
アンチ	anti
ベストセラー	bestseler
ピコ	pico
ステンレス	nehrđajući
壁画	murala
壁画	mural
エンブレム	amblem
エンブレム	grb
素敵	divna
素敵	divno
素敵	lepo
素敵	lijepo
素敵	lijep
思想家	mislioci
ピクセル	piksel
ピクセル	piksela
コントローラ	kontrolori
コントローラ	upravljač
たまに	povremeno
外科医	kirurg
外科医	kirurga
伝送	prijenos
木戸	kido
トロイ	troy
トロイ	troja
タンカー	tanker
気体	benzin
気体	gas
気体	plin
気体	plinovi
気体	plinova
気体	plinove
処罰	kazniti
処罰	kazni
処罰	kaznu
処罰	kazna
処罰	kažnjivo
ロータス	lotus
キャンセル	otkazati
キャンセル	otkazana
キャンセル	otkazan
キャンセル	otkazao
キャンセル	otkazano
キャンセル	otkazana
キャンセル	otkazan
キャンセル	otkazano
キャンセル	otkazivanje
不完全	nesavršena
ウィキ	wiki
リスボン	lisbon
掘削	iskapanje
掘削	iskapanja
掘削	bušenje
掘削	bušenja
ボリビア	bolivijske
ボリビア	boliviji
幼虫	larve
演目	programe
演目	programi
チェルシー	chelsea
ナンシー	nancy
カタール	katar
カタール	katara
カタール	katarski
解読	dešifrirati
解読	dekodiranje
ゲイリー	gari
ゲイリー	gary
やまと	yamato
出血	krvarenje
タンゴ	tanga
タンゴ	tango
濡れ	vlažno
濡れ	mokar
濡れ	mokro
濡れ	mokra
濡れ	mokri
ロンド	rondo
キックボクシング	kickboxing
台北市	taipei
諮問	konzultacije
諮問	konzultacija
火事	vatra
ジュリエット	juliet
ジュリエット	julija
マクラーレン	mclaren
プファルツ	pfalz
オアシス	oaza
赤道	ekvator
クウェート	kuvajt
クウェート	kuvajtski
疲労	iscrpljujuće
疲労	umor
疲労	umora
疲労	iscrpljenosti
平壌	pyongyang
国々	države
国々	zemljama
国々	zemlje
ディー	dee
タコ	hobotnica
内訳	slom
ジャイアント	div
ジャイアント	divovski
バディ	druze
出願	prijava
出願	primjena
出願	aplikacija
ウォーレン	warrena
ウォーレン	warren
銃弾	metak
妥協	kompromis
妥協	kompromisa
ピストン	klip
鉄拳	tekken
グラミー	bakica
抗体	antitijela
抗体	imunoglobulin
抗体	antitijela
トモ	tomo
風船	balona
風船	balonu
風船	balon
風船	baloni
風船	balone
おばさん	teta
おばさん	strina
おばさん	tetka
おばさん	teta
おばさん	tetka
リターン	povratak
ユーラシア	euroazijska
安定性	stabilnost
安定性	stabilnosti
コメディアン	komičar
コメディアン	komičari
フェリックス	felix
副官	pobočnik
エレクトロニクス	elektroniku
エレクトロニクス	elektronike
パトロール	patrola
パトロール	patrole
パトロール	ophodnja
クレーター	kratera
クレーター	kratera
クレーター	krater
キャピタル	kapitala
キャピタル	kapital
チャット	čavrljanje
チャット	razgovor
チャット	chat
高句麗	goguryeo
糖尿病	dijabetes
ディズニーランド	disneyland
エルフ	vilenjak
エルフ	vilenjaci
バーガー	burger
バーガー	hamburger
カリウム	kalij
サバイバル	opstanak
サバイバル	preživljavanje
シックス	šest
蛍光	fluorescentna
蛍光	fluorescencija
可愛い	slatke
可愛い	sladak
可愛い	slatko
可愛い	slatki
可愛い	slatka
可愛い	lepa
可愛い	lijepa
可愛い	zgodna
スピリット	duh
スピリット	duše
グアム	guam
民兵	milicije
民兵	milicija
側室	konkubina
側室	konkubine
ルター	luther
共鳴	rezonancije
ジュリアン	julian
チャーチル	churchill
チャーチル	churchilla
ロフト	potkrovlje
まゆみ	mayumi
湯川	jukava
シャム	sijamski
シャム	sham
帰属	pripisivanje
モモ	breskve
モモ	momo
モモ	breskve
コンボ	kombinacija
デンバー	denveru
デンバー	denver
感度	osjetljivost
正午	podne
ハント	lovi
ハント	hunt
ハント	lov
ドレスデン	dresden
欠席	odsutan
欠席	odsutni
欠席	odsutna
欠席	izostanak
欠席	odsutnost
欠席	odsustvo
欠席	odsutnosti
口座	račun
批准	ratifikaciju
説教	propovijedi
説教	propovijeda
説教	propovijed
説教	propovijedi
説教	propovijedati
フルーツ	voće
フルーツ	voce
フルーツ	voćni
フルーツ	plod
フルーツ	voće
フルーツ	plodovi
フルーツ	voce
カウンティ	županije
カウンティ	okrugu
カウンティ	okrug
カウンティ	županija
カウンティ	kotar
カウンティ	županije
返済	otplate
チャネル	kanali
チャネル	kanale
チャネル	kanal
チャネル	channel
尾根	ridge
ウェスタン	zapadna
ウェスタン	zapadni
ウェスタン	western
スキャン	skeniranje
スキャン	skeniranja
スキャン	skeniranje
敬意	respekt
敬意	poštovanje
オリエンタル	orijentalni
鋭い	oštar
鋭い	oštri
鋭い	oštro
鋭い	oštra
鋭い	sharp
お茶	tea
お茶	čaj
お茶	čaja
クローズ	zatvori
ダイナマイト	dinamit
コリンズ	collins
飲む	pila
飲む	pije
飲む	pijem
飲む	piće
オークション	aukcije
オークション	aukcija
オークション	aukciju
オークション	aukciji
オークション	aukcije
ポータブル	prijenosni
モンロー	monroe
産卵	mrijesta
トラップ	zamka
トラップ	trap
トラップ	zamke
トラップ	klopke
ローテーション	rotacija
フェアリー	vila
フェアリー	vilo
フェアリー	fairey
ポット	lonac
ポット	pot
マッカーサー	macarthur
ハチ	osa
ハチ	wasp
ハチ	pčele
ハチ	ose
ミッチェル	mitchell
カルト	kult
消える	nestaje
消える	nestaju
消える	nestati
テンション	napetost
テンション	napetosti
テンション	tenzija
個別に	pojedinačno
ジャスト	samo
フォーカス	fokus
ナムコ	namco
分化	diferencijacija
ウエスタン	zapadna
ウエスタン	zapadni
ウエスタン	western
ラトビア	latviji
ラトビア	latvijski
酢酸	acetat
スタンプ	pečat
スタンプ	žig
スタンプ	naljepnice
スタンプ	sličice
スタンプ	naljepnica
スタンプ	panj
スタンス	stajalište
発令	izdavanje
激戦	žestok
おいしい	ukusno
おいしい	ukusno
おいしい	ukusna
停滞	stagnacije
停滞	stacionarne
カブス	mladunce
カブス	mladunci
照射	izlaganja
照射	izloženosti
照射	izloženost
照射	izlaganje
クルーザー	krstarica
アーカンソー	arkansasu
マナー	bonton
マナー	maniri
マナー	manire
バットマン	batman
バットマン	batmana
裁定	vladajuća
裁定	vladanje
タイル	pločica
タイル	pločice
タイル	pločice
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
レジスタ	blagajne
レジスタ	registrira
レジスタ	registar
レジスタ	registrirati
ピュア	čista
ピュア	cista
ピュア	čisto
蒸留	destilacija
蒸留	destilirana
フレイ	frey
フレイ	fra
ミッドフィールダー	veznjak
墨田	sumida
ブーツ	čizma
ブーツ	čizme
出版物	publikacija
出版物	objavljivanje
ヒューズ	hughes
ヒューズ	osigurač
ヒューズ	fitilj
問い合わせ	upita
問い合わせ	upit
問い合わせ	upite
問い合わせ	upiti
連帯	solidarnost
連帯	solidarnosti
ポーター	portir
ポーター	porter
帰宅	doma
帰宅	kući
帰宅	dom
メイキング	izrada
メイキング	pravljenje
エフェクト	učinci
エフェクト	efekti
エフェクト	efekt
エフェクト	efekta
エフェクト	efekat
エフェクト	učinak
野間	noma
デス	smrt
デス	smrti
バター	maslac
バター	maslaca
バター	putar
教職員	fakultet
教職員	fakulteta
教職員	nastavnici
結核	tuberkulozu
ヨルダン	jordanski
ヨルダン	jordan
恵那	ena
コバルト	kobalt
ソフトボール	softball
アルビレックス	albirex
起業	poduzetnik
起業	poduzetnika
起業	poduzetništva
欠陥	mana
欠陥	defekt
欠陥	nesavršenosti
未完	nedovršen
コブラ	kobra
コブラ	cobra
シスター	sestro
シスター	sestra
シスター	sister
グリル	grill
グリル	roštilja
グリル	roštilj
脂肪	masti
脂肪	debelo
脂肪	masno
脂肪	debela
脂肪	debeli
回顧	retrospektivu
アーネスト	ernest
眠る	spavanje
眠る	spavaj
アスレチック	atletski
彼氏	dečko
彼氏	dečka
エミー	amy
迫害	progon
迫害	progonili
手数料	povjerenstvo
手数料	komisija
手数料	komisije
手数料	provizije
手数料	naknada
手数料	honorar
手数料	naknadu
手数料	naknada
手数料	naknade
バドミントン	badminton
ザック	zac
陶器	lončarstvo
スクリプト	skripte
スクリプト	scenarija
スクリプト	skripte
スクリプト	scenarij
トライアングル	trokut
溶岩	lave
溶岩	lavu
溶岩	lava
フィニッシュ	završi
異端	herezu
異端	heretičkih
真似	imitirati
真似	oponašati
フン	hun
ハス	lotus
メグ	meg
ボールド	hrabar
トッド	todd
入浴	kupanje
入浴	kupanje
入浴	kupka
ハング	hung
ハング	objesio
ハング	obješen
ハング	objesiti
ハング	objesi
流体	tekućine
流体	tekućina
流体	tekućine
ジュネーヴ	ženevi
ハーバート	herbert
お菓子	slatkiši
未完成	nedovršen
未完成	nepotpuna
ブレーメン	bremen
チューブ	cijev
ヒゲ	brade
林業	šumarstva
変装	prerušen
祐介	yusuke
シグナル	signali
シグナル	signal
シグナル	signala
オリーブ	maslina
オリーブ	olive
オリーブ	masline
オリーブ	maslinovo
オリーブ	maslina
オリーブ	masline
面接	intervju
ダイエット	dijeta
ダイエット	dijetu
ダイエット	prehrana
ダブリン	dublinu
ダブリン	dublin
信念	vjere
信念	vjera
信念	vjeru
信念	vjerovanje
信念	uvjerenje
信念	uvjerenja
信念	vjerovanja
スチュアート	stuart
ワイヤー	žica
ワイヤー	žicu
ワイヤー	žice
ワイヤー	žice
アルブレヒト	albrecht
バレル	bure
バレル	cijev
バレル	bačva
サンティアゴ	santiago
碑文	natpis
碑文	natpise
一樹	kazuki
ブルターニュ	brittany
審判員	sudija
審判員	sudac
審判員	suce
スレッド	razgovor
スレッド	lanci
スレッド	konac
スレッド	nit
スレッド	razgovore
スレッド	razgovori
スレッド	razgovorima
正和	shōwa
ドラキュラ	drakula
ドラキュラ	dracula
ルネ	rené
ルネ	rené
ルネ	rene
桟橋	mol
桟橋	molu
桟橋	pristanište
亜鉛	cink
グラハム	graham
デューク	duke
デューク	vojvoda
語彙	rječnik
コーディネーター	koordinator
ソナー	sonar
充電	naboj
充電	naplatiti
充電	punjenja
充電	punjenje
充電	napuniti
グラブ	zgrabi
バーミンガム	birminghamu
マイヤー	meyer
守谷	moriya
リリー	lili
リリー	lily
大工	stolar
大工	carpenter
大工	stolari
チャイ	chai
ワクチン	cjepiva
ワクチン	cjepivo
ワクチン	cjepiva
監獄	zatvor
デラウェア	delaware
破片	krhotine
ペーター	petre
ペーター	peter
ペーター	petra
ペーター	petar
買い物	kupovinu
買い物	šoping
買い物	kupnja
買い物	shopping
買い物	kupovina
既婚	oženjen
陽性	pozitivni
陽性	pozitivna
陽性	pozitivno
陽性	pozitivan
チョーク	krede
チョーク	gušiti
エコー	eho
エコー	jeka
エコー	odjek
エコー	echo
スイング	zamah
クランク	ručica
コミュニティー	zajednica
コミュニティー	zajednice
施策	police
トラクター	traktore
トラクター	traktora
トラクター	traktor
カリスマ	karizmu
吹く	udarci
吹く	puše
下着	gaće
下着	rublje
淡水	slatkovodni
分泌	lučenje
ドキドキ	uzbudljivo
和光	wako
高井	takai
驚き	iznenađenje
ジェフリー	jeffrey
廃墟	ruševinama
廃墟	ruševine
廃墟	ruševina
深度	dubina
配当	distribucija
配当	dividende
故意	namjerno
故意	namjerno
故意	namjerno
ニコ	nico
ニコ	niko
クロム	krom
クロム	krom
預言	proročanstvo
預言	proročanstva
掲示	objavljivanje
掲示	bilten
パスポート	putovnice
パスポート	putovnica
カロリー	kalorija
カロリー	kalorija
消化	probavu
ヘビ	zmija
ヘビ	snake
ヘビ	zmije
膨張	proširenja
膨張	širenje
膨張	proširenje
バッジ	značku
