stavropolio	ставрополь
anastasija	анастасія
žygiavo	піднявся
semionas	семен
sapnai	сни
sapnai	снів
sapnai	мрій
sapnai	мрії
sapnai	dreams
kirilica	кирилиця
gerina	покращує
nicola	нікола
mechaninis	механічна
mechaninis	механічний
mielių	дріжджі
pakrikštytas	хрещений
herman	герман
drambliai	слони
drambliai	слонів
leonė	леоне
geometrijos	геометрія
rokoko	рококо
anglys	вугілля
irma	ірма
klr	кнр
sirupas	сироп
liaudis	народний
liaudis	народного
liaudis	фольклор
liaudis	народні
liaudis	фолк
liaudis	народна
konrad	конрад
che	че
che	che
rūkymas	курити
rūkymas	куріння
rūkymas	палити
rūkymas	паління
sąmokslo	змова
paklusti	дотримуватись
pėdomis	слідами
limp	limp
stebėjimai	спостереження
stebėjimai	спостережень
stebėjimai	спостереження
nurodymai	інструкції
nurodymai	настанови
nurodymai	вказівки
bundesarchiv	bundesarchiv
pieva	лузі
biala	біла
powell	павелл
pasaulietinės	вікова
pasaulietinės	вікові
japonica	japonica
orlaiviai	літак
orlaiviai	літаків
orlaiviai	авіаційна
įvaizdžio	досконалості
įvaizdžio	досконалість
tikslios	точні
tikslios	точна
tikslios	акуратно
drėkinimo	зрошення
genai	гени
šieno	хей
šieno	сіно
galingų	могутній
galingų	міць
galingų	могутні
nissan	nissan
baptiste	батіст
baptiste	батист
xxiii	xxiii
nervai	нерви
nėščia	вагітна
nėščia	вагітності
nėščia	вагітною
nėščia	вагітні
tostring	tostring
euras	євро
tomasz	томаш
atsistatydinimo	звільнення
švyturio	маяк
susitarimai	аранжування
susitarimai	угод
sunkvežimis	вантажівка
eto	ето
kalifatas	халіфат
genesis	буття
drėgnumas	вологість
genetiniai	генетичний
kenneth	кеннет
okupuotoje	зайнятого
okupuotoje	зайняте
okupuotoje	зайнято
programuotojas	розробник
programuotojas	розробника
skandalas	скандал
moll	молл
vertinga	збагачення
vertinga	цінні
vertinga	корисна
vertinga	цінний
kapitolijaus	капітолій
audrų	бурі
audrų	весні
laiptų	сходи
dekoruoti	декору
dekoruoti	прикрасити
poniatovskis	понятовський
vežimo	віз
vežimo	вагон
jaroslavlio	ярославський
fermentai	ферменти
levinas	левін
susidūrimas	зіткнення
navbox	navbox
mažylis	немовля
mažylis	малятко
mažylis	дитина
jeep	jeep
jeep	джип
kalė	сука
skundas	заклик
skundas	апеляцію
skundas	звернення
snoop	snoop
kieno	чиє
kieno	чиї
kieno	чия
kieno	чий
geograph	geograph
astronomai	астрономи
pagrobti	вивезти
kaštonų	каштан
kompleksų	кластерами
butas	квартира
tarpininkas	посередник
iliustratorius	ілюстратор
sauga	безпека
kepler	kepler
ožys	коза
ožys	цап
ožys	козу
ožys	козел
pokalbis	спілкування
pokalbis	розмови
pokalbis	розмова
pokalbis	бесіда
stabilizatorius	стабілізатор
aufl	aufl
atidėti	відкладення
atidėti	відкласти
atidėti	відкласти
štirijos	штирія
pėstininkas	пішак
kano	kann
kvarco	кварц
šopeno	шопен
šopeno	шопена
endriu	ендрю
poznanėje	познань
poznanėje	познані
bendrieji	загальні
bendrieji	генерал
bendrieji	загальний
bendrieji	загальне
samdiniai	найманців
tao	тао
gėjų	геї
gėjų	голубий
gėjų	гей
kurdistano	курдистан
rašant	написання
rašant	запис
rašant	писати
rašant	запису
chromo	хром
kostiumas	костюм
firefox	firefox
hablo	габбл
lježo	льєж
kirpėjas	перукар
naviko	пухлина
atviri	вироків
cirkas	цирк
gorkis	горького
sąskaitos	обліку
sąskaitos	рахунки
bsd	bsd
nusikaltėlis	зловмисник
nusikaltėlis	злочинець
nusikaltėlis	винуватця
kriaušės	груші
kriaušės	груша
kriaušės	груші
jautrus	чутливі
jautrus	урахуванням
dominuoti	захоплюють
skola	борг
skola	боргу
pusmėnulio	півмісяць
chuck	чак
senelė	бабусі
senelė	бабуся
senelė	бабця
senelė	бабусю
koncertmeisteris	концертмейстер
opel	opel
derry	деррі
sprogmenų	вибуховий
lašišos	лосось
fussballdaten	fussballdaten
rankraščiai	рукописи
alyvos	бочку
alyvos	бочка
alyvos	фарбами
kamieninių	stem
bilis	біллі
vyšnios	сакури
vyšnios	вишенька
vyšnios	вишні
verona	верона
eng	укр
wyd	wyd
stipriau	складніше
stipriau	важче
nematomas	невидимі
nematomas	невидимий
ssc	ssc
kėdės	крісла
kėdės	стільці
kėdės	стільців
kėdės	крісло
kėdės	стілець
įspūdingas	вражає
įspūdingas	вражаюче
įspūdingas	вражаюча
greita	швидкі
greita	швидко
greita	швидке
greita	швидка
greita	швидкий
greita	швидко
greita	швидкі
greita	швидке
greita	швидка
greita	фаст
greita	швидкий
paaiškinimas	пояснення
fortuna	фортуна
jungtys	інтерфейсів
jungtys	інтерфейси
nedarbas	безробіття
akira	акіра
katalogo	каталог
altas	sax
verslininkai	підприємців
gao	гао
opus	opus
agresijos	агресія
joão	жуан
bonus	бонус
electro	електро
balansas	баланс
samsung	самсунг
samsung	samsung
rebelde	буремний
plytos	блоки
plytos	цегла
nykstančių	зникнення
faktais	гарантовані
faktais	гарантую
idris	ідріс
miega	забуте
miega	спить
tiuringijos	тюрингія
naikinimas	близьке
naikinimas	попасти
naikinimas	визнають
naikinimas	крах
siekius	жагою
eminem	eminem
bradley	бредлі
metisai	метиси
profesionaliai	професійно
tyrėjų	детективи
tyrėjų	детективів
tikrovė	реальність
tikrovė	реаліті
griežti	строга
griežti	суворий
griežti	хардкор
onkologijos	онкології
kirilas	кирило
horizontali	горизонтальний
horizontali	горизонтальна
horizontali	горизонтальне
horizontali	горизонтально
drausmės	дисциплінарна
jerome	джером
originalas	пірати
mori	морі
cao	цао
įvartis	blink
koordinavimo	координації
koordinavimo	координацію
koordinavimo	комплексні
koordinavimo	координаційної
koordinavimo	координація
porai	лік
stiprina	підсилювач
stiprina	зміцнює
šiukšlių	сміття
šiukšlių	сміття
šiukšlių	маячня
tonumber	tonumber
prisiminti	згадувати
prisiminti	згадуючи
konsultacijų	консультацію
konsultacijų	консультація
konsultacijų	консультації
jure	юре
dingsta	зникає
dingsta	зникне
dingsta	сховався
dingsta	пропаде
dingsta	зникнути
dingsta	зникають
kilme	джерело
kilme	походження
pipirai	перець
sekmadienis	неділя
alisa	аліса
alisa	еліс
zagora	загора
šiltos	тепло
šiltos	теплі
šiltos	тепла
buto	квартира
būtinybė	необхідність
sundos	зондські
laimėjimai	досягнення
marse	марсі
bušas	буш
sochaux	сошо
dao	dao
vankuverio	ванкувер
realybė	реальність
realybė	реаліті
tobias	тобіас
auguste	огюст
rojas	рохас
rowling	роулінг
libertadores	лібертадорес
lankai	луками
gražu	прекрасні
gražu	красивий
gražu	красива
gražu	красиві
gražu	гарно
plaučius	легені
mustafa	мустафа
demonstracijos	демонстрацій
demonstracijos	демонстрації
livonija	лівонія
matavimai	виміри
matavimai	вимірювання
dumbliai	водорості
uraganas	ураган
gridcolor	gridcolor
ska	ска
mstislavas	мстислав
delavero	делавер
suopis	канюк
dalmatijos	далматинська
stipendijos	субсидії
stipendijos	стипендії
spektras	спектр
wikidata	вікідані
nino	ніно
nuosprendis	вердикт
okb	окб
robertson	робертсон
judas	юда
žiurkė	пацюк
žiurkė	щур
žiurkė	rattus
tešla	тісто
arterijų	судини
tuščia	бланк
tuščia	порожній
baladė	балада
transformacijos	трансформація
transformacijos	перетворення
pardavėjas	продавця
pardavėjas	продавець
pabėgėliai	біженців
pabėgėliai	біженців
keistas	дивний
keistas	дивна
keistas	дивне
keistas	дивно
keistas	дивний
keistas	дивна
keistas	дивним
keistas	дивно
keistas	дивні
lingua	lingua
mafija	мафія
ertmėje	лопатки
rifai	рифи
gazos	гази
gazos	газа
endeminių	endemic
patiekalus	посуд
patiekalus	страв
patiekalus	страви
ūmėdė	сироїжка
vėliavas	банери
klesti	процвітає
skystas	рідкий
skystas	рідини
skystas	рідина
achilo	ахіллес
ciklų	циклів
wrocław	вроцлав
wrocław	wrocław
smithsonian	смітсонівський
ekologinė	екологічної
ekologinė	екологічна
ekologinė	екологічний
pranešimo	сповіщення
pranešimo	інформує
tyliai	тихо
tyliai	тихенько
tyliai	мовчать
tyliai	тихо
vandalai	вандали
porter	портер
discogs	discogs
šviesi	яскраві
šviesi	яскраве
šviesi	яскрава
šviesi	зійшла
sligo	слайго
delle	делле
patogiau	зручно
patogiau	комфортний
patogiau	зручні
patogiau	зручне
patogiau	зручний
patogiau	затишний
padažas	соус
padažas	соусом
potencialiai	потенційно
receptorius	рецептор
receptorius	рецептори
neigia	забороняє
zylė	синиця
esbo	обсє
amour	амур
staigus	гострий
staigus	гострі
šlovė	град
šlovė	богородице
žavėjosi	захоплювалася
montažas	монтаж
dravidų	дравідійські
berberai	бербери
sviedinys	гарматна
cole	коул
proporcingas	пропорційно
polydor	polydor
patobulinta	оновлено
lgbt	лгбт
vadove	посібник
vadove	провідник
vadove	путівник
vadove	гід
madam	мадам
madam	madame
ritualas	ритуал
estai	естонці
fabio	фабіо
palestiniečių	палестинці
balsis	голосний
balsis	піднесення
įsivaizduoti	уявляли
įsivaizduoti	видається
revoliucinė	революційний
grunge	грандж
poseidonas	посейдон
clarkson	кларксон
sklypų	графіки
sklypų	посилки
krizių	криз
cellpadding	cellpadding
maximus	максим
kolegos	колеги
pokalbio	спілкування
pokalbio	розмови
pokalbio	розмова
pokalbio	бесіда
asirija	ассирія
vakar	вчора
vakar	учора
violetinė	фіолетовий
oliveira	олівейра
aparatūra	приналежність
aparatūra	апарат
akvariumas	акваріум
atari	atari
pokerio	покер
remiama	спонсор
chamberlain	чемберлен
skliaustuose	дужки
blokavimo	блокування
sorbų	лужицький
esminė	критична
esminė	критичні
esminė	критичний
jaguar	jaguar
troleibusų	тролейбус
lamborghini	lamborghini
