sudbine	öden
formacije	formationer
napoleona	napoleon
magazine	tidningar
magazine	tidskrifter
procesor	processorer
procesor	processor
pearl	pärlan
pearl	pärla
pearl	pearl
hanibal	hannibal
unuka	barnbarn
unuka	dotterdotter
obećao	utlovade
obećao	lovade
obećao	utlovas
obećao	lovat
obećao	lovad
čovječanstva	mänskligheten
zabranjen	begränsad
zabranjen	begränsade
zabranjen	begränsat
leonard	leonard
düsseldorf	düsseldorf
hrabrost	kurage
hrabrost	modet
hrabrost	mod
prenos	växellåda
prenos	transmission
prenos	överföring
prenos	sändning
bojan	bojan
craig	craig
nizak	låga
nizak	lågt
nizak	low
nizak	låg
nominaciju	nominering
nominaciju	nominerad
nominaciju	utnämning
žice	kablar
žice	sladdar
spajanje	samgående
spajanje	fusion
spajanje	sammanslagning
spajanje	sammanfoga
spajanje	sammanfogning
spajanje	sammanfoga
spajanje	samgående
spajanje	sammanfogning
spajanje	sammanslagning
moždine	sladd
moždine	sladden
dominiraju	dominerar
dominiraju	dominera
dominiraju	domineras
dominiraju	dominerade
dominiraju	dominerat
krov	taket
krov	tak
église	église
aus	aus
sedamdesetih	sjuttiotalet
dalo	beviljat
dalo	beviljats
dalo	beviljad
dalo	beviljas
dalo	beviljade
omotač	mantel
omotač	mantle
oblaka	molnen
oblaka	moln
rekonstrukcija	återuppbyggnad
rekonstrukcija	rekonstruktion
bint	bint
suha	torrt
suha	torka
suha	torra
suha	torr
klinika	klinik
klinika	kliniken
cook	cook
cook	kock
vukovar	vukovar
zadržala	hållit
zadržala	höll
zadržala	behöll
zadržala	behållit
zadržala	behållit
zadržala	behålls
torres	torres
dxc	dxc
mužjak	manlig
mužjak	manliga
mužjak	hane
mužjak	manligt
neriješenih	olöst
neriješenih	olösta
slaba	svagt
slaba	klen
slaba	svaga
slaba	svag
sateliti	satelliterna
sateliti	satelliter
sateliti	satellit
sateliti	satelliten
duet	duett
jama	grop
jama	gropen
jama	jama
izgrađeno	byggt
izgrađeno	byggda
izgrađeno	byggd
izgrađeno	byggde
nikolaj	nikolaj
nikolaj	nikolai
sumnja	tvekan
sumnja	tvivel
sumnja	tvivlar
sumnja	tvivel
sumnja	misstänks
sumnja	misstänkte
sumnja	misstänkta
sumnja	misstänkt
kanjon	canyon
lične	personlig
lične	personliga
lične	personligt
isus	jesus
dunav	donau
utvrditi	identifiera
utvrditi	avgör
phil	phil
snimke	filmklipp
snimke	videor
snimke	videos
snimke	videoklipp
hlor	klor
opsada	belägring
opsada	belägringen
wild	wild
wild	vilt
wild	frilevande
wild	vilda
wild	vild
mrtav	död
mrtav	döda
mrtav	dött
mrtav	dead
aparata	anordningar
aparata	apparater
aparata	apparatur
aparata	apparat
aparata	apparater
#ff	#ff
dijalog	dialogen
dijalog	dialog
edu	edu
efikasnost	effektiviteten
efikasnost	verkningsgrad
efikasnost	effektivitet
predak	förfader
susan	susan
sjednici	session
sjednici	sessionen
sveto	fy
sveto	heliga
sveto	helig
sveto	helige
sveto	heligt
higgins	higgins
usne	läpparna
usne	läppar
osa	geting
adnan	adnan
radeći	jobbar
radeći	arbeta
radeći	fungerar
radeći	fungerande
radeći	arbetar
sektora	branscher
sektora	sektorer
boleyn	boleyn
pozitivna	positivt
pozitivna	positiv
pozitivna	positiva
preostali	kvarvarande
preostali	återstår
preostali	återstående
preostali	resterande
izračunati	beräkna
pozvan	bjuden
pozvan	inbjudna
pozvan	bjöd
pozvan	inbjuden
leverkusen	leverkusen
plate	lön
plate	betalar
plate	betala
plate	löner
kontinentalna	continental
kontinentalna	kontinental
kontinentalna	kontinentala
definisan	definierad
definisan	definierat
definisan	definieras
definisan	definierade
monk	munken
monk	munk
apolon	apollo
mišićima	muskler
mišićima	musklerna
ambasador	ambassadören
ambasador	ambassadör
billboard	skylt
paula	paula
povezivanje	nätverk
povezivanje	koppla
povezivanje	anslut
povezivanje	ansluta
vijenac	krans
gilbert	gilbert
izjava	uttalande
adrese	adresser
len	len
jedinstveni	unik
jedinstveni	unika
jedinstveni	unikt
raspolaganju	tillgänglig
raspolaganju	tillgängligt
raspolaganju	tillgängliga
dream	dream
dream	dröm
zlatan	zlatan
završiti	slutför
završiti	avsluta
plazme	plasma
obnove	förnyat
obnove	förnyelse
ograničene	limited
ograničene	begränsat
ograničene	begränsade
ograničene	begränsad
centrima	centra
vjenčanje	bröllop
float	flyter
float	flyta
float	svävar
cleveland	cleveland
poštovanje	respekt
poštovanje	respekten
poštovanje	respekterar
poštovanje	respektera
nepoznati	okända
nepoznati	okänd
nepoznati	okänt
ranjen	sårad
ranjen	skadad
ranjen	skadade
ranjen	sårade
imperije	imperier
osnivači	grundare
osnivači	grundarna
otpornost	motståndskraft
call	ring
call	call
call	samtal
call	ringa
dnevni	dagligen
dnevni	daglig
dnevni	dagliga
dnevni	daily
odabrao	valde
odabrao	välja
odabrao	väljer
odabrao	välj
derviš	dervish
računari	datorer
zaustaviti	stanna
zaustaviti	sluta
zaustaviti	stop
zaustaviti	stopp
zaustaviti	stoppa
gladi	svältande
