che	kad
come	kaip
come	lyg
come	kaip
dal	dal
più	daugiau
team	komanda
due	du
tra	eurus
suo	jo
parte	dalies
parte	dalis
stato	būsena
stato	statusą
stato	būklė
stato	būsenos
questo	šio
esterni	išorės
collegamenti	nuorodos
serie	serija
serie	serijos
serie	serie
cet	cet
questa	šio
film	filmų
film	filmai
film	filmuose
film	filmai
film	filmus
film	filmas
film	plėvelė
film	filmas
film	filmai
città	miestai
solo	tik
solo	tik
solo	tiesiog
loro	jais
loro	jas
loro	joms
loro	jiems
loro	jomis
loro	juos
loro	jie
poi	tada
msg	msg
sia	sia
dove	kur
anno	anno
voci	įrašai
voci	gandai
voci	balsų
tre	tre
molto	labai
molto	daug
comune	bendras
comune	dažni
stagione	sezonas
stati	narės
dai	dai
calciatore	futbolininkas
tempo	laiko
tempo	laikas
grande	didelių
grande	dideli
grande	didelis
grande	didelės
grande	dideli
grande	didysis
grande	didelis
grande	puikiai
grande	puiku
grande	puiki
guerra	karas
guerra	karo
guerra	karui
guerra	karyba
sempre	visada
fatto	faktas
volta	volta
storia	istorijos
storia	pasakojimas
storia	istorija
storia	istorijos
storia	istorija
album	albumai
già	jau
ancora	dar
finale	finale
finale	galutiniai
finale	galutinis
finale	galutinė
finale	finalas
vita	gyvenimo
vita	gyvybės
vita	gyvybė
vita	gyvenimas
vita	vita
vita	juosmens
shift	pamaina
campionato	čempionatas
campionato	čempionato
mondo	mondo
tutto	viskuo
tutto	visko
tutto	viską
tutto	viskas
circa	apie
altro	daugiau
calcio	futbolas
calcio	futbolo
calcio	futbolas
calcio	futbolo
calcio	kalcis
calcio	kalcio
famiglia	šeima
famiglia	šeimos
famiglia	šeimyna
milano	milanas
milano	milano
via	šalin
modo	būdu
modo	būdas
casa	namas
generale	bendri
generale	bendra
generale	bendrieji
squadra	būrys
squadra	komanda
sue	siu
giugno	birželis
giugno	birželio
questi	šių
agosto	aug
politico	politikas
opera	opera
opera	opus
fra	fra
fra	eurus
aprile	balandis
giovanni	giovanni
grazie	dėkui
grazie	ačiū
lui	jį
morte	mirtis
morte	mirties
febbraio	vasaris
inglese	anglų
interno	interjero
interno	vidaus
qui	čia
qui	cia
nord	nord
provincia	provincija
attore	aktorė
attore	aktorius
coppa	coppa
coppa	taurė
codice	codex
oggi	šiandienos
oggi	šiandien
punto	punto
tuttavia	tačiau
figlio	sūnus
corso	žinoma
allenatore	treneris
allenatore	treneris
allenatore	trenerio
molti	daug
società	visuomenė
società	bendrovė
società	įmonė
società	bendrovės
società	kompanija
club	klubas
discussione	diskusijos
discussione	aptarimas
discussione	diskusija
discussione	diskusijos
discussione	debatai
padre	tėvas
padre	padre
linea	linija
linea	linea
pubblicato	nustačiusi
carlo	karlas
carlo	karl
progetto	projekto
progetto	projektas
mai	mai
mai	gegužė
lungo	ilgai
lungo	ilga
lungo	ilgas
uniti	jungtinės
uniti	jungtinė
lavoro	darbas
lavoro	darbas
isbn	isbn
specie	rūšis
specie	rūšių
specie	rūšys
volte	kartus
rispetto	pagarba
francesco	pranciškus
francesco	francesco
genere	lytis
queste	šių
cosa	kas
cosa	ko
cosa	kokie
militare	karinė
militare	karinis
militare	karinės
uomo	vyru
uomo	vyras
uomo	žmogus
campo	laukas
carriera	karjera
carriera	karjeros
carriera	karjerai
carriera	karjera
carriera	karjeros
mar	tr
scritto	parašiau
scritto	parašė
scritto	rašė
ora	dabar
gen	gen
antonio	antanas
antonio	antonijus
giuseppe	joseph
giuseppe	giuseppe
quasi	beveik
terra	terra
allora	tada
successo	sėkmė
successo	sėkmės
opere	kūriniams
opere	veikia
opere	kūriniai
opere	darbai
produzione	gamyba
produzione	gamybos
strada	gatvė
strada	gatvės
strada	kelias
strada	kelių
strada	kelio
corpo	kūno
corpo	kūnas
col	col
col	pulkininkas
quest	žygis
file	failas
lingua	lingua
lingua	kalbos
lingua	kalba
zona	zona
premio	priemoka
premio	priemokos
premio	prizo
premio	prizas
premio	prizą
premio	premija
attrice	aktorė
ott	ott
disciplina	disciplinos
disciplina	drausmė
disciplina	disciplina
momento	akimirką
momento	momentas
momento	akimirka
mag	mag
studio	studijoje
studio	studija
studio	studio
studio	studijos
oro	auksinis
oro	aukso
oro	gold
oro	auksas
cantante	dainininkė
età	amžiaus
età	amžius
storico	istorinis
storico	istorinė
storico	istorikas
storico	istoriniai
storico	istorinis
storico	istorinė
york	york
squadre	komandos
squadre	komandas
precedente	precedentas
precedente	ankstesnė
precedente	ankstesnis
precedente	ankstesnių
episodi	epizodai
chi	chi
chi	kas
chi	kurie
paolo	paulius
possibile	įmanoma
nov	nov
regista	direktorius
punti	taškai
grandi	didelių
grandi	dideli
grandi	didelis
grandi	puikiai
grandi	puiku
grandi	puiki
grandi	didelės
grandi	dideli
grandi	didysis
grandi	didelis
palazzo	pilies
giocatore	žaidėjas
università	universitetų
università	universitetai
università	universitetas
isola	sala
isola	islandija
isola	islandijos
isola	salos
capo	žaliojo
capo	bose
capo	bosas
divisione	kvadratas
ago	adatos
ago	adatą
ago	adata
ago	adatų
nonostante	nepaisant
sembra	atrodo
gioco	žaidimas
luigi	louis
luigi	dole
vittoria	viktorija
porta	durys
porta	durų
porta	porta
america	amerikoje
america	amerika
america	amerikos
origine	kilmė
origine	kilme
presenza	buvimas
libro	knygą
libro	knyga
scuola	mokykla
scuola	mokyklos
esercito	karinė
esercito	karinis
esercito	karinės
esercito	armijos
esercito	kariuomenė
esercito	armija
deve	turi
personaggio	persona
torneo	turnyras
torneo	turnyro
firenze	florencijos
madre	mama
madre	motina
stazione	stotis
stazione	stoties
pietro	pietro
studi	tyrimai
torino	turinas
cinque	cinque
basso	žemi
unità	vienetai
unità	vienybės
unità	vienybė
marcatori	zenklas
lei	lei
lei	ji
lei	jai
metri	metrų
metri	metras
metri	metrai
metri	metrų
testo	tekstas
tour	kelionių
tour	ekskursija
tour	kelione
tour	keliones
teatro	teatras
teatro	teatro
teatro	teatre
teatro	teatras
teatro	teatro
teatro	teatre
unico	unikali
unico	unikalus
papa	tėti
papa	popiežius
uomini	vyrai
visto	vizos
visto	viza
visto	vizų
massimo	daugiausiai
massimo	massimo
massimo	maximus
massimo	didžiausias
stile	stilius
germania	vokietija
donna	moteris
donna	moteris
donna	patelės
donna	moterys
donna	moterų
donna	patelė
castello	pilis
castello	pilies
distretto	rajonas
