年	ano
月	lúa
月	moon
月	meses
月	mes
月	ao
日	días
日	día
和	e
村	aldea
村	da
村	pobo
村	vila
人	home
人	meu
人	xente
人	persoas
人	a
人	pobo
大	grande
大	grandes
大	gran
他	el
他	que
他	está
重	pesada
重	pesados
重	pesado
重	forte
重	pesa
重	moito
重	peso
重	intenso
一	unha
一	un
但	pero
但	mais
也	tamén
拉	sacar
後	tras
後	de
後	despois
後	logo
留言	mensaxe
市	city
市	cidade
市	da
市	concello
新	novo
新	novas
新	nova
新	novos
或	ou
站	comisaría
站	estación
站	pé
州	estado
研究	estudar
研究	estudo
研究	estudamos
研究	despacho
研究	estudos
研究	estudios
研究	análises
研究	estudo
研究	investigación
研究	de
研究	investigacións
研究	investigar
日本	xapón
三	tres
三	3
前	de
前	antes
家	fogar
家	casa
家	á
家	na
近	preto
近	do
近	da
近	de
米	arroz
米	de
多	máis
使用	usando
使用	usar
使用	usan
使用	uso
使用	usamos
使用	usar
使用	usan
使用	adoitaba
使用	antes
王	king
王	rei
王	o
王	xurxo
公司	empresa
公司	compañía
公司	empresas
公司	as
公司	compañías
李	lee
一個	unha
一個	un
西	oeste
西	occidente
西	occidental
西	do
西	da
西	west
省	provincia
省	do
度	graos
度	16
卡	tarxetas
卡	cartas
卡	naipes
卡	as
卡	ás
卡	carta
卡	tarxeta
卡	de
卡	unha
卡	documento
二	dous
二	dúas
小	pequeno
小	pequenos
小	pequenas
小	pequena
小	pouco
小	algo
小	pequeno
小	pequena
小	diminutos
小	pequena
小	pequenos
小	diminuto
小	pequeno
小	minúsculas
小	diminuta
小	pequenas
相似	similar
相似	similares
相似	semellantes
相似	semellante
相似	parecido
相似	parecidas
區	zona
區	distrito
區	fiscal
區	do
區	área
區	zona
人口	poboación
人口	mundial
四	catro
四	4
政府	os
政府	gobernos
政府	goberno
政府	do
我	eu
我	que
我	non
將	vai
高	instituto
高	altos
高	alto
高	alta
高	alto
高	alta
美國	américa
美國	ee
美國	america
美國	estados
美國	unidos
美國	uu
美國	nos
集	conxunto
世界	mundo
南	sur
南	do
南	sudáfrica
路	estrada
路	camiño
五	cinco
五	5
金	ouro
金	de
巴	ba
林肯	lincoln
人民	xente
人民	persoas
人民	a
人民	pobo
包括	incluía
包括	moitos
包括	de
包括	incluíndo
包括	mesmo
包括	incluído
包括	incluídos
包括	a
包括	inclúe
峰	pico
峰	picos
峰	xemelgos
位於	atópanse
其他	outra
其他	outros
其他	outro
其他	outras
其他	aos
其他	outros
其他	demais
其他	outras
塔	torre
縣	do
縣	condado
縣	o
縣	nado
第一	primeiro
第一	primeira
時間	momento
時間	tempo
時間	vez
時間	hora
元	dolar
元	dólar
元	por
元	cartos
元	non
元	vai
元	vou
中國	china
六	seis
六	6
主要	principais
主要	importante
主要	maior
主要	principal
主要	importante
城	city
城	cidade
城	da
城	castelo
法	método
中心	centros
中心	centro
中心	center
中心	de
中心	centro
中心	cerne
線	liña
線	fila
線	liñas
線	de
線	trincheiras
線	frases
線	fío
第二	segundo
第二	segunda
山	montaña
山	montañosa
山	outeiro
山	hill
山	outeiros
山	924
山	montañas
山	das
山	andes
山	montes
山	lorenzo
山	montaña
山	monte
加	engadir
加	dous
加	máis
加	mais
太空	espazo
太空	espacio
太空	no
自己	min
自己	mesma
自己	mesmo
自己	eu
自己	me
主	señor
主	deus
主	lord
雷	ray
管理	de
管理	xestión
管理	dirección
管理	a
管理	se
管理	facelo
成為	nunha
成為	ser
成為	en
成為	se
建	construír
建	crear
建	construir
建	construida
建	construíu
建	construín
建	construímos
建	de
性	sexual
性	sexo
性	sexual
因此	así
因此	que
因此	entón
因此	tan
代表	representantes
代表	delegado
那	logo
那	despois
那	entón
那	e
那	daquela
海	mar
海	océano
海	océanos
這	isto
這	esta
這	este
大學	universidades
大學	universidade
大學	de
大學	da
大學	universidades
大學	universitaria
大學	universidade
大學	na
大學	estudantes
大學	facultade
大學	que
大學	college
大學	colexio
版	edición
版	versión
從	de
從	da
從	do
從	dende
原	orixinal
原	orixinais
工作	traballo
工作	traballo
工作	traballar
工作	traballos
工作	traballo
工作	traballando
工作	a
工作	traballar
工作	traballo
北	ao
北	norte
北	do
政治	política
政治	a
政治	políticas
政治	políticas
政治	políticos
政治	político
政治	política
星	estrela
星	star
星	estrelas
星	das
她	ela
她	que
他的	o
他的	seu
他的	súa
他的	seus
他的	a
勒	le
作品	funciona
作品	traballa
河	río
文化	cultura
文化	cultivo
文化	a
文化	culturas
迪	di
馬	cabalos
馬	os
馬	cabalo
馬	kingston
馬	ma
馬	mamá
馬	señora
氏	clan
氏	do
氏	dos
氏	clans
更	máis
電影	película
電影	filme
電影	cine
電影	cinema
電影	película
電影	filme
電影	filmes
電影	cinema
季	tempada
季	de
季	estacións
龍	pulmón
女	muller
女	unha
正式	formal
外	do
外	fóra
外	fora
美	fermoso
美	bonita
美	fermosa
美	precioso
美	fermosas
美	beleza
美	a
字	palabra
字	palabras
字	as
字	verbas
因為	porque
因為	por
不同	diferentes
不同	distintas
不同	distinto
不同	distintos
不同	diferente
它	é
足球	fútbol
目前	actual
目前	actuais
目前	que
目前	súa
目前	corrente
目前	estamos
目前	actualmente
目前	neste
目前	momento
所有	todo
所有	todos
所有	todas
中央	central
中央	primordiais
中央	centro
郡	do
郡	condado
郡	o
郡	nado
國家	unidos
國家	ee
國家	estados
國家	uu
國家	eua
國家	país
國家	estado
國家	nacional
國家	nacionais
國家	national
國家	países
國家	paises
國家	dos
球	bola
球	bóla
球	pelota
球	balón
生	materia
生	materias
但是	pero
但是	mais
街	rúa
街	street
提供	cama
提供	ofrecía
提供	a
城市	city
城市	cidade
城市	da
城市	cidades
城市	nas
一些	algúns
一些	algunhas
一些	algo
一些	de
一些	un
長	longo
長	longa
長	moito
長	tempo
水	auga
人物	carácter
軍	exército
軍	do
加入	á
加入	a
加入	aquí
加入	únete
如果	se
第三	terceira
第三	terceiro
第三	terzo
魚	peixes
魚	peixe
魚	pescar
回	volver
回	volta
回	atrás
無	ningunha
無	nada
無	ningún
無	non
無	é
你	que
東	leste
東	oriente
東	este
東	do
東	próximo
東	dong
英國	inglaterra
周	semana
周	á
周	semanas
石	de
石	pedra
石	a
事件	incidente
事件	accidente
事件	eventos
事件	sucesos
事件	feitos
事件	adversos
事件	os
事件	xuntanzas
事件	acontecementos
事件	acontecemento
事件	de
事件	eventos
事件	evento
事件	suceso
建立	creación
建立	construír
建立	crear
建立	construir
生活	vivo
生活	vivir
生活	vivindo
生活	vida
生活	vida
生活	a
教育	educativo
教育	educativas
教育	educación
教育	a
車站	comisaría
車站	estación
之後	tras
之後	de
之後	despois
之後	logo
國際	international
國際	internacional
國際	internacionais
獎	nobel
獎	pulitzer
獎	o
獎	premio
獎	premio
完成	rematei
完成	xa
完成	rematado
完成	remate
完成	acabado
完成	rematar
完成	rematou
完成	remataches
完成	a
完成	terminar
完成	rematar
完成	acabar
完成	unllas
完成	fixen
完成	feito
完成	fixemos
完成	facer
完成	fixeches
完成	total
完成	completa
完成	completar
完成	completo
白	brancos
白	branco
白	branca
白	brancas
音樂	música
音樂	musical
音樂	musicais
沙	area
他們	que
他們	eles
可能	posible
可能	sexa
可能	posíbel
分布	distribución
分布	de
地區	zonas
地區	áreas
地區	distrito
地區	fiscal
地區	do
地區	área
地區	zona
車	coche
車	auto
車	carro
車	coches
車	coche
車	autos
官	de
官	oficial
官	policía
官	axente
梅	poden
梅	pode
梅	maio
梅	que
梅	podo
中文	os
中文	chineses
中文	chinés
中文	chinesas
中文	chinesa
自由	liberdade
自由	a
自由	liberdade
自由	a
自由	libertade
自由	libre
自由	libres
自由	balde
黃	amarelos
黃	amarelas
黃	amarela
黃	marelo
黃	taxi
光	luz
重要	importancia
重要	importante
重要	importantes
工程	enxeñería
工程	enxeñaría
工程	funciona
工程	traballa
港	porto
港	porto
所以	así
所以	que
所以	entón
所以	tan
列	columna
列	retagarda
最後	último
最後	últimos
最後	pasado
最後	última
最後	o
最後	onte
提交	a
一般	xeral
一般	normalmente
需要	precisamos
需要	necesitamos
需要	que
需要	preciso
需要	precisaba
需要	necesitaba
需要	precisabamos
需要	precisa
需要	ten
需要	necesita
需要	necesidades
江	río
這個	isto
這個	esta
這個	este
地方	lugar
地方	casa
地方	sitio
地方	lugares
地方	sitios
地方	onde
系列	serie
系列	de
電視	a
電視	televisión
電視	tele
電視	da
電視	programa
電視	tv
電視	televisión
電視	tele
黑	escuras
黑	escuro
黑	escura
黑	escuridade
黑	noite
黑	negra
黑	negro
黑	negros
花	flores
花	flor
神	deus
遊戲	partido
遊戲	xogo
遊戲	videoxogos
遊戲	de
遊戲	xogos
遊戲	xogar
遊戲	videoxogos
遊戲	os
最高	do
最高	enriba
最高	20
最高	cima
最高	superior
最高	máis
最高	corte
最高	suprema
最高	supremo
要求	reivindicacións
要求	petición
要求	demanda
要求	pido
要求	custar
讓	jean
讓	imos
讓	déixame
讓	vamos
版本	versión
發現	atopei
發現	que
發現	atopamos
發現	atoparon
發現	atopou
發現	descubrir
發現	que
發現	descobren
發現	descubrimento
語	idioma
語	linguaxe
語	a
語	lingua
只有	único
只有	só
只有	única
內容	contido
內容	dóeme
最大	max
製作	produción
製作	de
製作	producción
出生	nacín
出生	naceu
出生	nacer
出生	naciches
出生	nacen
出生	a
出生	luz
出生	nacemento
出生	orixe
出生	de
航空	aire
航空	ar
數	contan
數	contar
數	conde
數	con
數	conta
數	contar
數	contigo
數	número
發展	desenvolvemento
發展	da
發展	de
發展	xapón
發展	proxecto
成功	éxito
成功	exitosos
成功	éxito
面積	área
面積	zona
堡	forte
系統	sistema
系統	de
系統	sistemas
系統	dos
問題	problema
問題	pregunta
問題	cuestión
問題	preguntas
問題	as
問題	pregunta
問題	cuestións
杜	do
島	island
島	illa
方式	método
率	de
率	taxa
請	por
請	favor
名稱	nome
名稱	se
名稱	nomes
名稱	nome
名稱	os
愛	amor
愛	o
平	plano
印度	india
街道	rúa
街道	street
街道	rúas
街道	polas
街道	rúa
存在	existencia
存在	vida
存在	presenza
存在	diante
存在	a
刪除	se
刪除	e
刪除	quitar
刪除	quitamos
設計	deseño
設計	deseñar
卡特	carter
卡特	carburadores
群	grupo
群	de
負責	responsable
負責	responsables
負責	responsábeis
負責	responsábel
服務	servizos
服務	os
服務	servir
服務	serven
服務	e
服務	servizo
服務	de
機	máquina
機	lavadora
機	maquinaria
機	metralladoras
任何	calquera
任何	máis
任何	ningún
列表	lista
列表	listaxe
唐	non
頁	páxinas
兩	dous
兩	dúas
當	cando
當	se
以上	sobre
以上	ascende
以上	por
以上	riba
以上	da
以上	enriba
以上	arriba
著名	famoso
著名	famosos
著名	famosa
聖	santo
聖	san
志	chi
已經	xa
專輯	ubicación
角色	carácter
角色	rol
角色	papel
角色	idiogramas
角色	personaxes
半	media
半	metade
半	medio
半	a
成員	membro
成員	da
成員	membros
成員	membros
成員	do
東京	tokio
新聞	noticias
新聞	noticia
新聞	novas
現在	agora
劇	drama
後來	despois
後來	máis
後來	tarde
後來	logo
女性	mulleres
女性	as
高度	altura
說	dicir
說	di
說	que
之前	de
之前	antes
合作	colaboración
合作	cooperación
合作	cooperar
門	porta
門	as
門	portas
門	porta
卷	dados
卷	o
卷	roll
卷	rolo
卷	e
位置	posición
活動	actividades
活動	eventos
活動	sucesos
活動	feitos
活動	adversos
活動	os
活動	xuntanzas
活動	acontecementos
活動	acontecemento
活動	de
活動	eventos
活動	evento
活動	suceso
活動	actividade
只	único
只	só
只	única
歷史	historia
歷史	da
歌曲	cancións
歌曲	canción
歌曲	escribir
歌曲	canción
歌曲	cantiga
