kategória	categoria
roku	ano
ako	como
ako	like
ako	curta
ako	como
bol	estava
bol	era
bol	tava
bol	foi
bol	sido
pozri	veja
pozri	vê
pozri	ver
pozri	olhe
pozri	olha
obce	municípios
obce	comunas
obce	municípios
obce	vilas
obce	aldeias
mba	mba
obyvateľov	habitantes
obyvateľov	residentes
obyvateľov	moradores
obec	município
obec	concelho
obec	vila
obec	aldeia
pre	por
pre	para
jeho	seu
jeho	his
jeho	sua
jeho	seu
jeho	sua
ktorá	qual
bod	ponto
bod	point
pri	pri
bola	estava
bola	era
bola	tava
bola	foi
bola	sido
ktoré	qual
ktorý	qual
zoznam	lista
zoznam	listar
odkazy	referências
odkazy	ligações
odkazy	links
socorro	socorro
externé	externas
externé	externo
externé	externos
externé	externa
ale	mas
iné	outro
iné	outros
iné	outras
iné	outra
iné	outros
iné	outras
the	os
počet	número
počet	numero
boli	estavam
boli	foram
boli	eram
podľa	sob
podľa	under
miesto	spot
miesto	lugar
miesto	place
miesto	local
miesto	sítio
miesto	localização
miesto	local
miesto	sítio
miesto	site
bolo	estava
bolo	era
bolo	tava
bolo	foi
obcí	municípios
obcí	comunas
obcí	municípios
jej	seu
jej	sua
jej	dela
jej	ela
jej	her
ich	suas
ich	eles
ich	ich
medzi	entre
projekty	projectos
projekty	projetos
team	team
team	equipa
team	time
team	equipe
byť	sendo
byť	ser
francúzska	french
francúzska	franceses
francúzska	francês
francúzska	franca
francúzska	frança
najvyšší	supremo
najvyšší	suprema
pod	abaixo
pod	pod
pod	vagem
pod	sob
pod	under
pred	pre
pred	pré
pred	antes
vývoj	desenvolvimento
vývoj	evolução
vývoj	evolution
vývoj	evolução
vývoj	evoluções
vývoj	desenvolvimentos
graf	gráfico
graf	grafo
graf	tabela
graf	gráfico
kde	kde
kde	aonde
kde	onde
môže	may
môže	maio
môže	pode
môže	pode
môže	podem
môže	lata
môže	can
nasledujúci	seguindo
nasledujúci	seguintes
nasledujúci	seguinte
nasledujúci	próximo
nasledujúci	próxima
nasledujúci	next
zobrazuje	exibe
zobrazuje	mostra
zobrazuje	espetáculos
zobrazuje	espectáculos
zobrazuje	shows
keď	quando
keď	when
len	só
len	apenas
len	somente
len	unicamente
len	só
len	apenas
mesto	vila
mesto	cidade
mesto	cidade
počas	durante
tiež	igualmente
tiež	também
usa	eua
usa	usa
rokov	years
rokov	anos
nie	não
september	setembro
úmrtia	death
úmrtia	morte
úmrtia	óbitos
úmrtia	mortes
neskôr	depois
slovenský	eslovaco
slovenský	eslovaca
slovenský	eslovaco
aby	make
aby	faça
storočia	séculos
storočia	século
storočia	century
nad	nad
nad	acima
utc	utc
jpg	jpg
časti	peças
časti	partes
stránka	pagina
stránka	página
stránka	page
stránka	sítio
stránka	site
skupiny	grupo
skupiny	agrupar
skupiny	grupos
html	html
roka	ano
ktorú	qual
časť	seção
časť	secção
časť	part
časť	parte
ngc	ngc
október	outubro
október	toc
október	out
mesta	vila
mesta	cidade
mesta	cidade
marec	march
marec	marchar
marec	marcha
marec	março
august	augusto
august	august
august	agosto
august	ago
august	agosto
skupina	grupo
skupina	agrupar
veľmi	muito
potom	então
potom	depois
oficiálna	oficial
oficiálna	funcionário
oficiálna	official
oficiálna	oficiais
narodenia	parto
narodenia	nascimento
tento	este
tento	esta
tento	isso
tento	isto
tento	essa
tento	esse
osobnosti	personalidades
osobnosti	personalidade
bratislava	bratislava
november	novembro
november	nov
december	dezembro
december	dezembro
december	dec
iba	só
iba	apenas
iba	somente
iba	unicamente
iba	só
iba	apenas
roky	years
roky	anos
oblasti	area
oblasti	área
oblasti	áreas
január	janeiro
súbor	arquivo
súbor	ficheiro
mal	tive
mal	tinha
mal	teve
mal	mal
proti	contra
apríl	abr
apríl	april
apríl	abril
sveta	world
sveta	mundo
bez	sem
najmä	principalmente
najmä	especialmente
viac	mais
viac	more
február	fevereiro
február	fev
február	fevereiro
náhľad	antevisão
náhľad	prévia
mužov	men
mužov	homens
názov	denominação
názov	nome
názov	titulo
názov	título
prvý	primeira
prvý	primeiros
prvý	primeiramente
prvý	primeiro
text	texto
máj	may
máj	maio
máj	pode
slovenskej	eslovaca
slovenskej	eslovaco
spolu	total
spolu	juntos
spolu	juntas
preto	daí
tom	tom
majstrovstvá	campeonato
majstrovstvá	championship
majstrovstvá	biatlo
saint	santo
saint	saint
saint	santa
okrem	excepto
okrem	exceto
bar	barra
bar	bar
americký	americano
americký	americanos
americký	american
americký	americana
júl	julho
júl	jul
cez	via
cez	através
cez	through
asi	provavelmente
asi	adivinha
asi	adivinhe
jeden	um
jeden	uma
jeden	one
objavil	descobriram
objavil	descoberta
objavil	descoberto
objavil	descobertos
ktorých	cujo
vojny	guerra
vojny	war
vojny	guerras
vojny	wars
vojny	guerras
rok	ano
ulica	rua
ulica	street
album	álbum
album	album
album	álbuns
dátum	data
žien	mulher
žien	fêmea
žien	feminino
žien	mulheres
tieto	estes
tieto	essas
tieto	estas
tieto	esses
januára	janeiro
majú	tenha
majú	ter
toto	este
toto	esta
toto	isso
toto	isto
toto	essa
toto	esse
toto	totó
toto	totò
toto	toto
ktorí	oms
ktorí	who
ktorí	quem
všetky	todas
všetky	tudo
všetky	todos
francúzsky	french
francúzsky	franceses
francúzsky	francês
mestá	vilas
mestá	cidades
svoje	seu
svoje	sua
teda	assim
žije	lives
žije	mora
žije	vidas
žije	vive
český	tcheca
český	checo
český	tcheco
český	checa
český	český
často	freqüentemente
často	frequentemente
často	freqüentemente
často	frequentemente
ján	jan
ján	ján
ján	john
ján	joão
ján	joao
niekoľko	vários
niekoľko	varios
niekoľko	várias
okres	distrito
jún	jun
jún	june
jún	junho
šablóny	modelos
šablóny	modelo
dnes	hj
dnes	hoje
slovensko	eslováquia
pretože	porque
pretože	pq
ani	nem
ani	ani
ani	nem
ani	nor
ktorého	cujo
slovenska	slovenska
nové	novo
nové	novas
nové	novos
nové	novidade
nové	nova
všetkých	todas
všetkých	tudo
všetkých	todos
štátu	estaduais
štátu	state
štátu	estado
štátu	estadual
ďalšie	adicional
ďalšie	adicionais
ďalšie	seguinte
ďalšie	próximo
ďalšie	próxima
ďalšie	next
ďalšie	outro
ďalšie	outros
ďalšie	outras
ďalšie	outra
ďalšie	mais
ďalšie	more
tým	team
tým	equipa
tým	time
tým	equipe
meno	nome
dve	duas
dve	two
dve	dois
dva	duas
dva	two
dva	dois
mala	tive
mala	tinha
mala	teve
mala	mala
style	style
style	estilo
približne	sobre
približne	aproximadamente
táto	este
táto	esta
táto	isso
táto	isto
táto	essa
táto	esse
prvé	primeira
prvé	primeiros
prvé	primeiramente
prvé	primeiro
martin	martín
martin	martins
martin	martinho
martin	martin
http	http
tri	tri
tri	tres
tri	three
tri	três
loire	loire
nich	eles
začal	iniciado
začal	comecei
začal	começou
začal	começaram
začal	iniciou
začal	começou
začal	começaram
praha	praga
stránke	pagina
stránke	página
stránke	page
film	filme
film	película
film	filmes
film	películas
film	filme
spoločnosti	corporações
spoločnosti	empresa
spoločnosti	company
spoločnosti	companhia
spoločnosti	companhias
spoločnosti	empresas
peter	pedro
peter	peter
mali	tive
mali	tinha
mali	teve
mali	mali
