פרוטוקול	protokol
לחזית	prednja
ליף	leif
אוסטרי	austrijski
המחיר	cijena
המחיר	cena
המחיר	price
פרסומת	komercijalne
פרסומת	komercijalni
פרסומת	reklama
חלשה	slaba
חלשה	slabo
חלשה	slabi
חלשה	slab
סערה	tempest
סערה	oluje
סערה	oluja
סערה	storm
מנגן	igramo
מנגן	igranje
מנגן	mangan
מנצחים	pobjednici
מנצחים	dobitnici
הורג	ubija
הורג	ubijanje
מל	mel
מל	mal
הומור	humora
הומור	humor
הומור	humor
טיים	vreme
טיים	vrijeme
מירון	meron
אשראי	kreditna
אשראי	kredit
רוזנברג	rosenberg
ארנה	arena
ארנה	arene
זרמים	potoci
גדודים	kohorte
רוצח	ubojica
רוצח	ubica
רוצח	ubojica
רוצח	ubica
רווחה	dobrobit
אורלינס	orleans
אורלינס	orleansa
אורלינס	orleansu
הפיליפינים	filipini
חסידים	sljedbenika
חסידים	pratitelja
חסידים	sljedbenici
ניסים	čudesa
ניסים	čuda
נשימה	dah
נשימה	disanje
נשימה	diše
המשיח	krist
ריקו	rico
זירת	scena
זירת	prizor
סטודיו	studiji
סטודיו	studija
סטודיו	studio
נפגעה	oštećena
נפגעה	oštećeni
נפגעה	oštećen
פסקול	soundtrack
גורל	sudbine
גורל	destiny
גורל	sudbina
גורל	sudbina
אריזונה	arizona
בטוחה	sigurno
בטוחה	sef
בטוחה	sigurna
בטוחה	samouvjeren
בטוחה	uvjeren
אסטוניה	estonija
בודק	provjera
קונצרטים	koncerte
קונצרטים	koncerata
העמדה	položaj
העמדה	pozicija
מסעדות	restorani
מסעדות	restorane
ארט	art
ארט	umjetnost
יקום	univerzum
יקום	svemir
מיניות	seksualnost
מיניות	seksualnosti
מיניות	seksualna
מיניות	seksualno
סודי	tajno
סודי	tajni
סודי	tajna
סודי	povjerljivo
סודי	povjerljiva
להבהיר	pojasniti
להבהיר	pojasni
אחי	brate
אחי	braco
אחי	brate
אחי	brat
פאשה	paša
קדומה	predrasuda
קדומה	predrasude
דיק	dick
דיק	kurac
עדים	svjedoci
עדים	svjedok
צפויה	očekivao
צפויה	očekivano
צפויה	predvidljivo
כיס	džepu
כיס	džep
ברמות	razina
ברמות	razine
שותפות	partnerstva
שותפות	partnerstvo
נחת	sletio
נחת	marine
נחת	marinac
מיר	mire
לטביה	latviji
לטביה	latvijski
שביעי	sedmi
שביעי	sedmo
שביעי	sedma
מנהרות	tuneli
מנהרות	tunele
מנהרות	tunela
ערובה	taoci
ערובה	talac
ערובה	taoc
ערובה	garancija
ערובה	jamstvo
ערובה	garantirati
ערובה	garancije
מוקף	okružen
גנטית	genetski
גנטית	genetički
גנטית	genetski
הוסף	dodaj
הוסף	dodajte
בוואריה	bavarske
בוואריה	bavarskoj
אוריינות	učeni
אוריינות	pismenosti
פשוטות	jednostavna
פשוטות	jednostavan
פשוטות	jednostavno
אמנותי	umjetničko
אמנותי	umjetnička
אמנותי	umjetnički
אורחים	posjetitelji
אורחים	posjetioci
אורחים	posjetitelja
אורחים	posjetitelje
אורחים	gostima
אורחים	gosti
איומים	prijetnje
איומים	prijetnji
אטומי	atomska
אטומי	atomski
תקלה	kvar
תקלה	glitch
מישיגן	michigan
מישיגן	michiganu
כיסא	stolica
כיסא	stolac
כיסא	stolicu
הילדה	hilda
חינוכי	poučno
חינוכי	obrazovne
חינוכי	obrazovni
הורשע	osuđeni
הורשע	osuđen
דחף	potisak
דחף	gurnut
דחף	gurnuo
דחף	gurnula
דחף	impuls
דחף	impulse
דאלאס	dallas
טיול	trip
טיול	putovanje
הרווח	profit
הרווח	zarade
הרווח	zarada
קליבלנד	clevelandu
קליבלנד	cleveland
כובע	šešire
כובע	kape
כובע	šeširi
כובע	cap
כובע	kapa
כובע	hat
כובע	kapa
כובע	šešir
קורפוס	corpus
הצפנה	kodiranje
סוני	sony
סוני	sonny
בחינם	slobodna
בחינם	slobodni
בחינם	slobodan
בחינם	besplatno
בחינם	free
רחמים	šteta
רחמים	mercy
רחמים	milosrđe
רחמים	milost
רפובליקה	republike
רפובליקה	republika
רומני	rumunjski
ברטון	burton
ברטון	barton
ברטון	breton
זרעים	sjemenke
זרעים	sjeme
נידון	osuđen
נידון	osuđeni
נידון	osuđen
נידון	osudili
נידון	osudio
נירנברג	nürnberg
מודרניות	suvremenosti
מודרניות	moderni
מודרניות	moderna
מודרניות	moderan
מודרניות	moderne
מודרניות	moderno
בהינתן	dano
בהינתן	dao
החזרה	probu
החזרה	probe
החזרה	proba
חגים	praznici
חגים	blagdani
חגים	praznike
הנחיות	upute
הנחיות	smjernica
הנחיות	smjernice
הנחיות	direktive
הנחיות	upute
הנחיות	instrukcije
פסים	prugasti
פסים	pruge
חלקיק	čestice
חלקיק	čestica
נזקים	oštećenja
נזקים	oštećenje
בואנוס	buenos
מני	mani
מני	manny
דגלים	zastave
מקל	štap
מקל	stick
אטלס	atlas
מעריצים	ljubitelji
מעריצים	navijači
מעריצים	obožavatelji
מעריצים	fanovi
מנועים	motori
מיאמי	miami
מוסוליני	mussolini
קשתות	streličarstvo
קשתות	lukovi
קשתות	lukove
מושבות	kolonije
מושבות	kolonija
נרשמה	zabilježeno
ולס	valcer
ולס	wales
ולס	wellsa
ולס	wells
ולס	bunara
יריב	suparnik
יריב	protivnik
יריב	protivnik
יריב	protivnika
רצופים	uzastopnih
בקביעות	redovito
בקביעות	redovno
בקביעות	konstantno
בקביעות	stalno
בקביעות	neprestano
פיה	pia
פיה	vila
פיה	vilo
ליון	lyon
ספיידרמן	spiderman
טבלה	stol
טבלה	tablica
טבלה	grafikon
טבלה	karton
ביתא	beta
נאפולי	napulju
נאפולי	napulj
נאפולי	napoli
חולי	pacijenti
חולי	pacijentima
חולי	pacijente
חולי	bolesnici
חולי	bolest
ארגן	organizirati
ארגן	organizirati
ארגן	uređen
הולם	primjereno
הולם	prikladno
הולם	prigodno
הולם	adekvatno
הולם	adekvatan
הולם	holm
המונים	mase
מעורר	izazivanja
באפט	buffett
מסת	masu
מסת	mise
מסת	misa
מסת	masa
מסת	misu
אחיות	sestre
אחיות	sestrama
הולנדי	dutch
הולנדי	nizozemski
יהונתן	jonathan
פין	penis
פין	penisa
פין	fin
פין	finn
האחיות	sestre
האחיות	sestrama
מאובנים	fosila
ריאות	pluća
ריאות	pluća
שקר	laž
נפשי	mentalni
נפשי	mentalno
נפשי	mentalna
מציינת	ukazujući
שמקורם	podrijetlom
מכסה	poklopac
מכסה	cover
מכסה	zaklon
מכסה	kvota
מכסה	kvote
מכסה	pokriva
מכסה	pokriva
מכסה	pokrivanje
התיאור	opis
התיאור	opisa
מסייע	pomagač
מסייע	pomaže
מסייע	korisno
בונים	dabrovi
שוחררו	pušten
שוחררו	puštena
עבאס	abbas
ננסי	nancy
סוללות	baterije
לאבד	gubljenje
לאבד	gubi
לאבד	izgubi
לאבד	izgubiti
המולדת	domovina
המולדת	domovine
המולדת	domovinska
המולדת	domovinu
המולדת	domovina
ליבה	core
ליבה	jezgro
ליבה	jezgra
בטי	beti
בטי	betty
קדומות	predrasuda
קדומות	predrasude
פיצוי	naknada
פיצוי	naknade
פיצוי	naknadu
גשרים	mostove
גשרים	mostova
גשרים	mostovi
רכיב	komponente
רכיב	komponenta
נוחות	pogodnosti
נוחות	pogodnost
נוחות	udobnost
נוחות	utjeha
