som	kao
det	to
for	za
med	sa
ble	postao
ble	postala
ble	postalo
ble	ostala
ble	ostao
var	var
var	bio
var	bila
var	bile
var	bili
han	hana
han	han
fra	od
fra	iz
har	imam
har	dobio
også	također
også	takođe
også	previše
også	previse
men	ali
etter	nakon
etter	poslije
lenker	okove
lenker	okova
lenker	lanaca
lenker	lanci
lenker	poveznice
under	ispod
under	ispod
under	pod
under	ispod
eksterne	vanjski
eksterne	vanjska
kan	može
kan	mogu
kan	moze
hadde	imao
hadde	imali
hadde	imala
andre	andre
andre	drugi
andre	drugo
andre	druga
andre	drugi
andre	drugo
andre	druga
andre	ostali
andre	drugi
andre	druge
dette	ovo
over	preko
over	iznad
første	prvo
første	prvi
hun	hun
hun	ona
sin	njegovo
sin	njegov
sin	njegova
født	rođeni
født	rođen
født	rođena
mot	hrabrosti
mot	hrabrost
mot	protiv
mot	mot
der	tamo
denne	ovo
hans	hans
hans	njegovo
hans	njegov
hans	njegova
norsk	norveški
norsk	norsk
mellom	izmedju
mellom	između
flere	višestruko
flere	višestruki
flere	više
fikk	imam
fikk	dobio
norge	norveškoj
norge	norveška
noen	neko
noen	netko
noen	nekoga
noen	neke
noen	neki
noen	bilo
blir	ostanak
blir	ostajem
blant	medju
blant	među
alle	svi
alle	sve
alle	svi
alle	svima
alle	svi
noe	donekle
noe	nesto
noe	nešto
hvor	gdje
kom	dođi
mange	mnoge
mange	mnogi
siden	stranicu
siden	stranica
siden	stranice
wikipedia	wikipedia
tidligere	prethodno
tidligere	ranije
tidligere	bivši
tidligere	prethodni
tidligere	prethodna
sammen	zajedno
ligger	polaganje
før	prije
død	smrt
død	smrti
død	mrtav
disse	ovi
disse	ove
senere	kasnije
del	dela
del	dijelom
del	dio
del	podijeli
norske	norveški
tre	tre
tre	stablo
tre	drvo
tre	tri
mer	više
vil	želite
vil	želim
skal	ide
skal	gonna
vært	bio
oslo	oslu
selv	čak
annet	drugi
annet	drugo
annet	druga
samme	isti
samme	ista
samme	isto
store	velika
store	veliki
store	velike
store	veliko
blitt	postati
and	patak
and	patka
and	duck
kjent	znan
kjent	poznat
kjent	poznata
kjent	poznato
kjent	poznati
kjent	poznato
mai	mai
mai	svibanj
mai	may
mai	svibnja
bare	samo
bare	jedino
bare	samo
kommune	parish
kommune	župi
kommune	župe
kommune	općina
kommune	općine
nord	sjeverno
nord	sjeverna
nord	sjever
nord	nord
gjennom	kroz
ord	riječ
ord	rijec
ord	riječi
ord	reči
ord	rijeci
sør	jugu
sør	južno
sør	jug
mens	dok
mens	mens
rundt	oko
rundt	okrugli
rundt	okruglo
rundt	okrugla
