아이패드	ipad
파산	pankrotis
파산	pankrotti
파산	pankrot
버펄로	buffalo
무작위로	suvaliselt
무작위로	juhuslikult
무작위로	suvaline
무작위로	juhuslik
배경색	tausta
배경색	taust
이겨	peksa
우울	depressioonis
우울	masenduses
우울	masendav
우울	melanhoolne
낙하산	langevari
홀로코스트	holokausti
클론	kloonid
클론	klooni
클론	kloon
디스커버리	discovery
디스커버리	avastus
디스커버리	avastamine
테크	tech
샐리	sally
절약	päästmine
절약	salvestamine
절약	säästmine
알마티	almatõ
곱셈	korrutamine
곱셈	korrutada
스와	suwa
투르	tuuri
교정	kalibreerimine
교정	parandus
교정	korrigeerimine
교정	korrektsioon
교정	parandused
교정	parandamine
교정	parandatud
교정	korrigeeritud
교정	klambrid
리히텐슈타인	liechtenstein
리히텐슈타인	lichtenstein
장례식	matustel
장례식	matus
장례식	matused
장례식	matuse
장례식	matused
오데사	odessa
사모아	samoa
사모아	samoa
레이먼드	raymond
저널리스트	ajakirjanik
저널리스트	ajakirjanikud
차드	tšaadi
차드	chad
장학금	stipendiumid
장학금	stipendiumi
장학금	stipendium
무하마드	muhammad
체르노빌	tšernobõli
강력	võimas
해석학	analüütiline
해석학	analüüsi
해석학	analüüs
카사블랑카	casablanca
어디로	kus
어디로	kuhu
커먼즈	commons
레지던트	resident
레지던트	elanik
레지던트	elanikud
레지던트	residendid
레지던트	residentsuse
파라오	vaaraod
파라오	vaarao
소음	müra
공백	ruumid
갇힌	lõksus
제조사	tarnija
제조사	müüja
제조사	valmistaja
제조사	tootja
레슬리	leslie
에미레이트	emiraat
에미레이트	emirates
학대	kuritarvitamine
학대	kuritarvitamise
올림포스	olümpos
세계화	globaliseerumine
에리크	eric
퍼레이드	paraadi
퍼레이드	paraad
리버티	liberty
리버티	vabadus
로크	locke
투르크메니스탄	türkmenistani
기저	alus
포위전	piiramine
코카콜라	koka
코카콜라	koola
코카콜라	coca
코카콜라	koksi
오스트레일리아인	austraallased
화합	harmoonia
포탈	portaalid
포탈	portaali
포탈	portaal
히브리	heebrea
맥도날드	mcdonald
맥도날드	macdonald
윤리학	eetika
브레스트	bresti
통치자	valitseja
낚시	kalandus
낚시	kalapüük
낚시	püük
밀리미터	sentimeeter
밀리미터	mm
밀리미터	millimeetrit
노퍽	norfolki
커스텀	kohandatud
비참한	armetu
비참한	õnnetu
호환성	ühilduvus
수마트라	sumatra
전망	väljavaade
전망	prospekt
전망	väljavaated
전망	väljavaateid
전망	väljavaade
전망	väljavaated
메콩	mekong
앨릭스	alex
보나파르트	bonaparte
동정	kaastunne
칼리아리	cagliari
전자공학	elektroonika
수익	tulud
수익	tulu
수익	saagis
수익	tulud
수익	kasum
수익	kasumid
검토하기	läbivaatamine
검토하기	ülevaatus
검토하기	läbivaatus
랠프	ralf
랠프	ralph
전구	pirn
아이오딘	joodi
아이오딘	jood
돌연변이	mutant
돌연변이	mutatsioon
돌연변이	mutatsiooni
데이지	daisy
토리	tori
무신론	ateist
실험실	laboratoorsed
실험실	laboratooriumi
실험실	labor
실험실	laboratoorium
실험실	laborid
실험실	lab
실험실	labor
홈즈	holmes
페레스	pérez
간지	kanji
플랑드르	flaami
지우	puhas
지우	selge
반대편	vastand
반대편	vastupidine
수렴	lähenemine
수렴	lähenemise
프로그래머	programmeerijad
프로그래머	programmeerija
관광객	turist
관광객	turistid
제럴드	gerald
습작	niiske
도끼	kirves
도끼	kirves
월리스	wallace
재판소	kohus
둘레	ümbermõõt
상업용	kaubanduslik
상업용	reklaam
수영장	basseinid
수영장	bassein
수영장	basseini
이민자	sisserändajate
데이먼	damon
자발적	vabatahtlik
황소	pulli
황소	pull
황소	bull
황소	härg
음악원	konservatoorium
화랑	galeriis
화랑	galerii
스택	stack
에픽	eepiline
블로거	blogija
친구들이	sõbrad
파인	mänd
파인	männi
재무	rahaline
재무	finants
재무	rahalised
재무	rahastada
재무	rahandus
치과	hambaarst
치과	hambaravi
치과	stomatoloogia
알렌	alan
인코딩	kodeerida
인코딩	kodeering
몰리	mollie
몰리	molly
몰리	morley
화살	nooled
화살	nool
심리학자	psühholoog
섹션	lõik
섹션	sektsioon
섹션	jagu
섹션	lõigud
구문	fraas
구문	väljend
구문	süntaksi
그린란드	gröönimaa
루브르	louvre
초원	rohumaa
초원	heinamaa
무시	eiramine
무시	ignoreeritakse
무시	eirata
무시	eiratakse
무시	ignoreeritakse
땅콩	pähkel
땅콩	pähkel
땅콩	pähklid
땅콩	pähkleid
닐스	nils
대표자	esindaja
가끔은	mõnikord
가끔은	vahel
가끔은	vahest
미러	peeglid
미러	peegel
미러	peegelda
결제	maksa
결제	väljavõte
결제	tasumine
결제	maksmine
결제	makse
결제	maksed
트럼프	trump
브룩	brooke
브룩	oja
카이사르	caesar
아름답다	kaunist
아름답다	ilus
아름답다	kaunid
아름답다	ilusad
아름답다	kaunis
단자	ühendaja
역설	paradoks
불행한	õnnetud
불행한	õnnetu
불행한	õnnetu
안도라	andorra
마리야	marie
띄어쓰기	vahekaugus
폐기물	jäätmed
폐기물	jäätmed
허가서	litsents
허가서	load
호위함	fregatt
어린시절	lapsepõlv
어린시절	lapsepõlve
어린시절	lapsepõlves
달빛	kuuvalgus
어메이징	imeline
어메이징	hämmastav
브렛	brett
알토	alto
올리비아	olivia
급한	kiire
솔리드	tahke
솔리드	tahked
외할아버지	vanaisa
캐머런	cameron
눈물이	pisarad
의사소통	teatis
의사소통	suhtlemine
의사소통	kommunikatsioon
의사소통	side
충전	süüdistus
충전	laeng
넓이	laiad
넓이	lai
넓이	laia
베스	beth
임상	kliiniline
임상	kliinilised
최단	lühim
전세	harta
몽키	ahv
몽키	pärdik
터빈	turbiin
터빈	turbiinid
사슴	hirv
사슴	hirve
시에라	sierra
로건	logan
기독교인	kristlaste
소원	sooviks
소원	soov
소원	soovi
소원	soovib
소원	soove
병행	samaaegne
비례	proportsionaalne
비례	osakaal
반박	kummutada
베스트셀러	bestseller
모니터링	järelevalve
모니터링	jälgimine
모니터링	seire
모니터링	monitor
모니터링	monitori
모니터링	jälgida
모니터링	jälgija
엣지	serv
엣지	edge
하모니카	suupilli
파이썬	pythoni
쓸데없는	kasutu
쓸데없는	kasutud
난이도	raskusaste
난이도	raskused
브룩스	brooke
브룩스	brooks
협동	meeskonnatöö
나뭇잎	lehti
나뭇잎	lehed
나뭇잎	leht
현관	veranda
미니애폴리스	minneapolise
스바루	subaru
사담	saddam
팟캐스트	podcasti
파라	farah
아이디어	ideid
아이디어	ideed
아이디어	idee
아이디어	mõte
관습	tolli
관습	toll
캐롤라이나	carolina
인터랙티브	interaktiivne
인터랙티브	interaktiivse
페널티	karistus
합금	sulamist
합금	sulamid
케이시	casey
퍼거슨	ferguson
수사관	uurijad
드레이크	drake
애니멀	looma
애니멀	loom
죄수	vange
죄수	vangid
기증	annetus
기증	annetuse
훔볼트	humboldti
맬컴	malcolm
푸틴	putin
패킷	paketid
다카기	takagi
공학자	insener
프리덤	vabadus
서킷	vooluring
동지	pööripäev
동지	seltsimees
동지	seltsimehed
메이슨	mas
메이슨	mason
결정하기	otsustama
결정하기	otsusta
침묵	vaikne
침묵	vaikimine
침묵	vaikus
중성	neutraalne
중성	erapooletu
헌트	hunt
헌트	jaht
괴산	röövitud
부등식	ebavõrdsuse
부등식	ebavõrdsus
벵골	bengali
여자들	naised
융합	sulatatud
비틀즈	beatles
니코	niko
니코	nico
장화	saapad
스나이퍼	snaiper
버팔로	buffalo
커리어	karjäär
커리어	karjääri
커리어	karjäär
커리어	karjääri
공구	tööriist
일자리	töökohad
프로스트	frost
셰인	shane
크릭	crick
둥지	pesa
둥지	pesad
아바타	avatar
일시적	ajutiselt
일시적	ajutised
일시적	ajutine
맥도널드	mcdonald
맥도널드	macdonald
마늘	küüslauk
절벽	kaljude
절벽	kalju
절벽	cliff
유머	huumor
유머	huumor
박쥐	bat
박쥐	nahkhiir
박쥐	nahkhiired
올림푸스	olümpos
빙하	liustikud
듀엣	duett
스타킹	sukad
스타킹	sukk
콤플렉스	keerukas
콤플렉스	kompleks
빈곤	vaesus
럭셔리	luksus
어쨌거나	igatahes
보츠와나	botswana
물결	laine
스트레이트	sirge
이탈리아인	itaallased
이탈리아인	itaalia
생태계	ökosüsteemi
생태계	ökosüsteemide
듀티	tollimaks
홀리	holly
로체스터	rochester
무작위	suvaline
무작위	juhuslik
발렌타인	valentine
처칠	churchill
랜스	lance
엑셀	exceli
서스펜션	peatamise
서스펜션	suspensioon
서스펜션	peatamine
투자가	investor
스킨	nahka
스킨	nahk
스킨	naha
지배자	domineeriv
지배자	valitsev
헬레나	helena
이사벨라	isabella
각도	nurk
도망자	tagaotsitav
도망자	põgenik
파이트	võitlused
파이트	võitleb
토네이도	tornaado
습지	marsh
습지	märgalad
습지	märgala
열쇠	võtmed
아들들	pojad
구두	king
구두	kinga
시리얼	teraviljad
시리얼	teravili
시리얼	teravili
시리얼	teravilja
시리얼	helbed
예언	prohvetid
예언	ettekuulutus
예언	ennustus
프레스	press
프레스	ajakirjandus
프레스	pressi
프레스	vajuta
마스터스	isandad
마스터스	meistrid
마스터스	meister
마스터스	õpetaja
마스터스	peremees
마스터스	isand
토양	mulla
토양	pinnas
토양	muld
레이첼	rachel
아론	aaron
아론	aron
신념	faith
신념	usk
신념	usku
신념	uskumused
얼티밋	ülim
플라즈마	plasma
복음	evangeeliumi
복음	suunised
복음	juhised
우표	pitser
우표	tempel
우표	margid
조앤	joan
이온화	ionisatsiooni
오리온자리	orion
타악기	löök
썬더	äike
마샬	marshall
마샬	marshalli
라이징	tõusev
라이징	tõuseb
셰이크	sheikh
창문	aken
창문	akna
댄싱	tantsimine
저수지	veehoidla
슈가	suhkrut
슈가	suhkur
불쾌한	ebameeldiv
버뮤다	bermuda
피사	pisa
체스터	chester
리오넬	lionel
판도라	pandora
인터럽트	katkestus
인터럽트	katkestamine
매스	missa
매스	massi
매스	mass
인디애나폴리스	indianapolis
주님	issand
마돈나	madonna
반영	kajastada
반영	peegelda
반영	peegeldus
미화	usd
인플루엔자	gripi
인플루엔자	gripp
인플루엔자	gripp
자바스크립트	javascripti
마르티네스	martinez
전시관	näitus
콜롬보	colombo
암살자	palgamõrvar
알랭	alain
코스모스	kosmos
더럼	durhami
시아파	shia
궁궐	palee
궁궐	palace
미묘한	peen
캄차카	kamtšatka
랭커스터	lancaster
일하기	töötamine
프레이저	fraser
마커스	marcus
슈테판	stefan
슈테판	stephan
아나키즘	anarhism
사보이	savoy
애비뉴	avenue
애비뉴	avenüü
다운타운	kesklinna
다운타운	kesklinn
다운타운	kesklinnas
입법부	seadusandlik
입법부	seadusandja
바라며	lootes
바라며	loodab
기쁨	joy
기쁨	rõõmu
기쁨	rõõm
기쁨	rõõm
기쁨	nauding
뉴펀들랜드	newfoundlandi
헌장	harta
클러스터	klaster
클러스터	klastrite
핼리팩스	halifax
첸나이	chennai
프록시	asendajad
바스	vanni
바스	vann
핵분열	lõhustumine
인피니트	lõpmatu
인피니트	lõputu
스텔라	stella
릴리즈	vabastamine
릴리즈	vabasta
릴리즈	vabastada
제라드	gerrard
제라드	gerard
모금	korjanduse
아바스	abbas
궁수자리	ambur
클레오파트라	kleopatra
시편	psalm
시편	psalmid
잉카	inkade
카라카스	caracas
도도	kraadi
도도	kraadides
산토스	santos
크라쿠프	kraków
산책	kõnni
산책	jalutuskäik
플라잉	lendamine
플라잉	lendavad
추첨	joonistada
추첨	loosimine
추첨	viik
제롬	jerome
패트리어트	patrioot
미학	esteetika
미학	esteetiline
물품	kaubad
물품	kaup
물품	kauba
물품	kaup
물품	kauba
그리기	joonistada
그리기	loosimine
그리기	viik
그리기	joonis
그리기	joonistamine
헤라클레스	herakles
쥐라기	jurassic
용품	varud
용품	tarned
용품	tarvikud
콘스탄티노스	constantine
서포터	toetaja
마술	nõidus
마술	maagiline
마술	võlu
마술	magic
마술	maagia
부담	koormus
부담	koorem
각색	kohandused
폭력적인	vägivaldsed
폭력적인	vägivaldne
매운	vürtsikas
바리톤	bariton
허락	luba
네덜란드인	madalmaad
네덜란드인	holland
네덜란드인	hollandlane
네덜란드인	hollandi
본드	side
본드	bond
섹터	sektor
섹터	sektorid
우주인	astronaut
장벽	takistused
장벽	tõkked
장벽	tõke
강조	esile
강조	esiletõstmine
강조	rõhk
강조	rõhuasetus
강조	esiletõstmine
강조	osatähtsus
강조	intensiivsus
강조	valgustugevus
리브	liv
리브	reeve
탐구	uurimised
탐구	uuringud
포춘	varandus
수염	habemega
수염	habe
미쳐	hull
미쳐	hullud
트리오	trio
본질	olemus
돼지고기	sealiha
까다로운	keeruline
욕망	iha
욕망	soov
욕망	soovi
욕망	iha
욕망	himu
매뉴얼	käsitsi
매뉴얼	käsiraamat
매뉴얼	manuaal
챌린저	väljakutsuja
킹덤	kuningriik
카노	kano
안전성	turvalisus
안전성	ohutus
우산	vihmavari
삼각	kolmnurkne
보두앵	baldwin
남방	lõuna
서커스	tsirkus
컴파일	koostada
컴파일	koostatud
컴파일	koostamine
이브라힘	ibrahim
초과	ületab
초과	ülemäärane
초과	ületatud
초과	ületanud
초과	ületas
향수	lõhnaainete
향수	nostalgia
향수	lõhna
향수	parfüüm
향수	parfüümi
브라질인	brasiillased
국민투표	referendum
국민투표	referendumi
페가수스자리	pegasus
셀틱	keldi
실무	praktiline
실무	praktilised
수니파	sunni
술집	pubi
이더넷	ethernet
포브스	forbes
돌고래	delfiin
돌고래	delfiinid
고소	süüdistus
고소	sue
퍼시	percy
실비아	sylvia
실비아	silvia
에볼루션	areng
에볼루션	evolutsioon
올림피아	olympia
동행	kaasas
지니	džinn
지니	ginny
귄터	günter
권장	soovitatav
권장	soovitatavad
권장	soovituslik
권장	soovitatud
권장	soovitas
부관	asetäitja
부관	postuumne
조슈아	joshua
우즈	mets
우즈	woods
가이아	gaia
신탁	usalda
신탁	usaldus
신탁	usaldust
엉덩이	tagumik
엉덩이	perse
엉덩이	hip
엉덩이	puus
엉덩이	puusa
엉덩이	tagumik
가르침	õpetamine
가르침	õpetamise
가르침	õpetused
웍스	töötab
웍스	toimib
셀프	rakk
셀프	lahter
셀프	rakkude
셀프	raku
셀프	lahtri
가봉	gaboni
칙령	edikti
셔먼	sherman
인테리어	sisustus
인테리어	sisemus
인테리어	interjöör
상어	haide
상어	haid
상어	hai
상어	haid
블룸	õitsevad
블룸	bloom
알타이	altai
근로자	töötajad
근로자	töölised
근로자	töötaja
근로자	tööline
응답	vastused
응답	vastused
응답	vastus
응답	vasta
응답	vastus
응답	vastus
응답	reageering
응답	reageerimine
대략적인	ligikaudne
저널리즘	ajakirjandus
조립	koguneda
조립	monteeritud
텅스텐	volfram
카불	kabuli
앵글로	anglo
로사리오	rosario
장점	eeliseid
장점	eelised
장점	eelis
오렌지색	orange
오렌지색	apelsin
오렌지색	oranž
내시	nash
검사관	inspektor
검사관	inspektori
등대	tuletorn
등대	majaka
등대	majakas
제이콥	jacob
차이콥스키	tšaikovski
우디	woody
던지기	viskamine
던지기	viska
던지기	visata
디럭스	deluxe
브롱크스	bronxi
상상	kujutlusvõime
상상	kujutlus
상상	kujuteldav
상상	kujutle
밀스	mills
카르타고	kartaago
통계학	statistika
통계학	statistika
통계학	statistilised
통계학	statistiline
커넥션	ühendused
커넥션	ühendus
커넥션	ühenduse
서프라이즈	üllatus
픽션	väljamõeldis
학업	koolitööd
학업	akadeemiline
학업	akadeemilise
호화	luksuslik
포츠담	potsdami
혐오	vihkamine
혐오	vihkamist
혐오	viha
혐오	vihkamine
블라인드	pime
블라인드	pimedad
등산	ronimine
등산	ronib
착용	kanna
착용	kanda
레베카	rebecca
천장	lagi
천장	laed
페라리	ferrari
슈트라우스	strauss
아우크스부르크	augsburgi
하든	harden
옴니아	omnia
모리셔스	mauritiuse
모리셔스	mauritiuse
신용카드	krediidi
신용카드	krediit
신용카드	krediiti
달팽이	teod
달팽이	nälkjas
달팽이	tigu
소중히	kalliks
러닝	jookseb
대리석	marmor
노르만	norman
계란	mune
계란	munad
계란	muna
렉스	rex
자비	halastus
자비	halastust
핸드	kätt
핸드	käe
핸드	käega
핸드	käsi
외모	välimus
보행자	jalakäijate
보행자	jalakäijate
실외	välitingimustes
실외	õues
미네르바	minerva
노블	üllas
노블	õilis
형제들	vennad
행진곡	märts
