lily	릴리
dvorištu	마당
alonso	알론소
reed	리드
inka	잉카
presuda	문장
presuda	판결
presuda	판결
presuda	판단력
presuda	심판
presuda	판단
newcastle	뉴캐슬
tipičan	전형적
tipičan	전형
tipičan	전형적인
amor	amor
ugrađeni	임베디드
principa	원칙
principa	원리
erik	에리크
erik	에릭
erik	에리크
erik	에릭
itf	itf
brodogradilište	조선소
brodogradilište	조선소
mapa	지도
višak	잉여
višak	초과
ropstva	속박
manjak	부족
odlučiti	결정
uvjeren	자신감
uvjeren	확신
gregory	그레고리
gregory	그레고리우스
planirano	예정된
planirano	계획
automobili	자동차
automobili	차량
operativni	운영
praga	프라하
konjica	기병대
konjica	기병
ahmad	아흐메드
ahmad	아흐마드
prihvati	수락
becker	becker
zaposlen	고용
odvajanje	분리
odgovori	답장
odgovori	응답
odgovori	답글
odgovori	답변
odgovori	응답
odgovori	정답
odgovori	대답해
odgovori	대답
odgovori	답변
odgovori	답장
odgovori	응답
odgovori	답글
odgovori	답변
registar	레지스터
registar	등록
registar	레지스트리
adrese	주소
standarde	표준
zastupa	나타냅니다
zmaju	드래곤볼
zmaju	드래곤
privremeni	임시
privremeni	일시적
privremeni	임시
privremeni	체온
privremeni	온도
istrage	수사
istrage	탐구
istrage	조사
istrage	수사
umjetnica	음악가
umjetnica	예술가
umjetnica	아티스트
umjetnica	아티스트가
deveti	아홉번째
tajland	태국
tajland	타이
prijateljska	친근한
biološki	생물학
stephan	슈테판
umijeće	능력
umijeće	기술
umijeće	실력
umijeće	스킬
umijeće	솜씨
stolica	의자
stolica	대변
stolica	변이
angelo	젤로
angelo	안젤로
kornjača	거북
kornjača	거북이
sds	sds
oštećen	손상
oštećen	손상된
smjesa	혼합물
smjesa	반죽
smjesa	혼합
katastrofa	재난
katastrofa	재난
katastrofa	재앙
uzastopnih	연속
višestruko	다중
orleans	올리언스
pionir	파이어니어
pionir	파이오니아
jaje	계란
jaje	달걀
ted	테드
ted	ted
višestruki	다중
mana	마나
mana	마나마
mana	결함
oštećena	손상
oštećena	손상된
promociju	홍보
promociju	프로모션
promociju	승진
presude	판단
zalihe	용품
zalihe	공급
zalihe	주식
zalihe	재고
usvojena	채택
usvojena	입양
instrumente	악기
instrumente	인스트루먼트
fotografiju	사진
krugovi	서클
komplikacija	합병증
komplikacija	합병증
dobitnici	우승자
dobitnici	수상자
dobitnici	승자
crawford	크로포드
crawford	크로퍼드
konrad	콘라트
lana	lana
crtež	그리기
tiger	호랑이
tiger	타이거
kara	카라
kara	kara
kara	카라라
pivo	맥주
zakonski	법적으로
prah	먼지
prah	가루
prah	파우더
alternativni	대안
alternativni	얼터너티브
alternativni	대체
daniela	다니엘
daniela	대니얼
strategije	전략
strategije	전략
tipični	전형적
tipični	전형
tipični	전형적인
kronologija	연대기
psima	개들
torinu	토리노
gloria	글로리아
moderno	모던
moderno	현대
moderno	근대
moderno	근황
berkeley	버클리
centri	쇼핑몰
centri	센터
armstrong	암스트롱
ranjeno	부상당한
uživao	즐겼다
perkins	퍼킨스
prijateljstva	우정
prijateljstva	우정
neo	네오지오
neo	네오
seksualno	성적
dodavanje	추가하기
dodavanje	추가
sačuvati	보존
pravna	법률
pravna	합법적인
marine	마리나
marine	마린
marine	해병대
trend	추세
trend	trend
trend	경향
trend	트렌드
poželjno	바람직
poželjno	바람직해
poželjno	바람직한
distribucija	분포
distribucija	분배
distribucija	배포
distribucija	배포판
gruzijski	조지아어
gruzijski	조지아
medijski	미디어
propustio	놓쳤다
ravnica	평원
ravnica	평범
ravnica	평원
prihod	수익
prihod	소득
prihod	수입
izum	발명
hopkins	홉킨스
ratnici	전사
ratnici	워리어스
subjekt	주제
subjekt	제목
salzburg	잘츠부르크
luca	루카
proračun	예산
detektiv	형사
detektiv	탐정
promijeni	바뀌기
