brandt	brandt
internacional	international
internacional	međunarodna
internacional	međunarodni
zgjidhen	riješen
zgjidhen	riješeno
zgjidhen	riješena
zgjidhen	riješio
fushatën	kampanje
fushatën	kampanja
ricardo	ricardo
hir	sake
zagrebit	zagreb
gjyqi	suđenje
delle	delle
kurorë	vijenac
kurorë	kruna
kurorë	crown
kurorë	krunu
transferuar	prebačeno
transferuar	prebacio
josip	josip
barbara	barbara
hugo	hugo
selman	selman
bekuar	blagoslovljen
përparësi	prioritet
production	proizvodnja
production	produkcija
pronar	vlasnica
pronar	vlasnika
pronar	vlasnik
pronar	gazda
qumësht	mlijeka
qumësht	mlijeko
jersey	dres
jersey	jersey
përparuar	napredne
përparuar	napredno
përparuar	napredni
përparuar	napredna
dhuratë	dar
dhuratë	poklon
shiu	kiša
polare	polarni
zeusi	zeus
rada	rada
skenat	prizori
skenat	scene
revolucionar	revolucionarna
revolucionar	revolucionarni
cover	cover
cover	zaklon
rusë	rusi
rusë	rusima
rusë	ruse
financuar	financirao
financuar	financira
pallat	palači
pallat	palača
pallat	palace
arkitekti	arhitekta
arkitekti	arhitekt
nxiti	nagon
oslo	oslu
roosevelt	roosevelt
vetëdijshëm	svjesni
vetëdijshëm	svjestan
vetëdijshëm	svjestan
vetëdijshëm	svjesno
dimri	zime
dimri	zima
dimri	zimi
presionin	pritisak
presionin	tlak
gjumë	spavanje
gjumë	spavaj
motër	seka
motër	sestrice
motër	seko
motër	sestro
motër	sestra
motër	sister
atlantique	atlantique
daljen	pojava
daljen	izgled
daljen	pojavljivanje
tektonike	tektonske
kolonë	kolona
kolonë	stupac
ulliri	maslina
ulliri	olive
ulliri	masline
ulliri	maslinovo
ulliri	maslina
ulliri	masline
foli	progovorio
foli	govorio
shpërngulur	raseljeni
ndërtime	radovi
ndërtime	izgradnja
ndërtime	konstrukcija
ndërtime	gradnja
ndërtime	izgradnju
martínez	martínez
simbolizon	simbolizira
simbolizon	simbolizira
kepi	rt
kepi	cape
kepi	plašt
kepi	ogrtač
saga	saga
graubünden	graubünden
skulpturë	skulptura
skulpturë	skulpture
playstation	playstation
dino	dino
piloti	pilot
menaxher	upravitelj
menaxher	menadžer
menaxher	voditelj
lituania	litve
museo	museo
lès	lès
rrezatimi	zračenje
rrezatimi	radijacije
rrezatimi	radijacija
dabi	dhabi
bankat	banks
bankat	banke
bankat	bankarski
alain	alain
donald	donald
donald	donalda
bllokuar	zarobljen
bllokuar	zarobljena
bllokuar	zarobljeni
bllokuar	blokirani
bllokuar	blokiran
bllokuar	blokirane
bllokuar	blokirana
bllokuar	blokirano
fjalorin	rječnik
fjalorin	rječnik
perendim	west
perendim	zapad
perendim	zapadno
atmosferike	atmosferski
next	sljedeća
million	milijun
bora	snijeg
bora	bure
bora	bura
bora	bora
mblodhi	prikupio
karli	carly
dijetarët	učenjaci
ndërprerë	zastao
ndërprerë	prekinuta
ndërprerë	prekinut
ndërprerë	prekinuo
ndërprerë	prekinuto
ndërprerë	prekinuto
ishim	bile
ishim	bili
profet	prorok
profet	poslanik
qiellore	nebeski
qiellore	nebeska
qiellore	rajski
qiellore	nebesko
qiellore	nebeska
mekanik	mehaničar
mekanik	mehaničara
mala	mala
erërat	vjetrovi
heqjen	uklanjanje
italianët	talijani
zyrtarë	dužnosnici
zyrtarë	službenici
rrethojnë	okružuju
shkurti	veljače
pjesëtar	članica
pjesëtar	clan
pjesëtar	član
karaktere	znakova
karaktere	likovi
karaktere	znakovi
remix	remix
republikane	republikanac
elementë	predmeti
elementë	stavke
elementë	elementi
elementë	komponente
shpërndara	razbacane
fantastike	zakon
fantastike	super
fantastike	fantastično
fantastike	nevjerojatno
martesë	brak
martesë	svadba
martesë	vjenčanje
ortodoksë	pravoslavne
fytyrën	licem
fytyrën	faca
fytyrën	lice
fytyrën	face
këndon	pjeva
këndon	peva
android	android
moore	moore
rri	ostani
diferenca	razlika
qeni	psa
qeni	pas
qeni	dog
qeni	psu
shpërndarja	dijeljenje
shpërndarja	dijeljenja
shpërndarja	distribucija
breza	generacija
breza	generacije
breza	generacijama
qipro	cipar
natyre	priroda
natyre	prirode
përkrahje	podrška
përkrahje	podršku
përkrahje	potpora
qeveritë	vladama
qeveritë	vlade
musliman	muslimanski
musliman	muslimani
musliman	muslimana
musliman	musliman
transmetimi	prijenos
transmetimi	emitiranje
transmetimi	emitiranje
bime	biljke
bime	biljka
takimet	sastanke
takimet	susreti
takimet	sastanci
takimet	imenovanja
takimet	termini
takimet	sastanci
takimet	izlasci
veçmas	zasebno
veçmas	odvojeno
përfaqësonte	predstavljali
përfaqësonte	predstavljao
njera	jedan
njera	jedna
goja	mouth
goja	usta
kurr	nikada
kurr	nikad
simptomat	simptomi
simptomat	simptome
bosh	prazno
bosh	isprazni
bosh	prazan
bosh	prazni
bosh	prazna
bosh	prazno
bosh	prazan
ngarkesë	teret
ngarkesë	pošiljku
ngarkesë	pošiljka
vendimtar	presudno
vendimtar	odlučan
vendimtar	odlučujući
dituri	znanja
dituri	poznavanje
dituri	znanje
dështuar	propali
dështuar	neuspjelo
dështuar	propala
neo	neo
demokraci	demokraciju
demokraci	demokracija
selam	mir
selam	salam
emocionale	emocionalne
emocionale	emocionalno
emocionale	emocionalna
emocionale	emotivno
njëlloj	jednako
molekulat	molekula
molekulat	molekule
rrezja	radijus
faktori	čimbenik
faktori	faktor
dukë	duke
dukë	vojvoda
qytetërimi	civilizacije
qytetërimi	civilizacija
feve	religije
bouches	bouches
kriteret	kriterije
kriteret	kriterija
kriteret	kriterij
uje	vode
uje	voda
hartën	karta
hartën	mapa
hartën	kartu
hartën	mapu
savoie	savoie
dec	dec
urime	čestitke
urime	čestitam
urime	čestitam
transmetim	prijenos
transmetim	emitiranje
transmetim	emitiranje
sundimtar	vladara
sundimtar	vladar
sulmuesi	napadač
sulmuesi	napadač
sulmuesi	striker
demokracia	demokraciju
demokracia	demokracija
emigruar	emigrirao
nofka	nadimak
miratimin	usvajanje
miratimin	usvajanja
miratimin	posvajanje
minister	ministar
minister	ministre
minister	ministrica
mulli	mlin
mulli	mill
transferohet	prebačeno
transferohet	prebacio
shtimi	dodavanja
shtimi	dodavanje
leoni	leone
leoni	leon
clark	clark
kyçe	tipka
kyçe	ključ
trashëgiminë	nasljedstvo
trashëgiminë	nasljeđe
treve	trojstvo
treve	trinity
