और	그리고
से	출신
एक	하나
श्रेणी	카테고리
श्रेणी	범주
श्रेणी	분류
श्रेणी	시리즈
श्रेणी	카테고리
श्रेणी	카테고리가
श्रेणी	범주
श्रेणी	분류
भी	심지어
भी	조차도
भी	또한
यह	이거
किया	완료
इस	이거
भारत	인디아
भारत	인도
जो	who
रूप	형식
रूप	형태
रूप	양식
रूप	외모
रूप	모양
रूप	출연
कर	납세
कर	세금
कर	세금
नहीं	아님
साथ	함께
साथ	함께
साथ	같이
पूर्व	동부
पूर्व	이스트
पूर्व	동쪽
बाद	나중에
अपने	소유
राज्य	상태
राज्य	국가
बाहरी	실외
बाहरी	야외
बाहरी	외부
कुछ	일부
कुछ	무엇인가
कुछ	something
कुछ	뭔가
कुछ	무언가
ईसा	예수
गाँव	빌리지
गाँव	마을
सरकार	정부
सरकार	정부
कड़ियाँ	사슬
कड़ियाँ	체인
कड़ियाँ	링크
प्रदेश	지방
प्रदेश	지역
दिया	주어진
अन्य	기타
अन्य	다른
अन्य	기타
वर्ष	수년
वर्ष	year
वर्ष	연도
समय	타이밍
समय	타이밍이
समय	시간
समय	타임
समय	time
नाम	이름
वे	그들이
वे	그들은
प्रकार	친절한
प्रकार	종류
प्रकार	친절
प्रकार	형식
प्रकार	타입
प्रकार	종류
प्रकार	유형
प्रकार	유형
भारतीय	인도인
भारतीय	인도
भारतीय	인디언
किसी	누군가
क्षेत्र	구역
क्षेत्र	영역
क्षेत्र	지역
क्षेत्र	면적
क्षेत्र	지방
क्षेत्र	지역
क्षेत्र	영역
अधिक	기타
कई	많은
कई	여러개
मण्डल	지대
मण्डल	zone
मण्डल	영역
आधिकारिक	공식
आधिकारिक	official
कारण	이유
कारण	이유
कारण	원인
कारण	원인
उनके	그들의
उनके	그들
सबसे	대부분의
सबसे	대부분
हिन्दी	힌디어
बहुत	아주
बहुत	매우
पहले	이전
पहले	전에
पहले	ago
पहले	아까
पहले	우선
पहले	퍼스트
पहले	처음
पहले	먼저
अपनी	소유
दो	두두
दो	두분
जब	언제쯤
जब	언제
उन्होंने	그들이
उन्होंने	그들은
उन्होंने	이집트인
जन्म	born
जन्म	출생
जन्म	탄생
जन्म	출생
जन्म	탄생
जन्म	출산
इन	inn
इन	여관
लेकिन	그런데
लेकिन	그러나
लेकिन	근데
लेकिन	하지만
ये	이거
कम	낮은
कम	낮음
कम	low
कहा	말했다
लोग	국민
लोग	사람
लोग	명인
लोग	사람들
आदि	etc
आदि	등등
आदि	기타
आदि	아디
उसके	그의
उसके	그녀
उसके	그녀의
प्राचीन	원시
प्राचीन	고대
देखें	시계
देखें	조회
देखें	보기
उत्तर	응답
उत्तर	정답
उत्तर	대답해
उत्तर	대답
उत्तर	답변
उत्तर	북부
उत्तर	북쪽
उत्तर	노스
उत्तर	답변
उत्तर	대답
भाषा	언어
भाषा	언어
सभी	모두
सभी	전체
प्राप्त	받았습니다
प्राप्त	받은
प्राप्त	받음
प्राप्त	받기
प्रयोग	실험
