tennessee	tennessee
mostenirea	dediščina
mostenirea	zapuščine
mostenirea	nasledstvo
mostenirea	zapuščino
mostenirea	zapuščina
mostenirea	dediščina
mostenirea	nasledstvo
mostenirea	dediščino
oslo	oslo
turner	turner
turner	turnerja
adaugate	dodana
adaugate	dodane
adaugate	dodanih
adaugate	dodan
adaugate	dodani
adaugate	dodano
beta	beta
aripi	krila
aripi	kril
aripi	krilca
aripi	krili
golf	golf
interzisa	prepovedano
interzisa	prepovedan
interzisa	prepovedani
interzisa	prepovedana
interzisa	prepovedano
interzisa	prepovedane
interzisa	prepovedani
interzisa	prepovedana
numirea	termin
numirea	imenovanje
contactul	kontakt
contactul	stik
contactul	stika
java	java
alexandre	alexandre
siberia	sibiriji
inspector	inšpektor
cumva	nekako
ocean	ocean
claudia	claudia
claudia	klavdija
placut	všeč
placut	prijetno
placut	prijeten
placut	prijetna
evans	evans
wien	wien
edge	robu
edge	rob
edge	ostrino
declaratie	izjavo
declaratie	navedba
declaratie	izjava
declaratie	deklaracija
declaratie	izjava
discursul	govor
alabama	alabama
folosire	uporaba
tabel	preglednica
tabel	razpredelnica
tabel	miza
tabel	tabela
indiei	indija
indiei	indijo
keith	keith
asigurata	zavarovano
asigurata	zavarovani
asigurata	zavarovan
asigurata	zavarovana
corrèze	corrèze
emise	izdana
emise	izdani
emise	izdano
emise	izdane
louisiana	louisiani
baschet	košarka
baschet	košarko
organ	organ
organ	orgle
hotelul	hotel
oarecum	nekoliko
finistère	finistère
tranzitie	prehodno
tranzitie	prehod
distante	razdalje
distante	razdalje
cald	vroče
cald	vroč
cald	vroča
cald	topla
cald	topel
cald	topli
cald	toplo
adanc	globoka
adanc	globoko
adanc	globok
adanc	globoka
adanc	globoko
adanc	globok
salvare	rešitev
salvare	odrešitev
salvare	reševalna
salvare	reševanje
vacanta	dopust
vacanta	praznik
vacanta	počitnice
vacanta	dopust
vacanta	počitnice
vacanta	oddih
vacanta	dopust
vacanta	počitnice
vacanta	oddih
vacanta	dopust
vacanta	praznik
vacanta	počitnice
vacanta	dopust
vacanta	počitnice
vacanta	oddih
malta	malto
malta	malta
manifestari	manifestacije
fotbalul	football
fotbalul	nogomet
fotbalul	fuzbal
radical	radikalne
radical	radikalno
asalt	napad
renault	renault
sierra	sierra
specializate	specializiranih
specializate	specializiran
specializate	specializirana
specializate	specializirani
specializate	specializirano
specializate	specializirane
specializate	specializiran
buenos	buenos
dificultati	težavah
dificultati	oteženo
dificultati	težave
dificultati	težave
raurile	rek
raurile	reke
tribuna	tribune
lapte	mlečni
lapte	mleka
lapte	mleko
grove	grove
viteze	hitrosti
studios	studios
vieti	živi
vieti	življenja
vieti	živi
vieti	življenja
boemia	bohemia
oferind	daritev
oferind	ponuja
letonia	latvije
letonia	latvijo
letonia	latvija
islanda	islandija
islanda	islandijo
islanda	islandije
hanovra	hanover
hanovra	hannover
rahman	rahman
