bosna	bosna
tvoje	vaš
tvoje	tvoje
tvoje	your
tvoje	tvoje
tvoje	tvoj
maximum	maksimalna
maximum	maksimalni
maximum	maksimalne
maximum	maksimum
maximum	maksimalno
coa	coa
cas	cas
cas	cass
prijaté	odveden
prijaté	uzeo
prijaté	donesena
prijaté	primio
prijaté	dobio
prijaté	dobila
prijaté	prihvatio
prijaté	prihvaćena
prijaté	primljeni
prijaté	primljen
prijaté	prihvatili
prijaté	primljena
prijaté	priznao
prijaté	primljen
prijaté	usvojen
prijaté	usvojena
dno	dno
voz	vagon
hradiště	hradiště
dôstojníkov	oficiri
dôstojníkov	službenici
dôstojníkov	oficire
američania	amerikanaca
američania	amerikanci
frederick	fridrik
frederick	frederick
frederick	frederik
oheň	vatra
garcía	garcía
zrážky	sudar
zrážky	nesreća
zrážky	padavina
alberto	alberto
russell	russell
kopca	brdo
kritici	kritičari
demokracia	demokratija
kus	komad
možná	mogući
možná	moguće
slávny	poznati
slávny	poznata
slávny	poznat
slávny	poznate
slávny	slavni
turbo	turbo
brazílie	brazil
nezávislých	independent
nezávislých	nezavisno
nezávislých	nezavisni
nezávislých	nezavisna
planétu	planeta
spoločenský	društvena
spoločenský	društvene
spoločenský	društvenu
spoločenský	socijalna
postupnosť	niz
arnold	arnold
ľahšie	lakši
ľahšie	lakše
reaguje	reaguje
reaguje	reagira
harold	harold
studio	studio
teoreticky	teoretski
kódy	kodovi
podporovať	podrška
podporovať	podsticanje
koryto	korita
akt	acp
akt	ponašaju
akt	čin
akt	akt
sultán	sultan
nepriamo	indirektni
nepriamo	indirektna
nepriamo	indirektno
povedomia	svijesti
modelka	model
modelka	modela
občianskeho	civic
občianskeho	građanskog
občianskeho	građanske
občianskeho	građanski
blízkom	srednji
vlk	wolf
vlk	vuk
vlk	vuka
volkswagen	volkswagen
sociológ	sociolog
chemická	hemijska
chemická	hemikalija
chemická	hemijsko
chemická	hemijski
kongresu	kongres
lászló	lászló
robot	bot
robot	robot
námornej	pomorski
námornej	maritime
pevný	čvrsto
pevný	čvrste
zahraničné	stranih
zahraničné	strani
