மற்றும்	en
ஒரு	een
இந்த	dit
இந்த	hierdie
இந்த	dié
ஆம்	ja
இது	dit
இது	hierdie
இது	dié
மக்கள்	peoples
மக்கள்	mense
என்ற	getiteld
என்ற	die
என்ற	afgelei
ஆண்டு	jaar
என்று	dat
என்று	wat
என்று	dai
தமிழ்	tamil
இந்திய	indiër
இந்திய	indiese
இருந்து	van
இருந்து	vanuit
இருந்து	vanaf
பல	vele
பல	baie
பல	veelvuldige
பல	veelvoud
முதல்	van
முதல்	vanuit
முதல்	vanaf
முதல்	eerste
முதல்	eers
மேலும்	nog
மேலும்	meer
தொகை	bedrag
சில	paar
சில	sommige
உள்ளது	beskikbaar
உள்ளது	bestaan
அவர்	hom
அவர்	haar
இருக்கும்	bestaande
வெளி	eks
வெளி	eksterne
வெளி	spasie
அமைந்துள்ளது	geleë
மூலம்	bronne
மூலம்	bron
மூலம்	oorspronklik
மூலம்	oorspronklike
கொண்ட	vervat
கொண்ட	versamel
வரை	teken
வரை	totdat
பின்னர்	then
பின்னர்	dan
பின்னர்	later
ஆனால்	maar
வேண்டும்	nood
வேண்டும்	benodig
வேண்டும்	wil
கொண்டு	gebring
கொண்டு	bring
கொண்டு	mee
கொண்டு	met
அமைந்துள்ள	geleë
அதன்	its
பெண்கள்	meisies
பெண்கள்	vroulik
பெண்கள்	meisies
பெண்கள்	mishandel
பெண்கள்	vroue
பெண்கள்	vrouens
கொண்டுள்ளது	het
கொண்டுள்ளது	bevat
போது	tydens
போது	gedurende
போது	wanneer
இணைப்புகள்	verbindings
இணைப்புகள்	skakels
இரண்டு	twee
தகவல்	informasie
தகவல்	inligting
தகவல்	boodskap
மாவட்ட	distrik
மொத்த	totale
வளர்ச்சி	ontwikkeling
வளர்ச்சி	growth
வளர்ச்சி	groei
மாவட்டம்	distrik
அந்த	dat
அந்த	wat
அந்த	dai
மிகவும்	baie
திட்டம்	projek
திட்டம்	plan
தேசிய	nasionale
தேசிய	national
தேசிய	nasionaal
இலங்கை	ceylon
இங்கு	hier
கி	kyi
அமெரிக்க	amerikaans
அமெரிக்க	american
அமெரிக்க	amerikaanse
அடிப்படை	grondslag
அடிப்படை	base
அடிப்படை	onderliggende
அடிப்படை	basis
அடிப்படை	basies
அடிப்படை	basic
அடிப்படை	basiese
பெயர்	naam
பெயர்	benoem
பெயர்	gebruikernaam
பெயர்	etiketteer
பெயர்	etiket
மூன்று	drie
ஆண்கள்	mans
ஆண்கள்	mans
ஆண்கள்	manne
ஒன்று	vergader
ஒன்று	bymekaar
ஒன்று	een
ஐக்கிய	vereenigde
ஐக்கிய	united
ஐக்கிய	verenigde
புதிய	nuut
புதிய	nuwe
புதிய	vars
அவரது	haar
மொத்தம்	totale
சிறந்த	groot
சிறந்த	wonderlik
சிறந்த	beste
சிறந்த	uitstekend
சிறந்த	uitstekende
சிறந்த	excellent
அரசு	regering
வசதிகள்	fasiliteite
