for	for
ble	滞在
var	var
var	was
var	were
han	ハン
fra	から
har	got
har	has
ikke	not
også	also
også	また
også	too
men	buts
men	でも
men	しかし
etter	アフター
seg	独学
lenker	チェイン
lenker	リンク
under	以下
eksterne	外部
kan	can
hadde	had
andre	アンドレ
andre	番目
andre	セカンド
andre	その他
andre	他の
andre	その他
dette	この
dette	これ
over	オーバー
over	over
over	上の
over	上記
første	ファースト
første	最初
hun	フン
hun	彼女
sin	his
sin	its
mot	勇気
mot	反対
mot	mot
der	そこ
denne	この
denne	これ
hans	ハンス
hans	his
norsk	ノルウェー
flere	倍数
flere	複数
flere	もっと
fikk	got
norge	ノルウェー
noen	誰か
noen	いくつか
noen	一部
noen	いくらか
noen	any
alle	all
alle	すべて
alle	みんな
noe	何でも
hvor	どこ
mange	多数
siden	以来
siden	since
siden	ページ
wikipedia	wikipedia
wikipedia	ウィキペディア
tidligere	前者
sammen	together
før	以前
død	デス
død	デッド
disse	これらの
disse	これら
senere	後で
del	del
del	デル
del	パート
del	部分
del	共有
del	シェア
norske	ノルウェー
tre	トレ
tre	ツリー
tre	三人
tre	three
tre	スリー
mer	もっと
vil	欲しい
skal	going
oslo	オスロ
selv	偶数
selv	even
annet	その他
annet	else
samme	同じ
samme	おなじ
enn	より
store	大きな
store	大きい
store	ビッグ
and	カモ
and	アヒル
and	ダック
kjent	おなじみ
sitt	座る
sitt	sit
mai	マイ
mai	メイ
mai	五月
bare	のみ
bare	ちょうど
bare	ジャスト
bare	ただ
kommune	教区
kommune	市町村
nord	ノース
nord	ノール
gjennom	through
gjennom	スルー
ord	ワード
ord	言葉
ord	単語
ord	word
ord	言葉
ord	単語
sør	サウス
mens	while
rundt	ラウンド
rundt	round
rundt	丸い
sine	its
usa	米国
her	ここ
når	いつ
når	とき
både	両方
byen	タウン
byen	シティ
byen	都市
august	アウグスト
vant	ウォン
vant	won
navn	名前
navn	氏名
navn	名称
navn	名前
navn	名称
meter	メートル
meter	メートル
meter	メートル
meter	メーター
dag	dag
dag	day
dag	一日
navnet	名前
navnet	氏名
navnet	名称
mars	マーチ
mars	行進曲
mars	マーズ
mars	火星
plass	スペース
plass	空間
bli	滞在
bli	ステイ
nye	new
nye	新しい
nye	新規
tid	タイム
tid	時間
php	php
gang	タイム
gang	時間
stor	大きい
stor	大きな
stor	大きい
stor	ビッグ
stor	巨大
siste	最終
siste	ラスト
siste	最後
siste	最終
siste	決勝
siste	ファイナル
siste	最新
september	九月
juni	六月
tok	トック
oktober	十月
april	四月
april	エイプリル
ofte	頻繁
ofte	頻繁
ofte	しばしば
mål	ゴール
mål	目標
juli	ジュリ
går	ウォーキング
går	歩行
går	歩く
går	going
går	goes
går	ウォーキング
tilbake	戻る
tilbake	後ろ
tilbake	背中
tilbake	裏側
totalt	合計
totalt	全体
februar	二月
november	十一月
fire	four
fire	フォー
ham	him
største	最大
isbn	isbn
gruppen	集団
gruppen	グループ
uten	なし
diff	diff
new	new
new	新しい
new	新規
igjen	再び
igjen	アゲイン
laget	made
laget	チーム
london	ロンドン
engelsk	イングリッシュ
engelsk	英語
ingen	なし
først	ファースト
først	最初
land	国名
land	カントリー
land	ランド
land	土地
land	国々
sommer	summer
sommer	サマー
jpg	jpg
liste	リスト
side	サイド
side	ページ
helt	ヒーロー
vest	ウエスト
vest	西部
vest	ウェスト
vest	ベスト
vest	ウェスタン
vest	ウエスタン
beste	最高
beste	ベスト
beste	best
amerikansk	アメリカン
grunn	理由
grunn	理性
kommer	来る
kommer	カミング
artikkelen	記事
artikkelen	冠詞
mindre	小さい
mindre	マイナー
mindre	少ない
rekke	シリーズ
tillegg	加算
tillegg	加法
landet	国名
landet	カントリー
ville	ヴィル
området	面積
området	領域
området	エリア
ned	ダウン
john	ジョン
lag	チーム
bruk	応募
bruk	適用
bruk	使用
kun	のみ
øst	イースト
øst	東部
øst	東部
døde	デッド
sverige	スウェーデン
county	カウンティ
tyskland	ドイツ
tysk	ドイツ語
derfor	ゆえに
kirke	チャーチ
kirke	教会堂
kirke	教会
gamle	古い
gamle	オールド
frem	進む
frem	フォワード
frem	転送
frem	宣伝
artikler	記事
artikler	冠詞
gjorde	did
skrevet	筆記
imidlertid	しかしながら
familien	家族
eksempel	サンプリング
eksempel	サンプル
amerikanske	アメリカン
kjente	フェルト
annen	その他
videre	さらに
hver	それぞれ
ganger	タイムズ
svært	きわめて
svært	極めて
egen	own
litt	あまり
artikkel	記事
artikkel	冠詞
jan	ヤン
ulike	異なる
score	スコア
score	得点
frankrike	フランス
like	等しい
like	イコール
satt	集合
satt	セット
satt	sat
sett	斑点
sett	集合
sett	セット
alt	すべて
alt	全て
alt	all
alt	すべて
alt	alt
gruppe	集団
gruppe	グループ
deretter	それから
lang	lang
lang	ラング
lang	長い
lang	ロング
europa	欧州
europa	ヨーロッパ
europa	エウロパ
medlem	メンバ
medlem	会員
medlem	メンバー
fem	ファイブ
fem	五つ
fem	five
per	単価
england	イギリス
særlig	特に
særlig	特に
nok	十分
begge	両方
deler	共有
deler	シェア
deler	共有
deler	シェア
deler	株式
deler	シェア
deler	パーツ
deler	部品
deler	セクション
bergen	ベルゲン
fram	進む
fram	フォワード
fram	転送
gitt	与えられた
gitt	付与
fordi	なぜなら
fordi	だって
står	スタンディング
hvert	それぞれ
året	イヤー
perioden	期間
perioden	ピリオド
des	des
kina	中国
kina	チャイナ
ett	一つ
ett	one
ett	一人
ett	ワン
innbyggere	市民
sønn	息子
språk	言語
språk	言語
nasjonale	国民
nasjonale	ナショナル
forfatter	作家
forfatter	ライター
forfatter	作家
forfatter	著者
forfatter	作者
fil	ファイル
menn	男性
menn	メン
barn	子供
barn	キッズ
barn	子供
barn	子供
barn	児童
kamper	マッチ
kamper	一致
kamper	ゲーム
kamper	合戦
spiller	プレイヤー
spiller	プレーヤー
personer	ピープル
gir	与える
gir	give
leder	リーダー
gull	gold
gull	ゴールド
godt	良い
godt	グッド
gjøre	メイク
gjøre	make
forskjellige	異なる
historie	記事
historie	ストーリー
historie	物語
historie	履歴
historie	由緒
historie	歴史
historie	沿革
bak	後ろ
liv	生活
liv	生命
liv	人生
liv	ライフ
fransk	フレンチ
fransk	フランス語
sted	place
sted	場所
sted	スポット
sted	所在地
sted	ロケーション
sted	場所
university	大学
fotball	フットボール
resultat	結果
resultat	結果
tredje	番目
tredje	サード
danmark	デンマーク
stort	大きい
stort	大きな
stort	大きい
stort	ビッグ
verden	世界
verden	ワールド
paris	パリス
paris	パリ
slekt	家族
viktig	重要
mulig	可能性
york	ヨーク
president	大統領
president	プレジデント
president	社長
bilde	画像
bilde	写真
bilde	画像
bilde	イメージ
bilde	フォト
bilde	写真
langt	far
langt	遠く
langt	遠い
allerede	すでに
allerede	既に
opprettet	作成
kort	短い
kort	ショート
sesongen	季節
sesongen	シーズン
style	スタイリング
liten	小さな
liten	スモール
liten	小さい
liten	リトル
liten	小さい
kanskje	たぶん
kanskje	多分
kanskje	未定
skuespiller	女優
skuespiller	俳優
skuespiller	俳優
tidlig	アーリー
tidlig	早い
form	図形
form	形状
form	シェイプ
krigen	戦争
yrke	職業
små	小さな
små	スモール
små	小さい
spesielt	特に
spesielt	特に
spesielt	スペシャル
kvinner	女性
god	良い
god	グッド
fortsatt	スティル
fortsatt	それでも
fortsatt	まだ
nytt	new
nytt	新しい
nytt	新規
vanlig	レギュラー
vanlig	共通
vanlig	普通
italia	イタリア
hvordan	how
bilder	画像
bilder	イメージ
kong	コング
sport	スポーツ
sport	スポーツ
lite	小さな
lite	スモール
lite	小さい
lite	lite
lite	リトル
lite	小さい
førte	led
bruker	ユーザー
bruker	ユーザ
seks	シックス
seks	six
albumet	アルバム
slaget	バトル
slaget	戦闘
slaget	戦い
nummer	番号
nummer	数値
nummer	ナンバー
internasjonale	インターナショナル
internasjonale	国際
meg	メグ
universitetet	大学
skole	学校
skole	スクール
innenfor	インサイド
vel	まあ
film	映画
film	ムービー
film	映画
film	フィルム
left	左側
opprinnelig	オリジナル
moderne	モダン
com	com
periode	期間
periode	ピリオド
heller	むしろ
heller	ヘラー
antall	番号
antall	数値
antall	ナンバー
antall	数量
titler	役職
titler	称号
titler	タイトル
team	チーム
team	チーム
center	センター
center	中央
center	中心
hatt	had
hatt	ハット
hatt	帽子
enkelte	いくつか
enkelte	一部
enkelte	いくらか
bedre	ベター
bruke	使用
kilder	ソース
kilder	出典
tar	take
politiker	政治家
christian	クリスチャン
christian	キリスト教
christian	キリスト教徒
delen	セクション
inneholder	含む
familie	家族
friidrett	アスレチックス
forhold	リレーションシップ
forhold	交際
forhold	リレーションシップ
forhold	交際
lever	レバー
lever	肝臓
holdt	開催
holdt	停止
lange	ランゲ
lange	長い
lange	ロング
medlemmer	メンバー
medlemmer	メンバ
all	all
all	すべて
mennesker	ヒト
mennesker	ピープル
mener	平均
mener	意地悪
folk	ピープル
poeng	ポイント
poeng	スコア
poeng	得点
poeng	ポイント
peter	ペーター
peter	peter
peter	ピーター
nesten	ほとんど
nesten	ほぼ
nesten	ほぼ
betyr	手段
sølv	シルバー
etablert	設立
klubb	クラブ
klubb	棍棒
mann	マン
mann	男性
mann	man
ledet	led
musikk	ミュージック
musikk	音楽
finne	find
nær	閉じる
nær	クローズ
nær	付近
nær	近く
https	https
russland	ロシア
min	鉱山
min	ミン
min	min
verdens	世界
verdens	ワールド
grad	ランク
grad	学位
berlin	ベルリン
thomas	トマス
thomas	トーマス
robert	ロベルト
robert	ロベール
robert	ロバート
kirken	チャーチ
kirken	教会堂
kirken	教会
paul	ポール
paul	パウル
far	父親
from	から
følge	フォロー
art	art
art	アート
art	芸術
art	美術
vanligvis	通常
vanligvis	通常
medaljer	メダル
david	デイヴィッド
david	ダビデ
david	デビッド
david	デヴィッド
konge	king
konge	国王
konge	キング
afrika	アフリカ
gammel	古い
gammel	オールド
world	世界
world	ワールド
svenske	スウェード
gift	既婚
fylke	カウンティ
kinesisk	中国語
kinesisk	中国人
støtte	サポート
støtte	支持
eget	own
neste	next
foran	フロント
foran	表側
foran	前面
vei	道路
kilde	ソース
kilde	出典
steder	所在地
steder	場所
steder	スポット
ganske	可愛い
forbindelse	つながり
forbindelse	接続
apr	apr
aug	aug
city	シティ
city	都市
russisk	ロシア
sider	ページ
dager	日数
japan	日本
via	via
høyde	高度
høyde	身長
jul	クリスマス
venstre	左側
erik	エリック
hjelp	ヘルプ
professor	教授
veien	道路
direkte	ライブ
direkte	生きる
direkte	ダイレクト
direkte	直接
van	バン
van	ヴァン
måte	ウェイ
arbeid	作業
arbeid	仕事
arbeid	ワーク
skolen	学校
skolen	スクール
vann	ウォーター
best	最高
best	ベスト
best	best
canada	カナダ
likevel	スティル
likevel	それでも
likevel	まだ
likevel	yet
parti	パーティ
parti	パーティー
sep	sep
sangen	歌曲
sangen	ソング
omtrent	について
omtrent	おおよそ
omtrent	おおよそ
slutt	終了
slutt	エンド
museum	美術館
museum	博物館
http	http
album	アルバム
album	アルバム
gitar	ギター
areal	面積
areal	領域
areal	エリア
amerika	アメリカ
martin	マーティン
martin	マーチン
james	ジェームス
james	ジェームズ
tror	シンク
divisjon	師団
divisjon	ディビジョン
inndeling	細分
inndeling	区画
mar	mar
arrangert	編曲
sang	歌う
sang	歌曲
sang	ソング
jun	jun
jun	じゅん
bar	バール
bar	バー
eldre	長老
brasil	ブラジル
bronse	青銅
bronse	ブロンズ
orden	オーダー
orden	注文
rolle	役割
finland	フィンランド
george	ジョージ
spania	スペイン
iii	iii
finalen	フィナーレ
finalen	ファイナル
michael	ミヒャエル
michael	マイケル
type	種類
type	タイプ
kamp	バトル
kamp	戦闘
kamp	戦い
kamp	闘争
kamp	格闘
kamp	戦闘
stockholm	ストックホルム
fortsatte	続き
fortsatte	継続
australia	オーストラリア
delt	共有
delt	分ける
delt	分割
delt	スプリット
henrik	ヘンリク
lenge	長い
lenge	ロング
leker	おもちゃ
leker	オモチャ
leker	玩具
roman	ローマン
roman	ロマン
roman	ローマ
roman	小説
stavanger	スタヴァンゲル
