lokalizacji	местоположения
panna	дева
panna	мис
geografia	география
naukowcy	изследователите
naukowcy	изследователи
naukowcy	учените
naukowcy	учени
warren	уорън
castle	замъка
castle	замъкът
castle	замък
castle	касъл
napisała	написал
napisała	написа
uda	бедро
uda	бедрото
uda	бедра
uda	бедрата
algierii	алжирски
algierii	алжир
loty	полети
badacze	изследователи
badacze	изследователите
badacze	изследователи
współczesna	модерно
współczesna	модерни
współczesna	модерна
współczesna	съвременно
współczesna	модерен
współczesna	съвременен
współczesna	съвременни
współczesna	съвременна
współczesna	съвременно
współczesna	съвременен
pozbawione	лишено
pozbawione	лишен
pozbawione	лишени
psy	psy
psy	пси
psy	кучета
psy	куче
psy	кучето
psy	дог
poetów	поетите
poetów	поети
apg	apg
liczyć	брой
liczyć	броене
liczyć	броя
portrety	портрети
ofiarą	жертва
ofiarą	жертвата
ofiarą	жертви
warstwa	пласт
warstwa	слой
pomiaru	измерване
pomiaru	оценяване
pomiaru	измервания
pomiaru	измерване
osobowości	личности
osobowości	характер
osobowości	личността
osobowości	индивидуалност
osobowości	личност
seulu	сеул
poprzednie	бивши
poprzednie	бивш
poprzednie	бивша
poprzednie	предишна
poprzednie	предишни
poprzednie	предишен
poprzednie	предишно
maryland	мериленд
electric	електрически
electric	електрическа
electric	електрическо
electric	електричество
schumacher	шумахер
królową	кралицата
królową	царица
królową	кралица
komentarze	мнение
komentarze	забележки
komentarze	коментари
komentarze	мнения
keith	кийт
naczynia	прибори
naczynia	съдове
naczynia	кораби
naczynia	съдове
naczynia	блюда
naczynia	ястия
naczynia	чинии
zastąpić	замяна
zastąpić	замени
zastąpić	заместване
zastąpić	заменен
zastąpić	заменено
zastąpić	сменен
zastąpić	сменени
zastąpić	заменена
zastąpić	заместител
zastąpić	заместване
reakcje	реакции
reakcje	реакциите
reakcje	реакция
oddziela	разделя
ekipa	тийм
ekipa	отбор
ekipa	отбора
ekipa	екип
ekipa	team
ekipa	екипаж
piętrze	подът
piętrze	пода
piętrze	етаж
reklamy	реклами
reklamy	рекламен
reklamy	реклами
reklamy	реклама
odznaki	значки
kent	кент
zestawienie	резюме
zestawienie	обобщение
pomocnicze	спомагателна
mali	мали
pruski	пруски
nieprzerwanie	непрекъснато
colin	колин
początkowa	начален
początkowa	първоначален
początkowa	първоначално
początkowa	първоначална
pacific	пасифик
ralph	ралф
todd	тод
joan	джоан
joan	джоун
global	световно
global	глобална
global	глобален
global	глобални
global	глобално
karla	карл
ośrodki	курорти
ośrodki	центровете
ośrodki	центрове
ośrodki	центровете
ośrodki	центрове
stwierdzenie	твърдение
stwierdzenie	изявление
stwierdzenie	показания
zwalczania	унищожаване
zwalczania	изкореняване
zwalczania	ликвидиране
zwalczania	битка
autonomii	самостоятелност
autonomii	автономия
powszechne	универсален
powszechne	универсално
powszechne	универсална
powszechne	универсални
fotografie	фотографии
fotografie	снимки
fotografie	снимките
fotografie	фотографията
fotografie	фотография
zależne	зависима
zależne	зависими
zależne	зависимо
zależne	зависим
zależne	филиали
niebieskie	сини
niebieskie	блу
niebieskie	синьо
niebieskie	син
niebieskie	синя
niszczyciele	разрушители
owoców	плодове
owoców	плод
owoców	плодове
męski	мъжко
męski	мъжки
męski	мъж
męski	мъжкар
męski	мъжка
męski	мъжествен
męski	мъжествено
męski	мъжествен
męski	мъжествено
tarnów	тарнов
weryfikacji	проверка
chińskich	китайци
chińskich	китайска
chińskich	китайско
chińskich	китайски
chińskich	китаец
narzędzie	инструмент
uznawane	призната
uznawane	признати
uznawane	разпознат
uznawane	признат
uznawane	признати
uznawane	призната
uznawane	разпознат
uznawane	признато
uznawane	признат
organizmów	организми
używanie	използвайки
cząstek	частици
cząstek	частица
cząstek	частици
przypuszczalnie	предполагаемо
xxx	xxx
duchu	дух
duchu	призрак
duchu	дух
komputerów	компютрите
komputerów	компютри
amt	amt
niebo	рай
niebo	раят
niebo	рая
niebo	небето
niebo	скай
niebo	небе
niebo	небето
niebo	небесата
niebo	небе
niebo	небеса
kłopoty	беля
kłopoty	неприятности
kłopoty	беда
kłopoty	проблем
kłopoty	проблеми
kłopoty	беди
kłopoty	бедите
węgierska	унгарски
cleveland	кливлънд
cleveland	кливланд
kampanię	кампанията
kampanię	кампания
tłumaczy	обяснява
tłumaczy	translators
tłumaczy	преводачи
piątej	пети
piątej	пето
piątej	пета
wood	дървен
wood	дърва
wood	дървесина
wood	дървени
wood	дърво
odkryte	разкрита
odkryte	разкрити
odkryte	открит
odkryte	открита
odkryte	открити
mont	мон
tlenu	кислород
franciszkanów	францискански
classic	класик
classic	класическо
classic	класическа
classic	класика
classic	класически
konto	сметка
konto	акаунт
pat	застой
pat	безизходица
pat	пат
solidarność	солидарност
castro	кастро
zalecenia	препоръки
zalecenia	препоръка
zalecenia	препоръки
roberts	робъртс
róża	роуз
róża	роза
róża	розата
róża	роза
róża	роса
armaty	оръдия
armaty	кенън
armaty	оръдие
armaty	оръдието
armaty	оръдия
jung	юнг
dowody	доказателство
dowody	доказателството
dowody	доказване
dowody	доказателства
dowody	доказателство
dowody	улики
dowody	доказателства
zachowany	запазено
zachowany	запазен
zachowany	запазени
zachowany	консервирани
zachowany	запазена
amerykanie	американците
amerykanie	американци
ósemka	осем
obsługiwane	подкрепен
obsługiwane	подкрепи
obsługiwane	подкрепена
obsługiwane	поддържани
obsługiwane	подкрепено
kwitnie	цъфти
basista	басист
notowania	цитати
notowania	цитат
impreza	парти
impreza	party
impreza	купон
impreza	партия
uszkodzony	повреден
uszkodzony	повредена
uszkodzony	повредени
uszkodzony	увреден
uszkodzony	повредено
uszkodzony	повреден
uszkodzony	покварен
uszkodzony	повредени
uszkodzony	повредено
uszkodzony	дефектни
uszkodzony	дефектен
administratorem	админ
administratorem	администратор
administratorem	администратор
kierunki	упътване
kierunki	посоки
kompozycje	състави
kompozycje	композиции
airways	airways
trofeum	трофей
mandatu	мандат
legia	легион
legia	легиона
gabinet	кабинет
gabinet	шкаф
gabinet	кабинетът
zniszczenie	опустошение
zniszczenie	унищожаване
zniszczenie	разрушение
zniszczenie	разрушения
zniszczenie	унищожение
zniszczenie	разрушаване
libertadores	либертадорес
umieścić	сложи
pfalz	pfalz
iran	иран
icao	икао
han	хан
dekret	декрет
dekret	указ
dekret	постановление
pisanie	пишеш
pisanie	пиша
pisanie	писане
olympic	олимпик
olympic	олимпийски
słownika	речник
dochód	приход
dochód	приходи
dochód	приход
dochód	доход
dochód	приходи
dochód	доходи
winter	зима
winter	зимата
poprawki	корекции
poprawki	корекциите
poprawki	поправки
poprawki	изменения
poprawki	поправки
poprawki	ревизии
samolotem	самолет
samolotem	самолет
samolotem	равнина
samolotem	самолет
zhang	джан
anioł	ейнджъл
anioł	ангел
anioł	angel
anioł	анхел
seattle	сиатъл
nadawania	излъчване
nadawania	излъчването
łączna	натрупване
łączna	кумулативни
zbędne	излишни
zbędne	излишно
zbędne	излишен
zbędne	ненужна
zbędne	излишни
zbędne	излишно
zbędne	ненужен
zbędne	ненужни
zbędne	ненужно
zbędne	излишни
zbędne	излишно
zbędne	излишен
zawartych	сключени
zawartych	сключен
zawartych	сключено
przekracza	надвишава
dzieciństwie	детство
dzieciństwie	детството
santo	санто
bristol	бристол
jolanta	йоланта
centralna	централно
centralna	централен
centralna	централа
centralna	централни
centralna	централна
mosty	мостове
mosty	мостовете
traci	губи
działki	заговори
działki	парцели
działki	парцели
działki	парцел
działki	парцел
działki	сюжет
działki	заговор
powstać	стани
powstać	възникнат
krajowym	домашен
krajowym	домашна
krajowym	домашни
autorskie	авторско
parafie	енории
gilbert	жилбер
gilbert	гилбърт
równanie	уравнение
równanie	уравнението
równanie	уравнения
davisa	дейвис
rzekomo	предполагаемо
więzień	затворничка
więzień	затворник
więzień	затворничка
więzień	затворник
więzień	затвори
więzień	затворите
poinformował	информирани
poinformował	информиран
poinformował	информирана
telefon	телефон
telefon	телефона
telefon	телефонът
telefon	телефон
jasno	светло
jasno	ярко
jasno	светли
kuba	куба
utc	utc
felix	феликс
aktualne	ток
aktualne	текущ
aktualne	текуща
aktualne	текущи
aktualne	настоящ
franka	франк
ujednoznacznienie	пояснение
dachau	дахау
przemiany	трансформация
przemiany	преобразяване
przemiany	преобразуване
dziwne	странна
dziwne	странно
dziwne	странен
dziwne	странна
dziwne	странно
dziwne	странни
dziwne	странен
dziwne	странна
dziwne	странно
dziwne	странен
gerard	жерар
gerard	джерард
gerard	жерар
zagraniczne	изходящи
zagraniczne	чужди
zagraniczne	чуждестранни
zagraniczne	чужд
zagraniczne	чужда
zagraniczne	чужденец
wyrzutni	установка
turynie	торино
recenzji	отзиви
recenzji	прегледи
pastor	пасторе
pastor	пастор
pastor	пасторът
brzegi	ръбове
brzegi	краища
urban	градско
urban	градска
urban	градски
fotograf	фотографа
fotograf	фотограф
zaatakował	нападна
zaatakował	нападната
zaatakował	атакуван
zaatakował	атакувани
zaatakował	нападната
zaatakował	нападнат
turystyczna	туристи
turystyczna	туристическа
turystyczna	турист
turystyczna	туристически
symboli	означения
symboli	символи
podania	приложения
podania	заявления
podania	молби
zabił	убита
zabił	убити
zabił	убит
rzeczywistość	реалност
rzeczywistość	действителността
rzeczywistość	реалността
rzeczywistość	действителност
korporacji	корпорациите
korporacji	корпорации
korporacji	корпорация
korporacji	корпорейшън
ludzkości	човечеството
ludzkości	човечество
ludzkości	човечност
ludzkości	човечеството
ludzkości	човечество
twierdza	крепостта
twierdza	крепост
obserwacje	забележки
obserwacje	наблюдения
obserwacje	наблюдение
obserwacje	наблюдения
satelity	спътници
satelity	сателитите
satelity	сателити
satelity	спътник
satelity	сателитно
satelity	сателит
satelity	сателитен
satelity	сателитна
szyi	врат
szyi	врата
szyi	шия
szyi	нек
młodzi	млада
młodzi	младо
młodzi	млади
młodzi	йънг
młodzi	млад
akademickich	академик
akademickich	академични
akademickich	академична
stalina	сталин
borys	борис
uznana	призната
uznana	признати
uznana	разпознат
uznana	признат
uznana	признати
uznana	призната
uznana	разпознат
uznana	признато
uznana	признат
tożsamość	самоличност
tożsamość	идентичност
machine	машинка
machine	машина
składników	съставки
składników	съставките
sławy	знаменитости
sławy	знаменитостите
sławy	славата
sławy	слава
wykonawcy	творци
wykonawcy	художници
wykonawcy	изпълнители
wykonawcy	артисти
wykonawcy	изпълнител
wykonawcy	предприемач
wykonawcy	изпълнителите
wykonawcy	изпълнители
wykonawcy	предприемачи
wykonawcy	изпълнители
wykonawcy	подизпълнители
zaliczony	преброени
beta	бета
rodríguez	родригес
rodríguez	родригез
rodríguez	родригес
zysk	печалба
zysk	печалби
zysk	печалби
zysk	печалба
ring	ринг
ring	пръстен
instruktor	инструктор
iata	iata
ludzkie	човешка
ludzkie	човешко
ludzkie	човек
ludzkie	човешки
wykonywanie	извършване
resztki	остатъци
zagrożony	застрашена
zagrożony	застрашени
zagrożony	заплашен
zagrożony	заплаши
dzieciństwa	детство
dzieciństwa	детството
portów	пристанищата
portów	пристанища
nicholas	николас
nicholas	никълъс
mateusza	матю
mateusza	матей
punk	пънк
brać	вземете
brać	вземи
specjalistów	специалисти
specjalistów	специалистите
specjalistów	професионалисти
spencer	спенсър
wiatru	вятърна
wiatru	вятър
wiatru	вятъра
ósmy	осма
ósmy	осми
ósmy	осмо
syberii	сибир
tarcza	щит
przedstawiciela	представителна
przedstawiciela	представителен
przedstawiciela	представително
przedstawiciela	представителни
przedstawiciela	представител
piwo	бирата
piwo	бира
piwo	бирите
piwo	бири
arystokrata	аристократ
kultur	култури
kultur	културите
willi	вили
willi	вили
katastrof	катастрофи
katastrof	бедствията
katastrof	бедствия
komenda	командване
komenda	команда
komenda	командата
atlantic	атлантик
atlantic	атлантическа
pokonać	ритъм
pokonać	победи
pokonać	преодолее
pokonać	преодоляване
pokonać	поражение
pokonać	победен
age	възраст
rysunek	снимка
rysunek	картинка
rysunek	скица
rysunek	скеч
rysunek	фигура
rysunek	фигурата
rysunek	рисуване
rysunek	рисунка
widząc	виждайки
urzędnicy	чиновници
panorama	панорама
gitarze	китарата
gitarze	китара
karne	наказание
karne	наказателни
karne	санкция
karne	наказателен
karne	наказателен
dole	дъното
dole	отдолу
dole	дъно
marsa	марс
podpis	заглавие
podpis	надпис
podpis	подписване
podpis	подпис
znajomości	връзки
nigerii	нигерийски
nigerii	нигерия
potencjał	потенциална
potencjał	потенциал
włoskie	италианска
włoskie	италианец
włoskie	италиански
włoskie	италианско
xbox	xbox
boeing	боинг
niespodziewanie	неочаквано
niespodziewanie	учудващо
niespodziewanie	изненадващо
wirginia	вирджиния
dick	кур
dick	дик
dick	хуй
konie	кончета
konie	коне
konie	конете
konie	конче
konie	кон
agresji	агресия
kiss	кис
kiss	целувка
rezerw	резерв
rezerw	резерви
kolejność	ред
kolejność	поръчка
kolejność	поредица
kolejność	последователност
imigrantów	имигрантите
imigrantów	емигранти
imigrantów	имигранти
imigrantów	имигрант
imigrantów	емигрант
imigrantów	имигранти
pogrzeb	погребение
pogrzeb	погребение
pogrzeb	погребението
angelo	анджело
leszno	лешно
mostów	мостове
mostów	мостовете
petra	петра
bułgaria	българия
straße	straße
lekkoatletyka	атлетика
kopia	копиране
kopia	копие
podróżnik	пътешественик
podróżnik	пътник
podróżnik	пътешественик
podróżnik	пътник
bogate	рич
bogate	богато
bogate	богат
bogate	богата
bogate	богати
odziedziczył	наследствено
odziedziczył	наследил
delegacji	делегация
delegacji	делегиране
delegacji	делегациите
delegacji	делегации
delegacji	делегиране
ems	емс
chelsea	челси
zwolennicy	привърженици
zwolennicy	поддръжници
wątek	нишки
wątek	нишка
wątek	конец
wątek	конци
związani	обвързан
związani	обвързана
nigdzie	никъде
ograniczone	ограничено
ograniczone	ограничена
ograniczone	limited
ograniczone	ограничен
ograniczone	ограничени
ograniczone	ограничено
ograniczone	ограничена
ograniczone	ограничен
ograniczone	ограничени
kowalczyk	ковалчик
amerykanów	американците
amerykanów	американци
sosnowiec	сосновец
alfons	алфонсо
alfons	алфонс
alfons	сводник
właściwy	компетентни
właściwy	компетентна
właściwy	компетентен
amerykanin	американска
amerykanin	американско
amerykanin	американски
amerykanin	американец
linux	linux
bordeaux	бордо
teorie	теорията
teorie	теория
teorie	теории
teorie	теориите
hierarchii	йерархията
hierarchii	йерархия
