категория	kategooria
что	mis
что	mida
для	for
как	kuidas
как	nagu
как	meeldib
был	oli
его	tema
его	teda
также	samuti
также	ka
это	see
это	selle
это	seda
это	see
это	seda
после	pärast
области	alad
области	valdkonnad
области	piirkonnad
год	aasta
было	oli
время	kellaaeg
время	aeg
время	aja
время	ajas
время	aega
состав	koosseis
состав	koostis
была	oli
место	spot
место	koht
место	asukoht
были	olid
район	naabrus
район	ringkond
район	rajoon
район	pindala
район	valdkond
район	piirkond
район	ala
вид	liigid
вид	liik
вид	vaade
под	all
только	ainult
только	lihtsalt
есть	sain
есть	sai
язык	keele
язык	keel
язык	keele
ссср	nsvl
районе	naabrus
код	code
код	kood
более	rohkem
мая	mai
дата	kuupäev
ноября	november
ноября	novembris
деревня	küla
деревня	külas
где	kus
где	kuhu
января	jaanuar
марта	marta
марта	martha
марта	märts
все	kõik
все	kõike
все	kõik
все	kõik
все	igaüks
августа	august
августа	augusta
том	tom
октября	oktoober
октября	okt
сентября	september
сентября	septembris
статьи	artiklid
уже	juba
июня	juuni
июня	june
апреля	aprill
сша	usas
сша	usa
который	mis
название	nimi
название	nimetus
название	name
название	nime
название	pealkiri
название	ametinimetus
название	tiitel
поселение	asula
человек	inimene
человек	isik
человек	inimene
человек	inimlik
человек	mehel
человек	mees
человек	man
смерти	surmad
лет	aastad
февраля	veebruar
они	nad
того	togo
города	linn
города	linna
города	city
города	linnad
города	linnad
может	ehk
может	võibolla
может	äkki
может	võiks
может	saaks
может	oskab
может	saab
она	ta
войны	sõjad
войны	sõdu
войны	sõda
можно	oskab
можно	saab
когда	millal
когда	kui
однако	siiski
однако	siiski
которые	mis
высота	kõrgus
высота	kõrgus
переписи	loenduse
переписи	loendus
село	küla
село	külas
стал	sai
статья	artikkel
род	rod
один	üksinda
один	üksi
один	odin
один	ühe
один	üks
без	ilma
реки	river
реки	jõgi
реки	jõed
между	vahel
статус	staatus
статус	seisund
статус	oleku
статус	olek
населения	populatsioon
населения	populatsiooni
населения	rahvastik
населения	elanikkond
населения	rahvaarv
годы	aastad
через	via
через	läbi
национальный	siseriiklikud
национальный	riiklik
национальный	riiklikud
национальный	siseriiklik
область	provints
область	regioon
область	piirkond
область	oblast
область	pindala
область	valdkond
область	piirkond
область	ala
список	nimekiri
список	loetelu
список	loend
сельское	maaelu
сайт	koduleht
сайт	veebileht
сайт	veebisait
сайт	kodulehekülg
сайт	saidi
сайт	ala
века	vanused
века	sajandeid
века	sajandite
официальный	ametlik
официальный	ametnik
часть	osas
против	vastu
этот	see
этот	selle
этот	seda
будет	will
будет	tahe
несколько	mitmed
несколько	mitu
несколько	mitmekordne
несколько	mitu
несколько	mõneti
несколько	mõnevõrra
город	linn
город	linna
город	linn
город	linna
город	city
мира	peace
мира	rahu
мира	mira
первое	kõigepealt
первое	esmalt
первое	esimene
чем	than
части	osi
части	osad
описание	kirjeldus
всего	kokku
первый	kõigepealt
первый	esmalt
первый	esimene
среди	seas
среди	sekka
файл	fail
файл	faili
карты	kaardid
карты	kaardid
два	kaks
всех	kõik
всех	kõik
всех	igaüks
раз	kord
раз	korra
там	seal
территории	territooriumide
территории	territooriumid
второй	teine
второй	teiseks
очень	väga
главы	peatükid
карта	kaart
карта	kaardiga
карта	kaart
карта	kaardi
площадь	plaza
площадь	ruudu
площадь	ruut
площадь	väljak
площадь	pindala
площадь	valdkond
площадь	piirkond
площадь	ala
всё	kõik
всё	kõike
даже	isegi
затем	seejärel
затем	siis
группы	rühm
группы	grupp
группы	grupis
группы	grupid
группы	rühmad
основания	põhjused
размер	suurus
поселения	asulate
над	üle
страны	riik
страны	riigid
ему	teda
индекс	indeks
индекс	index
улица	tänav
население	demograafia
население	populatsioon
население	populatsiooni
население	rahvastik
население	elanikkond
население	rahvaarv
работы	tööd
работы	töö
работы	tööle
имена	nimetused
имена	nimed
вместе	koos
вместе	üheskoos
упоминание	maini
здесь	siin
истории	lugusid
истории	lood
истории	jutud
истории	ajalugu
истории	ajaloo
которая	mis
александр	alexandre
александр	aleksandr
александр	aleksander
александр	alexander
армии	armeed
армии	armee
армии	sõjavägi
деление	diviis
деление	rajoon
деление	osakond
деление	lõhustumine
хотя	kuigi
хотя	ehkki
хотя	kuigi
игроки	mängijad
другие	muu
другие	muud
другие	muud
другие	teised
получил	sain
получил	sai
история	jutt
история	ajalugu
история	ajaloo
себя	ennast
себя	ise
совета	nõukogu
фильм	filmi
фильм	film
фильм	filmi
фильм	kile
фильм	film
рождения	sünd
рождения	sünni
пункты	kirjed
пункты	elemendid
пункты	esemed
пункты	lõigud
пункты	lõiked
времени	kellaaeg
времени	aeg
времени	aja
времени	ajas
времени	aega
либо	kas
участник	parlamendiliige
участник	liige
участник	osaleja
страница	leht
страница	lehekülg
страница	page
страница	lehekülje
участие	kaasamine
участие	kaasatus
участие	osalus
участие	osalemine
википедии	wikipedia
три	kolm
человека	inimene
человека	inimlik
автор	autor
республики	vabariik
внутреннее	sise
внутреннее	sisemised
внутреннее	sisemine
внутреннее	sisemine
эти	need
эти	neid
статей	artiklid
случае	case
случае	kohtuasi
случае	juhtum
центр	keskus
центр	keskele
центр	center
центр	keskel
центр	keskus
округ	maakond
округ	ringkond
округ	rajoon
жизни	life
жизни	elu
жизни	elud
жизни	elab
генерал	üldine
генерал	kindral
генерал	üldist
генерал	üldised
родился	sündis
родился	sündinud
союза	liit
союза	liidu
кто	kes
кто	keda
связи	lingid
связи	kommunikatsioon
связи	side
день	päev
день	päeva
именно	täpselt
период	periood
период	perioodi
период	ajavahemik
община	ühendus
община	kogukond
индексы	indeksid
индексы	indekseid
округа	piirkonnad
округа	maakondades
франции	prantsusmaa
группа	rühm
группа	grupp
группа	grupis
имя	nimi
имя	nimetus
имя	name
имя	nime
игры	mängud
цифровой	digitaalse
цифровой	digitaalne
поэтому	seetõttu
поэтому	seepärast
идентификатор	identifikaator
ширина	laius
просто	lihtsalt
регион	regioon
регион	piirkond
тогда	seejärel
тогда	siis
конце	lõpp
отечественной	patriootlik
вот	siin
работал	töötatud
работал	töötas
работал	töötanud
церкви	kirikud
церкви	kiriku
церкви	kirik
клуб	klubi
клуб	club
ввп	skt
ввп	skp
больше	rohkem
федерации	föderatsiooni
федерации	föderatsioon
федерации	liidud
наиболее	enamikul
наиболее	enamus
наиболее	enamik
наиболее	enim
изображения	piltide
изображения	pildid
изображения	pilt
изображения	pildi
советский	nõukogude
советский	nsv
