leberecht	leberecht
tone	tons
tone	tonnevis
tone	tonn
teret	lad
teret	last
teret	byrden
teret	byrde
teret	belastning
danilo	danilo
wikitable	wikitable
uspostavljanje	etablere
uspostavljanje	konstatere
uspostavljanje	etablere
uspostavljanje	etablerer
ubrzanje	akselerasjon
ubrzanje	dreiemoment
parker	parker
vrat	hals
vrat	neck
vrat	nakken
vrat	nakke
korisnički	brukeren
korisnički	bruker
korisnički	brukar
amonijak	ammoniakk
konrad	konrad
konrad	conrad
konrad	konrad
provode	forbruk
sočiju	sotsji
zima	vinteren
zima	vinter
relativnosti	relativitet
relativnosti	relativitetsteorien
barset	barset
olga	olga
blog	blogg
migracija	migrasjon
vezuje	binder
bobby	bobby
leeds	leeds
objašnjenja	forklaringer
predgrađu	forstad
izbjeglica	flyktning
izbjeglica	refugee
izbjeglica	flyktning
izbjeglica	flyktningene
izbjeglica	flyktninger
stalne	permanente
stalne	permanent
atene	aten
atene	athen
pripremi	forberede
pripremi	klargjør
industrijska	industrielle
gledajući	ser
gledajući	kikker
gledajući	looking
gledajući	leter
gledajući	titter
pobjedio	vinnes
pobjedio	vunnet
pobjedio	won
pobjedio	vant
tyler	tyler
suđenje	rettssak
suđenje	prøving
suđenje	rettergang
klaus	klaus
radovan	radovan
voyager	voyager
morrison	morrison
lotus	lotus
okruzi	distrikter
takmičari	deltagerne
takmičari	konkurrenter
takmičari	konkurrentene
molekulska	molekylær
fosili	fossil
točak	hjul
točak	hjulet
kalaj	tinn
kalaj	tin
kanadski	canadisk
kanadski	kanadisk
ontario	ontario
alice	alice
paket	pakke
paket	pakken
paket	pakka
andora	andorra
andora	andorras
elvis	elvis
odlično	ypperlig
odlično	glimrende
odlično	utmerket
odlično	excellent
postojeći	eksisterende
izgubljeni	mistet
izgubljeni	fortapt
izgubljeni	tapte
izgubljeni	tapt
izgubljeni	lost
pažnja	oppmerksomhet
uzimanje	tar
oton	otho
pretvaranje	vending
pretvaranje	snu
pretvaranje	skru
pretvaranje	konvertering
optužbe	tiltale
optužbe	kostnader
optužbe	belastninger
optužbe	anklager
optužbe	beskyldninger
pokazale	vist
transformacija	forvandle
transformacija	forvandles
transformacija	forvandling
transformacija	transformasjon
zatvara	lukker
zatvara	lukkes
zatvara	stenger
zatvara	lukker
zatvara	lukking
zatvara	stenger
zatvara	avsluttende
papir	paper
papir	papir
složeni	composite
složeni	sammensatt
urednika	redaktører
javor	maple
orbiti	bane
orbiti	kretsløp
valentin	valentin
valentin	valentine
izbačen	kastes
izbačen	kasta
izbačen	kastet
izbačen	slengt
stabilna	stabil
stabilna	stall
stabilna	stabilt
stabilna	stabile
cxd	cxd
pasa	fotballturnering
pasa	hunder
pasa	dogs
bazirana	baserte
bazirana	basert
disertaciju	avhandling
disertaciju	avhandlingen
namjera	hensikt
namjera	intensjon
namjera	hensikt
