die	os
van	apelidos
van	apelido
van	sobrenome
van	do
van	de
van	da
het	got
het	tem
wat	essa
wat	isso
wat	que
met	com
was	estava
was	era
was	tava
was	foi
was	estavam
was	foram
was	eram
vir	por
vir	para
nie	não
dit	este
dit	esta
dit	isso
dit	isto
dit	essa
dit	esse
deur	porta
ook	igualmente
ook	também
dat	essa
dat	isso
dat	que
hulle	eles
suid	sul
suid	south
uit	fora
uit	out
jaar	ano
eerste	primeira
eerste	primeiros
eerste	primeiramente
eerste	primeiro
maar	mas
kan	pode
kan	podem
kan	lata
kan	can
hierdie	este
hierdie	esta
hierdie	isso
hierdie	isto
hierdie	essa
hierdie	esse
ander	outro
ander	outros
ander	outras
ander	outra
soos	like
soos	curta
soos	como
afrika	áfrica
afrika	africana
afrika	africanos
afrika	africano
oor	sobre
oor	orelha
oor	ouvidos
oor	orelhas
oor	ouvido
oor	remanescente
oor	restante
oor	restantes
oor	permanecendo
een	um
een	uma
een	one
gebruik	uso
gebruik	utilização
gebruik	uso
gebruik	usar
gebruik	use
gebruik	utilizar
gebruik	utilização
afrikaanse	africana
afrikaanse	africanos
afrikaanse	africano
groot	ótima
groot	grande
groot	ótimo
meer	lago
meer	mais
meer	more
onder	abaixo
onder	fundo
onder	bottom
twee	duas
twee	two
twee	dois
kerk	kerk
kerk	igrejas
kerk	igreja
duimnael	miniatura
tussen	entre
gemeente	congregação
gemeente	montagem
gemeente	assembleia
gemeente	assembléia
baie	muito
baie	muitos
baie	muitas
begin	comece
begin	comecem
begin	iniciar
begin	começa
begin	início
begin	começar
hul	suas
waar	aonde
waar	onde
waar	true
waar	verdadeiro
waar	verdade
waar	verdadeira
dié	este
dié	esta
dié	isso
dié	isto
dié	essa
dié	esse
eeu	século
eeu	century
haar	dela
haar	ela
haar	her
eksterne	externas
eksterne	externo
eksterne	externos
eksterne	externa
sien	vendo
sien	veja
sien	vê
sien	ver
nuwe	novo
nuwe	novas
nuwe	novos
nuwe	novidade
nuwe	nova
leë	vazios
leë	vazio
leë	vazia
leë	esvaziar
leë	vazias
hom	ele
voor	front
voor	fachada
voor	frente
voor	antes
stad	cidade
land	pais
land	país
skakels	ligações
skakels	links
later	depois
nog	nogai
nog	mais
nog	more
net	só
net	apenas
net	somente
net	unicamente
net	só
net	apenas
tydens	durante
sou	iria
sou	faria
naam	nome
deel	compartilhem
deel	compartilhar
deel	partilhar
deel	partilha
deel	compartilhamento
deel	compartilhe
deel	part
deel	parte
drie	tres
drie	three
drie	três
grootste	greatest
pous	papa
sal	will
sal	vontade
kon	poderiam
kon	podia
kon	poderia
kon	podiam
ons	nossa
ons	nossas
ons	nossos
ons	nosso
mense	pessoas
mense	povo
mense	gente
bestaan	existem
bestaan	existir
bestaan	existirem
bestaan	existe
svg	svg
nasionale	national
nasionale	nacionais
nasionale	nacional
maak	make
maak	faça
kom	vem
kom	venham
kom	venha
noord	norte
noord	north
jpg	jpg
gebied	territórios
gebied	território
gebied	area
gebied	área
vanaf	do
vanaf	de
vanaf	da
laat	tarde
laat	atrasada
laat	tardia
laat	atrasados
laat	atrasado
saam	juntos
saam	juntas
style	styles
style	estilos
terwyl	enquanto
veral	especialmente
moet	mosto
moet	deve
moet	must
weer	novamente
weer	clima
weer	tempo
weer	meteorologia
werk	trabalhos
werk	trabalho
werk	trabalhar
werk	trabalhe
werk	emprego
werk	job
werk	trabalho
werk	jó
werk	werk
klein	small
klein	pequenos
klein	pequeno
klein	pequena
klein	pequenas
klein	menores
klein	menor
klein	minor
klein	tiny
klein	minúsculo
oos	oriente
oos	leste
oos	east
hier	aqui
tyd	hora
tyd	horário
tyd	tempo
tyd	time
vlag	pavilhão
vlag	bandeira
verskeie	vários
verskeie	diversos
verskeie	várias
verskeie	vários
verskeie	diversos
verskeie	diversas
verenigde	unidas
verenigde	unida
verenigde	united
verenigde	unidos
mei	may
mei	maio
mei	pode
wes	west
wes	ocidente
wes	oeste
vorm	forma
vorm	shape
staan	stand
gereformeerde	reformado
gereformeerde	reformada
isbn	isbn
genoem	mencionado
genoem	mencionados
genoem	mencionou
genoem	mencionada
dan	então
dan	depois
bevolking	população
gemaak	feitos
gemaak	feita
gemaak	feito
gemaak	made
gebou	construção
gebou	construindo
gebou	edifício
gebou	prédio
jare	years
jare	anos
januarie	janeiro
januarie	manuais
januarie	manual
junie	jun
junie	june
junie	junho
amerikaanse	americano
amerikaanse	americanos
amerikaanse	american
amerikaanse	americana
slegs	só
slegs	apenas
slegs	somente
slegs	unicamente
slegs	só
slegs	apenas
nadat	após
nadat	after
nadat	depois
dorp	dorp
april	april
april	abril
lank	alto
lank	tall
lank	altos
lank	altas
lank	alta
lank	longa
lank	longos
lank	longo
lank	comprido
lank	long
gestig	fundado
gestig	fundou
gestig	fundada
oktober	outubro
julie	julho
sedert	since
sedert	desde
sedert	lançado
sedert	lançou
sedert	lançada
reeds	já
reeds	ja
kaapstad	barcelona
september	setembro
engels	ingles
engels	inglês
party	partido
party	party
party	festa
desember	dezembro
maart	march
maart	marchar
maart	marcha
maart	março
alle	todas
alle	tudo
alle	todos
augustus	augusto
augustus	august
augustus	agosto
gevolg	seguido
gevolg	seguida
gevolg	seguiu
gevolg	seguidos
gevolg	seguiram
februarie	fevereiro
gaan	indo
nou	agora
meeste	most
gebore	born
gebore	nascido
gebore	nascida
gebore	nasceu
provinsie	província
provinsie	condado
provinsie	estaduais
provinsie	state
provinsie	estado
provinsie	estadual
universiteit	university
universiteit	universidade
beskou	considerem
beskou	considerar
beskou	considere
beskou	considera
lewe	vida
lewe	life
vier	four
vier	quatro
vier	comemorando
vier	celebrando
vier	celebrar
vier	celebra
vier	celebre
vier	comemorar
november	novembro
franse	french
franse	franceses
franse	francês
dood	death
dood	morte
dood	morta
dood	morto
dood	mortos
dood	dead
amptelike	oficial
amptelike	funcionário
amptelike	official
amptelike	oficiais
koning	king
koning	rei
der	der
moes	tive
moes	tinha
moes	teve
dieselfde	mesma
dieselfde	mesmo
dieselfde	mesmos
wêreld	world
wêreld	mundo
volgende	seguinte
volgende	próximo
volgende	próxima
volgende	next
geleë	localizada
geleë	localizado
geleë	localizados
miljoen	milhões
miljoen	milhão
aantal	quantidades
aantal	quantidade
plaaslike	locais
plaaslike	local
regs	certo
regs	direito
regs	direita
dikwels	freqüentemente
dikwels	frequentemente
internasionale	internacional
internasionale	international
internasionale	internacionais
eie	personalizar
eie	própria
eie	own
eie	próprio
voëls	pássaros
voëls	aves
eers	primeira
eers	primeiros
eers	primeiramente
eers	primeiro
pretoria	pretória
steeds	ainda
groep	grupo
groep	agrupar
stel	conjunto
stel	definir
stel	set
stel	definido
sluit	desistir
sluit	fecha
sluit	feche
sluit	perto
sluit	close
sluit	fechar
frankryk	franca
frankryk	frança
naby	perto
naby	próximo
naby	imediações
hoofstad	capitais
hoofstad	capital
verwys	relacionar
verwys	citado
verwys	citadas
