ساحات	mét
السماوي	celestial
باردة	lạnh
تان	tan
تان	tân
الغول	ghoul
المحاكاة	mô
رفح	rafah
يانغ	dương
يانغ	yang
الخزف	sứ
عقوبات	phạt
يي	yee
خصبة	husky
خصبة	lush
كابور	kapoor
فجوة	gap
بروتون	proton
الاشخاص	người
مزار	miếu
مزار	mazar
الخزانة	tủ
الخزانة	closet
ميج	meg
يهوذا	judas
البرق	sét
الانحراف	lệch
ستراسبورغ	strasbourg
برمنغهام	birmingham
التجنيد	conscription
الفرح	joy
الدنماركية	danish
بطيئة	chậm
بطيئة	phím
بوتان	bhutan
المالحة	saline
وحش	monster
تذكاري	commemorative
مبرر	justification
تلخيص	recap
فيات	fiat
النقالة	cáng
جواهر	sỉ
معقل	bastion
استخلاص	trekking
الكارثة	họa
بروك	brooke
الرواسب	sediments
كاد	cad
تفاح	táo
تفاح	apple
تفاح	táo
خاتم	ring
خاتم	nhẫn
صليب	chinh
صليب	chon
السعرات	calories
السعرات	calo
الميثان	mêtan
الميثان	metan
الميثان	methane
مطاردة	rình
مطاردة	đuổi
مطاردة	tẩu
مطاردة	chase
الخصوبة	fertility
الصفقة	thuận
المصفوفة	mảng
المصفوفة	ten
عزام	azzam
التاجر	buôn
التاجر	buôn
التاجر	buôn
منطقي	bun
رانيا	rania
شيلي	chile
شيلي	chile
الخيانة	betrayal
موريشيوس	mauritius
صفيحة	đĩa
صفيحة	dĩa
الخيط	chuỗi
الخيط	thread
المشورة	khuyên
الماعز	dê
الماعز	goat
الماعز	dê
تحذف	xóa
تحذف	xoá
مظلة	dù
مظلة	umbrella
لبس	mặc
لبس	đeo
المدافعين	defenders
مش	không
مش	ko
الضريبة	thuế
الضريبة	thuế
ادريس	idris
منفرد	solo
التحميل	nạp
التحميل	tải
التحميل	nạp
التحميل	tải
لمس	touch
لمس	ống
لمس	sờ
لمس	chạm
توقعات	outlook
المتصفح	duyệt
تراب	bụi
تراب	chốn
شفاء	healing
متنزه	viên
متنزه	park
العشيرة	clan
العشيرة	tộc
تواريخ	ngày
راقصة	dancer
المعتدلة	vừa
المذنب	comet
البدوية	nomadic
نايل	niall
براندنبورغ	brandenburg
حلوى	kẹo
حلوى	candy
مرتضى	morteza
مارينا	marina
جيرارد	gerard
الوجهة	đích
اللوز	almond
الفناء	hiên
الفناء	sân
خورخي	jorge
روب	rob
روب	cướp
الهدايا	quà
الهدايا	cải
الهدايا	quà
ضرائب	thuế
ضرائب	thuế
