שניתנו	与えられた
גרייס	恩寵
גרייס	グレース
גרייס	グレイス
ירוקה	グリーン
ירוקה	緑色
קראוס	クラウス
לחלץ	エキス
מסוכנים	危険
טקסים	祭事
עתידי	フューチャー
עתידי	未来
עתידי	将来
קנט	ケント
מיג	mig
סלובניה	スロベニア
תם	tam
להיטים	ヒット
ברוקלין	ブルックリン
האשים	被告人
שמיעה	聴聞
שמיעה	聴覚
שמיעה	聴力
שמיעה	審問
מיגל	ミゲル
כת	カルト
שמיים	sky
שמיים	スカイ
וולפגנג	ヴォルフガング
נפתחת	開く
איגור	イーゴリ
ראול	ラウル
ראול	ラウル
סויוז	ソユーズ
מיה	mia
מיה	ミア
תסמינים	症状
תסמינים	徴候
נכנע	降伏
נכנע	出来上がり
נכנע	利回り
שחיינים	競泳
החלום	ドリーム
החלום	dream
קוב	kub
חרושת	工場
התבוסה	敗北
תאוצה	加速度
תאוצה	加速
בהתנדבות	任意
מפורש	明示
גולגולת	髑髏
גולגולת	頭蓋骨
קניין	バイヤー
קניין	買い手
מוטל	モーテル
הולנדית	ダッチ
מלצר	ウェイター
קירוב	近似
קירוב	キーロフ
פרוסט	プルースト
פרוסט	フロスト
פטיש	フェチ
פטיש	ハンマー
פטיש	ハマー
עורק	動脈
עורק	動脈
מכריז	申告
מכריז	宣言
מכריז	アナウンス
מקלדת	キーボード
הקוסם	魔法使い
הקוסם	ウィザード
בקפריסין	キプロス
נטלי	ナタリー
מיומנויות	スキル
מייד	直ちに
טרנסילבניה	トランシルヴァニア
מפתחות	キー
צב	カメ
קומנדו	コマンドー
טד	タッド
טד	テッド
טד	ted
סולימאן	スレイマン
מודעת	意識
מחויב	束縛
מחויב	バウンド
מחויב	コミット
לינוקס	linux
בזל	バーゼル
נוצות	羽毛
צמחייה	植生
מתנות	ギフト
מתנות	贈り物
מתנות	プレゼント
מודול	モジュール
המלצה	おすすめ
המלצה	推奨
המלצה	おすすめ
המלצה	推薦
המצאות	発明
מילולי	リテラル
העיד	証言
מפרק	関節
לקות	障害
נתנאל	ナサニエル
המגזר	セクター
סון	太陽
סון	sun
קאופמן	カウフマン
קאופמן	カウフマン
הנוסע	乗客
הנוסע	旅客
אצילים	貴族
סצנות	シーン
סצנות	場面
הקבינט	内閣
הקבינט	キャビネット
רך	やわらかい
רך	柔らかい
רך	ソフト
סטן	スタン
לסבול	苦しむ
נחשים	ヘビ
נאצר	ナーセル
מועמדויות	ノミネート
ונוס	ウェヌス
ונוס	金星
ונוס	ヴィーナス
ראס	ラス
ראס	ラス
משמעויות	意味
מדגיש	見どころ
מדגיש	ハイライト
עליות	highs
עליות	ups
ריטה	リタ
מגיש	ピッチャー
מגיש	投手
מגיש	司会
נזירים	僧侶
פנימיות	内部
פיצול	分ける
פיצול	割る
פיצול	除算
פיצול	分ける
פיצול	分割
פיצול	スプリット
פיצול	分割
גייס	リクルート
להודות	認める
קרוז	クルス
האשמות	告発
לאם	ラム
לאם	lam
המארחת	ホステス
משקעים	降水
