les	the
est	east
est	timur
une	satu
une	one
catégorie	kategori
pour	untuk
qui	siapa
qui	who
que	that
que	itu
que	bahwa
que	yang
avec	dengan
son	sound
son	suara
son	his
son	nya
son	menta
son	its
plus	ditambah
plus	plus
plus	selengkapnya
plus	lebih
plus	lainnya
plus	lagi
pas	not
pas	bukan
pas	tidak
sont	adalah
sont	are
elle	she
elle	elle
été	summer
avancement	kemajuan
avancement	perkembangan
avancement	progres
avancement	progress
comme	suka
comme	sukai
comme	seperti
comme	like
mais	tapi
mais	tetapi
cette	ini
pop	pops
pop	pap
pop	pop
deux	dua
deux	two
ses	his
ses	nya
ses	ses
ses	menta
ses	its
naissance	naissance
naissance	born
naissance	lahir
naissance	terlahir
naissance	dilahirkan
naissance	kelahiran
naissance	lahir
aussi	juga
france	prancis
france	france
france	perancis
saint	suci
saint	kudus
saint	holy
saint	santo
saint	saint
après	sesudah
après	after
après	setelah
fait	made
fait	dibuat
fait	selesai
fait	beres
fait	dilakukan
fait	done
notes	catatan
notes	notes
entre	antara
entre	diantara
sous	under
sous	dibawah
même	even
même	genap
même	bahkan
même	same
être	being
être	menjadi
nom	marga
nom	nama
français	français
français	prancis
français	perancis
ont	telah
ont	memiliki
ont	miliki
paris	paris
lui	nya
lui	him
lieu	tempatkan
lieu	place
lieu	tempat
lieu	lokasi
cet	ini
autres	lain
autres	lainnya
autres	lain
autres	lainnya
décès	kematian
décès	death
décès	maut
décès	mati
décès	kematian
références	referensi
références	rujukan
liens	taut
liens	pranala
liens	link
liens	tautan
liens	links
était	euy
était	was
commune	komune
commune	common
ville	kotamadya
ville	town
ville	kota
ville	city
ville	kota
jean	jean
jean	john
jean	yohanes
date	tanggal
date	tgl
cest	cest
peut	may
peut	mei
peut	dapat
peut	can
peut	bisa
depuis	semenjak
depuis	since
depuis	sejak
depuis	dari
première	premiere
première	premier
première	pertama
première	duluan
première	dulu
première	first
ans	ans
ans	tahun
alors	lalu
alors	maka
alors	kemudian
externes	eksternal
site	website
site	situs
site	site
premier	premier
premier	pertama
premier	duluan
premier	dulu
premier	first
fut	euy
fut	was
http	http
film	movie
film	bioskop
film	film
film	film
voir	lihat
voir	melihat
voir	tampilan
voir	lihat
pays	negara
pays	negara
source	sumber
ils	mereka
grand	besar
grand	big
grand	besar
grand	besar
grand	hebat
grand	agung
grand	grand
tout	everything
tout	semuanya
tout	segalanya
tout	all
tout	aii
tout	semua
lors	selama
groupe	band
groupe	group
groupe	kelompokkan
groupe	grup
groupe	kelompok
également	juga
titre	gelar
titre	jabatan
titre	judul
monde	world
monde	dunia
nord	utara
nord	north
nord	utara
nord	northern
nord	nord
années	tahun
bien	bagus
bien	nah
bien	yah
contre	menentang
contre	melawan
contre	against
contre	terhadap
liste	daftar
liste	list
puis	lalu
puis	maka
puis	kemudian
équipe	skuad
équipe	squad
équipe	regu
équipe	pasukan
équipe	tim
équipe	team
club	club
club	klub
sud	sud
sud	selatan
sud	south
partie	party
partie	berpesta
partie	partai
partie	pesta
partie	pihak
partie	part
partie	bagian
avant	front
avant	depan
avant	sebelum
avant	sebelumnya
avant	before
non	not
non	bukan
non	tidak
très	sangat
trois	tiga
trois	three
articles	artikel
article	pasal
article	artikel
guerre	perang
guerre	peperangan
guerre	war
sans	tanpa
sans	sans
saison	season
saison	musim
saison	musimnya
fin	sirip
fin	fin
fin	akhiri
fin	end
fin	akhir
vers	vers
année	tahun
année	year
temps	cuaca
temps	kali
temps	waktu
temps	waktunya
temps	time
plusieurs	banyak
plusieurs	beberapa
plusieurs	kelipatan
plusieurs	beberapa
plusieurs	multiple
plusieurs	berganda
faire	melakukan
faire	buat
faire	make
faire	jadikan
faire	membuat
faire	faire
mars	march
mars	maret
mars	mars
histoire	history
histoire	riwayat
histoire	sejarah
série	deret
série	series
série	seri
série	berantai
série	serial
joueur	player
joueur	pemain
joueur	pemutar
mai	may
mai	mei
mai	mai
tour	tour
tour	tur
tour	wisata
tour	tower
tour	menara
mort	meninggal
mort	kematian
mort	death
mort	maut
mort	mati
mort	mort
mort	tewas
mort	dead
mort	mati
juin	jun
juin	juni
jpg	jpg
française	prancis
française	perancis
pierre	batu
pierre	stone
pierre	petrus
pierre	peter
pierre	pierre
région	daerah
région	wilayah
région	provinsi
région	region
région	kawasan
région	daerah
région	wilayah
région	luas
région	kawasan
région	area
janvier	januari
avoir	telah
avoir	memiliki
avoir	miliki
fois	kali
fois	times
autre	lain
autre	lainnya
septembre	september
juillet	juli
état	status
état	negara
état	keadaan
état	state
état	syarat
état	kondisi
église	gereja
église	church
octobre	oktober
octobre	okt
octobre	oct
octobre	octobre
place	tempatkan
place	place
place	tempat
famille	keluarga
famille	family
famille	famili
états	negara
général	umum
général	jendral
général	jenderal
avril	apr
avril	april
avril	avril
insee	insee
tous	all
tous	aii
tous	semua
politique	polis
politique	kebijakan
politique	politik
album	album
décembre	desember
décembre	december
août	august
août	agustus
août	agu
août	aug
août	agustus
todo	todo
novembre	november
novembre	nopember
novembre	nov
prix	harga
prix	harga
prix	price
prix	harganya
nouvelle	new
nouvelle	baru
février	februari
février	pebruari
février	feb
département	departemen
grande	besar
grande	big
grande	besar
grande	besar
grande	hebat
grande	agung
grande	grande
peu	little
peu	kecil
peu	sedikit
peu	beraktifitas
américain	american
américain	amerika
début	mulai
début	mulailah
début	start
début	permulaan
début	awal
ligne	line
ligne	baris
ligne	garis
ligne	dayung
ligne	baris
ligne	row
suite	suite
nationale	gimn
nationale	national
nationale	nasional
nationale	nationale
championnat	championship
championnat	kejuaraan
encore	lagi
encore	masih
encore	encore
image	picture
image	gambar
image	gambar
image	image
image	citra
vie	kehidupan
vie	life
vie	hidup
vie	vie
unis	bersatu
lien	pranala
lien	link
lien	tautan
lien	taut
football	sepakbola
football	soccer
football	sepakbola
football	football
pendant	selama
jeux	gaming
jeux	permainan
jeux	game
jeux	permainan
jeux	games
jeux	game
moins	minus
moins	dikurangi
moins	kurang
ouest	maghrib
ouest	barat
ouest	west
ouest	barat
ouest	western
page	page
page	halaman
nouveau	new
nouveau	baru
vous	you
vous	anda
vous	kau
vous	kamu
centre	tengah
centre	pusat
centre	center
centre	tengah
centre	pusat
centre	centre
cours	course
cours	kursus
cours	cours
cours	kursus
partir	tinggalkan
partir	meninggalkan
village	kampung
village	dusun
village	desa
village	village
université	universitas
université	university
université	kuliah
université	college
université	kampus
louis	louis
nombre	angka
nombre	nomor
nombre	bilangan
nombre	nomer
quelques	some
quelques	beberapa
siècle	abad
siècle	century
coupe	gelas
coupe	piala
coupe	cawan
coupe	cangkir
coupe	cup
coupe	pemotongan
coupe	cutting
coupe	memotong
coupe	cut
coupe	potong
coupe	coupe
population	penduduk
population	populasi
connexes	berhubungan
connexes	berkaitan
connexes	terkait
homme	jantan
homme	male
homme	pria
homme	men
homme	pria
homme	manusia
homme	man
communes	komune
division	divisi
division	pembagian
division	division
président	presiden
président	ketua
président	kursi
président	ketua
national	gimn
national	national
national	nasional
société	society
société	masyarakat
société	perusahaan
société	company
quatre	empat
quatre	four
cas	case
cas	kasus
cas	kasusnya
cas	kasus
jeu	gaming
jeu	permainan
jeu	game
jeu	permainan
jeu	game
jeu	judi
jeu	perjudian
jeu	berjudi
genre	genre
genre	gender
genre	genus
genre	suka
genre	sukai
genre	seperti
genre	like
musique	music
musique	musik
fils	wire
fils	kawat
fils	nak
fils	putra
fils	son
fils	anak
fils	sons
fils	benang
roi	raja
roi	king
roi	roi
parti	party
parti	berpesta
parti	partai
parti	pesta
parti	pihak
parti	gone
jour	siang
jour	hari
jour	day
europe	eropa
mise	taruhan
mise	pertaruhan
mise	bertaruh
forme	formulir
forme	membentuk
forme	form
forme	bentuk
forme	shape
forme	bentuk
époque	kala
époque	epoch
époque	zaman
époque	era
ancien	kuno
ancien	tua
ancien	lama
ancien	old
ancien	sesepuh
ancien	elder
ancien	ketua
ancien	tetua
ancien	penatua
ancien	mantan
origine	origin
origine	asal
origine	asal
ordre	pesanan
ordre	pemesanan
ordre	order
ordre	urutan
château	château
château	kastil
château	istana
château	castle
château	benteng
château	chateau
école	sekolah
école	sekolah
carrière	karir
carrière	karier
carrière	berkarir
carrière	tambang
carrière	galian
carrière	penambangan
carrière	karir
carrière	karier
part	bagikan
part	berbagi
part	share
deuxième	detik
deuxième	kedua
deuxième	second
bar	batang
bar	bilah
bar	bar
située	berlokasi
située	bertempat
située	terletak
située	terletak
charles	charles
points	dots
points	noktah
points	titik
points	poin
points	point
paul	paulus
paul	paul
rue	jalanan
rue	street
rue	rue
chef	chef
chef	koki
chef	chief
chef	ketua
chef	kepala
père	ayah
père	ayah
père	bapa
père	bapak
exemple	contoh
trouve	temuan
durant	selama
durant	durant
rapport	lapor
rapport	laporkan
rapport	melaporkan
rapport	laporan
art	seni
art	art
art	kesenian
canton	guangzhou
canton	canton
canton	kanton
dernier	last
dernier	terakhir
dernier	terkini
dernier	terbaru
type	jenis
type	tipe
type	ketik
habitants	penghuninya
habitants	penduduk
habitants	warga
habitants	penghuni
point	poin
point	titik
point	point
compte	hitunglah
compte	hitung
compte	menghitung
compte	hitungan
compte	cacah
compte	rekening
compte	account
compte	akun
période	periode
armée	militer
armée	kemiliteran
armée	tentara
armée	army
eau	water
eau	air
marie	marie
marie	mary
marie	maria
marie	maria
discuter	mengobrol
discuter	membahas
discuter	bahas
discuter	diskusikan
discuter	berdiskusi
discuter	obrolan
discuter	chat
car	karena
projet	project
projet	proyek
projet	projek
chaque	setiap
chaque	every
chaque	setiap
chaque	tiap
chaque	each
anglais	inggris
anglais	indonesian
anglais	english
province	propinsi
province	provinsi
john	john
john	yohanes
international	internasional
international	international
international	mancanegara
conseil	konsultasi
conseil	konsultan
conseil	nasihat
conseil	nasehat
conseil	saran
conseil	majelis
conseil	dewan
conseil	council
françois	fransiskus
françois	francis
françois	francois
françois	français
françois	françois
françois	françois
maison	house
maison	rumah
maison	home
maison	rumah
maison	pulang
maison	beranda
cela	ini
cela	that
cela	itu
cela	bahwa
cela	yang
demande	minta
demande	request
demande	permintaan
demande	ask
demande	tanya
demande	minta
demande	bertanya
demande	tanyakan
fonction	fungsi
toujours	always
toujours	selalu
toujours	masih
doit	harus
doit	mesti
doit	keharusan
doit	must
production	production
production	produksi
certains	some
certains	beberapa
membre	anggota
membre	member
près	dekat
rôle	peran
rôle	peranan
meilleur	better
meilleur	meilleur
meilleur	terbaik
meilleur	best
droit	kanan
droit	benar
droit	right
droit	hukum
droit	law
mois	bulan
mois	bulan
île	pulau
île	island
république	republik
service	service
service	jasa
service	layanan
service	servis
service	pelayanan
jacques	jacques
score	score
score	skor
ensuite	lalu
ensuite	maka
ensuite	kemudian
langue	bahasa
dit	said
dit	berkata
dit	mengatakan
dit	katanya
dit	kata
dit	says
dit	berkata
dit	mengatakan
dit	kata
gouvernement	pemerintah
gouvernement	pemerintahan
center	tengah
center	pusat
center	center
elles	elles
elles	mereka
petit	small
petit	kecil
petit	petit
petit	little
petit	kecil
petit	sedikit
petit	beraktifitas
toutes	all
toutes	aii
toutes	semua
argent	uang
argent	perak
argent	silver
argent	kas
argent	cash
argent	tunai
souvent	sering
souvent	seringkali
souvent	sering
style	gaya
style	style
style	bergaya
style	styling
style	bergaya
face	muka
face	wajah
face	face
olympiques	olympic
olympiques	olimpiade
olympiques	olimpiade
quand	kapan
quand	saat
quand	apabila
quand	ketika
top	top
top	puncak
top	teratas
ministre	menteri
mondiale	worldwide
mondiale	mendunia
mondiale	world
mondiale	dunia
mondiale	global
ensemble	ensemble
ensemble	bareng
ensemble	together
ensemble	bersama
théâtre	theater
théâtre	teater
théâtre	bioskop
théâtre	theatre
théâtre	teater
théâtre	bioskop
épisode	episode
scène	adegan
scène	scene
scène	pentas
scène	tahap
scène	panggung
scène	stage
situé	berlokasi
situé	bertempat
situé	terletak
situé	terletak
toute	all
toute	aii
toute	semua
asp	asp
étaient	were
musée	museum
musée	musium
troisième	sepertiga
troisième	ketiga
nombreux	banyak
auteur	pengarang
auteur	penulis
auteur	pembuat
auteur	penulis
cependant	namun
système	sistem
système	system
création	pembuatan
création	ciptaan
création	penciptaan
création	kreasi
stade	stade
stade	stadion
stade	stadium
stade	pentas
stade	tahap
stade	panggung
stade	stage
tard	terlambat
tard	telat
tard	larut
reste	tetap
reste	tinggal
reste	stay
seconde	detik
seconde	kedua
seconde	second
roman	roman
roman	romawi
jours	days
jours	hari
hui	hui
hui	today
édition	edit
édition	sunting
édition	edition
édition	edisi
édition	menyunting
édition	editing
édition	penyuntingan
édition	mengedit
édition	penerbit
édition	terbitan
édition	penerbitan
édition	publikasi
édition	menerbitkan
éditions	edisi
éditions	éditions
historique	bersejarah
historique	historis
historique	bersejarah
historique	sejarah
historique	history
historique	riwayat
historique	sejarah
sera	will
sera	akan
âge	usia
âge	umur
robert	robert
officiel	official
officiel	resmi
officiel	officiel
effet	efek
version	versi
membres	anggota
membres	member
membres	keanggotaan
membres	anggota
niveau	aras
niveau	level
niveau	tingkatan
niveau	tingkat
champion	champ
champion	juara
champion	champion
espèce	spesies
espèce	species
michel	michael
michel	mikail
michel	michel
raison	alasannya
raison	alasan
modèle	model
modèle	template
modèle	templat
travail	pekerjaan
travail	kerja
travail	bekerja
femme	wanita
femme	perempuan
femme	women
femme	woman
femme	wanita
femme	perempuan
femme	permpuan
femme	female
femme	betina
femme	perempuan
femme	isteri
femme	istrinya
femme	istri
femme	wife
cinq	lima
cinq	five
cinq	cinq
déjà	sudah
bas	stoking
bas	rendah
bas	low
bas	bas
texte	sms
texte	teks
terre	bumi
terre	earth
terre	daratan
terre	tanah
terre	land
terre	terre
terre	tanah
terre	tanahnya
allemagne	allemagne
allemagne	jerman
compétition	bersaing
compétition	kompetitif
compétition	kompetisi
compétition	persaingan
compétition	lomba
wikipédia	wikipedia
allemand	german
allemand	jerman
britannique	britania
britannique	british
porte	gate
porte	gerbang
porte	porte
porte	pintu
porte	door
hommes	pria
hommes	men
hommes	jantan
italie	italy
italie	italia
bataille	battle
bataille	pertempuran
bataille	peperangan
corps	body
corps	bodi
corps	buh
corps	tubuh
corps	badan
corps	kesatuan
corps	corps
corps	korps
demi	separuh
demi	setengahnya
demi	half
demi	setengah
demi	demi
siège	pengepungan
siège	mengepung
siège	kepung
siège	markas
siège	kursi
siège	seat
personnes	rakyat
personnes	orang
personnes	people
nommé	bernama
nommé	dinamai
nommé	dinamakan
nommé	ditunjuk
route	rute
route	highway
route	jalan
route	road
finale	finale
finale	final
finale	final
finale	final
finale	finals
jeune	muda
jeune	young
jeune	mudanya
match	permainan
match	game
match	korek
match	cocok
match	pertandingan
match	kecocokan
peuvent	dapat
peuvent	can
peuvent	bisa
york	york
royaume	kingdom
royaume	kerajaan
royaume	royaume
long	lama
long	panjang
long	long
latitude	lintang
base	dasar
base	pangkalan
base	base
base	markas
base	basis
base	basis
études	studi
communauté	komunitas
communauté	masyarakat
communauté	community
association	asosiasi
association	perhimpunan
association	association
militaire	militer
militaire	kemiliteran
section	daerah
section	bagian
section	seksi
longitude	bujur
bronze	perunggu
livre	kitab
livre	book
livre	buku
livre	pon
livre	poundsterling
livre	pound
livre	livre
américaine	american
américaine	amerika
haut	high
haut	tinggi
haut	top
haut	puncak
haut	teratas
suisse	swiss
suisse	swiss
canada	kanada
canada	canada
valign	valign
suivant	sbb
suivant	mengikuti
suivant	selanjutnya
suivant	berikutnya
suivant	next
beaucoup	banyak
beaucoup	much
beaucoup	banyak
dire	katakan
dire	say
dire	katakanlah
seul	sendirian
seul	alone
seul	sendiri
seul	only
seul	saja
seul	hanya
fille	cewe
fille	cewek
fille	girl
fille	gadis
fille	daughter
fille	putri
fille	dikit
buts	bertujuan
buts	gol
buts	tujuan
enfants	anak
enfants	childrens
direction	arah
direction	direction
direction	direktorat
position	posisi
position	jabatan
pouvoir	tenaga
pouvoir	kekuasaan
pouvoir	kekuatan
pouvoir	power
pouvoir	daya
but	tujuan
but	gawang
but	sasaran
but	goal
but	gol
but	tujuan
merci	trims
merci	terimakasih
merci	makasih
tête	head
tête	kepala
territoire	wilayah
territoire	teritori
union	union
union	uni
union	serikat
construction	konstruksi
construction	pembangunan
ancienne	kuno
ancienne	tua
ancienne	lama
ancienne	old
ancienne	mantan
premiers	pertama
premiers	duluan
premiers	dulu
premiers	first
prend	ambil
prend	take
maire	maire
maire	walikota
maire	mayor
présente	menyajikan
présente	kado
présente	sajikan
présente	hadir
présente	present
personnalité	kepribadian
ligue	league
ligue	liga
public	publik
public	public
pages	halaman
pages	page
pages	halaman
externe	eksternal
simple	simple
simple	simpel
simple	sederhana
simple	tunggal
dernière	last
dernière	terakhir
dernière	terkini
dernière	terbaru
henri	henry
henri	henri
chanson	chanson
chanson	lagu
chanson	songs
chanson	lagu
chanson	song
poste	kiriman
poste	posting
poste	kirimkan
poste	kirim
poste	post
culture	kultur
culture	kebudayaan
culture	budaya
grâce	grace
grâce	rahmat
développement	pengembangan
développement	perkembangan
développement	pembangunan
sortie	output
sortie	keluaran
sortie	outing
sortie	tamasya
sortie	exit
sortie	keluar
sortie	keluar
sortie	out
empire	imperium
empire	empire
empire	kekaisaran
québec	quebec
david	daud
david	david
loi	hukum
loi	law
loi	bertindak
loi	bertindaklah
loi	act
équipes	tim
côté	sisi
côté	side
côté	samping
mer	laut
haute	high
haute	tinggi
haute	haute
vue	melihat
vue	tampilan
vue	lihat
espagne	espagne
espagne	spanyol
mère	bu
mère	ibu
mère	mom
mère	bunda
mère	mother
mère	ibu
mère	bunda
fichier	berkas
fichier	file
nombreuses	banyak
acteur	actor
acteur	aktor
parcours	rute
parcours	journey
recherche	mencari
recherche	pencarian
recherche	cari
recherche	search
recherche	riset
recherche	penelitian
classement	klasifikasi
code	code
code	kode
double	double
double	ganda
double	dobel
double	gandakan
double	duplikat
double	duplikasi
double	gandakan
double	dual
entraîneur	pelatih
entraîneur	trainer
entraîneur	pelatih
entraîneur	coach
web	web
arrondissement	arondisemen
arrondissement	borough
arrondissement	barrio
directeur	sutradara
directeur	direktur
directeur	manager
directeur	manajer
directeur	pengelola
joseph	yusuf
joseph	joseph
semble	tampaknya
semble	sepertinya
semble	muncul
ici	disini
ici	here
ici	sini
vainqueur	pemenang
vainqueur	winner
réalisé	diarahkan
réalisé	disutradarai
réalisé	sutradara
réalisé	sadar
réalisé	direalisasikan
réalisé	menyadari
réalisé	direalisasikan
existe	eksis
existe	ada
six	six
six	enam
créé	tercipta
créé	dibuat
devant	front
devant	depan
devant	devant
écrit	penulisan
écrit	menulis
écrit	tertulis
écrit	ditulis
écrit	tulis
écrit	menulis
petite	small
petite	kecil
petite	little
petite	kecil
petite	sedikit
petite	beraktifitas
petite	mungil
petite	petite
bois	kayu
bois	wood
bois	minuman
bois	minumlah
bois	minum
bois	kayu
entreprise	bisnis
entreprise	business
entreprise	perusahaan
entreprise	company
entreprise	enterprise
retour	lempar
retour	kenangan
retour	kembali
retour	return
retour	kembali
retour	balik
retour	mundur
retour	back
retour	belakang
