relativity	relativnost
obeť	žrtvovanja
obeť	žrtvovanje
obeť	žrtev
úspešná	uspešno
úspešná	uspešen
úspešná	uspešni
úspešná	uspešna
úspešná	uspehov
úspešná	uspeh
úspešná	uspešnost
postupy	postopki
days	dnevi
days	dni
days	dneve
dvanástich	twelve
dvanástich	dvanajst
bielorusko	belorusijo
bielorusko	belorusije
bielorusko	belorusiji
bielorusko	belorusija
bielorusko	beloruske
tokio	tokio
komunistická	komunistično
komunistická	komunist
komunistická	komunistična
komunistická	komunistični
označenia	označevanje
označenia	določitev
označenia	označba
označenia	poimenovanje
označenia	nalepke
označenia	oznake
označenia	etikete
označenia	označbe
označenia	indikacije
označenia	označbe
označenia	oznake
označenia	označbe
označenia	znamenja
označenia	oznake
označenia	marks
koncerte	koncert
islam	islam
pokles	upadanje
pokles	upad
pokles	spust
pokles	spusti
pokles	izpusti
pokles	zmanjšanje
pokles	znižanje
daní	davke
daní	davki
odbory	delitve
odbory	divizije
odbory	oddelki
odbory	sindikatov
odbory	sindikati
utrpel	trpel
utrpel	trpela
špeciálna	specialno
špeciálna	posebna
špeciálna	posebne
špeciálna	poseben
špeciálna	posebno
civilizácie	civilizacijo
civilizácie	civilizacije
civilizácie	civilizacija
civilizácie	civilizacije
civilizácie	civilizacij
civilizácie	civilizacije
civilizácie	civilizacij
pechoty	pehota
pechoty	pehotna
lyon	lyon
stien	stene
stien	zidovi
stien	sten
stien	obzidje
stien	zidov
mobilné	mobilna
mobilné	mobilni
mobilné	mobilnih
mobilné	mobilno
jednoduchá	preprost
jednoduchá	preprosta
jednoduchá	enostavno
jednoduchá	preprosto
hmyz	insekti
hmyz	žuželke
hmyz	insektov
hmyz	žuželka
memorial	memorial
dvadsať	twenty
dvadsať	dvajset
nákladov	strošek
nákladov	stroški
luftwaffe	luftwaffe
zmenilo	spremenjen
zmenilo	spremenjeno
vysvetľuje	razloži
vysvetľuje	razlaga
vysvetľuje	pojasnjuje
členstvo	članstvo
bouches	bouches
piloti	piloti
piloti	pilote
dozvedel	naučil
srsť	dlake
srsť	lasje
srsť	lase
srsť	dlako
srsť	kožuh
srsť	krzno
