panel	چھاج.
geograficzna	جغرافیائی
fizyczny	جسمانی
fizyczny	مادّی
negatywny	سلب
negatywny	ناموافق
negatywny	ماننے
negatywny	انکار
negatywny	نامساعد
negatywny	سلب
negatywny	ناموافق
negatywny	ماننے
negatywny	انکار
negatywny	نامساعد
negatywny	منفی
patronat	امداد
patronat	امداد
patronat	سرپرستی
sic	یونہی)
poinformowała	ذہین.
wstępnie	ابتدائی.
wstępnie	پیشتر.
wstępnie	تمہیدی
wstępnie	ابتدائی.
wstępnie	پیشتر.
wszechświat	کائنات
reklamę	برط
reklamę	اشتہار.
reklamę	اشتہار.
dusze	روح
dynamiczny	زوردار.
dynamiczny	فعال
traktowanie	برتاؤ
traktowanie	علاج.
traktowanie	سلوک
traktowanie	تفریح
traktowanie	طعام
betonu	اصلی
betonu	ریت
betonu	واضح
betonu	بٹھانا.
betonu	کیفیت
dostępność	دستیابی
niejasne	مخفی
niejasne	ناصاف.
niejasne	تاریک.
niejasne	مبہم
niejasne	دُھندلا
niejasne	مبہم.
niejasne	مشتبہ
niejasne	مگھم.
niejasne	مبہم
private	نجی
private	خفیہ
private	نجی
private	خفیہ
private	اپنا
monitor	منذر.
monitor	مخدّر
latający	اَدھر.
latający	مختصر
latający	معلق
latający	پُراں
latający	مستعجل
moss	کائی
rzeczywista	موجود
rzeczywista	اصلی
rzeczywista	حاضر
rzeczywista	موجود
rzeczywista	حقیقی
rzeczywista	اصلی
rzeczywista	حاضر
zbieranie	ڈھیر
zbieranie	بٹورنا
rzadka	خوشگوار-
rzadka	طُرفہ.
rzadka	لطیف
rzadka	غیرمعمولی
rzadka	خوشگوار-
rzadka	طُرفہ.
rzadka	نایاب
rzadka	لطیف
rzadka	غیرمعمولی
eddy	گردِاب.
eddy	بگولا.
eddy	بھنور
eddy	گردِاب.
eddy	بگولا.
tan	سنولانا
zależny	محمول
zależny	(جملہ
poprawny	برجا
poprawny	جائز
poprawny	(دلیل
poprawny	بجا.
poprawny	مناسب
poprawny	کردار
poprawny	درست.
poprawny	بجا.
poprawny	مناسب
poprawny	صحیح
poprawny	کردار
poprawny	درست.
równość	برابر
logika	معقول
logika	مربوط
logika	صحیح
logika	استدلالی
logika	منطقی
logika	معقول
logika	مربوط
logika	صحیح
logika	استدلالی
logika	ثبوت.
awaria	برپا
awaria	منعقد
awaria	دیوالہ
awaria	سقوط
awaria	خرابی
awaria	بربادی.
awaria	بگاڑ
awaria	تباہی
awaria	برپا
awaria	منعقد
awaria	دیوالہ
awaria	سقوط
awaria	ناکامی
awaria	خرابی
awaria	بربادی.
awaria	بگاڑ
awaria	تباہی
awaria	اتفاق
awaria	حادثہ
awaria	بگاڑ.
złom	چھٹن
złom	جھاگ.
złom	جھوٹن.
złom	اقتباس
złom	ردّی
złom	جھڑپ
złom	کوڑا.
złom	تراشہ.
złom	چھٹن
złom	جھاگ.
złom	جھوٹن.
złom	اقتباس
złom	ردّی
złom	جھڑپ
złom	کوڑا.
złom	تراشہ.
złom	پارہ
albatros	کوفت
albatros	علّت.
dojrzewania	گدرانا.
dojrzewania	پکنے
przedłużenia	تطاول
babka	جدّہ
farby	روغن
farby	غازہ
farby	سرخی
wtorek	منگل
jednolity	واحدی
jednolity	(ٹیکس
jednolity	وردی.
jednolity	یکساں
płat	نرمہ.
płat	فص
płat	گوشہ
nadmiar	نازیبا
nadmiar	تجاوز.
nadmiar	زیادتی
quest	for
quest	مدعا
quest	مقصد
quest	جستجو
quest	تلاش
quest	for
quest	مدعا
quest	مقصد
quest	جستجو
insygnia	بلّا
instrumentalny	اسما
instrumentalny	سازینہ
stern	دنبالہ.
stern	درشت
stern	پشت.
stern	پچھاڑی
upper	اپر
upper	اوپرکا
upper	اپر
upper	اوپرکا
upper	بالائی
biegun	لمبا
biegun	بانس
ojczyzna	ملک
ojczyzna	دیس
ojczyzna	ملک
ojczyzna	وطن
mokre	بھیگا
mokre	شراب
mokre	(پینٹ
mokre	تری
mokre	متوڑا
mokre	برسات
mokre	مریل
mokre	فضول.
mokre	(ملک
mokre	بھگونا
mokre	رطوبت.
mokre	مشروب.
mokre	گیلا
mokre	نمی
wytyczne	رہبری.
wytyczne	مشورہ
wytyczne	ہدایت
obrazek	نقش
obrazek	خاکہ
obrazek	خیال.
obrazek	چربہ
obrazek	شبیہہ.
zielono	کچّا
zielono	ہلکا
zielono	نیا
zielono	ترکاری
zielono	نقدی.
zielono	فریب
zielono	جوانی
zielono	رقم
zielono	توانا
zielono	چونچال.
zielono	کا
zielono	نوجوان
zielono	نارسیدہ
zielono	ہرا
zielono	کچّا
zielono	ہلکا
zielono	نیا
zielono	ترکاری
zielono	نقدی.
zielono	فریب
zielono	جوانی
zielono	رقم
zielono	توانا
zielono	چونچال.
zielono	کا
zielono	نوجوان
zielono	نارسیدہ
zielono	تازہ
ustalona	آمادہ
nierówności	نابرابری.
wczesny	مقررہ
wczesny	جلد
alarm	ہوشیار
alarm	ہول
alarm	متوجہ.
alarm	چوکنّا
alarm	خبردار
alarm	باخبر
alarm	متوجہ.
alarm	ہوشیار
alarm	چوکنّا
alarm	خبردار
sing	گنگنانا
sing	(ہوا
sing	گانا
sing	گنگنانا
sing	(ہوا
przenoszenie	ٹکٹ
przenoszenie	املاک
przenoszenie	کلب
pit	رخنہ.
pit	رخنہ.
pit	گڑھا
duchowe	شائستہ
duchowe	حسّاس
duchowe	وہبی.
duchowe	قلبی
duchowe	مذہبی
duchowe	مقدّس
wielokrotne	مخلوط
wielokrotne	متنوع.
wielokrotne	ملاجلا.
wielokrotne	۱ضعاف
wielokrotne	مضاعف
wielokrotne	مرکب
kabina	ٹیکسی
kabina	لاری
kabina	(cabined
kabina	ٹھونسنا.
sporty	چھیلا
aborcji	ناکامی
aborcji	ٹھٹھری
aborcji	سوکھی
trening	تربیت
trening	مزادلت
trening	مشق
trening	رواج
trening	معمول
trening	رواج
trening	زورآزمائی
bezpieczne	معتبر
bezpieczne	یقینی
bezpieczne	کمزور
bezpieczne	کسنا
bezpieczne	محکم
bezpieczne	پکا
bezpieczne	یقینی
bezpieczne	کمزور
bezpieczne	کسنا
bezpieczne	محکم
bezpieczne	محفوظ
bezpieczne	پکا
bezpieczne	یقینی
siodło	زین
wart	حضرت
wart	معزز
wart	حضرت
wart	لائق
wart	معزز
płytek	کنکریٹ
topór	کلھاڑا
topór	اخراجات
topór	کلھاڑی
topór	تیشہ.
topór	تبر
topór	کلھاڑا
topór	اخراجات
topór	کلھاڑی
topór	تیشہ.
tlenek	آکسائڈ.
wiązki	شہتیر
wiązki	بَلّی
