மற்றும்	at
ஒரு	isa
ஒரு	one
இந்த	ito
இந்த	nito
ஆம்	oo
ஆம்	opo
இது	ito
இது	nito
மக்கள்	tao
என்ற	mga
என்ற	ang
என்ற	yung
என்ற	nagmula
ஆண்டு	taon
என்று	na
என்று	yan
தமிழ்	tamil
இந்திய	indian
இருந்து	mula
பல	maraming
பல	marami
பல	multiple
பல	maramihang
முதல்	mula
முதல்	unang
முதல்	muna
மேலும்	pa
மேலும்	pang
தொகை	halaga
சில	ilang
சில	ilan
உள்ளது	available
உள்ளது	magagamit
உள்ளது	makukuha
உள்ளது	umiiral
அவர்	kaniya
அவர்	niya
அவர்	siya
அவர்	kanya
அவர்	her
அவர்	kanya
அவர்	siya
இருக்கும்	umiiral
வெளி	panlabas
வெளி	space
வெளி	kalawakan
வெளி	puwang
வெளி	espasyo
அமைந்துள்ளது	matatagpuan
மூலம்	source
மூலம்	pinagkunan
மூலம்	orihinal
கொண்ட	nakapaloob
கொண்ட	naglaman
வரை	gumuhit
வரை	hanggang
பின்னர்	then
பின்னர்	pagkatapos
பின்னர்	mamaya
ஆனால்	ngunit
ஆனால்	pero
வேண்டும்	need
வேண்டும்	kailangan
வேண்டும்	gustong
வேண்டும்	gusto
வேண்டும்	want
வேண்டும்	nais
வேண்டும்	dapat
கொண்டு	nagdala
கொண்டு	dinala
கொண்டு	magdala
கொண்டு	magdadala
கொண்டு	dalhin
கொண்டு	kay
பட்டியல்	listahang
பட்டியல்	listahan
அமைந்துள்ள	matatagpuan
பெண்கள்	girls
பெண்கள்	kababaihan
கொண்டுள்ளது	has
கொண்டுள்ளது	naglalaman
போது	kapag
போது	kailan
இணைப்புகள்	attachment
இணைப்புகள்	links
இரண்டு	dalawang
இரண்டு	dalawa
இரண்டு	two
தகவல்	info
தகவல்	impormasyon
தகவல்	mensahe
தகவல்	message
மாவட்ட	distrito
மொத்த	kabuuang
மொத்த	kabuuan
வளர்ச்சி	development
வளர்ச்சி	pagpapaunlad
வளர்ச்சி	unlad
வளர்ச்சி	paglago
வளர்ச்சி	paglaki
மாவட்டம்	distrito
அந்த	na
அந்த	yan
மிகவும்	napaka
திட்டம்	project
திட்டம்	proyekto
திட்டம்	taumbayan
திட்டம்	plano
திட்டம்	plan
திட்டம்	magplano
தேசிய	national
தேசிய	pambansa
தேசிய	pambansang
தேசிய	nasyonal
கலந்து	dadalo
இலங்கை	ceylon
இங்கு	rito
இங்கு	dito
இங்கு	nandito
கி	kyi
அமெரிக்க	amerikano
அடிப்படை	basehan
அடிப்படை	base
அடிப்படை	basic
பெயர்	pangalan
பெயர்	pong
பெயர்	label
மூன்று	tatlong
மூன்று	tatlo
ஆண்கள்	males
ஆண்கள்	kalalakihan
ஒன்று	tipunin
ஒன்று	magtipon
ஒன்று	alinman
ஒன்று	either
ஒன்று	isa
ஒன்று	one
ஐக்கிய	united
ஐக்கிய	nagkakaisa
புதிய	new
புதிய	bago
புதிய	bagong
புதிய	fresh
புதிய	sariwa
அவரது	kanyang
அவரது	her
அவரது	kanya
அவரது	siya
மொத்தம்	kabuuang
மொத்தம்	kabuuan
சிறந்த	sarap
சிறந்த	magaling
சிறந்த	makakaya
சிறந்த	pinakamagandang
சிறந்த	pinakamaganda
சிறந்த	best
சிறந்த	mahusay
சிறந்த	napakahusay
அரசு	pamahalaan
அரசு	gobyerno
வசதிகள்	pasilidad
இந்தியா	india
பெரிய	sarap
பெரிய	magaling
பெரிய	big
பெரிய	malaking
பெரிய	malaki
பெரிய	large
பெரிய	malaki
பெரிய	malaking
ஊரக	rural
ஊரக	panlalawigan
நாள்	araw
பிறப்பு	ipinanganak
பிறப்பு	pinanganak
பிறப்பு	kapanganakan
இருந்தது	ay
முக்கிய	pangunahing
முக்கிய	pangunahin
முக்கிய	kahalaga
முக்கிய	mahalaga
பல்வேறு	variety
திரைப்படங்கள்	movies
அவர்கள்	kanila
அவர்கள்	sila
அவர்கள்	silang
அவர்கள்	sila
அவர்கள்	nila
மொழி	wika
மொழி	alangan
மொழி	wikang
மொழி	tausug
முறை	paraan
முறை	pamamaraan
முறை	mode
கோயில்	templo
விருது	award
பொதுவாக	pangkalahatan
பொதுவாக	heneral
பொதுவாக	pangkalahatang
பொதுவாக	general
அக்டோபர்	oktubre
அக்டோபர்	oktubre
செய்து	nakatuon
தன்	kanyang
தன்	throws
தொடர்ந்து	panatilihin
இரண்டாம்	pangalawa
இரண்டாம்	pangalawang
சென்னை	chennai
வரும்	lumapit
வரும்	sasama
வரும்	darating
மே	mayo
மே	maaaring
ஒவ்வொரு	kada
ஒவ்வொரு	tuwing
ஒவ்வொரு	bawat
ஒவ்வொரு	bawat
மட்டுமே	lang
மட்டுமே	lamang
வரலாறு	kasaysayan
வரலாறு	history
பகுதியில்	lugar
பகுதியில்	area
பகுதியில்	lawak
நூல்கள்	libro
நூல்கள்	aklat
பின்	pin
பின்	likod
பின்	bumalik
பின்	balikan
பின்	balik
இல்லை	hinde
இல்லை	hindi
நவம்பர்	nobyembre
நவம்பர்	november
அதிக	high
அதிக	mataas
காலத்தில்	panahon
மிக	napaka
நான்கு	apat
பிறகு	then
பிறகு	pagkatapos
பிறகு	mamaya
அரசியல்	politika
அரசியல்	pulitika
அரசியல்	pulitikal
அரசியல்	politikal
அரசியல்	pampulitika
பகுதி	partial
பகுதி	bahagyang
பகுதி	lugar
பகுதி	area
பகுதி	lawak
பகுதி	rehiyon
பகுதி	bahagi
பகுதி	part
பகுதி	parte
பகுதி	segment
பற்றி	tungkol
ஆறு	anim
ஆறு	ilog
மீண்டும்	ulit
மீண்டும்	again
மீண்டும்	muli
மீண்டும்	nanaman
இங்கிலாந்து	inglatera
இங்கிலாந்து	england
காலம்	panahon
காலம்	panahon
காலம்	panahon
காலம்	oras
காலம்	time
நிலை	posisyon
நிலை	opinyon
நிலை	state
நிலை	estado
நிலை	antas
நிலை	level
ஒரே	parehong
ஒரே	same
போர்	digmaan
போர்	digmaang
காரணமாக	due
காரணமாக	dahil
பொருள்	materyal
பொருள்	materyales
பொருள்	produkto
பொருள்	bagay
பொருள்	object
பொருள்	synonyms
பொருள்	sasailalim
பொருள்	paksa
பொருள்	subject
அறிவியல்	science
அறிவியல்	agham
பேச்சு	speech
பேச்சு	pananalita
பேச்சு	talumpati
பேச்சு	pagsasalita
பேச்சு	magsalita
பேச்சு	usap
பேச்சு	usapan
பேச்சு	talk
இதனால்	kay
அனைத்து	all
அனைத்து	puro
அனைத்து	lahat
கல்வி	edukasyon
ஏப்ரல்	abr
ஏப்ரல்	april
ஏப்ரல்	abril
உலக	mundo
உலக	pandaigdigang
உலக	global
உலக	pandaigdigan
கே	bading
கே	gay
கே	bakla
முடியும்	pwede
முடியும்	maari
கீழ்	down
கீழ்	pababa
கீழ்	lower
கீழ்	ibaba
கீழ்	ilalim
இடம்	lugar
இடம்	pook
இடம்	kinalalagyan
இடம்	lokasyon
இடம்	space
இடம்	kalawakan
இடம்	puwang
இடம்	espasyo
செப்டம்பர்	setyembre
பேர்	iba
பெரும்	sarap
பெரும்	magaling
சி	chi
நாடுகள்	bansang
தொகுதி	album
தொகுதி	albums
தொகுதி	sistemang
தொகுதி	system
தொகுதி	sistema
தொகுதி	module
கிழக்கு	silangan
கிழக்கு	east
கிழக்கு	orient
கிழக்கு	silangang
அமைப்பு	setup
அமைப்பு	sistemang
அமைப்பு	system
அமைப்பு	sistema
அமைப்பு	setting
அமைப்பு	organisasyon
அமைப்பு	istraktura
அளவு	halaga
அளவு	dami
அளவு	scale
அளவு	laki
அளவு	sukat
நகர்	nagar
மற்ற	misc
இந்து	hindu
தற்போது	ngayon
தற்போது	kasalukuyang
பாடல்	awitin
பாடல்	kanta
பாடல்	awit
உண்டு	available
உண்டு	magagamit
உண்டு	makukuha
உண்டு	may
வாழும்	buhay
வாழும்	tinitirahan
வாழும்	pamumuhay
இருக்கிறது	available
இருக்கிறது	magagamit
இருக்கிறது	makukuha
நிறுவனம்	kumpanya
நிறுவனம்	kompanya
நிறுவனம்	employer
நிறுவனம்	organisasyon
நபர்கள்	tao
துடுப்பாட்டக்காரர்	cricketer
காலனி	kolonya
மேற்கு	west
மேற்கு	kanluran
மேற்கு	kanluranin
மேற்கு	western
தலைவர்	pangulo
தலைவர்	presidente
தலைவர்	lider
முதலில்	unang
முதலில்	muna
சார்ந்த	dependensiya
சார்ந்த	batay
மேல்	tuktok
மேல்	nangunguna
மேல்	itaas
நாடு	bansa
நாடு	makabayan
மட்டும்	lang
மட்டும்	lamang
அடிப்படையில்	basehan
எண்	count
எண்	bilang
குறிப்பிட்ட	nakasaad
குறிப்பிட்ட	tinukoy
குறிப்பிட்ட	tukoy
குறிப்பிட்ட	tiyak
குறிப்பிட்ட	partikular
செய்ய	gumawa
செய்ய	gawing
சிறிய	liit
சிறிய	maliit
சிறிய	kaunti
சிறிய	maliit
மார்ச்	marso
நிலையில்	kalagayan
நிலையில்	kondisyon
நிலையில்	kundisyon
நிலையில்	entablado
நிலையில்	yugto
நிலையில்	stage
பெண்	girl
பெண்	babae
பெண்	babae
பெண்	female
வெற்றி	tagumpay
வெற்றி	nanalo
வெற்றி	panalo
வெற்றி	panalong
வெற்றி	nanalo
வெற்றி	panalo
வெற்றி	tagumpay
வெற்றி	manalo
இணைப்பு	koneksyon
இணைப்பு	connection
இணைப்பு	link
இணைப்பு	kalakip
இணைப்பு	attachment
திரைப்படம்	pelikula
திரைப்படம்	sine
திரைப்படம்	movie
வகை	kategorya
வகை	type
வகை	uri
வகை	mode
ஐந்து	limang
ஐந்து	lima
ஐந்து	singko
அதே	parehong
அதே	same
சிறப்பு	itinatampok
சிறப்பு	itinampok
சிறப்பு	espesyal
சிறப்பு	special
விட	kesa
விட	kaysa
சுமார்	tungkol
கட்டுரைகள்	akda
கட்டுரைகள்	artikulo
படி	mabasa
படி	nabasa
படி	basahin
படி	hakbang
படி	step
மனித	pantao
மனித	tao
மனித	makatao
மனித	human
பெரும்பாலும்	halos
பெரும்பாலும்	madalas
பெரும்பாலும்	kadalasan
கட்சி	partido
கட்சி	party
கட்சி	pagdiriwang
கட்சி	pagtitipon
பொது	karaniwan
