американци	미국인
ренесанса	르네상스
богатството	재산
кръгли	라운드
лена	리나
етажа	바닥
фасада	파사드
ограничаване	제한
ограничаване	한계
ограничаване	제한
ограничаване	극한
конник	라이더
хендрикс	헨드릭스
хендрикс	헨드릭스
измервания	측정
измервания	측정
емблема	엠블렘
петра	페트라
мускул	근육
тбилиси	트빌리시
колонията	식민지
сиви	회색
сиви	그레이
сиви	회색
сиви	그레이
полезна	유용하다
полезна	유용합니다
полезна	유용
показани	표시됨
показани	상영
размножаване	전파
размножаване	번식
размножаване	사육
статуята	동상
статуята	여신상
статуята	조각상
верни	충성
верни	충실
алпите	알프스
демо	데모
архиви	레코드
архиви	아카이브
архиви	보관
документите	문서
вечеря	저녁식사
вечеря	저녁
вечеря	만찬
накратко	간략하게
анализи	해석학
анализи	해석
анализи	분석
анализи	인사이트
бедствия	재난
бедствия	재해
бедствия	재난
производни	파생상품
влажни	촉촉한
подводница	잠수함
подводница	서브
перо	깃털
арктика	북극
въведение	소개
въведение	도입
въведение	소개팅
въведение	소개
въведение	intro
известия	알림
важност	중요성
торпедо	어뢰
удря	조회수
шрифт	글꼴
пустиня	사막
върти	스핀
намален	감소
зърна	곡식
зърна	곡식
зърна	곡물
сенат	상원
сенат	상원의원
съображения	고려
утре	내일
авторитет	권위
японско	일본어
японско	일본
японско	일본인
преки	직접
преки	직통
преки	direct
преки	다이렉트
шведска	스웨덴어
шведска	스웨덴
шведска	스웨덴인
атланта	애틀랜타
атланта	아틀란타
атланта	애틀란타
елит	엘리트
бомбардировач	폭격기
рита	리타
стратегическо	전략적
темите	주제
темите	테마
темите	주제
паскал	파스칼
трио	트리오
указания	지침
указания	지시
указания	안내
трагедията	비극
бунтовниците	반란군
бунтовниците	반군
фред	프레드
готово	완료
грозни	그로즈니
железни	철쭉
близнаци	쌍둥이
близнаци	트윈
близнаци	제미니
близнаци	쌍둥이
близнаци	트윈스
совалка	셔틀
тигър	호랑이
тигър	타이거
имигранти	이민
имигранти	이민자
вкъщи	집에
вкъщи	고향
вкъщи	집으로
вкъщи	가정
обсерватория	천문대
грама	그램
виолета	바이올렛
механик	수리공
младост	청년
младост	청소년
младост	젊음
младост	청춘
поддръжници	지지자들
поддръжници	지지자
поддръжници	후원자
познато	익숙한
изолация	격리
изолация	고립
гробища	묘지
гробища	묘지
гробища	공동묘지
гробища	묘지
унищожи	파괴
съвместни	관절
момичетата	소녀
момичетата	소녀들
момичетата	걸스
заплашва	협박
заплашва	위협
придвижване	움직임
придвижване	운동
далас	댈러스
далас	달라스
съставна	합성
съставна	컴포지트
мода	패션
пие	음주
пие	마시기
пие	음료
пие	음료수
верде	베르데
смях	웃음
смях	웃음
смях	웃음
смях	웃어라
смях	웃음
смях	웃어
компилация	컴필레이션
компилация	컴파일러
компилация	컴파일
