和歌	waka
フランチャイズ	franciza
フランチャイズ	franciza
ジュリア	iulia
ジュリア	julia
調停	medierea
調停	mediere
調停	conciliere
ボウリング	popice
ボウリング	bowling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	rugina
サビ	rugina
静香	shizuka
おもちゃ	jucarie
おもちゃ	jucaria
おもちゃ	jucarie
おもちゃ	jucarii
おもちゃ	jucarii
イヴ	eva
イヴ	eve
イヴ	ajunul
毎時	orar
ポピュラー	popular
ポピュラー	populare
ポピュラー	populara
ポピュラー	populara
鋼鉄	steel
鋼鉄	otel
鋼鉄	otel
ケイト	kate
パンフレット	pamflet
パンフレット	pamflete
メーター	contor
メーター	metru
メーター	metri
リンダ	linda
体積	volumul
体積	volum
体積	volume
体積	volumele
組み立て	adunare
組み立て	asamblare
組み立て	adunarea
有名人	celebritate
有名人	celebritatea
有名人	vedete
ロボ	robo
経費	cheltuiala
経費	cheltuiala
経費	cheltuieli
経費	cheltuielile
経費	cheltuieli
ハーバー	harbour
ホリデー	vacanta
ホリデー	vacanta
ホリデー	sarbatori
ホリデー	sarbatoare
ミルウォーキー	milwaukee
超過	exces
超過	excesul
ロク	rok
インテリア	interior
インテリア	interioare
公使	ministru
公使	ministrul
公使	ministri
公使	ministrii
ジョッキー	jocheu
キリスト教徒	crestin
キリスト教徒	crestina
キリスト教徒	crestin
キリスト教徒	christian
キリスト教徒	crestin
キリスト教徒	crestini
キリスト教徒	crestini
リヴァプール	liverpool
スコープ	scopes
三谷	mitani
児島	kojima
カメ	turtle
制裁	sanctiuni
制裁	sanctiunile
バックアップ	rezerva
バックアップ	backup
バックアップ	intariri
ステファン	stefan
ステファン	stefan
ステファン	stefan
ステファン	stefan
ステファン	stephan
スーダン	sudan
スーダン	sudanului
スーダン	sudanul
スーダン	sudanez
細い	subtire
細い	subtire
エキス	extracte
エキス	extrase
エキス	extragere
エキス	extrage
エキス	extras
エキス	extract
キッズ	copii
キッズ	copiii
メッツ	mets
改宗	convertite
改宗	convertit
憲章	carta
憲章	carta
憲章	charter
正雄	masao
キティ	kitty
敦子	atsuko
ねじ	surub
バースト	izbucni
母方	materne
母方	materna
母方	matern
警部補	locotenent
正治	masaharu
諸侯	lorzilor
諸侯	lorzi
諸侯	lorzii
スキャンダル	scandalul
スキャンダル	scandal
トンプソン	thompson
テラス	terasa
テラス	terasa
キプロス	ciprul
キプロス	cipru
キプロス	cipriot
キプロス	cipriota
ナイジェリア	nigerian
ナイジェリア	nigeria
ターナー	turner
調和	armonia
調和	armonie
調和	harmony
タニア	tania
笑う	razand
笑う	ras
笑う	razi
笑う	rade
笑う	rade
笑う	razi
アゼルバイジャン	azerbaidjan
サントス	santos
支出	cheltuielile
支出	cheltuieli
マインド	minte
マインド	mintea
知多	chita
ベオグラード	belgrad
ベオグラード	belgradul
ミゲル	miguel
三船	mifune
チューナー	tuner
元老院	senatul
元老院	senat
元老院	senatului
銘柄	brand
銘柄	marca
銘柄	marca
表彰台	podium
見通し	prospect
肺炎	pneumonia
肺炎	pneumonie
三角形	triunghi
三角形	triunghiul
クジラ	balenele
クジラ	balene
クジラ	balena
クジラ	balena
レーニン	lenin
ヴュルテンベルク	württemberg
ゼット	zed
ハープ	harpa
ソプラノ	soprano
知人	cunostinta
知人	cunostinta
知人	cunostinte
北京市	beijing
アミノ酸	amino
ムード	dispozitie
パブリッシング	publicare
パブリッシング	publicarea
山岡	yamaoka
薬局	farmacie
薬局	farmacie
薬局	farmacia
ジョヴァンニ	giovanni
カラス	crow
カラス	cioara
カラス	corb
カラス	cioara
序曲	uvertura
ウォルト	walt
発酵	fermentare
伯父	unchiul
伯父	unchi
楽しい	distractie
楽しい	distractiv
楽しい	distractie
トマト	rosii
トマト	rosii
トマト	rosii
トマト	rosii
トマト	tomate
トマト	rosii
トマト	rosii
騒音	zgomote
騒音	zgomotul
騒音	galagie
騒音	zgomot
英明	intelept
基質	substrat
府県	prefecturi
流派	scoli
流派	scoli
エステル	ester
エステル	estelle
ラルフ	ralph
ノーマル	normale
ノーマル	normala
ノーマル	normal
布施	fitil
インタフェース	interfata
インタフェース	interfata
インタフェース	interfetele
遺物	artefact
遺物	artifact
遺物	relicve
ナチュラル	naturala
ナチュラル	naturale
ナチュラル	naturala
ナチュラル	natural
ナチュラル	naturali
ボヘミア	boemia
ディアス	díaz
ディアス	diaz
チャイナ	china
こだわり	obsesie
こだわり	obsesia
ディフェンダー	aparatorul
ディフェンダー	aparator
混血	multirasiale
入国	imigrare
ラード	untura
代理人	reprezentativ
代理人	reprezentativa
代理人	reprezentantul
代理人	reprezentative
代理人	reprezentant
代理人	agent
代理人	agentul
レンツ	lenz
ドリル	drill
ドリル	burghiu
平戸	hirado
話し合い	discutii
話し合い	discutie
話し合い	discutie
話し合い	discutii
話し合い	discutie
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hanovra
ハノーファー	hanovra
製造業	fabricare
製造業	fabricarea
製造業	fabricatie
製造業	fabricare
製造業	fabricarea
製造業	fabricatie
宣告	teza
宣告	fraza
宣告	sentinta
マフィア	mafiot
マフィア	mafia
マフィア	mafie
正平	shohei
ルビ	ruby
金髪	blonde
金髪	blondele
金髪	blonde
金髪	blonda
金髪	blond
金髪	blonda
金髪	blond
小野田	onoda
ヴィオラ	viola
不幸	nefericit
不幸	nefericita
不幸	nefericita
胞子	sporii
胞子	spori
胞子	spor
開花	inflorire
開花	inflorit
ジュール	jules
ジュール	jouli
ジュール	joule
賀茂	kamo
ナミ	nami
回帰	regresie
アンカー	ancorarea
アンカー	ancora
アンカー	ancora
アンカー	ancore
ネバダ	nevada
溶接	sudate
溶接	sudare
溶接	sudura
近似	aproximare
ビクトリア	victoriei
ビクトリア	victoria
給付	beneficiu
給付	beneficii
給付	beneficiul
環礁	atol
手動	manuala
手動	manual
手動	manualul
マキシ	maxi
パルス	pulsul
パルス	puls
レオナルド	leonardo
許諾	autorizare
許諾	permisiune
許諾	permisiunea
まゆ	spranceana
カオス	haosul
カオス	haos
マネージメント	gestionare
マネージメント	conducerea
マネージメント	managementul
マネージメント	gestionarea
マネージメント	management
ハングル	hangul
抹消	anularea
抹消	anulare
セクシー	sexy
セクシー	sexi
発光	stralucitoare
発光	stralucitor
発光	stralucind
発光	stralucitoare
ちび	tiny
ダウ	dow
リッチモンド	richmond
注ぐ	toarna
カーネル	nucleu
電線	cablu
スペンサー	spencer
居酒屋	taverna
居酒屋	taverna
ギルバート	gilbert
隆盛	takamori
興奮	entuziasm
興奮	excitare
興奮	incantata
興奮	entuziasmat
興奮	incantat
モータースポーツ	motorsport
台地	platou
台地	platoul
パルマ	palma
パルマ	parma
日数	zilele
日数	zile
機密	confidentialitate
機密	confidentialitatea
機密	confidentiale
機密	confidential
機密	confidential
未遂	tentativa
未遂	tentativa
未遂	tentative
クライアント	clientul
クライアント	client
クライアント	clienti
クライアント	clientii
掃除	curatenie
掃除	curatarea
掃除	curatare
掃除	curatenie
微生物	microorganisme
ウシ	vitele
ウシ	vite
ウシ	bovine
ソマリア	somalia
穀物	cereale
穀物	grane
パオ	pao
音色	tonuri
抜粋	extras
スカイライン	skyline
鉱石	minereu
シンポジウム	simpozion
美香	mika
ブランデンブルク	brandenburg
エドガー	edgar
ローラー	role
ローラー	roller
下線	subliniat
下線	subliniez
下線	subliniat
下線	subliniaza
下線	subliniind
トラスト	incredere
トラスト	incredere
エリカ	erika
フラット	plate
フラット	plat
カバ	hipopotam
カバ	hipopotam
ジョーカー	joker
受け入れる	acceptam
受け入れる	accepta
受け入れる	accepta
受け入れる	accept
迫撃砲	mortar
迫撃砲	mortiere
補助金	subventiile
補助金	subventii
シェフ	chef
シェフ	bucatar
スクープ	scoop
大当たり	jackpot
俊夫	toshio
グレッグ	greg
パスワード	parola
パスワード	parola
パスワード	parole
パスワード	parolele
メカニック	mecanic
申告	declara
申告	declara
申告	declar
申告	declaratie
申告	declaratia
赤ちゃん	iubire
赤ちゃん	baby
赤ちゃん	copil
赤ちゃん	iubito
赤ちゃん	bebe
細分	subdiviziune
壱岐	iki
スクロール	defilare
スクロール	deruleaza
スクロール	pergament
スクロール	derulare
スクロール	defilare
弾頭	focos
セクター	sector
セクター	sectorul
セクター	sectoarele
セクター	sectoare
濃い	puternica
濃い	strong
濃い	puternic
濃い	puternica
減らす	scadere
減らす	scade
減らす	reduce
ショパン	chopin
トロンボーン	trombon
ネック	gat
ネック	gat
ネック	gatul
ストライキ	strike
ストライキ	greva
ストライキ	greva
最低限	minimul
最低限	minimum
最低限	minime
最低限	minima
最低限	minim
レター	scrisoare
レター	scrisoarea
レター	litera
回廊	coridor
回廊	coridorul
プレゼン	prezentare
プレゼン	prezentarea
プレゼン	prezentari
モスク	moschei
モスク	moscheea
モスク	moschee
ルーカス	lucas
ルーカス	lukas
プライド	mandria
プライド	mandrie
清算	lichidare
清算	lichidarea
テロリスト	terorist
テロリスト	terorista
テロリスト	teroristul
バーンズ	barnes
バーンズ	arsuri
バーンズ	burns
バーンズ	arde
管理人	administrator
管理人	administratorul
管理人	administratori
管理人	administratorii
管理人	administratori
管理人	administratorii
管理人	administrator
管理人	administratorul
持ち込み	cara
持ち込み	adu
サンガ	sanga
コスチューム	costumul
コスチューム	costum
コスチューム	costumele
コスチューム	costume
カージナルス	cardinali
美智子	michiko
波動	undei
波動	val
波動	valul
エアバス	airbus
スペック	spec
ボリス	boris
サンバ	samba
原告	reclamant
原告	reclamantul
地主	proprietar
チキン	gaina
チキン	pui
チキン	gaina
インデックス	indexul
インデックス	index
インデックス	indice
インデックス	indicele
インデックス	indici
中道	moderate
中道	moderata
中道	moderat
頼朝	yoritomo
ピックアップ	preluare
ピックアップ	ridicare
コールド	frig
コールド	reci
コールド	rece
プライス	pret
プライス	pretul
プライス	pretul
プライス	pret
ハロルド	harold
待遇	tratamentul
待遇	tratamentului
待遇	tratament
北極	arctica
北極	arctic
北極	arctica
フレンチ	franceza
フレンチ	franceza
フレンチ	francezi
フレンチ	francez
すごい	minunat
すごい	super
すごい	uimitor
すごい	uimitoare
すごい	uluitor
吹雪	viscol
ライプツィヒ	leipzig
アダムズ	adams
ジュース	juice
ジュース	suc
ジュース	sucul
ジュース	sucuri
ルージュ	rouge
守山	moriyama
従兄弟	varul
従兄弟	vere
用心棒	bodyguard
ギルド	guild
ギルド	bresle
ニュルンベルク	nuremberg
ブラザー	frate
ブラザー	fratele
チューリッヒ	zürich
チューリッヒ	zürich
チューリッヒ	zurich
内線	extensie
内線	prelungirea
内線	extindere
内線	prelungire
内線	extensia
ルクス	lux
浅い	superficial
浅い	superficiala
浅い	superficiale
カブ	nap
パウル	paul
パウル	pavel
三味線	shamisen
故人	decedat
故人	decedata
ハンドボール	handbal
オークス	oaks
エッグ	oua
エッグ	oua
エッグ	ouale
エッグ	ou
エッグ	oul
更生	reorganizarea
更生	reorganizare
更生	reabilitare
更生	reabilitarea
スキン	piei
スキン	piele
スキン	pielea
まさし	masashi
パース	perth
エマ	emma
ヌード	nuditate
ヌード	nud
ヌード	nuduri
メビウス	moebius
公害	poluare
公害	poluarea
コペンハーゲン	copenhaga
りんご	mere
りんご	mar
りんご	mere
りんご	mar
りんご	apple
ヒカル	hikaru
インフルエンザ	gripa
インフルエンザ	gripa
インフルエンザ	gripei
インフルエンザ	gripa
インフルエンザ	gripa
イラ	ila
関税	tariful
関税	tarif
オーボエ	oboi
毒性	toxic
毒性	toxica
毒性	toxice
毒性	toxicitate
毒性	toxicitatea
メカニズム	mecanismele
メカニズム	mecanisme
メカニズム	mecanismului
メカニズム	mecanism
メカニズム	mecanismul
ファンタジア	fantasia
やさしい	usor
やさしい	usor
ジャンボ	jumbo
ネギ	praz
燃える	ard
燃える	ardere
燃える	arzand
体質	constitutia
体質	constitutie
体質	constitutie
体質	constitutia
イヌ	caine
イヌ	dog
イヌ	caine
苦しみ	suferinta
苦しみ	suferinta
苦しみ	suferind
キノコ	ciupercile
キノコ	ciuperci
キノコ	ciuperca
キノコ	ciuperca
キノコ	ciuperci
グラン	gran
厚い	groase
厚い	gros
厚い	groasa
厚い	grosime
終着駅	terminus
ヤンキー	yankee
ボア	boa
麻痺	paralizie
麻痺	paralizia
麻痺	paralitic
オリンピア	olympia
クラウス	kraus
クラウス	klaus
義経	yoshitsune
証人	martorii
証人	martori
証人	martorul
証人	martora
証人	martor
証人	martori
賞賛	admira
賞賛	admir
賞賛	admira
賞賛	lauda
賞賛	lauda
賞賛	laude
シリアル	serial
シリアル	cereale
シリアル	cerealele
シリアル	cereale
ウィンドウ	fereastra
ウィンドウ	fereastra
ウィンドウ	geam
乱闘	incaierare
乱闘	incaierare
水分	umezeala
水分	umezeala
水分	umiditate
聴く	asculta
聴く	asculta
バーバラ	barbara
遊ぶ	joaca
遊ぶ	joaca
決済	platile
