年	سال
月	قمر
月	ماه
月	moon
月	ماهها
月	ماه
月	ماهه
月	ماههای
月	ماه
日	روز
日	روزی
村	روستای
村	دهکده
村	ویلیج
村	روستا
人	انسان
人	مَرد
人	مرد
人	افراد
人	مردمان
人	آدمها
人	مردم
小行星	سیارکها
大	بیگ
大	big
大	بزرگ
大	بزرگی
德	تاک
德	tak
重	سنگینی
重	سنگین
重	سنگینتر
一	یکی
一	یگانه
一	یک
定向	جهت
定向	جهتدار
定向	هدایتی
但	ولی
但	اما
也	همچنین
拉	pull
留言	پیغام
留言	پیام
市	شهری
市	شهر
市	سیتی
新	تازه
新	نو
新	جدید
新	نیو
站	پاسگاه
站	ایستگاه
站	استند
站	ایستادن
州	حالت
州	استیت
州	دولت
州	وضعیت
州	ایالت
研究	تحصیل
研究	مطالعه
研究	مطالعات
研究	تحقیق
研究	تحقیقاتی
研究	تحقیقات
研究	پژوهش
日本	ژاپن
三	سه
前	پیش
家	خانه
家	وطن
家	خونه
家	آغازه
近	نزدیکی
近	نزدیک
米	برنجی
米	پلو
米	رایس
米	برنج
米	متر
多	دیگر
多	بیشتر
使用	استعمال
使用	کاربرد
王	پادشاه
王	کینگ
王	شاه
王	وانگ
王	ونگ
林	لین
公司	شرکتی
公司	شرکت
公司	گروهان
公司	شرکت
公司	company
公司	کمپانی
公司	شرکتها
公司	شرکتهای
公司	احزاب
李	لی
一個	یکی
一個	یگانه
一個	یک
西	وست
西	باختر
西	غرب
西	غربی
省	ولایت
省	استان
省	مهدیه
省	gmina
省	ویوودشیپ
度	درجه
度	زینه
度	درجه
卡	کارتها
卡	ورق
卡	کارتهای
卡	کارت
卡	ورق
二	دوتا
二	دو
小	کوچک
小	small
小	کوچکی
小	اسمال
小	اندکی
小	کوچک
小	کم
小	لیتل
小	کوچولو
小	تاینی
小	ریز
相似	مشابه
相似	شباهتی
相似	تشابه
相似	شباهت
相似	تشابه
相似	شباهت
區	منطقه
區	زون
區	منطقه
區	ناحیه
區	بخش
區	منطقه
區	مساحت
區	ناحیه
人口	جمعیتی
人口	جمعیت
人口	جمعیتی
政府	دولتها
政府	دولتهای
政府	دولتی
政府	حکومت
政府	دولت
道	dao
將	ویل
高	والا
高	رفیع
高	بلند
高	تل
高	قد
高	گائو
美國	آمریکای
美國	امریکا
美國	آمریکا
集	تنظیم
集	قسمت
集	اپیزود
台灣	تایوان
布	پارچه
世界	جهان
世界	دنیا
世界	جهانی
南	نان
南	نن
南	ساوت
南	جنوب
南	جنوبی
南	نم
南	nam
路	جاده
五	پنج
五	فایو
本	بن
本	بِن
金	طلای
金	gold
金	طلا
金	طلایی
金	گلد
金	زرین
金	کیم
金	kim
文	ون
林肯	لینکن
林肯	لینکولن
林肯	لینکلن
人民	افراد
人民	مردمان
人民	آدمها
人民	مردم
包括	شامل
包括	شامل
包括	شامل
峰	اوج
峰	قله
其他	دیگر
其他	غیره
其他	دیگران
其他	دیگر
塔	پاگودا
塔	تاور
塔	برج
縣	شهرستان
縣	کانتی
縣	کانتون
第一	اول
第一	ابتدا
第一	نخستین
任	رن
時間	زمان
時間	تایم
時間	time
比	نسبت
元	متا
元	یوان
元	دلار
元	دالر
元	وون
中國	چین
六	شش
六	سیکس
六	شیش
主要	عمده
主要	ماژور
主要	سرگرد
主要	main
主要	اصلی
主要	ماین
城	شهری
城	شهر
城	سیتی
城	قصر
城	کاستل
城	کستل
城	قلعه
城	کسل
法	متد
法	روش
中心	مراکز
中心	سنتر
中心	مرکزش
中心	مرکز
中心	سنتر
中心	مرکز
線	خط
線	خطوط
線	نخ
線	رشته
第二	دوم
第二	ثانیه
第二	دومی
山	کوهستانی
山	کوهی
山	کوه
山	کوهستان
山	کوه
山	طور
山	تپه
山	هیل
山	کوهستان
山	کوهها
加	افزودن
加	پلاس
太空	فضای
太空	فضا
太空	فضایی
太空	فاصله
