تلاقی	reunion
تلالا	fame
تلالا	renown
تلالا	khốc
تلالا	cry
تلالا	khóc
تلالا	voice
تلالا	giọng
تلالُو	trưng
تلالُو	chói
تلائو	tank
تلائو	tăng
تلائو	bể
تلائو	hồ
تلائو	ao
تلائی	rán
تِلبر	thoa
تلبُّس	dressing
تلپٹ	mất
تلپٹ	thua
تلپٹ	hỏng
تلپٹ	hư
تلپٹ	xì
تلپٹ	hỏng
تلپٹ	xì
تُلتُلانا	drip
تلچھٹ	sediments
تلچھٹ	sediments
تلخ	acrid
تلخ	đắng
تلخ	acrid
تلخیص	precis
تلخیص	precis
تلذُّذ	delight
تلّڑ	bụng
تلّڑ	bụng
تُلسی	tulsi
تلعُّب	sport
تلعُّب	fun
تلعُّب	ké
تلعُّب	vui
تلف	mát
تلف	điêu
تلف	hỏng
تلف	xì
تلفُّظ	pronunciation
تلفی	chết
تلفی	điêu
تلفیف	spire
تلفیق	fabrication
تلقّی	họp
تلقیح	fertilization
تلقیح	pollination
تلقین	dạy
تِلک	tilak
تِلک	sếp
تِلک	consecration
تِلک	leader
تِلک	gown
تُللّی	luồng
تُللّی	suối
تُللّی	stream
تُللّی	luồng
تُللّی	màng
تُللّی	flow
تلملی	uro
تلمُود	talmud
تلمیذ	bmi
تلمیع	deception
تلوار	sabre
تلوار	scimitar
تلوار	sabre
تلوار	scimitar
تلوار	gươm
تلوار	kiếm
تلّہ	ao
تِلہا	nhờn
تِلہا	nhờn
تلی	chiên
تلی	dưới
تلی	bậc
تلی	đáy
تلی	bottom
تلے	dưới
تلے	subordinate
تلے	dưới
تلے	under
تلے	dưới
تلے	subordinate
تِلیر	starling
تلَینڈُو	page
تلَینڈُو	trang
تماچہ	tát
تماچہ	slap
تماخِرہ	jest
تماخِرہ	fun
تماخِرہ	ké
تماخِرہ	vui
تماخِرہ	joke
تماخِرہ	đùa
تماخِرہ	đểu
تمازت	ngời
تمازت	glow
تماس	lạc
تماس	bond
تماس	touch
تماس	ống
تماس	sờ
تماس	chạm
تماس	hã
تماسُک	cohesion
تماسُک	coherence
تماسُک	binding
تماشا	sport
تماشا	oddity
تماشا	fun
تماشا	ké
تماشا	vui
تماشا	sport
تماشا	oddity
تماشا	fun
تماشا	ké
تماشا	vui
تماشا	xem
تماشا	hiện
تماشا	show
تماشا	entertainment
تماشاگر	diễn
تماشائی	spectator
تمام	toàn
تمام	hẹt
تمام	whole
تمام	end
تمام	kết
تمام	tổng
تمام	say
تمام	full
تمام	đầy
تمام	hết
تمام	toàn
تمام	hẹt
تمام	whole
تمام	end
تمام	kết
تمام	tổng
تمام	say
تمام	full
تمام	đầy
تمامی	cuối
تمامی	toàn
تمامی	hẹt
تمامی	whole
تمامی	tổng
تماہُل	hoãn
تماہُل	delay
تماہُل	lười
تمبُو	lều
تمبُورہ	tambourine
تمتُّع	delight
تمتمانا	ngời
تمتمانا	glow
تمتماہٹ	ngời
تمتماہٹ	glow
تِمثال	nh
تِمثال	hình
تِمثال	ảnh
تِمثال	ảnh
تمثیل	allegory
تمثیل	dụ
تمثیل	play
تمثیل	chơi
تمثیل	at
تمثیل	allegory
تمثیل	drama
تمثیل	kịch
تمثیل	dụ
تمثیل	play
تمثیل	chơi
تمثیل	at
تمدُّنی	civic
تمرُّد	loạn
تمریض	nursing
تمس	gloom
تمس	darkness
تمسخرُ	jest
تمسخرُ	fun
تمسخرُ	ké
تمسخرُ	vui
تمسخرُ	đùa
تمسکّ	bond
تمک	vanity
تمک	ngạo
تمکُّن	sục
تمکُّن	lực
تمکُّن	stay
تمکَنت	sục
تمکَنت	lực
تمکین	kiên
تمکین	ân
تمکین	grace
تمکین	tha
تملُّق	nịnh
تمنّا	mong
تمنّا	xoa
تمنّا	ước
تمنّا	nguyện
تمنّا	mong
تمنّا	xoa
تمنّا	ước
تمنّا	nguyện
تموُّج	xáo
تموُّج	uro
تمویہہ	deception
تمہید	preface
تمہید	preface
تمیز	loại
تُمھارا	của
تُمھی	các
تُمھی	cac
تُمھی	bạn
تُمھی	anh
تُمھی	cô
تن	người
تناپا	bloom
تناپا	blooms
تناپا	nở
تنازُل	sáp
تنازُل	rơi
تنازُل	sút
تنازُل	ngã
تنازُل	descent
تناسُب	accord
تناسُب	harmony
تناسُل	lineage
تنافُس	jealousy
تناوُل	ăn
تنائو	duỗi
تنبل	lat
تنبل	biếng
تنبل	lazy
تنبل	lười
تنبلی	lười
تنبُو	pavilion
تنبُو	canopy
تنبول	cash
تنبولا	đỏ
تنبُّہ	cảnh
تنبُّہ	khuyên
تنبیہ	cảnh
تنت	essence
تنت	cần
تنت	opportune
تنت	dịp
تنتر	tantra
تنتر	charm
تنتنا	la
تنتنا	nhiễu
تنتنا	khốc
تنتنا	cry
تنتنا	khóc
تنتنا	din
تُنتو	cord
تُنتو	cobweb
تُنتو	chuỗi
تُنتو	thread
تُنتو	chuỗi
تُنتو	dây
تنتی	ploceus
تنتی	weaver
تنخواہ	lương
تنخواہ	trả
تنخواہ	lương
تُند	furious
تُند	hot
تُند	nóng
تُند	rapid
تُند	sharp
تُند	nhọn
تُند	acrid
تُند	mau
تُند	nhanh
تُند	đậm
تُند	bold
تُند	yến
تُند	swift
تُند	nặng
تُند	rough
تُندر	thunderbolt
تُندر	vanilla
تُندر	sấm
تُندر	sét
تندرست	healthy
تندوری	tandoori
تُندی	fury
تُندی	buộc
تنزل	sáp
تنزل	rơi
تنزل	sút
تنزل	ngã
تنسیخ	hủy
تنِش	duỗi
تنظیم	đảng
تنظیم	party
تنظیم	tiệc
تنظیم	đảng
تنظیم	party
تنظیم	tiệc
تنعُّم	vượng
تنفُّر	phiên
تنفُّر	bản
تنفُّس	thở
تنقیح	tìm
تنقیح	inquiry
تنقید	review
تنقیض	refutation
تنِک	nhỏ
تنِک	hơi
تُنک	mỏng
تُنک	gầy
تُنک	thin
تُنک	nhỏ
تِنکا	hạt
تِنکا	yếu
تِنکا	nhược
تِنکا	mỏng
تِنکا	gầy
تِنکا	thin
تِنکا	bit
تِنکا	cắn
تنگ	bài
تنگ	ngắn
تنگ	short
تنگ	lá
تنگ	bao
تنگ	confined
تنگ	lap
تنگ	túi
تنگ	bag
تنگ	pose
تنگ	chán
تنگ	nghèo
تنگ	nghiệp
تنگ	bài
تنگ	ngắn
تنگ	short
تنگ	lá
تنگ	bao
تنگ	confined
تنگ	lap
تنگ	túi
تنگ	bag
تنگ	pose
تنگ	chán
تنگ	nghèo
تنگ	nghiệp
تنگ	chật
تنگ	hẹp
تُنگ	peak
تُنگ	nắp
تُنگ	top
تُنگ	đỉnh
تنگنائے	vịnh
تنگی	nhọc
تنگی	nghèo
تُنگی	cao
تُنگی	lofty
تنومند	healthy
تنومند	mạnh
تنومند	strong
تنومند	sturdy
تنہا	isolated
تنہا	độc
تنہا	lone
تنہا	isolated
تنہا	single
تنہا	đơn
تنہا	chỉ
تنہا	duy
تنہا	độc
تنہا	lone
تنہائی	solitude
تنہائی	solitude
تنی	chia
تنی	share
تنی	đính
تنی	nơ
تنی	chuỗi
تِنّین	rồng
تِنّین	diều
تِنّین	long
تِنّین	dragon
تُو	thou
تُو	các
تُو	cac
تُو	bạn
تُو	anh
تُو	cô
تُو	thee
تو	rồi
توا	tawa
تواجُد	ecstasy
تواجُد	rapture
تواحُد	unity
توارُث	inheritance
تواریخ	ngày
توازُن	equilibrium
تواضُع	hiếu
تواضُع	tặng
تواضُع	entertainment
توافُق	concord
توافُق	concurrence
توافُق	harmony
توال	khăn
تَوام	twin
تَوام	song
تُوان	agile
تُوان	mạnh
تُوان	strong
توانا	healthy
توانا	mạnh
توانا	strong
توانائی	sục
توانائی	lực
توانائی	lượng
توانائی	sục
توانائی	lực
تَوبیخ	quậy
توپ	vữa
توپ	súng
توپچی	gunner
توپچی	bombardier
توپنا	bìa
توپنا	cover
توپنا	che
توپنا	chôn
تُوت	mulberry
توتا	parrot
توتا	vẹt
تُوتن	chips
تُوتن	fragments
تَوتے	trách
تَوتیا	trách
توجُّہ	inclination
تَوجیہہ	justification
تَوجیہہ	causation
توحُّش	dọa
توحُّش	scare
تَوحید	unitarianism
تودہ	stack
تودہ	đống
تودہ	stack
تودہ	đống
تودہ	mound
تودہ	gò
تَورا	yến
تَورا	swift
تَورا	mau
تَورا	nhanh
تورہ	ngạo
تورہ	bai
تورہ	equity
تَورَیت	torah
توڑ	tời
توڑ	refutation
توڑ	phá
توڑ	breaking
توڑ	whey
توڑ	break
توڑ	phá
توڑ	chữa
توڑ	cure
توڑدینا	break
توڑدینا	phá
توڑلینا	thu
توڑلینا	men
توڑنا	ngắt
توڑنا	giết
توڑنا	smash
توڑنا	tách
توڑنا	chia
توڑنا	break
توڑنا	phá
توزُّع	xáo
توزُّع	dispersion
تَوزیع	scattering
تَوزیع	dispersion
توسُّع	vượng
توسُّل	linkage
تَوسن	ngựa
تَوسن	steed
توش	lượng
توشک	nệm
تُوشمال	quầy
تُوشمال	cook
تُوشمال	nấu
توشہ	supplies
تَوشیع	gai
توصُّل	union
توصُّل	hợp
توصیت	will
توصیت	sẽ
توصیت	muốn
تَوصیف	khen
تَوضیحی	explanatory
تَوضیع	shaping
تَوضیع	making
تَوطِیہ	scheme
تَوفیر	thụ
تَوفیق	sục
تَوفیق	lực
تَوفیق	ân
تَوفیق	grace
تَوفیق	tha
توقّع	mong
توقّع	xoa
توقُّف	reo
توقُّف	dừng
توقُّف	ngừng
تَوقیر	veneration
تَوقیر	bai
توکُّل	reliance
تول	cân
تولا	tola
تولّا	love
تولّا	yêu
تولُّد	sinh
تَولیا	khăn
تَولید	sinh
تَولیدگی	sinh
تَونس	rối
تَونس	affliction
تونگر	vương
تونگر	giàu
تونگر	rich
تونگر	vương
تونگر	giàu
تونگر	rich
تونگری	riches
توُّہم	fancy
تَوہین	libel
تَوہین	xúc
تہ	vạn
تہ	dưới
تہ	bậc
تہ	đáy
تہ	bottom
تہ	root
تہ	chủ
تہ	stratum
تہ	gấp
تہ	stratification
تہ	layer
تہ	lớp
تہاں	kia
تہاں	đó
تہانا	wrap
تہانا	bọc
تہانا	quấn
تہانا	gấp
تہانا	cuộn
تہانا	roll
تہاوُن	oversight
تہجّی	orthography
تہدید	đe
تہدید	mối
تہدیم	điêu
تہذیب	polish
تہذیب	tỉa
تہذیب	polish
تہذیب	tỉa
تہرا	treble
تہرا	ba
تہرا	triple
تہلکہ	panic
تہلکہ	perdition
تہلکہ	khuấy
تہلکہ	xào
تُہمت	libel
تہمتن	stout
تہوار	festival
تئیں	cho
تِیا	vợ
تِیا	vơ
تِیا	vk
تِیا	nữ
تیارّ	xong
تیارّ	béo
تیارّ	mập
تیارّ	fat
تیاگنا	bỏ
تیاگی	phaethornis
تِیتر	partridge
تِیتری	butterfly
تِیتری	bướm
تِیج	ladybird
تیج	sục
تیج	lực
تیج	splendour
تیج	vinh
تِیخا	agile
تِیخا	hư
تِیخا	nghịch
تِیر	arrow
تِیر	margin
تِیر	lề
تِیر	bờ
تِیر	shore
تِیر	mép
تِیر	edge
تِیر	rìa
تِیر	cạnh
تِیر	ngân
تِیر	bank
تیر	qua
تیر	past
تیرا	thy
تیرا	thine
تَیراکی	bơi
تِیرگی	obscurity
تِیرگی	gloom
تِیرگی	darkness
تَیرنا	float
تَیرنا	nổi
تَیرنا	bơi
تِیرہ	dark
تِیرہ	tối
تِیرہ	hazy
تِیرہ	useless
تِیرہ	đen
تِیرہ	dusty
تیرہ	thirteen
تیز	viêm
تیز	yến
تیز	swift
تیز	khuyên
تیز	viêm
تیز	sharp
تیز	nhọn
تیز	yến
تیز	swift
تیز	khuyên
تیز	mau
تیز	nhanh
تیزاب	axit
تیزاب	acid
تیزاب	axít
تَیس	hươu
تِیس	thirty
تیغ	épée
تیغ	foil
تیغ	gươm
تیغ	kiếm
تیغا	scimitar
تِیکھا	chảnh
تِیکھا	sharp
تِیکھا	nhọn
تِیکھا	curt
تیلیا	nhờn
تیلیا	nhờn
تِیمار	affliction
تِیمار	care
تیمارداری	nursing
تِین	tre
تِین	ba
تِین	three
تیندوا	leopard
تیور	mien
تیور	visage
تیور	xem
تیور	nhìn
تیور	vision
تیور	glance
تیوڑی	ivy
تِیوَن	ngao
تِیوَن	sốt
تِیوَن	curry
تیوہار	festival
تِیہ	dã
تِیہا	ngạo
تِییہ	mound
تِییہ	gò
تھا	aw
تھا	bị
تھاپ	thump
تھاپ	nhấn
تھاپنا	đánh
تھاپنا	phật
تھاپنا	pat
تھاپنا	vỗ
تھاپنا	nhấn
تھاپی	bat
تھاپی	dơi
تھاپی	beater
تھال	thùng
تھال	khay
تھال	thùng
تھال	khay
تھال	fat
تھال	platter
تھامنا	giữ
تھامنا	clutch
تھامنا	côn
تھامنا	grip
تھامنا	bắt
تھامنا	cứu
تھامنا	giúp
تھامنا	vệ
تھامنا	prop
تھامنا	giữ
تھامنا	clutch
تھامنا	côn
تھامنا	grip
تھامنا	bắt
تھامنا	cứu
تھامنا	giúp
تھامنا	vệ
تھامنا	dừng
تھامنا	ngừng
تھامنا	prop
تھان	website
تھان	site
تھان	breed
تھان	kho
تھانگ	vết
تھانگ	trace
تھانگ	clue
تھانہ	thana
تھاور	stationary
تھاور	lụt
تھاوس	kiên
تھاہ	end
تھاہ	kết
تھبڑی	giỏ
تھبڑی	rổ
تھپتھپانا	pat
تھپتھپانا	vỗ
تھپّڑ	tát
تھپّڑ	smack
تھپّڑ	tát
تھپّڑ	slap
تھپڑانا	tát
تھپڑانا	slap
تھپک	pat
تھپک	vỗ
تھپکی	pat
تھپکی	vỗ
تھپکی	bat
تھپکی	dơi
تھپیّ	tay
تھپیّ	palm
تھپیّ	sên
تھپیّ	cọ
تھپیّ	vỗ
تھپیڑا	cú
تھپیڑا	đòn
تھپیڑا	tát
تھپیڑا	slap
تھپیڑا	sốc
تھپیڑا	shock
تھتّا	đống
تھتّا	đống
تھتّا	less
تھتّڑ	ghẻ
تھتّڑ	phóng
تھتّڑ	vỏ
تُھتکار	nhổ
تُھتکارا	despicable
تھُتکاری	thuỷ
تھُتکاری	thủy
تھُتکاری	vixen
تھُتکاری	dép
تھُتھانا	swell
تھتھلنا	chảy
تِھجنا	dừng
تِھجنا	ngừng
تِھجنا	stay
تِھر	kĩ
تِھر	bền
تِھر	mạnh
تِھر	strong
تھرتھرانا	rung
تھرتھرانا	lắc
تھرتھرانا	rung
تھرتھراہٹ	run
تھرتھراہٹ	rung
تھُڑ	nhỏ
تھُڑ	tiểu
تھُڑنا	giảm
تھکا	trau
تھکا	mệt
تھکّا	đốm
تُھکّا	nhổ
تھکانا	lốp
تھکانا	lốp
تُھکتھُکانا	ghét
تُھکتھُکانا	hat
تھکنا	sáp
تھکنا	rơi
تھکنا	sút
تھکنا	ngã
تھکنا	sáp
تھکنا	rơi
تھکنا	sút
تھکنا	ngã
تھکنا	lốp
تِھگلی	cottage
تِھگلی	hut
تِھگلی	lều
تِھگلی	patch
تِھگی	patch
تھل	website
تھل	site
تھل	mạc
تھل	group
تھل	nhóm
تھل	spot
تھل	điểm
تھل	ford
تھل	nơi
تھل	chỗ
تھل	đống
تھل	đáp
تھل	mound
تھل	gò
تھم	đăng
تھم	base
تھم	quỹ
تھم	foundation
تھم	nọc
تھم	prop
تھم	đăng
تھم	base
تھم	khe
تھم	cột
تھم	quỹ
تھم	foundation
تھم	nọc
تھم	prop
تھمانا	đưa
تھمانا	tặng
تھمانا	cho
تھمڑا	thick
تھمڑا	dầy
تھمڑا	dày
تھمڑا	rough
تھمنا	dừng
تھمنا	ngừng
تھمنا	dừng
تھمنا	ngừng
تھمنا	ngừng
تھن	dug
تھن	pap
تھن	dug
تھن	pap
تُھوا	mound
تُھوا	gò
تُھوا	đống
تھوپنا	khoác
تھوپنا	đống
تھوپنا	less
تھوپنا	gán
تھوپنا	đống
تھوپنا	trách
تھوپنا	khoác
تھوپنا	đống
تھوپنا	less
تھوپنا	gán
تھوپنا	đống
تھوپنا	trách
تھوتا	rỗng
تھوتا	hollow
تھوترا	toothless
تھوترا	rỗng
تھوترا	hollow
تھوترا	rỗng
تھوترا	trống
تھوتھا	blunt
تھوتھا	cùn
تھوتھا	rỗng
تھوتھا	hollow
تُھوتھڑا	miệng
تُھوتھڑا	mồm
تُھورنا	đánh
تُھورنا	phật
تُھورنا	ăn
تُھورنا	búa
تُھورنا	strike
تُھورنا	đâm
تُھورنا	slr
تھوڑ	vitamin
تھوڑا	vài
تھوڑا	nhỏ
تھوڑا	tiểu
تھوڑا	vài
تھوڑا	nhỏ
تھوڑا	tiểu
تُھوم	tỏi
تُھونی	đăng
تُھونی	prop
تُھونی	khe
تُھونی	cột
تُھوہر	spurge
تھئی	đống
تھئی	đống
تھئی	less
تھی	aw
تھی	bị
تھَیلا	bao
تھَیلی	túi
تھَیلی	ví
تھیوا	gem
ٹابر	boy
ٹابر	trai
ٹابر	bé
ٹابر	hồ
ٹابر	ao
ٹاپ	đít
ٹاپ	nhấn
ٹاپنا	desperate
ٹاپُو	đảo
ٹاپُو	islet
ٹاٹ	descent
ٹاٹ	caste
ٹاٹ	tat
ٹاٹ	gunny
ٹاٹ	hessian
ٹار	đống
ٹال	cỏ
ٹامکٹُوئیاں	conjectures
ٹانٹ	skull
ٹانٹ	sọ
ٹانٹ	quang
ٹانٹھا	mạnh
ٹانٹھا	strong
ٹانٹھا	stout
ٹانٹھا	sturdy
ٹانچ	cheat
ٹانچ	cãi
ٹانچ	rude
ٹانچڑا	audacious
ٹانچنا	cheat
ٹانچنا	bóc
ٹانڈا	đình
ٹانک	valuation
ٹانک	khâu
ٹانک	stitch
ٹانک	hemming
ٹانک	viết
ٹانک	ghi
