και	ja
από	alkaen
από	from
με	mukaan
με	mukana
με	with
με	kanssa
που	jonka
που	joka
που	jota
που	johon
που	jotka
για	varten
κατηγορία	kategoria
κατηγορία	luokan
κατηγορία	luokka
ήταν	oli
ήταν	oliko
ένα	yks
ένα	yksi
ένα	yhden
ένα	one
ότι	tuo
ότι	että
μια	yks
μια	yksi
μια	yhden
μια	one
έχει	on
θα	will
θα	tahto
αλλά	mutta
μετά	sitten
μετά	jälkeen
μετά	after
επίσης	lisäksi
επίσης	myöskin
επίσης	myös
όπως	tykkää
όπως	kuten
όπως	kuin
είχε	oli
δύο	kaksi
δύο	kaks
αυτό	tämän
αυτό	tätä
αυτό	tästä
αυτό	tämä
αυτό	tuo
αυτό	että
αυτή	hän
όπου	missä
όπου	jossa
όταν	kun
όταν	milloin
μέχρι	kunnes
μία	yks
μία	yksi
μία	yhden
μία	one
μπορεί	voi
ομάδα	joukkue
ομάδα	ryhmä
ομάδα	konserni
ομάδα	ryhmän
ομάδα	ryhmä
ομάδα	tiimi
ομάδα	ryhmä
ομάδα	joukkue
ομάδα	team
θέση	asema
θέση	kannan
θέση	asento
θέση	kanta
θέση	sijainti
μεταξύ	väliin
μεταξύ	välillä
μεταξύ	välissä
χρόνια	krooninen
χρόνια	kroonista
χρόνια	vuotta
χρόνια	vuodet
χρόνια	vuosien
χρόνια	vuosia
πρώτη	ensin
πρώτη	ensimmäinen
πρώτη	eka
πρώτη	ensiksi
πιο	lisää
πιο	enemmän
ένας	yks
ένας	yksi
ένας	yhden
ένας	one
πόλη	kaupunki
πόλη	city
πόλη	kaupunki
πόλη	paikkakunta
σύνδεσμοι	linkit
σύνδεσμοι	yhteydet
σύνδεσμοι	linkkejä
σύνδεσμοι	linkkien
μόνο	ainoastaan
μόνο	vain
έγινε	tehty
έγινε	done
πολύ	hyvin
πολύ	erittäin
κάθε	jokainen
κάθε	jokainen
κάθε	kunkin
κάθε	kumpikin
κάθε	kukin
περιοχή	alue
