домейн	डोमेन
елиът	एलियट
елиът	एलियट
елиът	इलियट
мейн	मेन
мейн	maine
сложно	जटिल
съдействие	सहयोग
плат	platt
плат	कपड़ा
точни	सटीक
съливан	सुलीवान
разум	भाव
служил	परोसा
телата	लाशें
отсъствие	अनुपस्थित
отсъствие	अभाव
отсъствие	अनुपस्थिति
райт	राइट
забранени	वर्जित
забранени	मनाही
забранени	निषिद्ध
забранени	हराम
забранени	निषिद्ध
забранени	प्रतिबंधित
забранени	बैन
ферара	फेरारा
нанси	नैंसी
бокса	मुक्केबाजी
бокса	बॉक्सिंग
бокса	मुक्केबाज़ी
шанхай	शंघाई
духовни	आध्यात्मिक
съвместна	संयुक्त
съседи	पड़ोसियों
съседи	पड़ोसी
съседи	पडोसी
съседи	पड़ोसी
въртене	घूर्णन
въртене	स्पिन
въртене	घूम
въртене	धुरी
въртене	परिक्रमण
въртене	घुमाव
въртене	घूर्णन
въртене	रोटेशन
атоми	अणु
облак	मेघ
облак	बादल
хищници	परभक्षी
съмнения	संदेह
съмнения	शक
съмнения	संदेह
реагира	प्रतिक्रियाएँ
реагира	प्रतिक्रिया
продължения	सिक्वेल
възможна	संभव
възможна	संभावित
джоан	जोआन
джоан	जोआन
джоан	जोन
румънска	रोमानियाई
легендите	महापुरूष
енрике	एनरिक
мелбърн	मेलबोर्न
синоним	समानार्थी
синоним	पर्यायवाची
синоним	पर्याय
мрамор	संगमर्मर
мрамор	संगमरमर
водопад	झरने
водопад	झरना
водопад	जलप्रपात
часовник	घड़ी
часовник	क्लॉक
икономисти	अर्थशास्त्रियों
тезата	लेख
притежание	कब्जे
притежание	कब्ज़ा
притежание	स्वामित्व
обединено	यूनाइटेड
обединено	संयुक्त
послание	सन्देश
послание	संदेश
пясък	रेत
пясък	सैंड
пясък	बालू
вселена	ब्रह्माण्ड
вселена	ब्रह्मांड
горещо	हॉट
горещо	गर्म
горещо	hot
океания	ओशिनिया
океания	महासागरीय
споразумения	इंतजाम
споразумения	समझौतों
смесен	मिश्रित
съществени	अनिवार्य
надеждата	उम्मीद
надеждата	होप
надеждата	आशा
надя	नदिया
победители	विजेताओं
победители	विजेता
гимнастика	जिमनास्टिक्स
предградие	उपनगरीय
предградие	उपनगरों
нестор	नेस्तर
тенденции	रुझान
тенденции	प्रवृत्ति
тенденции	चर्चित
тенденции	ट्रेंड
тенденции	रुझान
скачване	डॉकिंग
въглероден	कार्बन
залцбург	साल्जबर्ग
мак	मैक
уникални	अनोखा
уникални	अनूठा
уникални	बेजोड़
уникални	अद्वितीय
осветена	जलाकर
осветена	lit
влияния	प्रभाव
лауда	lauda
паркър	पार्कर
красив	हैंडसम
красив	सुंदर
логото	लोगो
унищожаване	नष्ट
унищожаване	निपटान
унищожаване	विनाश
тувалу	तुवालू
алис	अनीता
алис	ऐलिस
консултант	परामर्शदाता
консултант	सलाहकार
драматични	नाटकीय
познание	ज्ञान
скулптури	मूर्तिकला
