parme	پارما
paiement	پرداختی
paiement	دستمزد
paiement	اجری
paiement	پرداخت
systématique	سیستماتیک
systématique	اصولی
prochain	بعدی
prochain	next
morris	موریس
fût	طبل
fût	درام
survie	بقا
survie	بقای
survie	بقاء
hydrogène	هیدروژن
hydrogène	هیدروژنی
métaux	متال
métaux	فلز
métaux	فلزی
métaux	فلزات
métaux	قلیایی
parrain	پدرخوانده
parrain	اسپانسر
parrain	مولای
parrain	حامی
parent	نسبی
parent	والدین
révélation	وحی
révélation	مکاشفه
hudson	هادسون
hudson	هادسن
avoue	اعتراف
fabrice	فابریتزیو
fabrice	فابریس
gravité	جدیت
gravité	گرانشی
gravité	جاذبه
gravité	گرانش
gravité	شدت
gravité	جدیت
valérie	والری
valérie	ولری
groupement	گروهبندی
wallonne	والون
belfort	بلفورت
pente	شیب
pente	سراشیبی
pente	گرادیان
multi	چند
adhésion	چسبندگی
adhésion	عضویت
adhésion	الحاق
remparts	اعراف
apple	سیب
apple	apple
apple	اپل
karen	کرن
karen	کارن
drôme	دروم
nazi	نازی
moral	روحیه
moral	اخلاقی
moral	اخلاق
narrateur	راوی
complément	مکمل
complément	متمم
futurs	اینده
futurs	future
futurs	آینده
futurs	آتی
traverser	پیمودن
traverser	صلیب
traverser	کراس
traverser	عبور
dons	اهداء
dons	اهدا
dons	عضو
dons	صدقه
dons	اهدا
ignore	چشمپوشی
patrie	میهن
malo	ملو
sèche	خشک
sèche	خشکیده
oxygène	اکسیژن
ampleur	بزرگی
molécules	مولکولها
molécules	مولکول
molécules	مولکولهای
signée	امضا
céramique	سفالی
céramique	سفال
céramique	سرامیک
céramique	سرامیک
judaïsme	یهودیت
pauvreté	فقر
sévère	شدید
sévère	سختگیر
sévère	زننده
sévère	خشن
sévère	استرن
souligne	highlights
exemplaire	کپی
exemplaire	رونوشت
enregistrer	ضبط
enregistrer	ذخیره
enregistrer	ثبات
monstre	هیولا
acides	اسیدهای
acides	اسید
acides	اسیدی
morales	مورالس
perry	پری
brève	خلاصه
brève	مختصر
anthologie	گلچین
positive	مثبت
substance	مادهای
substance	اموال
geste	ژست
numériques	عددی
numériques	رقمی
numériques	digital
numériques	دیجیتالی
numériques	دیجیتال
