ve	그리고
bir	하나
bu	이거
de	say
ile	함께
en	즐겨찾기
daha	기타
sonra	그렇다면
sonra	그러면
sonra	그때
sonra	나중에
ilk	우선
ilk	퍼스트
ilk	처음
ilk	먼저
utc	utc
utc	표준시
çok	아주
çok	매우
çok	많이
çok	훨씬
yer	장소
yer	공연장
yer	장소
yer	위치
dış	dis
büyük	대형
büyük	거대
büyük	거대한
bağlantılar	커넥션
bağlantılar	연결
bağlantılar	링크
bağlantılar	연락처
türkiye	터키
türkiye	칠면조
iki	두두
iki	두분
ancak	그러나
center	중앙
center	중심
center	센터
ayrıca	또한
istanbul	이스탄불
türk	투르크인
türk	투르크
türk	터키식
türk	터키어
türk	터키
diğer	기타
diğer	다른
un	밀가루
her	꼴찌
aynı	같은
aynı	동일
aynı	똑같이
kulüp	클럽
bağlı	첨부
bağlı	첨부된
bağlı	바운드
bağlı	묶여
bağlı	연결됨
bağlı	연결됨
iyi	좋다
iyi	미세먼지
ilgili	관련
ilgili	관련성
ilgili	관심사
ilgili	관심
ilgili	관련
son	마지막
son	라스트
son	종료
son	끝내기
alan	필드
alan	현장
alan	도메인
alan	영역
alan	앨런
alan	알렌
alan	알란
alan	구역
alan	영역
alan	지역
alan	면적
dünya	월드
dünya	세상
dünya	세계
dünya	earth
dünya	대지
dünya	지구
abd	usa
abd	미국
birlikte	함께
birlikte	같이
eski	늙은
eski	오래된
and	안데스
önemli	하이라이트
önemli	중요
önemli	중요하다
madde	물질
madde	조항
madde	물질
madde	재료
madde	소재
madde	물질
madde	기사
sağlık	웰빙
sağlık	의학
sağlık	의료
sağlık	체력
sağlık	헬스
sağlık	건강
sağlık	보건
sağlık	의료
genel	일반
genel	전반적으로
genel	전체적으로
genel	전반
genel	장군
genel	일반
genel	일반인
mart	마트
mart	행진
mart	행진곡
adı	이름
film	필름
film	영화
film	영화
film	필름
film	영화
film	영화
dosya	파일
dosya	파일
ocak	일월
yıl	year
yıl	연도
avrupa	유럽
ama	그런데
ama	그러나
ama	근데
ama	하지만
karşı	카운터
toplam	평생
toplam	합계
toplam	총액
toplam	전체
toplam	전반적으로
toplam	전체적으로
toplam	전반
jpg	jpeg
jpg	jpg
ikinci	둘째
ikinci	두번째
eylül	구월
ağustos	아우구스트
içinde	인사이드
içinde	내부
önce	이전
önce	전에
önce	우선
önce	퍼스트
önce	처음
önce	먼저
den	덴덴
den	den
nisan	에이프릴
nisan	사월
resim	사진
resim	그림
resim	그림
resim	이미지
resim	그리기
üniversitesi	대학교
üniversitesi	대학
ye	먹기
ye	먹어
şehir	시내
şehir	도시
şehir	타운
şehir	마을
şehir	도시
şehir	시티
şehir	도시
zaman	시간
zaman	타임
zaman	time
bazı	일부
aralık	적위
aralık	구간
aralık	간격
köy	빌리지
köy	마을
yüksek	높음
yüksek	하이
birçok	많은
sadece	단발
sadece	오직
sadece	단지
sadece	그냥
yol	경로
yol	path
yol	노선
yol	경로
yol	웨이팅
yol	way
yol	웨이
yol	도로
yol	로드
fakat	그런데
fakat	그러나
fakat	근데
fakat	하지만
grup	밴드
grup	그룹
grup	집단
takım	분대
takım	스쿼드
takım	team
kendi	소유
şekilde	웨이팅
şekilde	way
şekilde	웨이
tek	singles
tek	싱글
tek	싱글
tek	단일
bilgi	정보
bilgi	정보
bilgi	지식인
bilgi	지식
kez	타임스
kez	타임즈
hakkında	소개
hakkında	대략
osmanlı	오스만
devlet	상태
devlet	국가
devlet	정부
ankara	앙카라
tarihi	날짜
tarihi	데이트
tarihi	역사
tarihi	역사
tarihi	내역
tarihi	히스토리
tarihi	기록
başladı	시작되었습니다
başladı	시작했습니다
başladı	시작됨
küçük	작아
küçük	소작
küçük	lil
küçük	리틀
müzik	음악
müzik	뮤직
gelen	수신
resmi	사진
resmi	그림
resmi	공식
resmi	official
kabul	합의
kabul	동의
kabul	합격
kabul	수락
kabul	수락
kabul	동의
devam	계속
devam	계속하기
devam	유지
kupası	cup
fazla	초과
okulu	학교
okulu	학교는
okulu	스쿨
okulu	학원
aldı	받았습니다
aldı	받은
aldı	받음
em	빨아
sahip	피처링
farklı	달라
farklı	다름
farklı	다르다
futbol	축구
futbol	축구
futbol	미식축구
futbol	풋볼
ileti	메시지
ileti	메세지
doğru	정확한
doğru	정확도
doğru	오른쪽
doğru	정답
doğru	올바른
tarım	농업
tarım	농지
tarım	농업
tarım	농사
tarım	농장
tarım	농업
özel	독점
özel	단독
özel	비공개
özel	특수
özel	특별한
özel	스페셜
özel	특별
özel	커스텀
özel	맞춤
biri	누군가
biri	누군가
biri	하나
alanı	필드
alanı	현장
alanı	구역
alanı	영역
alanı	지역
alanı	면적
vikipedi	위키백과의
vikipedi	위키백과
uzun	확장
uzun	연장
şarkı	노래
şarkı	노래
şarkı	songs
şarkı	송송
şarkı	노래
eden	이든
eden	에덴
lig	동맹
lig	리그
orta	중간
orta	가운데
orta	미디엄
orta	미디어
orta	중간
orta	중순
orta	미드
orta	mid
orta	중앙
orta	중심
orta	센터
orta	중앙
orta	센터
oyuncu	플레이어
oyuncu	재생기
oyuncu	선수
oyuncu	배우
oyuncu	배우
oyuncu	여배우
