хлеб	roti
ближайшее	terdekat
избрана	terpilih
сады	kebun
сады	gardens
сады	kebun
слоя	lapis
слоя	lapisan
слоя	layer
движок	engine
движок	mesin
девочки	cewek
девочки	girls
девочки	gadis
освободить	rilis
освободить	melepaskan
освободить	lepaskan
освободить	memerdekakan
середина	pertengahan
середина	mid
медицинская	kedokteran
медицинская	medis
медицинская	medical
логично	logis
логично	logis
выпускников	alumni
выпускников	lulusan
жаль	kasihan
месяцы	bulan
индонезия	indonesia
дизайнер	perancang
дизайнер	designer
дизайнер	desainer
стол	meja
стол	tabel
стол	meja
луиджи	luigi
исчезли	menghilang
могилы	kubur
могилы	kuburan
томми	tommy
королевская	royal
белков	protein
способствовало	kontribusi
чан	chang
чан	chan
чан	jang
улицах	jalanan
казнь	eksekusi
казнь	pelaksanaan
тольятти	togliatti
морис	maurice
совершает	komit
самцы	jantan
убедить	yakinkan
убедить	meyakinkan
убедить	bujuk
убедить	membujuk
технику	teknik
частного	swasta
частного	privat
частного	private
частного	pribadi
оригинальные	asli
оригинальные	original
цветы	bunganya
цветы	bunga
рыцарь	ksatria
рыцарь	knight
рыцарь	kesatria
прокат	rental
прокат	sewa
прокат	persewaan
прокат	penyewaan
прокат	disewa
прокат	sewa
прокат	rent
литве	lithuania
литве	lituania
родригес	rodriguez
родригес	rodrigues
дам	dam
дам	waduk
дам	bendungan
наблюдать	amati
кама	kama
тэц	chp
печатных	dicetak
северное	utara
северное	northern
ценностей	nilai
квадратный	square
квадратный	persegi
квадратный	kuadrat
малайзии	malaysia
малайзии	malaysia
реплика	cue
одежда	pakaian
одежда	baju
одежда	pakaian
одежда	bajunya
промышленные	industri
промышленные	industrial
тяжёлая	heavy
тяжёлая	berat
мкс	irc
мкс	icm
мкс	cie
оппонентов	lawan
оппонентов	lawannya
вдова	duda
вдова	janda
вдова	menjanda
вдова	janda
грибы	jamur
грибы	jamur
идеологии	ideologi
идеологии	ideologi
разрешить	otorisasi
разрешить	izinkan
разрешить	ijinkan
разрешить	editan
разрешить	izin
разрешить	ijin
барбара	barbara
признали	diakui
признали	dikenal
признали	diakui
признали	dikenal
признали	dikenali
признали	diakui
признали	mengenali
верфи	shipyard
псевдонимы	alias
законодательство	legislasi
ксения	xenia
ксения	ksenia
ганс	hans
сзади	dibelakang
сзади	behind
сзади	belakang
сзади	rear
сзади	belakang
иллинойс	illinois
тон	ton
тон	nada
тон	tone
планете	planet
леви	lewi
леви	levi
леви	levy
регистр	daftarkan
регистр	register
регистр	pendaftaran
прототип	prototipe
прототип	purwarupa
творческий	kreatif
геологии	geologi
химический	kimiawi
химический	kimia
ближайший	terdekat
ближайший	terdekat
астрономы	astronom
нижние	turunkan
нижние	lower
нижние	rendahkan
чистой	bersihkan
чистой	bersih
чистой	clean
украинцы	ukraina
украинцы	ukraina
продолжая	melanjutkan
коды	kode
среду	rabu
уголовное	pidana
уголовное	kriminal
уголовное	criminal
уголовное	penjahat
капитал	capital
капитал	ibukota
капитал	modal
монография	monograf
росс	ross
гвинеи	guinea
гвинеи	guinea
вкус	taste
вкус	rame
вкус	selera
вкус	rasa
вкус	selera
вкус	seleranya
вкус	flavor
вкус	rasa
ссылается	mengacu
племя	tribe
племя	suku
дама	nona
дама	nyonya
дама	lady
дама	dame
атлетика	atletik
трудящихся	pekerja
ставки	taruhan
ставки	taruhan
ставки	bertaruh
ставки	harga
ставки	tarif
ставки	patok
ставки	pancang
люблю	rpp
люблю	love
люблю	cintai
люблю	cinta
подруга	pacar
подруга	teman
подруга	sahabat
подруга	friend
сицилии	sisilia
клиентов	customer
клиентов	nasabah
клиентов	pelanggan
клиентов	pelanggan
клиентов	klien
выпускник	pascasarjana
выпускник	lulus
выпускник	graduate
возникновение	munculnya
успенский	uspensky
остановка	menghentikan
гвинея	guinea
реформа	reformasi
войти	login
войти	masuk
войти	masukkan
войти	enter
скрипки	violin
скрипки	biola
дева	virgo
дева	virgin
дева	perawan
дева	maiden
травму	trauma
висит	hang
висит	menggantung
висит	gantung
конвенции	konvensi
конвенции	konvensi
местоположения	lokasi
обнаружить	temukan
обнаружить	menemukan
душа	shower
душа	pancuran
душа	mandi
душа	jiwa
душа	soul
медведь	beruang
медведь	pikul
медведь	bear
чёрное	hitam
чёрное	black
эхо	gema
эхо	menggema
эхо	gema
эхо	gaung
эхо	echo
кипра	cyprus
кипра	siprus
быстрый	ngakak
быстрый	cepat
быстрый	fast
быстрый	cepat
быстрый	puasa
кратеров	kawah
тан	tang
тан	tan
спектр	spectre
спектр	spektrum
спектр	specter
курт	kurt
курт	curt
ширину	lebar
нации	bangsa
нации	nation
джин	jin
джин	onde
джин	gin
джин	jean
джин	jeni
джин	gene
джин	gen
продано	terjual
продано	sold
продано	dijual
материнская	keibuan
мощный	ampuh
мощный	kuat
кругах	circle
кругах	lingkaran
записать	rekor
записать	rekam
записать	record
испанская	spanish
испанская	spanyol
разнообразные	beragam
мол	mal
мол	mol
моложе	younger
моложе	muda
интерпретации	interpretasi
интерпретации	penafsiran
льда	ice
льда	es
северные	utara
северные	northern
сопровождении	dikawal
обоснования	rationales
зимний	winter
институты	institusi
институты	lembaga
немецкое	german
немецкое	jerman
норвежский	norwegia
взяв	tahlil
взяв	taking
взяв	mengambil
лейтенанты	letnan
вулкан	berapi
вулкан	vulcan
дополнительная	tambahan
дополнительная	kelebihan
дополнительная	ekstra
дополнительная	tambahan
дополнительная	extra
десятилетий	dekade
гостиницы	hotel
конкретный	spesifik
конкретный	tertentu
конкретный	khusus
конкретный	beton
верить	believe
верить	percaya
купить	beli
купить	membeli
верность	loyalitas
верность	kesetiaan
поднять	angkat
поднять	lift
поднять	angkat
поднять	naikkan
поднять	galang
плата	fee
плата	biaya
плата	biayanya
репутацию	reputasi
коммуникации	komunikasi
коммуникации	communications
костюм	kostum
костюм	costume
костюм	setelan
костюм	gugatan
костюм	jas
костюм	suit
избирательный	selektif
маяк	mercusuar
маяк	suar
маяк	beacon
маяк	mercusuar
маяк	rambu
норма	norma
норма	norma
норма	norm
отдельное	terpisah
отдельное	pisahkan
отдельное	memisahkan
отдельное	dipisah
воин	prajurit
воин	warrior
воин	pejuang
крус	cruz
отбора	seleksi
отбора	pemilihan
бойцы	pejuang
бойцы	petarung
бойцы	pejuang
бойцы	petarung
бойцы	fighters
лук	allium
лук	bawang
лук	bawang
лук	onion
лук	busur
лук	bow
ушел	gone
прусской	prg
бабушка	nenek
бабушка	granny
бабушка	nenek
бабушка	grandma
фишер	fisher
фишер	fischer
симфония	simfoni
симфония	symphony
скажите	katakan
скажите	say
скажите	katakanlah
разрешено	diizinkan
разрешено	diijinkan
разрешено	diperbolehkan
разрешено	diizinkan
разрешено	diijinkan
разрешено	resmi
гражданские	civil
гражданские	sipil
гражданские	perdata
гражданские	sipil
гражданские	sipil
марино	marino
вызвали	dipanggil
яковлев	yakovlev
богдан	bogdan
проектирование	disain
проектирование	design
проектирование	desain
проектирование	merancang
проектирование	mendesain
низкая	rendah
низкая	low
краснодар	krasnodar
завершено	diselesaikan
завершено	selesai
завершено	selesai
франс	frans
франс	prancis
франс	france
франс	perancis
индейцы	indian
трио	trio
польшу	polandia
толщиной	tebal
достоинство	bermartabat
достоинство	martabat
верующих	setia
пустыни	gurun
пустыни	desert
оборона	defense
оборона	pembela
оборона	pertahanan
оборона	pembela
оборона	pertahanan
оборона	defensif
аллен	allen
технически	teknisnya
дяди	paman
христос	kristus
христос	christ
снята	ditarik
эрика	erika
эрика	erica
требовать	membutuhkan
требовать	memerlukan
требовать	mengharuskan
согласиться	setuju
упомянуть	menyebutkan
упомянуть	mention
упомянуть	sebut
упомянуть	penyebutan
упомянуть	sebutkan
пещера	gua
пещера	cave
кабардино	kabardino
снимаю	merekam
снимаю	syuting
снимаю	memfilmkan
гости	pengunjung
гости	tamu
обнаружена	ditemukan
обнаружена	menemukan
обнаружена	ketahuan
обнаружена	terdeteksi
обнаружена	dideteksi
обнаружена	mendeteksi
переворот	kudeta
южные	southern
южные	selatan
афганистан	afganistan
афганистан	afghanistan
перри	perry
обслуживание	servis
обслуживание	pelayanan
обслуживание	layanan
обслуживание	jasa
обслуживание	service
обслуживание	jasa
обслуживание	layanan
обслуживание	servis
обслуживание	pelayanan
религиозный	religi
религиозный	keagamaan
религиозный	religius
религиозный	agama
сортов	varietas
выделение	seleksi
выделение	pemilihan
вероятности	probabilitas
степанов	stepanov
банки	banks
банки	bank
банки	guci
банки	toples
банки	cans
банки	kaleng
патриархата	patriarchate
используемый	digunakan
используемый	terpakai
используемый	used
используемый	dipakai
настоящие	real
настоящие	nyata
настоящие	ril
настоящие	riil
настоящие	autentik
настоящие	otentik
настоящие	authentic
тяжёлый	heavy
тяжёлый	berat
сорок	forty
ларри	larry
зам	zam
временной	temporal
запретить	ban
запретить	larang
запретить	larangan
запретить	pelarangan
запретить	melarang
запретить	larang
крыша	atap
крыша	atap
крыша	roof
промышленный	industri
промышленный	industrial
продюсеры	produsen
продюсеры	produser
объяснение	penjelasan
уэст	maghrib
уэст	barat
уэст	west
атмосферу	atmosfer
атмосферу	suasana
атмосферу	atmosfir
добавления	penambahan
добавления	appendices
прорыв	terobosan
прорыв	breakout
сложный	komplek
сложный	complex
сложный	rumit
сложный	kompleks
сложный	ribet
сложный	rumit
лат	lat
мастерство	pengerjaan
мастерство	penguasaan
мастерство	keahlian
мастерство	skill
мастерство	keterampilan
мастерство	kemampuan
сущность	esensi
сущность	intisari
дизель	diesel
приоритет	prioritas
кратко	ringkas
кратко	singkat
кратко	brief
боли	sakit
боли	kesakitan
боли	pain
боли	nyeri
секс	seks
секс	sex
уолтер	walter
инцидент	insiden
инцидент	kejadian
посредничества	mediasi
серый	kelabu
серый	gray
серый	kelabu
серый	grey
филармонии	philharmonic
точность	ketepatan
точность	presisi
точность	ketelitian
точность	keakuratan
точность	ketepatan
точность	akurasi
точность	ahir
просмотра	melihat
политбюро	politbiro
альянс	persekutuan
альянс	alliance
альянс	aliansi
заявляет	menyatakan
проза	prosa
белки	protein
белки	protein
белки	tupai
мяса	meat
мяса	daging
управляет	dikelola
управляет	mengelola
скандал	skandal
скандал	scandal
петровский	petrovsky
разницы	margin
разницы	marjin
свадьбы	pernikahan
свадьбы	pernikahan
свадьбы	wedding
ранение	cedera
ранение	melukai
ранение	cidera
ранение	luka
орловская	oryol
подразумевает	tersirat
подразумевает	menyiratkan
фсб	fsb
пенсильвания	pennsylvania
арбитра	arbiter
цепь	circuit
цепь	sirkuit
цепь	rantai
видна	kelihatan
видна	nampak
видна	terlihat
видна	tampak
пруд	kolam
пруд	tambak
пруд	pond
пятой	kelima
пятой	fifth
пятой	seperlima
волгоград	volgograd
персона	persona
умершего	almarhum
умершего	wafat
умершего	meninggal
заменены	tergantikan
заменены	tergantikan
заменены	digantikan
заменены	diganti
процессор	prosesor
процессор	processor
процессор	cpu
изредка	sesekali
эксперименты	bereksperimen
эксперименты	eksperimen
эксперименты	percobaan
эксперименты	eksperimen
эксперименты	eksperimen
монах	friar
монах	biksu
монах	rahib
монах	biarawan
монах	monk
гражданина	warga
гражданина	citizen
флоренции	florence
занят	sibuk
баз	base
баз	basis
баз	baz
добровольцев	relawan
добровольцев	sukarelawan
добровольцев	relawan
добровольцев	sukarelawan
рождение	kelahiran
рождение	kelahiran
рождение	lahir
отменить	batalkan
отменить	batal
отменить	batalkan
отменить	undo
винтовки	senapan
самостоятельный	otonom
самостоятельный	otonomi
доски	papan
отступить	retret
отступить	mundur
вступление	intro
существо	wesen
существо	makhluk
существо	mahluk
открытая	buka
открытая	open
открытая	terbuka
знати	bangsawan
принесли	dibawa
единство	bhinneka
единство	unity
единство	persatuan
единство	kesatuan
единство	kekompakan
восьмой	eight
восьмой	delapan
восьмой	kedelapan
восьмой	eighth
столкновение	tabrakan
столкновение	bentrokan
столкновение	clash
батарея	battery
батарея	baterai
оценил	dinilai
оценил	dihargai
оценил	disyukuri
топливо	bbm
топливо	bbm
зенит	zenit
зенит	zenith
рико	riko
рико	rico
снятие	mengangkatnya
снятие	mengangkat
снятие	penarikan
прекращения	pemutusan
прекращения	penghentian
купил	dibeli
купил	dibeli
купил	membeli
срочно	mendesak
срочно	penting
срочно	urgent
петрозаводск	petrozavodsk
похожие	serupa
похожие	mirip
похожие	serupa
похожие	kemiripan
врачи	dokter
глубину	kedalaman
глубину	mendalam
галактики	galaksi
собирать	mengkoleksi
собирать	mengumpulkan
собирать	kumpulkan
уникальный	keunikan
уникальный	unik
уникальный	unique
павловна	pavlovna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мостов	bridges
мостов	jembatan
миллион	juta
миллион	million
миллион	sejuta
экспериментов	eksperimen
комнаты	ruangan
комнаты	kamar
комнаты	forum
ралли	rally
ралли	reli
сократить	mempersingkat
сократить	kurangi
сократить	mengurangi
сократить	cut
сократить	potong
стрельба	penembakan
стрельба	shooting
стрельба	menembak
стрельба	bidikan
стрельба	tembakan
раскопки	penggalian
корпорация	perusahaan
корпорация	corporation
корпорация	korporasi
австрийская	austria
вершина	apex
вершина	verteks
перестал	dihentikan
перестал	terhenti
стрелок	shooter
стрелок	penembak
стрелок	penembak
региональный	regional
резиденция	residence
резиденция	kediaman
катание	skating
катание	seluncur
катание	berseluncur
католицизм	katolik
изготовление	memproduksi
изготовление	manufaktur
изготовление	pabrikasi
изготовление	making
победителей	pemenang
пользователи	pemakai
пользователи	pengguna
полу	semi
борисов	borisov
землетрясения	gempa
колоний	koloni
христиане	christian
христиане	kristiani
христиане	kristen
христиане	nasrani
христиане	kristen
рнк	rna
тыл	rear
тыл	belakang
кипр	cyprus
кипр	siprus
мифы	mitos
судьбу	destiny
судьбу	takdir
судьбу	nasib
судьбу	takdir
глубины	kedalaman
глубины	kedalaman
глубины	mendalam
огпу	ogpu
ногу	foot
ногу	kaki
ногу	kaki
ногу	tungkai
ногу	leg
страх	takut
страх	fear
страх	ketakutan
страх	kagum
страх	awe
интересная	menarik
заседания	rapat
заседания	pertemuan
побеждает	menang
разработчик	pengembang
разработчик	developer
статуи	patung
активная	active
активная	aktif
медико	medico
оперативной	operasional
начальное	primer
начальное	utama
начальное	primary
растворяется	melarutkan
заметили	diperhatikan
вмешательства	interferensi
вмешательства	gangguan
вмешательства	intervensi
корона	mahkota
корона	crown
корона	corona
политиков	politisi
политиков	politikus
посла	duta
регулярного	biasa
регулярного	regular
регулярного	reguler
нова	nova
разногласия	perbedaan
разногласия	perbedaannya
разногласия	ketidaksetujuan
разногласия	ketidaksetujuan
операторы	operator
производственного	produktif
эмигрировал	berhijrah
риа	ria
традиционный	traditional
традиционный	tradisional
генералов	jendral
генералов	jenderal
фонтан	pancuran
фонтан	mancur
ресторан	restoran
присутствовали	menghadiri
присутствовали	dihadiri
присутствовали	hadir
углы	stek
углы	angles
отчет	lapor
отчет	laporkan
отчет	melaporkan
отчет	laporan
экспорт	ekspor
экспорт	ekspor
экспорт	mengekspor
антония	antonia
целое	integer
целое	keseluruhan
целое	whole
целое	utuh
фёдоровна	feodorovna
вещь	thing
вещь	hal
подтверждено	terkonfirmasi
подтверждено	konfirmasi
подтверждено	dikonfirmasi
подтверждено	dikonfirmasikan
лёгкий	ringan
шведская	swedia
враг	enemy
враг	musuh
изменилось	diubah
изменилось	berubah
богдана	bohdan
наследник	pewaris
наследник	waris
коммунистическая	komunis
широкая	luas
широкая	lebar
широкая	wide
широкая	luas
мюзикл	musik
мюзикл	musikal
мюзикл	musical
резерв	reservasi
репрессий	penindasan
прозвища	julukan
поняли	mengerti
поняли	dimengerti
поняли	dipahami
интересный	menarik
реальные	real
реальные	nyata
реальные	ril
реальные	riil
теннис	tennis
теннис	tenis
ключи	keys
ключи	kunci
ключи	key
сделанные	made
сделанные	dibuat
восприятия	persepsi
банды	geng
банды	gang
татарский	tatar
духовное	spiritual
духовное	rohani
славу	ketenaran
славу	fame
славу	kemuliaan
славу	glory
поляна	polyana
таиланд	thailand
финансирование	pembiayaan
финансирование	pendanaan
финансирование	dana
финансирование	pembiayaan
финансирование	keuangan
финансирование	finansial
финансирование	finance
младшая	bungsu
младшая	termuda
младшая	younger
младшая	muda
глазго	glasgow
соперников	rival
соперников	saingan
соперников	saingannya
пакистан	pakistan
робин	robin
робин	robyn
библиотек	pustaka
библиотек	perpustakaan
угроза	ancaman
угроза	ancaman
мтс	mts
председатели	kursi
фёдоров	fyodorov
мозель	moselle
подростков	remaja
подростков	remaja
демо	demo
демо	demo
военнопленных	pow
трагедия	tragis
трагедия	tragedi
заседание	sesi
заседание	session
заседание	rapat
заседание	meeting
заседание	pertemuan
ушла	gone
луки	busur
луки	luka
таиланда	thailand
таиланда	thailand
таиланда	thai
советники	penasehat
советники	councillors
троллейбус	trolleybus
отправили	dikirim
отправили	terkirim
отправили	dikirimkan
отправили	dikirim
отправили	terkirim
отправили	dikirimkan
аэропорты	bandara
гитлер	hitler
связанный	ditautkan
связанный	terkait
связанный	terhubung
оплаты	pembayaran
организмов	organisme
присоединиться	bergabung
присоединиться	gabung
присоединиться	bergabunglah
присоединиться	join
хьюстон	houston
счастье	kebahagiaan
счастье	happiness
счастье	kebahagian
загрузки	download
загрузки	unduhan
загрузки	unduh
загрузки	pengunduhan
холл	balai
холл	hall
холл	aula
культ	sekte
культ	pemujaan
культ	kultus
