категория	kategorya
през	through
като	parang
като	like
като	gustuhin
година	taon
това	ito
това	nito
български	bulgaro
българия	biyetnam
българия	bulgaria
част	bahagi
част	part
част	parte
години	taon
време	panahon
време	oras
време	time
със	kay
която	aling
която	alin
което	aling
което	alin
външни	panlabas
град	bayan
град	lungsod
град	siyudad
град	city
много	napaka
много	maraming
много	marami
също	rin
също	din
век	siglo
век	century
село	nayon
един	isa
един	one
между	pagitan
около	paligid
софия	sofia
софия	sophia
други	iba
още	parin
още	pa
още	pang
война	digmaan
война	digmaang
само	lang
само	lamang
само	lng
само	nalang
само	basta
област	rehiyon
област	oblast
област	distrito
област	lugar
област	area
област	lawak
община	munisipalidad
община	munisipyo
място	lugar
място	pook
място	kinalalagyan
място	lokasyon
когато	kapag
когато	kailan
вид	type
вид	uri
вид	species
една	edna
една	isa
една	one
всички	all
всички	puro
всички	lahat
всички	lahat
семейство	kapamilya
семейство	pamilya
започва	begins
започва	magsisimula
започва	nagsisimula
започва	magsisimula
започва	nagsisimula
македония	masedonya
сащ	usa
над	mahigit
него	kaniya
него	niya
него	siya
него	kanya
срещу	versus
души	kaluluwa
мини	mini
мини	minnie
намира	nahahanap
намира	humanap
република	republika
късно	late
късно	huli
май	mayo
май	maaaring
път	landas
път	path
път	ruta
път	route
път	daan
отбор	team
няколко	ilang
август	august
август	agosto
август	aug
роден	ipinanganak
роден	pinanganak
беседа	usapan
беседа	uusap
беседа	diskurso
септември	setyembre
преди	noon
преди	dati
преди	bago
името	pangalan
името	pong
група	banda
група	grupo
група	pangkat
група	group
език	dila
език	wika
език	alangan
език	wikang
език	tausug
юли	hulyo
някои	ilang
някои	ilan
тях	kanila
тях	sila
тях	silang
река	ilog
януари	january
януари	enero
юни	june
юни	hunyo
две	dalawang
две	dalawa
две	two
октомври	oktubre
октомври	oktubre
име	pangalan
име	pong
заедно	sama
заедно	magkasama
фон	von
фон	background
американски	amerikano
март	marso
ноември	nobyembre
ноември	november
ноември	nobyembre
април	abr
април	april
април	abril
декември	december
декември	disyembre
декември	dis
чрез	via
чрез	through
история	story
история	kuwento
история	kwento
история	kasaysayan
история	history
жители	naninirahan
жители	residente
различни	ibang
различни	miscellaneous
различни	kalokohan
често	madalas
често	kadalasan
получава	gets
получава	natatanggap
февруари	february
февруари	pebrero
работи	trabaho
работи	magtrabaho
работи	work
работи	gumagana
провинция	probinsya
провинция	province
провинция	probinsiya
провинция	lalawigan
империя	imperyo
империя	monggol
иван	ivan
център	center
център	sentro
център	sentro
център	centre
повече	pa
повече	pang
три	tatlong
три	tatlo
страна	bansa
страна	makabayan
страна	gilid
страна	tabi
страна	karamay
страна	tagiliran
въпреки	kabila
градове	lungsod
население	demograpiko
население	populasyong
население	populasyon
завършва	matatapos
бил	kuwenta
бил	bill
бил	bayarin
малко	kaunti
малко	maliit
хора	tao
университет	university
университет	unibersidad
университет	pamantasan
германия	germany
германия	alemanya
германия	mikrobyo
могат	pwede
могат	maari
син	blue
син	bughaw
син	asul
син	anak
син	son
награда	gantimpala
награда	prize
награда	premyo
награда	award
георги	georgi
георги	georgy
голяма	large
голяма	malaki
голяма	malaking
голяма	big
голяма	malaking
голяма	malaki
италия	italya
сайт	website
сайт	site
световна	worldwide
край	matatapos
край	katapusan
край	pagtatapos
край	tapusin
край	dulo
уикипедия	wikipedia
сезон	panahon
окръг	county
окръг	kondado
окръг	distrito
днес	ngayon
смъртта	kamatayan
франция	pransiya
франция	france
национален	national
национален	pambansa
национален	pambansang
национален	nasyonal
гърция	gresya
вижте	makita
вижте	see
вижте	makakita
вижте	tingnan
русия	rusya
русия	russia
английски	tagalog
английски	ingles
едно	isa
едно	one
първи	unang
първи	muna
отново	ulit
отново	again
отново	muli
отново	nanaman
член	miyembro
член	artikulo
височина	altitude
височина	taas
височина	height
дъщеря	daughter
там	may
система	sistemang
система	system
система	sistema
нея	her
нея	kanya
нея	siya
училище	paaralan
били	billy
били	billie
света	mundo
села	villages
села	nayon
филми	films
филми	movies
александър	alejandro
александър	alexander
умира	dies
умира	namatay
умира	dying
умира	naghihingalo
южна	katimugang
южна	southern
южна	timog
европа	europa
европа	gresya
всеки	sinuman
всеки	lahat
всеки	kada
всеки	tuwing
всеки	bawat
всеки	bawat
части	parts
баща	ama
баща	tatay
баща	father
нова	new
нова	bago
нова	bagong
нова	nova
крал	king
крал	hari
крал	haring
армия	hukbo
армия	army
църква	iglesia
църква	simbahan
църква	church
докато	habang
докато	hanggang
официален	official
официален	opisyal
официален	pormal
северна	north
северна	hilagang
северна	hilaga
северна	hilagang
времето	panahon
времето	panahon
времето	oras
времето	time
българска	bulgaro
освен	puwera
освен	maliban
освен	pwera
места	places
места	upuan
начин	paraang
начин	paraan
начин	way
период	panahon
резултат	outcome
резултат	kinalabasan
резултат	score
резултат	iskor
резултат	resulta
данни	datos
данни	data
страница	pahinang
страница	pahina
страница	page
картинка	picture
картинка	larawan
картинка	larawan
картинка	imahe
граф	graff
граф	graf
родени	ipinanganak
родени	pinanganak
играе	dula
играе	play
играе	makipaglaro
играе	maglaro
играе	gumaganap
играе	paglalaro
играе	naglalaro
живот	buhay
тук	rito
тук	dito
тук	nandito
император	emperador
църквата	iglesia
църквата	simbahan
църквата	church
ден	araw
жени	kababaihan
руски	russian
руски	ruso
известен	kilala
известен	famous
известен	sikat
добре	mabait
добре	mabuti
мария	maria
дори	kahit
води	leads
води	pinangunahan
води	lead
води	waters
води	lead
води	humantong
води	tingga
води	pamunuan
тогава	then
тогава	pagkatapos
голям	large
голям	malaki
голям	malaking
голям	big
голям	malaking
голям	malaki
род	genus
род	rod
филм	pelikula
филм	sine
филм	movie
шаблон	template
почти	halos
печели	nanalo
печели	panalo
страни	panig
страни	bansang
площ	lugar
площ	area
площ	lawak
острови	kapuluang
код	code
код	kodigo
генерал	pangkalahatan
генерал	heneral
генерал	pangkalahatang
генерал	general
защото	kc
защото	kasi
защото	dahil
държава	bansa
държава	makabayan
държава	state
държава	estado
дата	date
дата	petsa
двете	parehong
двете	both
двете	pareho
обикновено	kadalasan
големи	large
големи	malaki
големи	malaking
големи	big
големи	malaking
големи	malaki
деца	pambata
петър	pedro
петър	peter
остава	nananatiling
остава	mananatiling
сили	kapangyarihan
сили	pwersa
сили	sandatahan
дължина	haba
дължина	longitude
албум	album
дни	araw
съюз	unyon
съюз	union
съюз	unyong
съюз	alyansa
партия	partido
партия	party
партия	pagdiriwang
партия	pagtitipon
политик	pulitiko
пише	writes
пише	magsusulat
брат	kuya
работа	trabaho
работа	job
работа	trabaho
работа	magtrabaho
работа	work
голове	goals
остров	isla
остров	pulo
остров	island
остров	pulo
председател	pangulo
председател	presidente
председател	chairperson
председател	chairman
среща	date
среща	petsa
среща	matugunan
среща	kilalanin
среща	magkita
среща	miting
среща	pulong
среща	pagkakakilala
среща	pagpupulong
среща	tipanan
групи	bands
информация	info
информация	impormasyon
нови	new
нови	bago
нови	bagong
включва	nagsasama
пъти	fold
пъти	times
пъти	beses
писател	nobelista
писател	manunulat
херцог	duke
министър	ministro
министър	minister
цел	layunin
цел	aim
цел	layunin
цел	layunin
цел	target
участие	lumahok
участие	sumali
участие	paglahok
войната	digmaan
войната	digmaang
османската	imperyong
никола	nicolas
никола	nikola
никола	nicola
море	seaside
море	dagat
пловдив	plovdiv
отбора	team
продължава	patuloy
списък	listahang
списък	listahan
дава	binibigyan
дава	nagbibigay
историята	kasaysayan
историята	history
брой	count
брой	bilang
култура	kultura
култура	nok
всяка	kada
всяка	tuwing
всяка	bawat
всяка	bawat
същата	parehong
същата	same
известни	kilala
известни	famous
известни	sikat
степен	grade
степен	degree
степен	antas
статия	artikulo
територията	teritoryo
регион	rehiyon
повечето	pinaka
повечето	karamihan
редактор	editor
разположен	matatagpuan
джон	juan
джон	john
малки	liit
малки	maliit
малки	kaunti
малки	maliit
футболист	putbolista
вероятно	malamang
вероятно	ata
организация	organisasyon
договор	kontrata
договор	tratado
договор	kasunduan
север	north
север	hilagang
север	hilaga
изток	silangan
изток	east
изток	silangang
четири	apat
испания	espanya
испания	spain
разположено	matatagpuan
човек	taong
човек	person
човек	tao
човек	pantao
човек	tao
човек	makatao
човек	human
човек	lalaking
човек	lalaki
човек	man
състав	komposisyon
общо	kabuuang
общо	kabuuan
треньор	trainer
треньор	coach
рим	rome
рим	roma
статии	akda
статии	artikulo
управление	management
управление	pamamahala
управление	tagapamahala
управление	pamamahala
управление	pagkontrol
управление	kinokontrol
литература	panitikan
литература	panitikang
дейност	gawain
дейност	aktibidad
цар	king
цар	hari
цар	haring
цар	tsar
хората	tao
видове	species
власт	power
власт	kapangyarihan
живота	buhay
стефан	stefan
стефан	stephan
тип	type
тип	uri
военни	military
военни	pangmilitar
военни	militar
изчезване	nawawalang
изчезване	mawala
изчезване	nawawala
вида	vida
шампион	champ
шампион	champion
съвет	advice
съвет	payo
съвет	tip
съвет	konseho
съвет	konsilyo
свързани	nauugnay
свързани	kaugnay
свързани	kaugnayan
свързани	kaugnay
свързани	nakakonekta
свързани	konektado
исторически	makasaysayang
исторически	makasaysayang
римски	roman
римски	romano
кръг	bilog
кръг	round
кръг	bilog
майка	nanay
майка	ina
карта	mapa
карта	card
англия	inglatera
англия	england
нов	new
нов	bago
нов	bagong
неговата	kanyang
песни	kanta
песни	songs
втори	pangalawa
множество	multiple
множество	maramihang
политика	patakaran
политика	politika
политика	pulitika
преминава	pumasa
стара	matanda
стара	luma
форма	shape
форма	hugis
форма	anyo
семейството	kapamilya
семейството	pamilya
съпруга	asawa
съпруга	asawa
втора	pangalawa
район	rehiyon
район	distrito
район	lugar
район	area
район	lawak
музика	sinauna
музика	tugtog
музика	musika
музика	tugtugin
музика	music
близо	close
близо	malapit
близо	isara
близо	malapit
първенство	championships
първенство	kampeonato
първенство	championship
представлява	kumakatawan
отнася	tumutukoy
манастир	monasteryo
манастир	kumbento
файл	tipunan
файл	magsampa
файл	talaksan
файл	file
средата	mid
награди	parangal
награди	awards
награди	prizes
награди	premyo
немски	aleman
помощ	aid
помощ	lunas
помощ	tulong
помощ	tulungan
вода	tubig
първоначално	initially
първоначално	originally
първоначално	initial
първоначално	inisyal
карл	karl
карл	carl
свят	mundo
николай	nikolaj
николай	nikolay
административен	administrative
скоро	nagtagal
скоро	soon
западна	west
западна	kanluran
западна	kanluranin
западна	western
войски	hukbo
стил	istilo
стил	style
стил	estilo
живее	buhay
живее	lives
живее	nakatira
избран	pinili
избран	napili
избран	pinili
избран	piling
марк	marc
марк	mark
африка	africa
африка	aprika
запад	west
запад	kanluran
революционер	revolutionary
уебсайт	website
земята	daigdig
земята	lupa
връзка	koneksyon
връзка	connection
връзка	link
връзка	ikonekta
