batalioni	گردان
modena	مودنا
kërkohej	لازم
kërkohej	نیاز
vida	ویدا
ambientit	امبینت
pisha	پاین
pisha	کاج
thërret	میخواند
thërret	بخواند
vetvetes	خودشان
shoqërie	مصاحبت
shoqërie	همراهی
arif	عارف
forumi	فورم
malo	ملو
lexim	خواندن
lexim	قرائت
faruk	فاروق
mysql	mysql
votimi	رای
kritikët	منتقدان
kritikët	منتقدین
bruneit	برونئی
mbishkrim	حکاکی
mbishkrim	کتیبه
trajtim	درمانش
trajtim	معالجه
trajtim	درمان
shkëlqim	بلینگ
shkëlqim	درخشش
femije	کودکان
femije	فرزندان
femije	اطفال
femije	کودک
femije	کودکان
femije	فرزند
femije	بچه
fqinjë	همسایه
fqinjë	همسایگان
fqinjë	همسایه
fqinjë	همسایگان
lavdishme	بزرگوار
proteina	پروتئین
proteina	پروتئینی
proteina	پروتئینهای
dollar	دلار
dollar	دالر
ekzekutive	اجرایی
tendencë	گرایش
somme	سومه
kodrën	تپه
kodrën	هیل
kombësia	تابعیت
kombësia	ملیت
kombësia	ملیتی
doi	دوای
hip	باسن
hip	هیپ
hip	ایپ
organizmi	ارگانیسم
organizmi	ارگانیزم
zhveshur	عریان
zhveshur	لختی
zhveshur	برهنه
zhveshur	لخت
ngjashmëri	شباهت
ngjashmëri	شباهتی
ngjashmëri	تشابه
ngjashmëri	شباهت
tru	مغز
tru	مغزی
tru	مغزها
tru	مغزهای
mëshirë	بخشش
mëshirë	رحمت
mëshirë	رحمتی
pazar	shopping
pazar	خرید
tregim	داستان
tregim	داستانی
tregim	قصه
hernández	هرناندز
arkivat	آرشیو
arkivat	بایگانی
pyetur	پرسش
pyetur	پرسید
pyetur	پرسیدند
konflikte	درگیریهای
konflikte	تضاد
konflikte	ناسازگار
konflikte	ناسازگاری
konflikte	درگیری
konflikte	منازعه
konflikte	کشمکش
konflikte	نزاع
konflikte	ناسازگاری
sugjeruar	پیشنهاد
plumbi	فشنگ
plumbi	گلوله
derë	در
ferri	جهنم
ferri	دوزخ
armike	دشمن
armike	دشمنی
përralla	داستانها
dalai	دالایی
japonisht	ژاپنی
still	استیل
nassau	ناسو
cfare	چی
cfare	چه
stefani	استفن
stefani	اشتفان
stefani	stefan
stefani	استیفن
stefani	استفانی
aksident	حادثه
aksident	تصادفی
aksident	تصادف
shkëmbinj	سنگها
kavajë	کاوایه
trimi	شجاع
trimi	دلیر
trimi	شجاعی
trimi	دلاوری
ariu	خرس
ariu	بیر
ariu	خرسی
multi	چند
kundërshtar	حریفی
kundërshtar	رقیب
kundërshtar	حریف
relativitetit	نسبیت
plagë	جراحت
plagë	زخم
analog	قیاسی
analog	آنالوگ
analog	قیاسی
xhamitë	مساجد
standardeve	استانداردها
standardeve	استانداردهای
kurs	دوره
rezervuar	رزرو
rezervuar	رزرو
bardh	سپید
bardh	وایت
bardh	سفید
ciklin	قاعدگی
ciklin	سیکل
ciklin	چرخه
radikale	رادیکال
dominuar	چیره
vizitë	آباد
vizitë	ملاقات
vizitë	عیادت
vizitë	بازدید
sulejmani	سلیمان
sulejmani	سولومون
sulejmani	سلیمان
analitike	تحلیلی
rolit	نقشی
rolit	رل
rolit	نقش
objektivat	اهداف
kanalet	کانالها
kanalet	کانالهای
kanalet	کانالها
amerikanët	آمریکاییها
besë	تراست
besë	توکل
besë	اعتماد
besë	معتمد
besë	امین
kongo	کنگو
pyjore	جنگلداری
shprehjet	عبارتهای
wild	وحشی
wild	وایلد
kontrast	کنتراست
interpretim	تعبیر
interpretim	تفسیر
paralelisht	موازی
ipairs	ipairs
altlink	altlink
harold	هارولد
harold	هرولد
pozicionet	مواضع
pozicionet	موقعیتهای
irlandez	ایرلند
irlandez	ایرلندی
ken	کن
menduarit	تفکر
menduarit	فکر
vaji	نفت
vaji	اویل
vaji	روغن
komente	بازخورد
komente	نظرات
komente	نظرها
komente	توضیحات
shikim	نگاهی
shikim	ببین
cikël	سیکل
cikël	چرخه
paraprake	احتمالی
paraprake	مقدماتی
sasuke	ساسوکه
proteinat	پروتئین
proteinat	پروتئینی
proteinat	پروتئینهای
proteinat	پروتئینها
proteinat	پروتئینهای
gjalpë	کره
halimi	حلیمی
detyrueshëm	الزامی
detyrueshëm	اجباری
detyrueshëm	واجب
detyrueshëm	اجباری
acidi	اسید
acidi	اسیدی
votuar	رای
votuar	رأی
prishur	شکسته
kontrollon	کنترلهای
zana	زانا
neutral	بیطرف
neutral	خنثی
operacione	عملیات
adhuruar	محبوب
adhuruar	پرستیده
klientit	مشتری
klientit	کارخواه
klientit	موکل
domain	دامنه
hashim	هاشم
peshku	فیش
peshku	ماهیان
peshku	ماهی
lirisht	آزادانه
emigrantëve	مهاجران
emigrantëve	مهاجرین
emigrantëve	مهاجر
dija	دانستم
shpejte	سریع
shpejte	روزه
shpejte	تند
automatike	اتوماتیک
automatike	خودکار
muslimane	مسلمان
muslimane	مسلم
muslimane	مسلمانان
kontekst	متن
carol	کرول
carol	کارول
nur	nur
nur	نور
fred	فرد
kanceri	سرطانی
kanceri	سرطان
frederik	فردریک
frederik	فریدریش
frederik	فردریک
qik	دختری
qik	دختر
qik	girl
abc	abc
lanka	لانکا
shpellën	غار
shpellën	غاری
dominon	غالب
rrethimin	محاصره
rrethues	محاصره
rrethues	احاطه
rrethues	فراگیر
vëmendjes	نورافکن
nxit	spurs
bërthamë	هسته
shenjt	مقدس
badami	بادامی
dinamik	داینامیک
dinamik	پویای
dinamik	پویا
dinamik	دینامیک
kryetarët	اسپیکر
unioni	یونیون
unioni	اتحادیه
unioni	اتحاد
bukureshtit	بخارست
mannheim	مانهایم
bruce	بروس
heshtje	سکوت
menjëhershëm	فوری
bregdeti	کوست
këndoi	sang
këndoi	سنگ
këndoi	آواز
këndoi	سانگ
