장난감이	xoguete
연결됨	conectados
연결됨	conectada
연결됨	conectado
연결됨	con
연결됨	conectadas
연결됨	conectan
연결됨	conectadas
단색	sólida
리모콘	remotas
게시글	posto
게시글	poste
게시글	correos
게시글	correo
게시글	de
윗층	arriba
헤어스타일	pelo
레모네이드	limoada
스피드웨이	altamont
커밋	suicidarse
췌장	páncreas
휩트	torturen
배고픔	fame
욥기	traballo
굶주림	fame
현실주의	realismo
물어본다	pregunta
축복이	bendición
축복이	beizón
양털	la
미묘	sutil
미묘	sutís
터프	dura
터프	por
터프	duro
터프	duros
터프	difícil
기후학	mudanza
기후학	climática
기후학	clima
기후학	cambio
기후학	climático
신세	lle
신세	debo
신세	debe
신세	debémosche
신세	a
신세	debes
위키드	malo
위키드	malvada
목마른	sede
프린팅	imprenta
불빛	luces
불빛	as
불빛	luz
불빛	apaguen
가운	vestido
판매자	libro
판매자	máis
판매자	vendido
사월	abril
사월	de
급진주의	radical
급진주의	radicais
불투명	opaco
깜빡	esqueceu
깜빡	esquecín
깜빡	as
깜빡	esquece
깜빡	esquecino
헤리	harry
잠재력	potencial
도착하다	chegar
파멸	a
표시됨	que
표시됨	se
표시됨	mostra
표시됨	amosado
표시됨	demostrado
표시됨	as
표시됨	marcados
표시됨	visible
표시됨	visibles
반복합니다	repite
반복합니다	anda
반복합니다	di
반복합니다	repita
반복합니다	repito
반복합니다	dígoche
신랑이	noivo
신랑이	mozo
훔쳤다	roubei
훔쳤다	roubaron
훔쳤다	roubaches
훔쳤다	o
훔쳤다	roubou
훔쳤다	estola
훔쳤다	rouboume
불안해	inseguro
덥다	quente
덥다	calor
에이브	eva
에이브	aninovo
에이브	data
에이브	véspera
에이브	noitevella
관대	xenerosa
알아듣기	entender
알아듣기	comprender
알아듣기	entendo
느려	lento
느려	lenta
느려	lentos
느려	ou
느려	frean
느려	tranquilo
모퉁이	esquina
모퉁이	recuncho
세척	lavar
세척	a
세척	lavadora
세척	lavado
세척	lavadoras
세척	roupa
보모	neneira
죄책감	culpa
말들	cabalos
말들	os
동공	alumnos
동공	alumnado
동공	terceiro
쉬프트	de
쉬프트	quenda
확인됨	confirmado
배고픈	famentos
배고픈	fame
불편해	incómoda
사장님	xefe
사장님	patrón
눈빛	os
눈빛	ollos
대행사	axencia
대행사	de
개들	cans
개들	can
개들	os
개들	aos
일월	xaneiro
일월	de
단결하라	unídevos
단결하라	irmandádevos
단결하라	matar
단결하라	vosas
외로움	fica
외로움	illado
외로움	soidade
외로움	soa
외로움	só
열립니다	abre
열립니다	abra
성공함	éxito
성공함	exitosos
성공함	éxito
본능이	instinto
복원하기	a
복원하기	restaurar
정치인들	políticos
긴장감	nerviosa
긴장감	nervioso
긴장감	nerviosos
긴장감	nervios
바빠	moi
바빠	ocupado
바빠	ocupados
바빠	negocios
바빠	ocupada
젊음	xuventude
젊음	mozos
젊음	a
젊음	mocidade
젊음	francia
젊음	de
갱스	forzados
검색하기	buscar
검색하기	procura
검색하기	busca
장례식장	funeral
장례식장	enterro
힌트	indicios
마크스	marcos
브룩클린	brooklyn
햇볕	sol
광대가	pallaso
젤로	angelo
캡쳐	a
캡쳐	capturar
캡쳐	capturado
캡쳐	capturados
캡쳐	prisioneiro
아무데나	onde
아무데나	calquera
아무데나	lugar
아무데나	parte
아무데나	a
아무데나	nada
아무데나	en
알렉산더르	alexander
매코믹	mccormick
언젠간	algún
언젠간	día
충실	leal
스완슨	swanson
포토그래퍼	fotógrafo
남음	restante
남음	para
새들	aves
새들	paxaros
새들	as
숙성	envellecemento
숙성	o
숙성	envellecer
무기력	impotentes
영업시간	horas
아스피린	aspirina
성인인	santos
킹슬리	kingsley
떨어짐	caéronlle
떨어짐	caeron
떨어짐	aquí
떨어짐	caeume
떨어짐	baixou
떨어짐	caída
떨어짐	outono
떨어짐	caer
휴지통	lixo
위엄	dignidade
재커바이트	xacobitas
재커바이트	xacobita
아라비아어	árabe
엉망	desastre
엉망	boa
엉망	lea
엉망	porcallada
존엄	dignidade
땋은	súas
땋은	trenzas
언급하기	mencionar
언급하기	mención
남친	mozo
염려	ansiedade
불편함	incómoda
십억	millóns
십억	mil
십억	miles
자폐	autismo
거룩	sagrado
거룩	santo
거룩	santos
거룩	sagrada
불가피	inevitable
불가피	inevitábel
바쁘다	moi
바쁘다	ocupado
바쁘다	ocupados
바쁘다	negocios
바쁘다	ocupada
멍청이	idiota
멍청이	parvo
멍청이	imbécil
멍청이	estúpido
멍청이	estúpida
멍청이	estúpidos
멍청이	parvo
멍청이	estúpidas
멍청이	parvadas
물병	xarra
불안정성	inestabilidade
통찰력	percepción
목구멍	gorxa
흔들흔들	a
몸매가	corpo
몸매가	corporal
송송	canción
송송	cantiga
송송	cantar
송송	canto
기쁨이	ledicia
기쁨이	alegría
기쁨이	desfrute
기쁨이	da
답글	resposta
징벌	castigo
징벌	punishment
아쿠아리움	acuario
콜롬버스	columbus
윤기	brillante
윤기	brillantes
삼십	trinta
게이이	homosexuais
게이이	homosexual
목적지는	destino
미모	beleza
미모	a
미안	sinto
미안	síntoo
미안	perdón
미안	desculpe
승리자	gaña
신디케이트	sindicato
줄넘기	corda
깨워	levanta
깨워	esperta
깨워	espertar
깨워	arriba
베르나르드	bernard
공연자	artista
도둑놈	ladróns
도둑놈	ladrón
농작물이	cultivos
미움	odiaban
미움	odio
쓰레기통	lixo
씻기	lavado
씻기	lavan
씻기	lavar
씻기	lava
씻기	lavalo
씻기	lavar
씻기	a
씻기	lavadora
씻기	lavado
씻기	lavadoras
씻기	roupa
만드세요	crear
만드세요	creamos
만드세요	unha
만드세요	crean
붕대	tirafondas
붕대	bastón
붕대	fonda
트레비스	travis
공유해	compartir
공유해	comparten
공유해	compartimos
공유해	a
공유해	parte
황새	cegoña
테스토스테론	testosterona
헛간	granxa
아침식사	almorzo
아침식사	almorzar
편리	conveniente
인내심	paciencia
히로시마로	hiroshima
깨끗하다	limpa
깨끗하다	limpo
깨끗하다	limpar
우박	“
우박	sarabia
우박	”
우박	en
우박	galego
우박	saudamos
팔레스타인인	palestina
팔레스타인인	palestinos
콘트라스트	contraste
본능적	instinto
부드러워	suave
녹음기	gravadora
녹음기	magnetófono
심각해	serio
심각해	seria
심각해	en
심각해	grave
킬러스	asasinos
뿌리기	as
뿌리기	raíces
부끄러움	mágoa
부끄러움	vergoña
부끄러움	que
부끄러움	vergoña
부끄러움	tímida
대량절멸	extinción
종료되었습니다	ao
종료되었습니다	rematamos
종료되었습니다	rematou
종료되었습니다	acabou
자선단체	caridade
우아	elegancia
끄기	a
드럼은	batería
드럼은	tambores
드럼은	os
겸손	humilde
겸손	humildes
겸손	humildade
답장	resposta
소작	pequeno
소작	pequenos
소작	pequenas
소작	pequena
힘내	saúde
신밧드	sinbad
변기	baño
잔액	equilibrio
잔액	balance
잔액	o
ㄹㄹ	ii
평범	chaira
평범	costa
평범	plano
평범	claro
평범	tenra
평범	común
평범	cotiáns
평범	era
평범	ordinario
평범	correntes
평범	normais
평범	simple
평범	banal
평범	normal
평범	normais
월세	renda
월세	aluguer
월세	alugar
