borneo	borneo
nus	nod
inclinació	inclina
inclinació	inclina
inclinació	inclinare
inclinació	inclinare
consagració	consacrare
formigó	concret
formigó	beton
formigó	concrete
fem	fem
cirurgia	operatie
cirurgia	chirurgie
cirurgia	chirurgia
semblança	asemanare
semblança	asemanare
enderrocar	rastoarne
enderrocar	rasturnarea
espectador	spectator
lenin	lenin
fibra	fibre
fibra	fibra
fibra	fibra
aficionats	amatori
aficionats	amatorilor
aficionats	amatorii
bordeus	bordeaux
ètica	etica
ètica	etica
geogràfic	geografice
geogràfic	geografic
geogràfic	geografica
mou	muta
mou	misca
mou	mutare
àrtic	arctica
àrtic	arctic
àrtic	arctica
agafa	apuca
agafa	apuca
mirall	oglinda
mirall	oglinda
güell	güell
essencials	esentiala
essencials	esentiale
essencials	esential
essencials	esential
vacances	vacanta
vacances	vacanta
vacances	concediu
vacances	vacanta
vacances	sarbatori
vacances	sarbatori
vacances	sarbatorile
precedents	precedent
estratègica	strategica
estratègica	strategice
estratègica	strategic
interval	interval
interval	intervalul
interval	intervalul
interval	interval
brandenburg	brandenburg
vitamina	vitamine
vitamina	vitamina
amenaces	amenintari
amenaces	amenintari
ideals	idealurile
ideals	idealuri
ideals	ideala
ideals	ideal
ideals	ideala
ideals	ideale
preocupació	preocuparea
preocupació	ingrijorare
preocupació	preocupare
alcalá	alcalá
nomenclatura	nomenclatura
humida	ud
humida	umed
humida	ude
humida	umeda
humida	uda
lambert	lambert
reich	reich
arxiduc	arhiducele
cannes	cannes
recepció	primire
recepció	receptie
recepció	receptie
punk	derbedeu
punk	punk
aristòtil	aristotel
glucosa	glucoza
llombardia	lombardia
òxid	oxid
esculls	recifurile
entertainment	divertisment
entertainment	entertainment
transports	transporturi
transports	transport
transports	transportul
ocean	oceanul
ocean	ocean
tons	tonuri
aterratge	debarcarea
aterratge	aterizarea
aterratge	debarcare
aterratge	aterizare
provocat	provocate
provocat	provocat
provocat	provocata
inclusió	incluziunea
inclusió	incluziune
inclusió	includere
inclusió	includerea
auto	auto
cabra	capra
cabra	capra
pressions	presiunile
pressions	presiuni
percussió	percutie
polonesos	polonezi
polonesos	polonezii
badajoz	badajoz
oise	oise
gosse	gosse
celta	celta
celta	celtic
preparat	pregatit
preparat	gata
empleats	angajatii
empleats	angajati
empleats	angajati
supressió	stergere
supressió	indepartare
supressió	indepartarea
birmània	birmania
birmània	myanmar
declara	declara
benestar	wellness
benestar	bunastarea
benestar	bunastare
serbi	sarb
serbi	sarbi
serbi	sarba
eficàcia	eficacitate
eficàcia	eficacitatea
eficàcia	eficacitate
eficàcia	eficacitatea
oració	rugaciune
oració	rugaciunea
oració	rugaciunea
oració	rugaciune
raf	raf
vores	margini
vores	marginile
vores	frontiera
vores	granita
vores	frontiera
perímetre	perimetrul
perímetre	perimetru
plini	pliniu
acadèmica	academic
acadèmica	academica
acadèmica	academice
fruites	fructe
fruites	fructele
mirant	privind
mirant	vizionarea
mirant	privesc
domenico	domenico
álvaro	álvaro
giorgio	giorgio
tria	alegeti
tria	alege
tèrmica	termice
tèrmica	termica
tèrmica	termic
babilònia	babilon
babilònia	babylon
matemàtics	matematicieni
progressista	progresive
progressista	progresiva
progressista	progresiv
distingit	distins
distingit	distinsa
subministraments	proviziile
subministraments	provizii
públicament	public
nick	nick
terol	teruel
patit	suferit
pescadors	pescarii
pescadors	pescarilor
pescadors	pescari
submarins	submarine
associades	asociate
associades	asociat
associades	asociata
romero	romero
pelatge	blana
pelatge	blana
paixà	pasha
angelo	angelo
liverpool	liverpool
ritual	ritualul
ritual	ritual
bernardo	bernardo
varien	varia
varien	variaza
inventor	inventatorul
inventor	inventator
demetri	demetrius
esborrat	sters
esborrat	sters
nominada	nominalizata
nominada	nominalizat
centrecampista	mijlocas
màgia	magice
màgia	magie
màgia	magic
màgia	magica
màgia	magia
autorització	autorizarea
autorització	autorizatia
autorització	autorizare
autorització	autorizatie
autorització	autorizare
gold	auriu
gold	aur
gold	gold
gold	aurul
políticament	politic
cape	cape
cape	pelerina
cape	pelerina
prohibit	interzis
prohibit	interzisa
prohibit	interzise
prohibit	interzis
prohibit	interzisa
prohibit	interzise
alternatives	alternative
alternatives	alternativele
excepcional	exceptionala
excepcional	exceptionale
excepcional	exceptional
excepcional	exceptional
cims	peaks
cims	varfuri
comes	virgule
bielorússia	belarus
coronació	incoronare
coronació	incoronarea
maquinària	utilaje
roine	rhône
causat	cauzat
rahman	rahman
stuart	stuart
gràfiques	diagrame
gràfiques	grafice
gary	gary
jimmy	jimmy
compositae	compositae
donacions	donatii
vicari	vicari
nana	nana
sebastian	sebastian
emblema	emblema
emblema	emblema
diable	devil
diable	diavolul
diable	diavol
diable	drac
papua	papua
public	publice
public	public
public	publica
min	min
herbes	ierburi
habitat	locuita
habitat	locuit
habitat	locuite
batxillerat	bacalaureatul
conveni	conventia
conveni	conventie
cicles	cicluri
cicles	ciclurile
llana	lana
llana	lana
madison	madison
luxe	lux
luxe	luxul
interessat	interesate
interessat	interesat
interessat	interesati
interessat	interesata
gandia	gandia
potter	potter
oxidació	oxidare
filtre	filtru
filtre	filtrare
filtre	filtreaza
filtre	filtrul
wild	wild
wild	salbatic
wild	salbatica
wild	salbatic
wild	salbatice
nominat	nominalizata
nominat	nominalizat
introdueix	introdu
introdueix	introduceti
introdueix	enter
introdueix	intra
introdueix	intra
alvèrnia	auvergne
assumpció	presupunere
assumpció	presupunerea
intervencions	interventii
intervencions	interventii
cooperativa	cooperant
crèdit	credit
crèdit	creditul
étienne	étienne
étienne	etienne
lluitant	lupta
française	française
diario	diario
maons	caramizi
urani	uraniu
derivades	derivate
derivades	derivati
barry	barry
barry	florin
vinyes	podgorii
àguila	eagle
àguila	vultur
àguila	vulturul
nassau	nassau
llums	lumini
llums	luminile
disposat	dispus
massacre	masacrul
massacre	masacru
lliurament	livrarea
lliurament	livrare
stewart	stewart
llotja	licitatie
llotja	licitatie
efectivament	intradevar
place	locul
place	loc
vázquez	vasquez
vázquez	vázquez
funda	toc
sever	severus
existien	existat
automàtica	auto
automàtica	automata
automàtica	automatic
automàtica	automate
automàtica	automat
moçambic	mozambic
descobriments	descoperirile
descobriments	descoperiri
jurídic	juridice
jurídic	legale
jurídic	juridic
jurídic	legala
jurídic	legal
ampliat	prelungita
ampliat	prelungit
ampliat	extins
ampliat	extinsa
ampliat	extinse
ampliat	extins
ampliat	extinsa
absorció	absorbtie
embassament	rezervor
artur	artur
núvol	cloud
núvol	nor
sacrifici	sacrificiu
sacrifici	jertfa
sacrifici	sacrificii
sacrifici	sacrificiul
hèrcules	hercules
hèrcules	hercule
atleta	sportiv
atleta	atlet
sanitat	sanatate
sanitat	sanatatea
sanitat	sanatate
capturats	capturat
capturats	capturata
capturats	capturate
leone	leone
official	oficial
official	oficiale
official	oficiala
official	oficiala
marcus	marcus
beca	bursa
beca	bursa
alimenta	fluxuri
avantpassats	stramosii
bonaparte	bonaparte
dimissió	demisia
dimissió	demisie
cames	picioarele
cames	picioare
jon	jon
enregistraments	inregistrari
euro	euro
armenis	armenii
armenis	armeni
muntar	montare
muntar	montarea
vins	vinuri
vins	vinurile
prince	printul
prince	printul
prince	print
prince	print
prince	print
prince	prince
holstein	holstein
catolicisme	catolicism
afecten	afecteaza
afecten	afecta
iniciatives	initiative
fila	randul
fila	rand
fila	row
connexions	legaturi
connexions	conexiuni
