luchador	lluitador
ligera	llum
ligera	lleuger
ligera	lleuger
facultades	facultats
tocando	toquin
tocando	tocar
tocando	jugant
recuerdos	souvenirs
recuerdos	memòria
mantenido	guardava
mantenido	mantingut
mantenido	guardats
popularmente	popularment
específicos	específics
específicos	específic
wright	wright
falla	falles
falla	fracàs
falla	erra
llano	llano
llano	plain
romper	break
romper	descans
romper	breaking
romper	trencant
huerta	hort
septentrional	northern
seguimiento	seguiment
seguimiento	rastrejant
seguimiento	monitoratge
difíciles	difícil
cerveza	cervesa
proyección	projecció
proyección	cribratge
neerlandés	neerlandès
neerlandés	holandès
chiapas	chiapas
compuestas	compost
bloqueado	bloquejats
bloqueado	bloquejat
maneras	maneres
tocó	tocat
tocó	tocats
infierno	infern
infierno	hell
infierno	infern
gastos	despesa
gastos	despesa
gastos	despeses
africana	africà
africana	african
conformado	conformada
depósito	dipòsit
lucio	lucio
lucio	pike
lucio	pica
lucio	luci
montenegro	montenegro
avanzada	avançat
avanzada	avançada
avanzada	advanced
nucleares	nuclear
emma	emma
terry	terry
jornadas	dies
situados	situat
lobos	llop
lobos	wolf
lobos	llops
lobos	lobos
especialista	especialista
octava	vuitè
octava	vuitena
octava	octave
pendiente	desnivell
pendiente	talussos
pendiente	arracada
pendiente	pendent
realista	realista
realista	realistes
century	segle
definitivo	definida
definitivo	definit
recordar	recordant
recordar	recorda
recordar	recordeu
comenzando	començant
paraíso	paradís
paraíso	paradise
autora	autor
testimonio	testimoni
testimonio	testimonial
testimonio	testimoni
malta	malt
malta	malta
aerolíneas	airlines
aerolíneas	aerolínies
aerolíneas	aerolínia
balonmano	handbol
bloques	blocs
positiva	positiu
positiva	positiva
positiva	positius
separa	separa
turner	turner
vidal	vidal
polvo	pols
tomada	pres
balón	pilota
declara	declarar
declara	declari
declara	declara
alegría	alegria
luxemburgo	luxemburg
prusia	prússia
declaraciones	declaracions
cronología	cronologia
cría	cria
cross	creu
cross	cross
ron	ron
ron	rom
estrada	estrada
singular	singular
vital	vital
comenzado	començat
comenzado	iniciat
phoenix	fènix
phoenix	phoenix
semi	semi
maine	maine
varsovia	varsòvia
masacre	massacre
vinos	vi
vinos	vins
