den	เดอะ
och	และ
och	แล้ว
med	ด้วย
med	กับ
som	ชอบ
som	เหมือน
som	แบบ
som	ถูกใจ
som	ไลค์
som	อย่าง
som	ซึ่ง
runt	รอบๆ
runt	รอบ
runt	กลม
runt	กลมๆ
runt	รอบ
månaden	เดือน
ingår	รวม
att	นั้น
att	ที่
att	ว่า
att	นั่น
ett	เดียว
ett	หนึ่ง
över	จบ
över	โอเวอร์
över	เหนือ
familjen	ตระกูล
familjen	ครอบครัว
familjen	family
för	สำหรับ
för	เพื่อ
delen	ภาค
delen	ส่วน
delen	part
life	ชีวิต
life	life
landet	ประเทศ
meter	เมตริก
meter	เมตร
meter	เมตร
meter	เมตร
meter	มิเตอร์
meter	เมตร
meter	หลาว
meter	หลาบ
meter	หลา
huvudstaden	พระนคร
huvudstaden	ทุน
havet	ทะเล
havet	ทะเล
havet	มหาสมุทร
havet	ocean
invånare	ประชาชน
invånare	พลเมือง
januari	มกราคม
millimeter	มิลลิเมตร
genomsnitt	เฉลี่ย
genomsnittlig	เฉลี่ย
var	ที่ไหน
juli	กรกฎาคม
juli	juli
han	ฮาน
han	ฮัน
han	ฮั่น
har	ทรง
har	มี
per	ต่อ
vattendrag	ลำน้ำ
vattendrag	แม่น้ำ
från	จาก
kanada	แคนาดา
provinsen	จังหวัด
men	แต่
högsta	สูงสุด
högsta	สูงสุด
kan	สามารถ
kan	สามารถ
kan	สา
länkar	ลิงก์
externa	ภายนอก
läge	ตำแหน่งที่ตั้ง
läge	ตำแหน่ง
läge	โหมด
även	แม้น
även	แม้
även	แม้แต่
även	แม้ว่า
även	ยัง
februari	กุมภาพันธ์
under	ระหว่าง
under	ใต้
lake	ทะเลสาบ
sjö	ทะเลสาบ
sjö	ทะเล
inte	ไม่
inte	ไม่ใช่
sig	sig
kommun	เทศบาล
två	สอง
två	two
lac	ครั่ง
lac	lac
terrängen	ภูมิประเทศ
long	ยาว
long	นาน
juni	juni
juni	จูน
juni	มิถุนายน
lat	ลาด
december	ธันวาคม
december	ธันวา
växer	โต
växer	เติบโต
växer	ปลูก
växer	เติบโต
många	มากมาย
många	หลาย
efter	after
efter	หลัง
nära	ปิด
nära	ใกล้
nära	ใกล้
väster	เวสต์
provins	จังหวัด
först	ก่อน
först	แรก
berg	ภูผา
berg	ภูเขา
berg	ภูเขา
indonesien	อินโดนีเซีย
usa	สหรัฐอเมริกา
usa	สหรัฐฯ
usa	usa
mars	มีนาคม
mars	มาร์ช
mars	march
mindre	น้อย
norr	อุดร
norr	เหนือ
oktober	ตุลาคม
man	มนุษย์
man	ชาย
man	คน
man	แมน
man	man
september	กันยา
september	กันยายน
större	เมเจอร์
centrala	เซ็นทรัล
andra	วินาที
andra	อื่นๆ
andra	อื่นๆ
där	มี
där	ที่ไหน
county	มณฑล
county	เปรม
nog	พอ
huvudsakligen	หลักๆ
söder	south
söder	ใต้
mycket	มาก
mycket	มาก
mycket	มากมาย
jpg	jpg
regionen	แคว้น
regionen	ภูมิภาค
creek	รีก
november	พฤศจิกายน
maj	พฤษภาคม
maj	maj
cest	cest
platt	แบน
platt	แฟลต
född	เกิด
finland	ฟินแลนด์
samhälle	สังคม
samhälle	ชุมชน
hon	หล่อน
hon	เธอ
hon	นาง
består	แต่ง
platser	ตำแหน่งที่ตั้ง
första	ก่อน
första	แรก
fick	มี
fick	โดน
området	บริเวณ
området	พื้นที่
australien	australia
australien	ออสเตรเลีย
april	april
april	เมษายน
bar	บาร์
bar	แถบ
hans	ฮันส์
södra	ใต้
södra	south
södra	ใต้
toppen	เยี่ยม
toppen	ยอด
toppen	ท็อป
sverige	สวีเดน
sedan	งั้น
sedan	ตั้งแต่
genom	ผ่าน
sitt	นั่ง
kilometer	กิโลเมตร
kilometer	กิโลเมตร
kilometer	กิโล
norra	อุดร
norra	เหนือ
norra	เหนือ
också	ยัง
talet	สุนทรพจน์
detta	นี้
detta	นี่
detta	ดิส
mot	ต่อ
västra	เวสต์
del	ภาค
del	ส่วน
del	part
riktning	ทิศทาง
namn	ชื่อ
namn	ชื่อ
vilket	ซึ่ง
svenska	สวีเดน
svenska	svenska
mellan	ระหว่าง
svensk	สวีเดน
när	เมื่อไร
när	เมื่อ
när	ตอน
cerro	cerro
frankrike	ฝรั่งเศส
död	ตาย
död	ตาย
kulle	เนิน
kina	จีน
kina	prc
kommunen	เทศบาล
est	est
jordbruksmark	ไร่
text	ข้อความ
lista	รายการ
annat	อื่นๆ
skulle	จะ
inom	ภายใน
departementet	แผนก
departementet	กรม
denna	นี้
denna	นี่
denna	ดิส
park	จอด
park	สวน
hill	เนิน
flera	หลาย
flera	หลายๆ
flera	หลาย
nord	อุดร
nord	เหนือ
stockholm	สตอกโฮล์ม
alla	ทั้งหมด
alla	ทุก
samma	เดียวกัน
senare	ทีหลัง
olika	ต่าง
point	point
point	ชี้
point	จุด
point	ประเด็น
ort	เมือง
ort	ซิตี้
ort	city
nya	นิว
nya	ใหม่
sjön	ทะเลสาบ
tidigare	อดีต
brasilien	บราซิล
colombia	โคลัมเบีย
colombia	โคลัมเบีย
score	สกอร์
score	แต้ม
score	คะแนน
spanien	สเปน
mount	ภูเขา
kom	มา
stora	ใหญ่
stora	บิ๊ก
stora	ใหญ่
stora	big
basen	ฐาน
basen	ฐานทัพ
tre	three
tre	สาม
shift	กะ
shift	กะเทย
chile	ชิลี
mer	อื่นๆ
mer	มากกว่า
kongo	คองโก
region	แคว้น
region	ภูมิภาค
jakarta	จาการ์ตา
wat	วัด
file	แฟ้ม
släkte	รุ่น
släkte	ยุค
släkte	พันธุ์
sydlig	ใต้
samhällen	ชุมชน
samhällen	สังคม
lite	lite
republiken	สาธารณรัฐ
öppet	เปิด
öppet	โปร่งแสง
öppet	โปร่งใส
öppet	โปร่ง
delstat	สภาพ
delstat	รัฐ
innan	ก่อน
fram	หน้า
mål	วัตถุประสงค์
län	มณฑล
län	เปรม
län	จังหวัด
bosnien	บอสเนีย
afghanistan	อัฟกานิสถาน
john	จอร์น
john	john
john	จอห์น
administrativ	ธุรการ
bara	เท่านั้น
bara	เฉพาะ
bara	แค่
ska	ควร
plats	ตำแหน่งที่ตั้ง
plats	ตำแหน่ง
carl	คาร์ลอ
carl	คาร์ล
församling	สมัชชา
land	ประเทศ
land	land
land	แลนด์
land	ที่ดิน
dess	มัน
dess	its
amerikansk	อเมริกัน
tid	เวลา
ofta	บ่อย
ofta	บ่อยๆ
ofta	บ่อย
ofta	มัก
ofta	บ่อยๆ
några	บาง
några	บ้าง
kommer	พิน
kommer	จะ
kommer	วิล
kommer	มา
kommer	ที่มา
exempel	ตัวอย่าง
exempel	ตัวอย่าง
någon	ใดๆ
saint	นักบุญ
saint	เซนต์
gjorde	ทำ
san	ซาน
san	แซน
san	san
stor	ใหญ่
stor	บิ๊ก
stor	ใหญ่
stor	big
staden	town
staden	เมือง
staden	ทาวน์
staden	เมือง
staden	ซิตี้
staden	city
kallt	หนาว
kallt	เย็น
kallt	เย็นๆ
jawa	jawa
varit	ถูก
får	แกะ
naturlig	natural
naturlig	ธรรมชาติ
mest	ที่สุด
webbplats	เว็บไซต์
webbplats	ไซต์
ger	ger
mosaik	โมเสก
team	ทีม
team	ทีม
team	team
började	เริ่ม
hela	หาย
hela	รักษา
hela	เยียวยา
gör	ทำให้
honom	เขา
kyrka	ศาสนจักร
kyrka	โบสถ์
vad	อะไร
columbia	โคลัมเบีย
tyskland	เยอรมนี
distrikt	เขต
distrikt	เขต
distrikt	อำเภอ
fuktigt	ชื้น
fuktigt	ชื้น
fuktigt	เปียก
fyra	สี่
eftersom	เพราะ
mexiko	เม็กซิโก
london	london
london	ลอนดอน
används	ใช้
vann	วอน
vann	ชนะ
hur	วิธี
bay	อ่าว
barn	เด็กๆ
barn	เด็ก
barn	ลูกๆ
barn	เด็กๆ
barn	เด็ก
barn	กุมาร
barn	เด็ก
ekonomiska	เศรษฐกิจ
kunde	สามารถ
både	ทั้ง
övrigt	อื่นๆ
övrigt	เบ็ดเตล็ด
artikel	บทความ
artikel	ข่าว
england	อังกฤษ
argentina	อาร์เจนตินา
mountain	ภูผา
mountain	ภูเขา
grekland	กรีซ
distriktet	เขต
distriktet	อำเภอ
dam	เขื่อน
dam	เลดี้
karl	ชารลส์
karl	ชาร์ลส์
karl	ชาร์ล
personer	ประชาชน
personer	บุคคล
personer	ผู้
personer	ผู้คน
personer	คน
spelade	เล่น
endast	เท่านั้น
endast	เฉพาะ
danmark	เดนมาร์ก
danmark	danmark
