mono	모노
polo	폴로
tank	탱크
tank	전차
tao	타오
érzés	느낌이
érzés	기분
érzés	느낌
pillanat	순간
ártatlan	무죄
ártatlan	innocent
nickelodeon	니켈로디언
vigyázz	시계
tanul	공부하기
tanul	공부
tanul	학습
tanul	배운다
tanul	배워
ghz	ghz
butler	버틀러
dale	데일
roosevelt	루즈벨트
roosevelt	루스벨트
roosevelt	루즈벨트
kézműves	공예
kézműves	공예
obszervatórium	천문대
michele	미셸
föderáció	연맹
föderáció	연방
enzim	효소
enzim	효소
halvány	창백한
táplálék	영양
táplálék	영양실조
táplálék	푸드
táplálék	음식
táplálék	식량
táplálék	식품
funkciók	함수
funkciók	기능
funkciók	특징
funkciók	기능
promóciós	프로모션
promóciós	홍보
promóciós	프로모션
promóciós	승진
promóciós	프로모션
palmer	팔머
palmer	파머
edzés	연습생
edzés	연습
edzés	훈련
edzés	트레이닝
fuvola	플룻
fuvola	플루트
mássalhangzó	닿소리
próba	테스트
próba	시험
próba	리허설
próba	테스트
próba	검사
próba	시험
win	win
win	승리
hangokat	소음
fokozatos	진보주의
fokozatos	프로그레시브
angela	안젤라
angela	안젤로
öröm	기쁨
öröm	조이
öröm	기쁨이
öröm	즐거움
öröm	기쁨
öröm	쾌락
madridi	마드리드
texasi	텍사스
összecsapás	스맥다운
közzétett	게시
közzétett	게시
közzétett	출판
közzétett	출판됨
gyakorlatok	실습
kozák	코자크
kozák	카자크
reformok	개혁개방
reformok	개혁
reformok	개혁개방
reformok	개혁
társult	연관
folt	얼룩
folt	스팟
folt	패치
diamond	다이아몬드
dízel	디젤
audio	오디오
termelő	생산적
termelő	프로듀서
termelő	제작자
életmód	생활
életmód	라이프스타일
chapman	채프먼
millennium	밀레니엄
bosszú	복수
bosszú	복수
tisztelet	존경
tisztelet	존중
emírségek	에미리트
emírségek	에미레이트
terror	테러리즘
terror	공포
terror	테러
betöltötte	채워진
galériában	화랑
galériában	갤러리
közvetítő	중개인
közvetítő	브로커
közvetítő	중개
közvetítő	중개인
közvetítő	중재
közvetítő	중재자
trófea	트로피
küzd	투쟁
miranda	미란다
hülye	멍청이
hülye	바보
hülye	멍청한
fejes	헤더
örökké	영원
örökké	영원히
örökké	forever
örökké	영원한
kukorica	옥수수
kukorica	옥수수
damon	데이먼
tulajdonosai	소유자
tesztek	테스트
szerelvény	열차
szerelvény	기차
szerelvény	트레인
domain	도메인
domain	영역
helena	헬레나
nagykövet	대사
reakciók	공감
reakciók	반응
reakciók	공감
rövidített	단축
sátán	사탄
bejegyzett	등기
bejegyzett	등록
alany	주제
alany	제목
asztali	탁자
asztali	식탁
asztali	테이블
asztali	데스크톱
asztali	데스크탑
káosz	혼란
káosz	혼돈
káosz	카오스
hyde	하이드
meggyőzni	설득
meggyőzni	납득
meggyőzni	설득
állva	standing
állva	스탠딩
hajnalban	새벽
őszinte	성실
őszinte	정품
őszinte	정직한
őszinte	솔직한
