ρότερνταμ	ロッテルダム
ρέμα	ストリーム
ρέμα	渓流
χορν	クラクション
χορν	ホルン
χορν	ホーン
δάνειο	ローン
δάνειο	融資
βέλη	矢印
βέλη	アロウズ
βέλη	ダーツ
γκράχαμ	グラハム
γκράχαμ	グレアム
δοκιμασία	テスト
δικαιολογία	言い訳
πρόστιμο	罰金
νύχια	ネイル
προτεστάντες	プロテスタント
αναμενόμενο	期待
τζιοβάνι	ジョヴァンニ
τζιοβάνι	ジョバンニ
γιούτα	ユタ
γιούτα	ジュート
κλίμακες	スケール
κλίμακες	ウロコ
επανένωση	同窓会
επανένωση	再会
πυρίτιο	シリコン
πυρίτιο	ケイ素
λουίτζι	ルイジ
αλληλεπιδράσεις	相互作用
τροχούς	ホイール
τροχούς	車輪
αποκλειστική	独占
ερωτικά	エロ
διάδρομο	通路
διάδρομο	回廊
διάδρομο	廊下
διάδρομο	トレッドミル
αρμενίων	アルメニア
σωτήρα	救世主
αρχοντικό	マンション
φοίνιξ	フェニックス
βρω	find
θυσίες	生贄
θυσίες	犠牲
θυσίες	生贄
πιστή	忠実
παραγγελίες	命令
παραγγελίες	オーダー
παραγγελίες	注文
τραγουδάει	歌う
υπερασπιστεί	擁護
στατιστικές	統計
ασφαλές	セーフ
ασφαλές	金庫
ασφαλές	安全
ασφαλές	セキュア
σέφιλντ	シェフィールド
φριτς	フリッツ
δάπεδο	フロア
ανακτήσει	回復
ανακτήσει	取得
πενσυλβάνια	ペンシルバニア
έντγκαρ	エドガー
φιλοξενία	おもてなし
φιλοξενία	接客
φιλοξενία	ホスティング
φιλοξενία	主催
βαλκανική	バルカン
θεοδόσιος	テオドシウス
ρομαντική	ロマンチック
κόμβοι	ノット
κόμβοι	結び目
κόμβοι	ノード
ολλανδικό	ダッチ
ενεργητικό	アセット
ενεργητικό	資産
χαρτ	ハート
φορτηγό	トラック
λιν	リン
απομεινάρια	残り物
απομεινάρια	残党
μαραθώνιο	マラソン
όξινο	酸性
αποτελεσματικό	効率
αποτελεσματικό	実効
ποτό	飲む
ποτό	飲み物
ποτό	ドリンク
ποτό	飲む
ποτό	飲み物
ποτό	飲料
ζωντανός	アライブ
δημοκρατικός	民主主義
κεντ	ケント
ρίβερ	河川
μπετόβεν	ベートーヴェン
κρόνος	土星
κρόνος	クロノス
χαρτιά	カード
χαρτιά	書類
σκοτάδι	ダーク
σκοτάδι	暗い
σκοτάδι	暗闇
ετικέτα	タグ
ετικέτα	ラベル
ίχνος	トレース
συμμορία	ギャング
διαγράφηκε	削除
πλατιά	ワイド
μίσος	憎悪
μίσος	憎悪
μίσος	嫌い
μίσος	憎しみ
πείτε	say
πείτε	セイ
τρώει	食べる
προφορική	口頭
ιατρικά	医学
επικίνδυνα	危険
προγραμματιστές	プログラマ
άνεμο	wind
νόβγκοροντ	ノヴゴロド
εμβόλιο	ワクチン
βολή	ショット
άνεση	慰め
ιούδα	ユダ
κέλι	ケリー
λεσότο	レソト
αποφεύγεται	忌避
ειδοποίηση	告示
ειδοποίηση	通知
ειδοποίηση	告知
ειδοποίηση	通知
ειδοποίηση	届出
ειδοποίηση	お知らせ
ειδοποίηση	アラート
προνόμιο	特権
όσλο	オスロ
βινυλίου	ビニール
επαγγέλματα	職業
επαγγέλματα	職業
ινών	繊維
τόμσον	トンプソン
τόμσον	トムソン
μωρό	ベイビー
μωρό	赤ちゃん
μωρό	ベイブ
μωρό	ベーブ
μωρό	babe
συμπόσιο	シンポジウム
συμπόσιο	宴会
οντότητες	エンティティ
εξάλειψη	除去
εξάλειψη	撲滅
κινέζικα	中国語
κινέζικα	中国人
αδριανού	ハドリアヌス
γουατεμάλα	グアテマラ
ορατά	可視
εκπροσώπηση	表現
χειρότερα	最悪
βελγική	ベルギー
εφαρμόζει	実装
αναγνωριστικό	識別子
κενή	空っぽ
κενή	空欄
κενή	ブランク
προκατόχου	前身
διαλυθεί	解散
απεικόνισης	イメージング
βανκούβερ	バンクーバー
μήλο	リンゴ
μήλο	りんご
μήλο	アップル
μήλο	林檎
πρεσβείας	大使館
λογαριασμούς	紙幣
λογαριασμούς	アカウント
μαϊάμι	マイアミ
έλξη	アトラクション
μπουλ	ブル
φορολογία	租税
ακέραιος	整数
κρανίο	髑髏
κρανίο	頭蓋骨
δεξιότητες	スキル
δεξιότητες	スキル
πρωτόκολλα	プロトコル
νηλ	ニール
νηλ	ニール
υπάλληλοι	社員
ιορδανία	ヨルダン
ιορδανία	ジョーダン
κεφάλια	ヘッズ
