βοηθώντας	helpen
αντίγκουα	antigua
γαβριήλ	gabriel
γαβριήλ	gabriël
λόρενς	laurence
λόρενς	lawrence
σύνθημα	devies
σύνθημα	motto
σύνθημα	wachtwoord
σύνθημα	paswoord
σύνθημα	slogan
σύνθημα	leus
λούντβιχ	ludwig
επιτεύγματα	prestaties
επιτεύγματα	verwezenlijkingen
επιτεύγματα	prestaties
κεραυνός	thunder
κεραυνός	onweer
κεραυνός	donder
κεραυνός	donderslag
κεραυνός	bliksem
κεραυνός	lightning
υπολογισμούς	berekeningen
παρών	aanwezig
παρών	heden
παρών	presenteren
παρών	presenteer
τσε	che
τετράγωνα	pleinen
τετράγωνα	vierkanten
τετράγωνα	blokken
όλιβερ	oliver
αραβικό	arabier
αραβικό	arabisch
αραβικό	arabische
αραβικό	arabisch
αραβικό	arabier
γραπτή	schriftelijke
γραπτή	geschreven
επιτέλους	eindelijk
επιτέλους	uiteindelijk
μολδαβία	moldavië
καναδός	canadees
καναδός	canadese
ριχάρδος	richard
ακαδημαϊκό	academisch
ακαδημαϊκό	academische
κιμ	kim
κοιλιά	buik
κοιλιά	belly
κοιλιά	buik
κοιλιά	onderbuik
κοιλιά	buik
πυρ	brand
πυρ	vuren
πυρ	vuur
μπάρι	bari
μπάρι	barry
προσφέροντας	bieden
προσφέροντας	aanbieden
ακουστική	akoestiek
ακουστική	akoestisch
ακουστική	akoestische
πολωνική	pools
πολωνική	poolse
πέδρο	piet
πέδρο	pedro
αμοιβή	vergoeding
αμοιβή	honorarium
αμοιβή	vergoeding
αμοιβή	bezoldiging
αμοιβή	beloning
αμοιβή	beloning
αμοιβή	belonen
μύθοι	mythen
μύθοι	mythes
μύθοι	legenden
μύθοι	legendes
υψηλότερα	hogere
υψηλότερα	hoger
μετατόπιση	shift
μετατόπιση	verschuiving
μετατόπιση	verschuiven
μετατόπιση	verschuiven
μετατόπιση	verplaatsing
μετατόπιση	compenseren
μετατόπιση	compensatie
μετατόπιση	gecompenseerd
μετατόπιση	verschuiving
παρουσιάστηκαν	gepresenteerde
παρουσιάστηκαν	aangeboden
παρουσιάστηκαν	gepresenteerd
μέτρια	medium
μέτρια	middellange
μέτρια	middelgrote
μέτρια	middelgroot
μέτρια	matige
μέτρια	matig
μέτρια	gematigde
μέτρια	gematigd
επηρεάσει	beïnvloeden
επηρεάσει	beïnvloedde
επηρεάσει	beïnvloed
μάρσαλ	marshall
ποσά	bedragen
συνταγματική	constitutionele
συνταγματική	grondwettelijke
συνταγματική	constitutioneel
συνταγματική	grondwettelijk
υποδομών	infrastructuur
υποδομών	infrastructuren
μάζες	massa
δορυφόρο	satelliet
στροφές	snelheid
στροφές	speed
στροφές	toerental
τραπέζι	tafel
τραπέζι	tafeltje
τραπέζι	tabel
δορυφόρους	satellieten
διονύσου	dionysus
διαφοροποίηση	differentiatie
διαφοροποίηση	differentiatie
διαφοροποίηση	modulatie
διαφοροποίηση	diversificatie
